	HMP_2012__SRS011306__bin.5	CM_cf__CF_TNFC022IS_t3M16__bin.22	CM_cf__CF_TNFC022SA_t1M16__bin.10	HMP_2012__SRS015209__bin.36	HMP_2012__SRS057205__bin.52	HMP_2012__SRS013948__bin.18	CM_cf__CF_TNFC008IS_t1M15__bin.2	HMP_2012__SRS023926__bin.20	HMP_2012__SRS050244__bin.68	HMP_2012__SRS016225__bin.33	FerrettiP_2018__CA_C10029MS2491SA_t0M15__bin.8	FerrettiP_2018__CA_C10020MS2331SA_t0M15__bin.7	HMP_2012__SRS019327__bin.41	HMP_2012__SRS019126__bin.45	HMP_2012__SRS020334__bin.15	HMP_2012__SRS019127__bin.40	HMP_2012__SRS047824__bin.72	CM_cf__CF_TNFC022IS_t1M15__bin.9	HMP_2012__SRS019122__bin.33	HMP_2012__SRS016569__bin.28	HMP_2012__SRS058336__bin.54	HMP_2012__SRS053603__bin.58	CM_cf__CF_FIFC013SS_t5M16__bin.5	HMP_2012__SRS024441__bin.54	HMP_2012__SRS016002__bin.44	HMP_2012__SRS023617__bin.17	HMP_2012__SRS023835__bin.51	HMP_2012__SRS018739__bin.54	HMP_2012__SRS054687__bin.35	HMP_2012__SRS024580__bin.26	CM_cf__CF_TNFC022IS_t2M15__bin.18	CM_cf__CF_TNFC018IS_t3M15__bin.20	CM_cf__CF_TNFC004SA_t1M15__bin.22	HMP_2012__SRS018439__bin.19	HMP_2012__SRS049147__bin.40	Castro-NallarE_2015__ES_116__bin.9	HMP_2012__SRS016037__bin.25	HMP_2012__SRS075404__bin.9
HMP_2012__SRS011306__bin.5	0.0	44282.0	43123.0	36192.0	39071.0	42533.0	35758.0	37235.0	25748.0	36727.0	21326.0	41604.0	40132.0	42882.0	33557.0	28873.0	34188.0	44379.0	39729.0	35109.0	34764.0	26383.0	44443.0	37656.0	20153.0	23082.0	37877.0	32848.0	36935.0	23197.0	44233.0	48556.0	32112.0	37206.0	22349.0	35239.0	34844.0	52179.0
CM_cf__CF_TNFC022IS_t3M16__bin.22	44282.0	0.0	395.0	46254.0	49230.0	41172.0	45210.0	52159.0	34454.0	45342.0	29408.0	42243.0	51921.0	41000.0	47539.0	28338.0	41360.0	2889.0	37498.0	40822.0	51819.0	35243.0	46851.0	47818.0	27353.0	31745.0	43028.0	32356.0	40147.0	25326.0	581.0	49504.0	32829.0	48344.0	32715.0	43609.0	48358.0	58962.0
CM_cf__CF_TNFC022SA_t1M16__bin.10	43123.0	395.0	0.0	45473.0	48735.0	41172.0	45317.0	50844.0	33589.0	44584.0	29288.0	41440.0	50148.0	40647.0	46231.0	28346.0	41608.0	320.0	37601.0	39614.0	51530.0	34548.0	46561.0	47676.0	26771.0	31816.0	42657.0	32207.0	40055.0	24774.0	371.0	48480.0	32490.0	48011.0	32439.0	43318.0	47313.0	57907.0
HMP_2012__SRS015209__bin.36	36192.0	46254.0	45473.0	0.0	40327.0	44255.0	38492.0	41784.0	29047.0	39773.0	25222.0	43572.0	44840.0	45163.0	39561.0	29893.0	27816.0	47590.0	41630.0	37797.0	43619.0	30935.0	46704.0	41317.0	25418.0	30239.0	39663.0	32162.0	38851.0	28661.0	46531.0	50800.0	33067.0	41786.0	26979.0	30056.0	42023.0	53545.0
HMP_2012__SRS057205__bin.52	39071.0	49230.0	48735.0	40327.0	0.0	44251.0	41810.0	45143.0	30305.0	39456.0	24252.0	45561.0	45375.0	44579.0	41137.0	30404.0	33368.0	50143.0	40413.0	36892.0	45563.0	31014.0	49788.0	41347.0	27391.0	31049.0	41356.0	34305.0	43419.0	28327.0	49043.0	52912.0	34038.0	43031.0	26720.0	39871.0	42235.0	56241.0
HMP_2012__SRS013948__bin.18	42533.0	41172.0	41172.0	44255.0	44251.0	0.0	42512.0	49500.0	33088.0	41484.0	29047.0	43025.0	47858.0	1948.0	42989.0	5869.0	38747.0	41827.0	2654.0	39414.0	47236.0	32888.0	44626.0	46333.0	23887.0	28517.0	41399.0	29891.0	38601.0	22155.0	41436.0	47903.0	30411.0	45632.0	31247.0	41220.0	45343.0	57458.0
CM_cf__CF_TNFC008IS_t1M15__bin.2	35758.0	45210.0	45317.0	38492.0	41810.0	42512.0	0.0	41329.0	28031.0	41540.0	26390.0	42385.0	40466.0	42431.0	39367.0	28669.0	36406.0	46107.0	39574.0	37124.0	44073.0	28630.0	44403.0	41864.0	21888.0	25413.0	37530.0	32396.0	37807.0	24390.0	45525.0	46099.0	33878.0	42244.0	27431.0	38100.0	40894.0	50210.0
HMP_2012__SRS023926__bin.20	37235.0	52159.0	50844.0	41784.0	45143.0	49500.0	41329.0	0.0	32906.0	41675.0	25617.0	47357.0	46511.0	49466.0	42363.0	33146.0	37135.0	51730.0	44350.0	41132.0	46603.0	30912.0	51222.0	41749.0	24974.0	30289.0	43453.0	37191.0	43467.0	26579.0	52135.0	53271.0	37563.0	44618.0	28025.0	40722.0	44788.0	58779.0
HMP_2012__SRS050244__bin.68	25748.0	34454.0	33589.0	29047.0	30305.0	33088.0	28031.0	32906.0	0.0	30665.0	18563.0	33375.0	28067.0	32943.0	28049.0	23113.0	27238.0	35112.0	29477.0	28592.0	31383.0	17588.0	34840.0	28374.0	15171.0	17931.0	31689.0	25457.0	32464.0	17830.0	34170.0	40664.0	24748.0	29860.0	19666.0	26874.0	28522.0	41436.0
HMP_2012__SRS016225__bin.33	36727.0	45342.0	44584.0	39773.0	39456.0	41484.0	41540.0	41675.0	30665.0	0.0	24913.0	42356.0	41763.0	41142.0	37589.0	27737.0	31996.0	46271.0	38832.0	36807.0	43389.0	28584.0	45143.0	43004.0	24745.0	28845.0	39188.0	30505.0	40620.0	25307.0	45448.0	50436.0	31583.0	41683.0	26669.0	39249.0	40316.0	53383.0
FerrettiP_2018__CA_C10029MS2491SA_t0M15__bin.8	21326.0	29408.0	29288.0	25222.0	24252.0	29047.0	26390.0	25617.0	18563.0	24913.0	0.0	27917.0	26534.0	27800.0	23878.0	20030.0	22520.0	29186.0	26010.0	22861.0	25806.0	17433.0	30060.0	26326.0	13496.0	14689.0	27554.0	21641.0	28350.0	14882.0	29414.0	31804.0	24570.0	25452.0	15852.0	24013.0	24801.0	35863.0
FerrettiP_2018__CA_C10020MS2331SA_t0M15__bin.7	41604.0	42243.0	41440.0	43572.0	45561.0	43025.0	42385.0	47357.0	33375.0	42356.0	27917.0	0.0	48076.0	42856.0	44827.0	28256.0	39022.0	41805.0	37247.0	39618.0	48964.0	33293.0	44413.0	43362.0	26413.0	29548.0	39396.0	33244.0	37255.0	25611.0	41958.0	47609.0	32865.0	46629.0	32716.0	40139.0	46744.0	54312.0
HMP_2012__SRS019327__bin.41	40132.0	51921.0	50148.0	44840.0	45375.0	47858.0	40466.0	46511.0	28067.0	41763.0	26534.0	48076.0	0.0	47916.0	41458.0	32992.0	38096.0	52431.0	44114.0	39580.0	47812.0	16224.0	51280.0	41222.0	24443.0	21079.0	40682.0	36498.0	42185.0	26232.0	51773.0	55431.0	35686.0	41095.0	29450.0	42423.0	45871.0	56932.0
HMP_2012__SRS019126__bin.45	42882.0	41000.0	40647.0	45163.0	44579.0	1948.0	42431.0	49466.0	32943.0	41142.0	27800.0	42856.0	47916.0	0.0	43174.0	5304.0	39935.0	41524.0	1632.0	39182.0	47314.0	32913.0	43894.0	45098.0	23985.0	28668.0	40931.0	30144.0	38268.0	21848.0	41322.0	48349.0	29814.0	45861.0	30411.0	40783.0	45765.0	56756.0
HMP_2012__SRS020334__bin.15	33557.0	47539.0	46231.0	39561.0	41137.0	42989.0	39367.0	42363.0	28049.0	37589.0	23878.0	44827.0	41458.0	43174.0	0.0	28150.0	35177.0	47527.0	38829.0	37052.0	40389.0	28128.0	48081.0	42050.0	21415.0	26871.0	39711.0	32583.0	42213.0	25525.0	47259.0	53164.0	33368.0	41721.0	25622.0	37861.0	40226.0	54371.0
HMP_2012__SRS019127__bin.40	28873.0	28338.0	28346.0	29893.0	30404.0	5869.0	28669.0	33146.0	23113.0	27737.0	20030.0	28256.0	32992.0	5304.0	28150.0	0.0	25809.0	28519.0	4935.0	26890.0	32618.0	20904.0	29864.0	30002.0	15616.0	17658.0	27358.0	21252.0	25968.0	14584.0	28496.0	33249.0	21764.0	32106.0	21738.0	27538.0	30691.0	37162.0
HMP_2012__SRS047824__bin.72	34188.0	41360.0	41608.0	27816.0	33368.0	38747.0	36406.0	37135.0	27238.0	31996.0	22520.0	39022.0	38096.0	39935.0	35177.0	25809.0	0.0	42691.0	37523.0	33614.0	39598.0	26584.0	40342.0	37537.0	20826.0	24142.0	36151.0	29855.0	36387.0	21783.0	42046.0	45037.0	29643.0	37063.0	23711.0	25886.0	36333.0	49669.0
CM_cf__CF_TNFC022IS_t1M15__bin.9	44379.0	2889.0	320.0	47590.0	50143.0	41827.0	46107.0	51730.0	35112.0	46271.0	29186.0	41805.0	52431.0	41524.0	47527.0	28519.0	42691.0	0.0	38496.0	41821.0	53376.0	35971.0	48107.0	48890.0	28061.0	33176.0	43749.0	32894.0	40716.0	26469.0	147.0	50294.0	32799.0	49239.0	32893.0	44604.0	48929.0	60067.0
HMP_2012__SRS019122__bin.33	39729.0	37498.0	37601.0	41630.0	40413.0	2654.0	39574.0	44350.0	29477.0	38832.0	26010.0	37247.0	44114.0	1632.0	38829.0	4935.0	37523.0	38496.0	0.0	37026.0	42909.0	31395.0	40621.0	43157.0	22823.0	27037.0	37274.0	26788.0	35850.0	21215.0	37915.0	44328.0	26641.0	42341.0	28616.0	38582.0	42279.0	52561.0
HMP_2012__SRS016569__bin.28	35109.0	40822.0	39614.0	37797.0	36892.0	39414.0	37124.0	41132.0	28592.0	36807.0	22861.0	39618.0	39580.0	39182.0	37052.0	26890.0	33614.0	41821.0	37026.0	0.0	39696.0	27353.0	41944.0	38091.0	22388.0	26547.0	35465.0	28484.0	37569.0	24187.0	40437.0	43901.0	29679.0	36309.0	26434.0	37497.0	37640.0	49315.0
HMP_2012__SRS058336__bin.54	34764.0	51819.0	51530.0	43619.0	45563.0	47236.0	44073.0	46603.0	31383.0	43389.0	25806.0	48964.0	47812.0	47314.0	40389.0	32618.0	39598.0	53376.0	42909.0	39696.0	0.0	31448.0	51847.0	43975.0	94.0	31956.0	43493.0	36761.0	45086.0	27412.0	53025.0	55984.0	36679.0	43899.0	27642.0	42371.0	44475.0	59350.0
HMP_2012__SRS053603__bin.58	26383.0	35243.0	34548.0	30935.0	31014.0	32888.0	28630.0	30912.0	17588.0	28584.0	17433.0	33293.0	16224.0	32913.0	28128.0	20904.0	26584.0	35971.0	31395.0	27353.0	31448.0	0.0	35204.0	25140.0	18671.0	17019.0	29479.0	24155.0	29850.0	21190.0	35453.0	38206.0	23822.0	25716.0	22348.0	29830.0	29626.0	40237.0
CM_cf__CF_FIFC013SS_t5M16__bin.5	44443.0	46851.0	46561.0	46704.0	49788.0	44626.0	44403.0	51222.0	34840.0	45143.0	30060.0	44413.0	51280.0	43894.0	48081.0	29864.0	40342.0	48107.0	40621.0	41944.0	51847.0	35204.0	0.0	49111.0	27997.0	33871.0	43354.0	31527.0	41398.0	26171.0	46765.0	51987.0	32114.0	48967.0	31482.0	43268.0	47648.0	59600.0
HMP_2012__SRS024441__bin.54	37656.0	47818.0	47676.0	41317.0	41347.0	46333.0	41864.0	41749.0	28374.0	43004.0	26326.0	43362.0	41222.0	45098.0	42050.0	30002.0	37537.0	48890.0	43157.0	38091.0	43975.0	25140.0	49111.0	0.0	24296.0	27084.0	40566.0	34976.0	36479.0	27664.0	48140.0	51720.0	33956.0	39595.0	29941.0	39619.0	41659.0	55532.0
HMP_2012__SRS016002__bin.44	20153.0	27353.0	26771.0	25418.0	27391.0	23887.0	21888.0	24974.0	15171.0	24745.0	13496.0	26413.0	24443.0	23985.0	21415.0	15616.0	20826.0	28061.0	22823.0	22388.0	94.0	18671.0	27997.0	24296.0	0.0	27083.0	21005.0	19241.0	21682.0	27276.0	27325.0	29548.0	17097.0	23627.0	16062.0	25890.0	24909.0	31108.0
HMP_2012__SRS023617__bin.17	23082.0	31745.0	31816.0	30239.0	31049.0	28517.0	25413.0	30289.0	17931.0	28845.0	14689.0	29548.0	21079.0	28668.0	26871.0	17658.0	24142.0	33176.0	27037.0	26547.0	31956.0	17019.0	33871.0	27084.0	27083.0	0.0	27890.0	23271.0	27355.0	28885.0	31797.0	36035.0	19643.0	27062.0	19298.0	30174.0	29612.0	38727.0
HMP_2012__SRS023835__bin.51	37877.0	43028.0	42657.0	39663.0	41356.0	41399.0	37530.0	43453.0	31689.0	39188.0	27554.0	39396.0	40682.0	40931.0	39711.0	27358.0	36151.0	43749.0	37274.0	35465.0	43493.0	29479.0	43354.0	40566.0	21005.0	27890.0	0.0	32385.0	37886.0	22623.0	43219.0	43736.0	33290.0	41143.0	29119.0	39711.0	41929.0	1519.0
HMP_2012__SRS018739__bin.54	32848.0	32356.0	32207.0	32162.0	34305.0	29891.0	32396.0	37191.0	25457.0	30505.0	21641.0	33244.0	36498.0	30144.0	32583.0	21252.0	29855.0	32894.0	26788.0	28484.0	36761.0	24155.0	31527.0	34976.0	19241.0	23271.0	32385.0	0.0	30056.0	17369.0	32562.0	36408.0	22716.0	35108.0	33710.0	30444.0	34672.0	43059.0
HMP_2012__SRS054687__bin.35	36935.0	40147.0	40055.0	38851.0	43419.0	38601.0	37807.0	43467.0	32464.0	40620.0	28350.0	37255.0	42185.0	38268.0	42213.0	25968.0	36387.0	40716.0	35850.0	37569.0	45086.0	29850.0	41398.0	36479.0	21682.0	27355.0	37886.0	30056.0	0.0	19660.0	40353.0	44155.0	28628.0	42620.0	30728.0	36837.0	41736.0	49830.0
HMP_2012__SRS024580__bin.26	23197.0	25326.0	24774.0	28661.0	28327.0	22155.0	24390.0	26579.0	17830.0	25307.0	14882.0	25611.0	26232.0	21848.0	25525.0	14584.0	21783.0	26469.0	21215.0	24187.0	27412.0	21190.0	26171.0	27664.0	27276.0	28885.0	22623.0	17369.0	19660.0	0.0	25617.0	27975.0	15734.0	25939.0	17661.0	26733.0	27823.0	31822.0
CM_cf__CF_TNFC022IS_t2M15__bin.18	44233.0	581.0	371.0	46531.0	49043.0	41436.0	45525.0	52135.0	34170.0	45448.0	29414.0	41958.0	51773.0	41322.0	47259.0	28496.0	42046.0	147.0	37915.0	40437.0	53025.0	35453.0	46765.0	48140.0	27325.0	31797.0	43219.0	32562.0	40353.0	25617.0	0.0	49546.0	32715.0	48457.0	32980.0	43588.0	48263.0	58877.0
