	ZeeviD_2015__PNP_Main_587__bin.30	LiJ_2014__MH0381__bin.36	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.73	NielsenHB_2014__V1_UC48_0__bin.17	ZeeviD_2015__PNP_Main_370__bin.19	XieH_2016__YSZC12003_37286__bin.39	ZeeviD_2015__PNP_Main_362__bin.44	XieH_2016__YSZC12003_36526__bin.18	ZeeviD_2015__PNP_Main_456__bin.45	ZeeviD_2015__PNP_Main_391__bin.36	LiJ_2014__MH0367__bin.73	LeChatelierE_2013__MH0009__bin.33	CosteaPI_2017__SID713A087-11-0-0__bin.51	FengQ_2015__SID31223__bin.25	ZeeviD_2015__PNP_Main_630__bin.20	ZeeviD_2015__PNP_Main_39__bin.63	XieH_2016__YSZC12003_35550__bin.129	LouisS_2016__AS66_12__bin.19	ZeeviD_2015__PNP_Main_696__bin.15	ZeeviD_2015__PNP_Main_575__bin.21	XieH_2016__YSZC12003_37315__bin.107	ZeeviD_2015__PNP_DietIntervention_15__bin.11	XieH_2016__YSZC12003_36051__bin.12	ZeeviD_2015__PNP_DietIntervention_46__bin.3	FerrettiP_2018__CA_C10009MS2134FE_t0M15__bin.20	ZeeviD_2015__PNP_Main_736__bin.22	LeChatelierE_2013__MH0422__bin.90	XieH_2016__YSZC12003_35740__bin.65	ZeeviD_2015__PNP_Main_145__bin.10	LeChatelierE_2013__MH0313__bin.71	NielsenHB_2014__MH0009__bin.20	XieH_2016__YSZC12003_35549__bin.15	ZeeviD_2015__PNP_Main_245__bin.6	BackhedF_2015__SID133_M__bin.53	KarlssonFH_2013__S195__bin.8	LouisS_2016__AS66_18__bin.31	ZellerG_2014__CCIS90443472ST-4-0__bin.48	NielsenHB_2014__V1_UC49_0__bin.29	ZeeviD_2015__PNP_Main_666__bin.37
ZeeviD_2015__PNP_Main_587__bin.30	1779579.0	1607164.0	1595387.0	1308412.0	1658286.0	1532553.0	1211686.0	893008.0	1599494.0	1699808.0	1358985.0	1629450.0	1232110.0	1624462.0	1700441.0	1033121.0	1272945.0	1450206.0	1717347.0	1584195.0	1613446.0	1364470.0	1643813.0	1489491.0	1444644.0	1628278.0	1582784.0	1682239.0	991137.0	1468835.0	1594988.0	1077882.0	1711907.0	783935.0	1566458.0	1285701.0	1391648.0	1446232.0	1714139.0
LiJ_2014__MH0381__bin.36	1607164.0	1825281.0	1646574.0	1285130.0	1668924.0	1576415.0	1223868.0	889863.0	1558679.0	1638684.0	1382226.0	1696845.0	1259451.0	1673325.0	1650424.0	1000007.0	1221905.0	1486597.0	1651720.0	1534074.0	1597216.0	1391304.0	1666075.0	1416993.0	1473545.0	1567267.0	1564752.0	1634228.0	993029.0	1464157.0	1635517.0	1080443.0	1652453.0	798765.0	1575705.0	1313614.0	1421695.0	1453091.0	1636722.0
VogtmannE_2016__MMRS94549160ST-27-0-0__bin.73	1595387.0	1646574.0	1783420.0	1295504.0	1662144.0	1580868.0	1225827.0	902382.0	1571173.0	1630925.0	1396145.0	1671771.0	1265926.0	1680702.0	1662415.0	1007689.0	1230107.0	1496044.0	1642386.0	1555022.0	1641764.0	1399717.0	1638147.0	1424546.0	1485264.0	1580342.0	1565077.0	1630608.0	990624.0	1459523.0	1625392.0	1102483.0	1643796.0	808160.0	1566041.0	1317404.0	1420537.0	1462260.0	1641007.0
NielsenHB_2014__V1_UC48_0__bin.17	1308412.0	1285130.0	1295504.0	1514539.0	1358439.0	1251707.0	973554.0	749650.0	1270532.0	1345624.0	1110045.0	1317432.0	996910.0	1313044.0	1345753.0	840217.0	1049076.0	1172387.0	1337335.0	1248421.0	1320517.0	1114875.0	1327917.0	1175805.0	1181826.0	1292019.0	1243509.0	1315956.0	833321.0	1206022.0	1291916.0	917439.0	1322584.0	672990.0	1252939.0	1033818.0	1127565.0	1349056.0	1328675.0
ZeeviD_2015__PNP_Main_370__bin.19	1658286.0	1668924.0	1662144.0	1358439.0	1912427.0	1609570.0	1276699.0	924829.0	1610980.0	1678113.0	1396767.0	1706656.0	1256263.0	1681735.0	1716879.0	1047827.0	1274640.0	1495242.0	1696536.0	1597546.0	1675655.0	1396323.0	1727565.0	1472350.0	1500527.0	1631760.0	1602172.0	1683897.0	1032769.0	1498962.0	1649205.0	1121216.0	1701042.0	802470.0	1607660.0	1317949.0	1424973.0	1519352.0	1704387.0
XieH_2016__YSZC12003_37286__bin.39	1532553.0	1576415.0	1580868.0	1251707.0	1609570.0	1704732.0	1195788.0	887726.0	1503329.0	1585905.0	1341920.0	1625443.0	1214611.0	1608724.0	1609225.0	1003510.0	1226674.0	1420598.0	1569760.0	1485330.0	1549209.0	1339465.0	1583503.0	1384592.0	1410867.0	1534505.0	1496914.0	1555156.0	947814.0	1423793.0	1585803.0	1068448.0	1575038.0	776377.0	1527003.0	1265961.0	1360926.0	1417777.0	1573120.0
ZeeviD_2015__PNP_Main_362__bin.44	1211686.0	1223868.0	1225827.0	973554.0	1276699.0	1195788.0	1354751.0	755747.0	1205887.0	1254920.0	1016391.0	1249048.0	878521.0	1257029.0	1267121.0	878053.0	968563.0	1107836.0	1263358.0	1217094.0	1256683.0	1027083.0	1290266.0	1100703.0	1105325.0	1191590.0	1170918.0	1223823.0	809066.0	1119045.0	1222638.0	861539.0	1249247.0	612928.0	1197925.0	933622.0	1041921.0	1098142.0	1254549.0
XieH_2016__YSZC12003_36526__bin.18	893008.0	889863.0	902382.0	749650.0	924829.0	887726.0	755747.0	956875.0	894162.0	919959.0	767175.0	909974.0	671438.0	917019.0	930743.0	638804.0	754407.0	811476.0	925445.0	892675.0	905255.0	776839.0	918675.0	836757.0	811537.0	905800.0	864490.0	906191.0	619556.0	853856.0	894450.0	674516.0	912727.0	459032.0	903215.0	697122.0	787857.0	832914.0	924226.0
ZeeviD_2015__PNP_Main_456__bin.45	1599494.0	1558679.0	1571173.0	1270532.0	1610980.0	1503329.0	1205887.0	894162.0	1726600.0	1635076.0	1329394.0	1585608.0	1197303.0	1593920.0	1654758.0	1030726.0	1249632.0	1423925.0	1642707.0	1544606.0	1575290.0	1352875.0	1598149.0	1434051.0	1421217.0	1587666.0	1560612.0	1616229.0	980742.0	1435837.0	1551841.0	1064304.0	1628700.0	775464.0	1539173.0	1255572.0	1365250.0	1427003.0	1645882.0
ZeeviD_2015__PNP_Main_391__bin.36	1699808.0	1638684.0	1630925.0	1345624.0	1678113.0	1585905.0	1254920.0	919959.0	1635076.0	1851673.0	1398139.0	1659868.0	1252995.0	1657148.0	1762855.0	1074858.0	1326191.0	1483747.0	1753367.0	1621628.0	1652415.0	1394042.0	1678312.0	1491171.0	1479338.0	1658289.0	1616202.0	1700799.0	1015501.0	1500449.0	1625164.0	1096263.0	1727741.0	805613.0	1597289.0	1313187.0	1419068.0	1502397.0	1724176.0
