	ZeeviD_2015__PNP_Main_587__bin.30	LiJ_2014__MH0381__bin.36	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.73	NielsenHB_2014__V1_UC48_0__bin.17	ZeeviD_2015__PNP_Main_370__bin.19	XieH_2016__YSZC12003_37286__bin.39	ZeeviD_2015__PNP_Main_362__bin.44	XieH_2016__YSZC12003_36526__bin.18	ZeeviD_2015__PNP_Main_456__bin.45	ZeeviD_2015__PNP_Main_391__bin.36	LiJ_2014__MH0367__bin.73	LeChatelierE_2013__MH0009__bin.33	CosteaPI_2017__SID713A087-11-0-0__bin.51	FengQ_2015__SID31223__bin.25	ZeeviD_2015__PNP_Main_630__bin.20	ZeeviD_2015__PNP_Main_39__bin.63	XieH_2016__YSZC12003_35550__bin.129	LouisS_2016__AS66_12__bin.19	ZeeviD_2015__PNP_Main_696__bin.15	ZeeviD_2015__PNP_Main_575__bin.21	XieH_2016__YSZC12003_37315__bin.107	ZeeviD_2015__PNP_DietIntervention_15__bin.11	XieH_2016__YSZC12003_36051__bin.12	ZeeviD_2015__PNP_DietIntervention_46__bin.3	FerrettiP_2018__CA_C10009MS2134FE_t0M15__bin.20	ZeeviD_2015__PNP_Main_736__bin.22	LeChatelierE_2013__MH0422__bin.90	XieH_2016__YSZC12003_35740__bin.65	ZeeviD_2015__PNP_Main_145__bin.10	LeChatelierE_2013__MH0313__bin.71	NielsenHB_2014__MH0009__bin.20	XieH_2016__YSZC12003_35549__bin.15	ZeeviD_2015__PNP_Main_245__bin.6	BackhedF_2015__SID133_M__bin.53	KarlssonFH_2013__S195__bin.8	LouisS_2016__AS66_18__bin.31	ZellerG_2014__CCIS90443472ST-4-0__bin.48	NielsenHB_2014__V1_UC49_0__bin.29	ZeeviD_2015__PNP_Main_666__bin.37
ZeeviD_2015__PNP_Main_587__bin.30	0.0	28851.0	24695.0	22449.0	26586.0	23671.0	17633.0	14769.0	22789.0	20051.0	35380.0	24464.0	32739.0	25734.0	23518.0	13859.0	16935.0	38812.0	20624.0	20361.0	27167.0	36025.0	25289.0	384.0	38067.0	21262.0	21408.0	18171.0	19297.0	22877.0	23676.0	18189.0	19558.0	21363.0	22947.0	34571.0	36939.0	23859.0	16924.0
LiJ_2014__MH0381__bin.36	28851.0	0.0	31077.0	23806.0	29450.0	27915.0	21454.0	17458.0	29840.0	28852.0	36688.0	30447.0	34403.0	30331.0	32200.0	17174.0	23736.0	40506.0	28679.0	28215.0	29631.0	37456.0	30638.0	25108.0	39926.0	29945.0	27543.0	28940.0	18844.0	26682.0	28171.0	19294.0	28899.0	22148.0	28160.0	35742.0	38183.0	26282.0	28578.0
VogtmannE_2016__MMRS94549160ST-27-0-0__bin.73	24695.0	31077.0	0.0	22937.0	28840.0	26644.0	19683.0	15909.0	27402.0	26509.0	37673.0	26317.0	34899.0	26469.0	30157.0	16369.0	21918.0	40477.0	27245.0	25984.0	29060.0	37813.0	27537.0	22197.0	40001.0	27285.0	26164.0	26299.0	19978.0	24650.0	25021.0	19476.0	26842.0	22322.0	24151.0	35072.0	38092.0	24879.0	26401.0
NielsenHB_2014__V1_UC48_0__bin.17	22449.0	23806.0	22937.0	0.0	23519.0	22470.0	16392.0	14492.0	24046.0	23435.0	30141.0	22423.0	27696.0	23662.0	26126.0	14681.0	20181.0	32918.0	23521.0	21864.0	23765.0	31192.0	22738.0	20133.0	33060.0	24361.0	22125.0	22761.0	16999.0	21553.0	22008.0	16870.0	22528.0	18603.0	21543.0	28955.0	31327.0	2530.0	23052.0
ZeeviD_2015__PNP_Main_370__bin.19	26586.0	29450.0	28840.0	23519.0	0.0	26010.0	19669.0	16862.0	28410.0	26119.0	36519.0	27424.0	33538.0	28058.0	30857.0	16318.0	21917.0	40395.0	27658.0	26560.0	28405.0	37190.0	27361.0	23682.0	40220.0	28439.0	26146.0	26761.0	19205.0	24544.0	25688.0	18384.0	27296.0	21837.0	25635.0	35125.0	37925.0	25369.0	27136.0
XieH_2016__YSZC12003_37286__bin.39	23671.0	27915.0	26644.0	22470.0	26010.0	0.0	17913.0	15881.0	25722.0	25920.0	35060.0	24207.0	32550.0	25522.0	28637.0	15927.0	21845.0	38175.0	25514.0	24322.0	26457.0	35909.0	25585.0	21323.0	37860.0	26223.0	23979.0	24206.0	18110.0	23412.0	23007.0	17815.0	25220.0	21085.0	23616.0	33730.0	36256.0	25020.0	24436.0
ZeeviD_2015__PNP_Main_362__bin.44	17633.0	21454.0	19683.0	16392.0	19669.0	17913.0	0.0	13279.0	19742.0	18522.0	25561.0	18606.0	22016.0	19518.0	21712.0	13365.0	16257.0	28370.0	19232.0	18907.0	20095.0	26166.0	19910.0	16177.0	27915.0	19888.0	17686.0	18117.0	15335.0	17979.0	17873.0	14336.0	18093.0	16574.0	17930.0	23422.0	26200.0	18458.0	17759.0
XieH_2016__YSZC12003_36526__bin.18	14769.0	17458.0	15909.0	14492.0	16862.0	15881.0	13279.0	0.0	13951.0	15983.0	20412.0	16052.0	17805.0	16193.0	18105.0	11295.0	14160.0	21726.0	15863.0	15188.0	17060.0	20774.0	16475.0	13894.0	21276.0	17527.0	14844.0	15380.0	13153.0	15499.0	15804.0	13058.0	15652.0	12786.0	15463.0	18423.0	20577.0	15975.0	15669.0
ZeeviD_2015__PNP_Main_456__bin.45	22789.0	29840.0	27402.0	24046.0	28410.0	25722.0	19742.0	13951.0	0.0	25053.0	36317.0	26926.0	33910.0	27582.0	27709.0	15761.0	19561.0	40260.0	25466.0	21735.0	28965.0	37746.0	27139.0	20625.0	39832.0	25770.0	22918.0	25028.0	20243.0	24779.0	25955.0	19025.0	23690.0	21846.0	24253.0	35025.0	38243.0	25984.0	25048.0
ZeeviD_2015__PNP_Main_391__bin.36	20051.0	28852.0	26509.0	23435.0	26119.0	25920.0	18522.0	15983.0	25053.0	0.0	36913.0	25398.0	33236.0	26794.0	26620.0	14672.0	16031.0	39861.0	20411.0	21917.0	27070.0	36992.0	25680.0	18029.0	39043.0	22925.0	22265.0	22286.0	19292.0	23404.0	24794.0	18535.0	21322.0	21442.0	24223.0	35155.0	37833.0	25847.0	22257.0
LiJ_2014__MH0367__bin.73	35380.0	36688.0	37673.0	30141.0	36519.0	35060.0	25561.0	20412.0	36317.0	36913.0	0.0	37128.0	17007.0	37138.0	39265.0	21379.0	29654.0	19481.0	37054.0	34919.0	38489.0	18180.0	36749.0	32574.0	18957.0	36684.0	35626.0	36045.0	21830.0	32603.0	35330.0	24072.0	35682.0	12481.0	34679.0	17282.0	19012.0	32943.0	37117.0
LeChatelierE_2013__MH0009__bin.33	24464.0	30447.0	26317.0	22423.0	27424.0	24207.0	18606.0	16052.0	26926.0	25398.0	37128.0	0.0	34315.0	25660.0	29616.0	15311.0	20953.0	41023.0	26973.0	25253.0	27901.0	37243.0	26531.0	21414.0	39878.0	27178.0	25530.0	25462.0	19001.0	23394.0	367.0	18771.0	26165.0	21522.0	23573.0	36553.0	38326.0	24334.0	26035.0
