	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.41	LiuW_2016__SRR3992987__bin.37	BritoIL_2016__M2.46.ST__bin.22	LiJ_2014__MH0374__bin.24	ZeeviD_2015__PNP_Main_666__bin.22	BritoIL_2016__W1.41.ST__bin.20	LiJ_2014__O2.UC29-1__bin.21	BritoIL_2016__WL.43.ST__bin.50	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.88	NielsenHB_2014__MH0117__bin.12	BritoIL_2016__W1.1.ST__bin.107	LiJ_2017__H2M614904__bin.51	CosteaPI_2017__SID713B063-11-0-0__bin.6	CM_madagascar__A94_03_1FE__bin.52	BritoIL_2016__W2.61.ST__bin.75	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.135	LeChatelierE_2013__MH0453__bin.19	ZeeviD_2015__PNP_Validation_66__bin.52	Bengtsson-PalmeJ_2015__TRAVELRES16__bin.91	ZeeviD_2015__PNP_Validation_42__bin.79	CosteaPI_2017__SID713B040-11-90-0__bin.102	LeChatelierE_2013__MH0117__bin.8	XieH_2016__YSZC12003_35561__bin.73	LiJ_2014__MH0252__bin.98	Bengtsson-PalmeJ_2015__TRAVELRES49__bin.105	XieH_2016__YSZC12003_37101__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.102	LeChatelierE_2013__MH0437__bin.41	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.18	CosteaPI_2017__SID713A028-11-0-0__bin.81	LiJ_2014__V1.CD6-0-PT__bin.11	BritoIL_2016__W1.2.ST__bin.59	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.5	LeChatelierE_2013__MH0448__bin.59	LeChatelierE_2013__MH0415__bin.94	XieH_2016__YSZC12003_37394__bin.51	BritoIL_2016__W1.5.ST__bin.20	LiuW_2016__SRR3993044__bin.27	XieH_2016__YSZC12003_37228__bin.62	ZeeviD_2015__PNP_Main_474__bin.41	XieH_2016__YSZC12003_36058__bin.52	XieH_2016__YSZC12003_37182R1__bin.71	LiJ_2017__H2M513938__bin.8	LiuW_2016__SRR3993055__bin.107	LiJ_2017__H3M517925__bin.78	BritoIL_2016__M2.49.ST__bin.104
Bengtsson-PalmeJ_2015__TRAVELRES17__bin.41	1.0	0.9953381055620799	0.9952768996737035	0.9949654166470616	0.9945691326537061	0.9976138254328484	0.9940096221748341	0.9957883334856109	0.9949909268560699	0.9939194107369708	0.9947809824205525	0.9951208372360453	0.9946042318494421	0.9944761588552823	0.99514957422966	0.9952075335458744	0.9943060133526869	0.9720351770868374	0.9945598817995015	0.9949763700315549	0.997372647011386	0.994328992025145	0.9952252030519321	0.9944905333471569	0.9949692904062531	0.9948896134864285	0.9996551597980154	0.9838789787626702	0.9958357961969759	0.9962431851686786	0.9942577205608902	0.9950664992468894	0.9952973201243054	0.9947315376969352	0.9949098219111121	0.9958559729827772	0.9950203772533961	0.9944456190020958	0.9942822714560698	0.9947348369853147	0.9947360603864966	0.9944468688316606	0.9955239303127567	0.9938868168635278	0.995439063443251	0.995371316914737
LiuW_2016__SRR3992987__bin.37	0.9953381055620799	1.0	0.9963757050722769	0.9941368272861988	0.9955191796696002	0.9954929561451463	0.9930768950361919	0.9963498506979884	0.995597685689276	0.9947606315722279	0.9955123560064364	0.9962375860310069	0.9942819412613145	0.995481198714214	0.9962211938024731	0.9943260949387066	0.9930008662781541	0.972057172600149	0.994597591142769	0.9944561692170631	0.9953415491751122	0.9950719698329363	0.9964382328446686	0.9949309428147431	0.9938850089792195	0.99380812953973	0.9954532886854475	0.984470975284521	0.9963130679347677	0.9944970302210915	0.9947629633825154	0.9960769942074972	0.9944482532009694	0.9936382849500383	0.9961720872067777	0.9944694497254079	0.9957972919440621	0.9953165467013283	0.996100605640512	0.9940617869722055	0.9955304520250218	0.9955044418361217	0.996587351676231	0.9945512655670254	0.9972338326258667	0.9961538144091648
BritoIL_2016__M2.46.ST__bin.22	0.9952768996737035	0.9963757050722769	1.0	0.9943529084078542	0.9957426718251441	0.9956876180480921	0.9935286592296835	0.9993506857968572	0.9958422005427823	0.9950408829439973	0.9956454392816175	0.9968641865373642	0.9945739923431954	0.9953600521573366	0.9964503903156465	0.9945589784982399	0.9935893347713803	0.9716421356476198	0.994787759989793	0.9945701954820048	0.995616710313124	0.9953632393541929	0.9964395368107841	0.9951688062859445	0.9942178494259422	0.9942657212272955	0.9957620434484723	0.9841614728920697	0.9974037608900347	0.9947375269073094	0.9950596909628371	0.9965389520123829	0.9946472507990706	0.9942163540465961	0.9973813987151996	0.9945197108201372	0.9960625188710409	0.9956431764975796	0.995922789590143	0.9941626654440475	0.9955859013451495	0.9983284684637002	0.9976243639255973	0.9948740046562186	0.9971115187708632	0.9964563202797581
LiJ_2014__MH0374__bin.24	0.9949654166470616	0.9941368272861988	0.9943529084078542	1.0	0.9935807294971698	0.9949150594355776	0.9939950632990161	0.9945783125893102	0.9938026391473737	0.9926601887834204	0.9939407676574419	0.9942019690365952	0.9939165657177468	0.9935377660056185	0.9940214834784966	0.9955128586272994	0.9943532450945777	0.9722953121044516	0.9942356185153598	0.9967999186358427	0.9950905586945379	0.9932297635900754	0.9944570087837438	0.9935910506087767	0.9951265216076803	0.9961810944967805	0.9948896012791673	0.9836212883380455	0.9948348816724983	0.994159363616812	0.9933457206339502	0.9941897078219127	0.9954477737341112	0.9941627296882418	0.9938520204236061	0.9956632694399913	0.9939259060299676	0.9931219566883221	0.9934088856469199	0.9948653303411203	0.9936510560625225	0.9934457210998273	0.994513543180483	0.9927445893888098	0.994609309015965	0.9942965099690672
ZeeviD_2015__PNP_Main_666__bin.22	0.9945691326537061	0.9955191796696002	0.9957426718251441	0.9935807294971698	1.0	0.9948671120737124	0.9928144910008085	0.9957635050353665	0.9963015825561996	0.9945531307741803	0.9963241426165691	0.9959099099446828	0.9940206038518268	0.9960724058623878	0.9963078200060695	0.993693059714916	0.9927142582679552	0.9716998673496204	0.9939784010249311	0.9937005767286997	0.9946542953102245	0.9949665769093984	0.9959855956312025	0.9956208987020502	0.9936520127297584	0.9935657650406332	0.9951957380828234	0.984110291274312	0.995716276127546	0.9940918990016603	0.9950399204194966	0.9962413205708752	0.9938208013512553	0.9933432049082841	0.9951912921148163	0.9937690513764353	0.9963258293776991	0.9955793876185038	0.9949109061594228	0.9935122168609737	0.9956397860356301	0.9949098812358735	0.9960958521066571	0.9949440776494921	0.996025443698326	0.9964735962595921
BritoIL_2016__W1.41.ST__bin.20	0.9976138254328484	0.9954929561451463	0.9956876180480921	0.9949150594355776	0.9948671120737124	1.0	0.9938202444528155	0.9956962519861382	0.9951234300401918	0.9942140041904148	0.995145055939091	0.9956826064766111	0.9946947924826333	0.9946371043182523	0.9953316660111671	0.9954526511387658	0.9941072487479169	0.9715328360060341	0.9951905315728261	0.99520076867981	0.9977468924615834	0.9947149718395811	0.9957773628145111	0.9945528742020386	0.9948578021971729	0.9948194361481678	0.9975923519175276	0.9843171544556147	0.9957312628145261	0.9973801821471571	0.9948982246954045	0.9953833382107897	0.9953402301834182	0.9947722367215911	0.995611435095346	0.9960690772983992	0.9951573519022835	0.9946076504853751	0.9946222242627366	0.9950981747787611	0.9955104928399234	0.9945586775520127	0.9958437922114853	0.9938607382404202	0.995845510826184	0.9953934565007554
LiJ_2014__O2.UC29-1__bin.21	0.9940096221748341	0.9930768950361919	0.9935286592296835	0.9939950632990161	0.9928144910008085	0.9938202444528155	1.0	0.9941865378055001	0.9929481368295219	0.9925012462717464	0.992963206130213	0.9934699041409177	0.9928501796828583	0.992862516738663	0.9933062721144401	0.9947007923045541	0.9940084462131445	0.9705456643701814	0.9931855392993792	0.9940181862427202	0.9936536918155756	0.9924702469937693	0.9935987199169676	0.9921292802787132	0.9939321497526591	0.9937077954683645	0.9937993857967181	0.9818284528126096	0.9937332032101969	0.9931231955328532	0.9925383678919626	0.9932757600460145	0.9952003398111262	0.9931835314284534	0.9929719014679993	0.9945559401017054	0.9927463443663184	0.9925784943502874	0.9923844113857472	0.9973504366686942	0.9928568708698106	0.9924481766642529	0.9930222720354469	0.9916578007096866	0.9934717729585166	0.9934131043530836
BritoIL_2016__WL.43.ST__bin.50	0.9957883334856109	0.9963498506979884	0.9993506857968572	0.9945783125893102	0.9957635050353665	0.9956962519861382	0.9941865378055001	1.0	0.9960811967224554	0.9951640300904795	0.9960609380706422	0.9967872453869232	0.9943884843122576	0.9956248986869833	0.996544706551709	0.9948369726997903	0.9939295619864985	0.9711487359863732	0.9950441264215297	0.994731311696192	0.995789257001704	0.9954622011006576	0.9966043006340467	0.9954079386800126	0.9944864802581042	0.9946396508564763	0.9959885961103034	0.9839298501246597	0.9974977549951358	0.9951794329126308	0.9953054222313515	0.9965307903635644	0.9946743088482821	0.9942361794718695	0.9973341604328487	0.9949748024281296	0.9961135550412232	0.9959280227192923	0.9960560072828089	0.9945951681812488	0.9957223370156946	0.9985152119714249	0.997699661888463	0.9945924814305711	0.997193564963042	0.9964647620072938
Bengtsson-PalmeJ_2015__TRAVELRES1__bin.88	0.9949909268560699	0.995597685689276	0.9958422005427823	0.9938026391473737	0.9963015825561996	0.9951234300401918	0.9929481368295219	0.9960811967224554	1.0	0.9948775284893621	0.9994363739181562	0.996078856152513	0.994037779597005	0.9962476493506995	0.9963626604814323	0.9939192400813986	0.9929088616198111	0.9720634214068445	0.9944385672139942	0.9942327919795715	0.994926190971393	0.9953272015292461	0.9957509630154503	0.9958828656867474	0.9938767154377709	0.9939255594367234	0.9954737931683448	0.9841943654490215	0.9960712971560575	0.9947094017469744	0.994674951254456	0.9964949299214675	0.9940290667668337	0.9935671775474602	0.9956806861623032	0.9938747345556328	0.9968707796019813	0.9963241775677868	0.9952278494551983	0.9938095321781308	0.9956233127605384	0.9953011142801494	0.9958756567239839	0.9952370928810894	0.9961981781126399	0.9966556314825153
NielsenHB_2014__MH0117__bin.12	0.9939194107369708	0.9947606315722279	0.9950408829439973	0.9926601887834204	0.9945531307741803	0.9942140041904148	0.9925012462717464	0.9951640300904795	0.9948775284893621	1.0	0.9945432636573522	0.9968150675583458	0.9922847311242591	0.9945501301771368	0.994978281754037	0.9932596025300269	0.9924194157678408	0.9702857749374713	0.9935228228531847	0.9927911915060952	0.9939078389189843	0.9991967419333188	0.9950949278817561	0.9940068008895907	0.9928501089507208	0.9925272986005669	0.9942676363696594	0.9823330411094439	0.9947933957276336	0.9934242727845141	0.9940620647478655	0.9948845078786513	0.992934275853237	0.9927258086492419	0.9947847610825156	0.9934844561367492	0.9947878989915826	0.9944021899311511	0.9942901677365032	0.993502892417326	0.9944492809867945	0.9941725648292691	0.994603601704008	0.9930957729117961	0.9953919780004111	0.9947348685857971
