	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.41	LiuW_2016__SRR3992987__bin.37	BritoIL_2016__M2.46.ST__bin.22	LiJ_2014__MH0374__bin.24	ZeeviD_2015__PNP_Main_666__bin.22	BritoIL_2016__W1.41.ST__bin.20	LiJ_2014__O2.UC29-1__bin.21	BritoIL_2016__WL.43.ST__bin.50	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.88	NielsenHB_2014__MH0117__bin.12	BritoIL_2016__W1.1.ST__bin.107	LiJ_2017__H2M614904__bin.51	CosteaPI_2017__SID713B063-11-0-0__bin.6	CM_madagascar__A94_03_1FE__bin.52	BritoIL_2016__W2.61.ST__bin.75	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.135	LeChatelierE_2013__MH0453__bin.19	ZeeviD_2015__PNP_Validation_66__bin.52	Bengtsson-PalmeJ_2015__TRAVELRES16__bin.91	ZeeviD_2015__PNP_Validation_42__bin.79	CosteaPI_2017__SID713B040-11-90-0__bin.102	LeChatelierE_2013__MH0117__bin.8	XieH_2016__YSZC12003_35561__bin.73	LiJ_2014__MH0252__bin.98	Bengtsson-PalmeJ_2015__TRAVELRES49__bin.105	XieH_2016__YSZC12003_37101__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.102	LeChatelierE_2013__MH0437__bin.41	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.18	CosteaPI_2017__SID713A028-11-0-0__bin.81	LiJ_2014__V1.CD6-0-PT__bin.11	BritoIL_2016__W1.2.ST__bin.59	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.5	LeChatelierE_2013__MH0448__bin.59	LeChatelierE_2013__MH0415__bin.94	XieH_2016__YSZC12003_37394__bin.51	BritoIL_2016__W1.5.ST__bin.20	LiuW_2016__SRR3993044__bin.27	XieH_2016__YSZC12003_37228__bin.62	ZeeviD_2015__PNP_Main_474__bin.41	XieH_2016__YSZC12003_36058__bin.52	XieH_2016__YSZC12003_37182R1__bin.71	LiJ_2017__H2M513938__bin.8	LiuW_2016__SRR3993055__bin.107	LiJ_2017__H3M517925__bin.78	BritoIL_2016__M2.49.ST__bin.104
Bengtsson-PalmeJ_2015__TRAVELRES17__bin.41	1865696.0	1543793.0	1768330.0	1763999.0	1582436.0	1182227.0	1149844.0	908429.0	1605287.0	943823.0	1705685.0	1725296.0	1061758.0	1120416.0	1757990.0	1797613.0	1249037.0	1040450.0	1740771.0	1105376.0	1711228.0	1196260.0	1787720.0	1572203.0	974614.0	1570527.0	1284653.0	1699272.0	1654578.0	1494351.0	1586478.0	1436708.0	1794934.0	1443685.0	1781863.0	1789081.0	1048473.0	870304.0	1422418.0	1007946.0	1770727.0	1384084.0	1038411.0	1490222.0	1620062.0	1369504.0
LiuW_2016__SRR3992987__bin.37	1543793.0	1619018.0	1555337.0	1539269.0	1398851.0	1055459.0	1015007.0	816131.0	1405170.0	814602.0	1501456.0	1527211.0	993519.0	1035009.0	1545197.0	1552370.0	1117424.0	943319.0	1529688.0	967562.0	1488263.0	1058638.0	1557373.0	1404995.0	877025.0	1393117.0	1139285.0	1508852.0	1453512.0	1326193.0	1412440.0	1293396.0	1549062.0	1262867.0	1533734.0	1550117.0	936539.0	822043.0	1263786.0	893198.0	1548255.0	1228546.0	957028.0	1361050.0	1475688.0	1211590.0
BritoIL_2016__M2.46.ST__bin.22	1768330.0	1555337.0	1920598.0	1766396.0	1577985.0	1189134.0	1149839.0	908651.0	1604695.0	940490.0	1706946.0	1722679.0	1059711.0	1128892.0	1767800.0	1784040.0	1238717.0	1052477.0	1747809.0	1105933.0	1698496.0	1197819.0	1793306.0	1576215.0	974205.0	1576833.0	1274199.0	1693213.0	1640835.0	1483333.0	1596054.0	1445227.0	1783009.0	1431450.0	1779576.0	1783665.0	1056513.0	876097.0	1418617.0	992405.0	1768651.0	1398119.0	1043510.0	1492198.0	1641347.0	1370327.0
LiJ_2014__MH0374__bin.24	1763999.0	1539269.0	1766396.0	1897898.0	1575880.0	1183298.0	1157048.0	907651.0	1594227.0	943621.0	1680906.0	1708856.0	1056640.0	1115249.0	1755954.0	1765935.0	1243369.0	1042856.0	1730628.0	1101222.0	1705082.0	1194493.0	1770885.0	1564531.0	969123.0	1561704.0	1275830.0	1680413.0	1643912.0	1478606.0	1583342.0	1430737.0	1773418.0	1426009.0	1780097.0	1789597.0	1042460.0	865217.0	1416149.0	996364.0	1766278.0	1393746.0	1034912.0	1478345.0	1603134.0	1370389.0
ZeeviD_2015__PNP_Main_666__bin.22	1582436.0	1398851.0	1577985.0	1575880.0	1699870.0	1089640.0	1040149.0	828043.0	1451702.0	871877.0	1552835.0	1554489.0	967489.0	1030911.0	1604743.0	1584445.0	1134682.0	962681.0	1548592.0	1009140.0	1520286.0	1102232.0	1592017.0	1444817.0	887998.0	1416330.0	1166048.0	1530928.0	1482822.0	1344933.0	1459654.0	1333181.0	1589041.0	1304081.0	1585873.0	1583547.0	957495.0	793329.0	1296891.0	908785.0	1608866.0	1255177.0	947710.0	1350891.0	1468340.0	1264461.0
BritoIL_2016__W1.41.ST__bin.20	1182227.0	1055459.0	1189134.0	1183298.0	1089640.0	1229468.0	825599.0	650131.0	1075346.0	682510.0	1156347.0	1152084.0	774899.0	780362.0	1189932.0	1192563.0	888719.0	749741.0	1169360.0	797211.0	1142866.0	858652.0	1194751.0	1102967.0	698534.0	1084824.0	907940.0	1158527.0	1112507.0	1024117.0	1095305.0	1004622.0	1194265.0	1001193.0	1184214.0	1196920.0	731831.0	628483.0	980145.0	723200.0	1193004.0	987260.0	731436.0	1033349.0	1113735.0	960373.0
LiJ_2014__O2.UC29-1__bin.21	1149844.0	1015007.0	1149839.0	1157048.0	1040149.0	825599.0	1225220.0	639034.0	1052346.0	710118.0	1111870.0	1130305.0	693444.0	766937.0	1159593.0	1164325.0	878737.0	719215.0	1142130.0	784879.0	1132627.0	872937.0	1156175.0	1065468.0	700248.0	1057499.0	887654.0	1120543.0	1082052.0	1008608.0	1068667.0	966652.0	1162999.0	968390.0	1154224.0	1173389.0	737697.0	574277.0	972479.0	697096.0	1155516.0	962549.0	687903.0	975642.0	1070888.0	924563.0
BritoIL_2016__WL.43.ST__bin.50	908429.0	816131.0	908651.0	907651.0	828043.0	650131.0	639034.0	960430.0	816831.0	519234.0	881682.0	879619.0	587720.0	616900.0	913960.0	907026.0	668815.0	596473.0	898328.0	608121.0	874430.0	652519.0	911447.0	836008.0	520720.0	839311.0	688537.0	881199.0	855232.0	801358.0	837349.0	775681.0	908990.0	743604.0	899529.0	908024.0	587169.0	486987.0	773328.0	574856.0	916622.0	738826.0	576437.0	792970.0	860166.0	743090.0
Bengtsson-PalmeJ_2015__TRAVELRES1__bin.88	1605287.0	1405170.0	1604695.0	1594227.0	1451702.0	1075346.0	1052346.0	816831.0	1816557.0	855056.0	1602126.0	1569440.0	954007.0	1035884.0	1669352.0	1615752.0	1150591.0	943530.0	1610736.0	980197.0	1557804.0	1088641.0	1639901.0	1438622.0	876817.0	1412805.0	1168970.0	1543690.0	1505586.0	1364874.0	1508343.0	1311814.0	1637265.0	1281708.0	1623406.0	1646296.0	969251.0	794108.0	1290194.0	910432.0	1677296.0	1268173.0	942938.0	1363453.0	1472978.0	1271690.0
NielsenHB_2014__MH0117__bin.12	943823.0	814602.0	940490.0	943621.0	871877.0	682510.0	710118.0	519234.0	855056.0	1134090.0	918681.0	915875.0	543727.0	626070.0	948281.0	946235.0	709444.0	584131.0	929726.0	635750.0	925944.0	923738.0	950037.0	884002.0	572736.0	839054.0	724483.0	913683.0	894633.0	827437.0	878083.0	781352.0	944843.0	814661.0	940513.0	944971.0	599950.0	471613.0	798097.0	577026.0	953390.0	791772.0	535913.0	785316.0	861107.0	770731.0
