	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.41	LiuW_2016__SRR3992987__bin.37	BritoIL_2016__M2.46.ST__bin.22	LiJ_2014__MH0374__bin.24	ZeeviD_2015__PNP_Main_666__bin.22	BritoIL_2016__W1.41.ST__bin.20	LiJ_2014__O2.UC29-1__bin.21	BritoIL_2016__WL.43.ST__bin.50	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.88	NielsenHB_2014__MH0117__bin.12	BritoIL_2016__W1.1.ST__bin.107	LiJ_2017__H2M614904__bin.51	CosteaPI_2017__SID713B063-11-0-0__bin.6	CM_madagascar__A94_03_1FE__bin.52	BritoIL_2016__W2.61.ST__bin.75	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.135	LeChatelierE_2013__MH0453__bin.19	ZeeviD_2015__PNP_Validation_66__bin.52	Bengtsson-PalmeJ_2015__TRAVELRES16__bin.91	ZeeviD_2015__PNP_Validation_42__bin.79	CosteaPI_2017__SID713B040-11-90-0__bin.102	LeChatelierE_2013__MH0117__bin.8	XieH_2016__YSZC12003_35561__bin.73	LiJ_2014__MH0252__bin.98	Bengtsson-PalmeJ_2015__TRAVELRES49__bin.105	XieH_2016__YSZC12003_37101__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.102	LeChatelierE_2013__MH0437__bin.41	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.18	CosteaPI_2017__SID713A028-11-0-0__bin.81	LiJ_2014__V1.CD6-0-PT__bin.11	BritoIL_2016__W1.2.ST__bin.59	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.5	LeChatelierE_2013__MH0448__bin.59	LeChatelierE_2013__MH0415__bin.94	XieH_2016__YSZC12003_37394__bin.51	BritoIL_2016__W1.5.ST__bin.20	LiuW_2016__SRR3993044__bin.27	XieH_2016__YSZC12003_37228__bin.62	ZeeviD_2015__PNP_Main_474__bin.41	XieH_2016__YSZC12003_36058__bin.52	XieH_2016__YSZC12003_37182R1__bin.71	LiJ_2017__H2M513938__bin.8	LiuW_2016__SRR3993055__bin.107	LiJ_2017__H3M517925__bin.78	BritoIL_2016__M2.49.ST__bin.104
Bengtsson-PalmeJ_2015__TRAVELRES17__bin.41	1.0	0.8274622446529338	0.94781250535993	0.9454911196679416	0.8481746222321321	0.6336653988645524	0.6163083374783459	0.48691158688232167	0.8604225983225563	0.5058825231977772	0.9142352237449188	0.9247465825086187	0.5690948578975353	0.6005351354132721	0.9422703377184708	0.963507988439703	0.6694750913332076	0.5576739190093134	0.933041074215735	0.5924738006620586	0.9172062329554226	0.641186988662676	0.9582054096701713	0.8426898058418949	0.5223862837246797	0.8417914815704166	0.6885650180951237	0.9107979006226095	0.8868422293878531	0.8009616786443237	0.8503411059465208	0.7700654340256934	0.962072063187143	0.7738050572011732	0.955066098657016	0.9589348961459959	0.561974190864964	0.46647685367819836	0.7624060940260364	0.5402520024698557	0.9490972805859047	0.7418593382844794	0.5565810292780817	0.7987485635387545	0.8683418949282198	0.7340445603142205
LiuW_2016__SRR3992987__bin.37	0.9535366499940087	1.0	0.9606668980826649	0.9507423635808867	0.864012012219753	0.651913073233281	0.626927557321784	0.5040901336489155	0.8679149953860921	0.5031457340190164	0.9273868480770442	0.9432946390960446	0.6136553145178126	0.6392819598052647	0.9544038423291156	0.9588343057334755	0.6901862734077077	0.5826488649292348	0.9448245788496483	0.597622756510428	0.9192380813554883	0.653876609154438	0.9619244505002416	0.8678069051733829	0.5417018217215621	0.8604703591930417	0.703688902779339	0.9319550492953136	0.8977738357448775	0.8191341912196158	0.8724053716512108	0.7988768500411978	0.9567910918840927	0.7800203580194909	0.9473236245674848	0.9574427214521395	0.5784611412597018	0.507741729863411	0.7805879860508036	0.5516912103509658	0.9562926415889138	0.7588217055029653	0.5911163433636933	0.8406639086162105	0.9114710274993855	0.7483486903789828
BritoIL_2016__M2.46.ST__bin.22	0.920718442901638	0.8098191292503689	1.0	0.9197114648666718	0.8216112898170257	0.6191477862624037	0.5986880127960146	0.47310837562050984	0.8355184166598112	0.48968602487350293	0.8887575640503634	0.8969492835044085	0.5517609619503925	0.5877815138826553	0.9204424871836793	0.9288981869188659	0.6449642246841869	0.5479944267358395	0.9100337499049775	0.575827424583385	0.8843578926980035	0.6236698153387643	0.9337227259426492	0.8206897018532769	0.5072404532338366	0.8210114766338401	0.6634386789947714	0.881607186928238	0.8543354725975972	0.7723287226166017	0.8310192971147528	0.7524880271665387	0.9283613749467614	0.745314740513111	0.9265739108340215	0.9287029352316309	0.5500958555616532	0.45615844648385556	0.7386329674403493	0.5167166684543043	0.920885578345911	0.727960249880506	0.5433255683906784	0.776944472502835	0.8546020562345686	0.7134897568361521
LiJ_2014__MH0374__bin.24	0.9294487901878815	0.8110388440263913	0.9307117663857594	1.0	0.8303291325455846	0.6234781848128824	0.6096470937848082	0.4782401372465749	0.8399961431014733	0.4971926836953303	0.8856671960242332	0.9003940148522207	0.5567422485296891	0.5876232547797616	0.925209890099468	0.9304688660823711	0.6551295169708804	0.5494794767685092	0.9118656534755819	0.5802324466330646	0.898405499136413	0.629376815824665	0.9330770146762366	0.8243493591331041	0.5106296544914426	0.8228598164917187	0.6722331758608735	0.8854074349622583	0.8661751053007064	0.7790755878345411	0.8342608506884985	0.7538534736850979	0.9344116490981075	0.7513622966039271	0.9379308055543554	0.9429363432597537	0.5492708248809999	0.4558817175633253	0.7461670753644295	0.5249829021369957	0.9306495923384713	0.7343629636576887	0.5452937934493846	0.7789380672723192	0.8446892298743136	0.7220561905855847
ZeeviD_2015__PNP_Main_666__bin.22	0.9309158935683317	0.8229164583174008	0.928297458040909	0.9270591280509686	1.0	0.6410137245789383	0.6118991452287528	0.48712136810461976	0.8540076594092489	0.5129080459093931	0.9135022089924524	0.914475224575997	0.5691547000652991	0.6064646119997411	0.9440386617800185	0.9320977486513674	0.6675110449622618	0.5663262484778248	0.9110061357633231	0.593657162018272	0.8943542741503762	0.6484213498679311	0.9365522069334714	0.8499573496796814	0.5223917123074118	0.8331990093360081	0.6859630442327943	0.9006147528928683	0.8723149417308382	0.7911975621665186	0.8586856641978504	0.7842840923129416	0.9348014848194274	0.7671651361574708	0.9329378128915741	0.9315694729596969	0.5632754269444133	0.4666998064557878	0.762935400942425	0.5346202944931083	0.9464641413755169	0.738395877331796	0.5575191044021013	0.7947025360762882	0.8637954667121603	0.7438574714536994
BritoIL_2016__W1.41.ST__bin.20	0.9615760637934456	0.8584680528488745	0.9671939407939043	0.9624471722728855	0.8862695084377958	1.0	0.6715091405388347	0.5287905012574544	0.8746433416729837	0.5551262822619214	0.9405263089401269	0.9370589555807878	0.6302717923524647	0.6347151776215404	0.9678430020138792	0.9699829519759766	0.7228484189909782	0.6098092833648375	0.9511105616412953	0.6484194789941666	0.9295614037941614	0.6983931261326037	0.9717625834913963	0.8971091561553453	0.5681595616966038	0.882352367040053	0.7384820101051837	0.9422994335761484	0.904868609837751	0.8329757260864048	0.8908771924116773	0.8171192743528095	0.971367290567953	0.8143302631707373	0.9631922099639845	0.9735267611682451	0.5952420071120191	0.5111828856058067	0.7972106634739579	0.5882218976012389	0.9703416437028048	0.802997719338771	0.5949207299417308	0.8404846649119782	0.9058674158253814	0.7811289110411983
LiJ_2014__O2.UC29-1__bin.21	0.9384796199866147	0.8284283638856695	0.9384755390868579	0.9443593803561809	0.8489487602226539	0.6738373516592938	1.0	0.5215667390346224	0.858903707089339	0.5795840746967892	0.9074860025138343	0.9225322799170761	0.5659750901878846	0.6259586033528672	0.9464365583323812	0.9502987218621962	0.7172075219144317	0.5870088637142717	0.9321836078418569	0.6406025040400908	0.9244274497641239	0.7124736781965688	0.9436468552586474	0.8696136204110282	0.5715283785769086	0.8631094823786748	0.7244853985406703	0.914564731231942	0.8831491487243107	0.8232056283769446	0.872224580075415	0.7889619823378659	0.9492164672466985	0.790380503093322	0.9420544881735525	0.957696576941284	0.6020935015752273	0.46871337392468293	0.7937178629144154	0.5689557793702356	0.943108992670704	0.7856131959974535	0.5614526370774229	0.7962994401005534	0.874037315747376	0.7546097843652568
BritoIL_2016__WL.43.ST__bin.50	0.9458565434232583	0.8497558385306582	0.9460876898889039	0.945046489593203	0.862158616453047	0.6769165894443114	0.6653623897629187	1.0	0.8504846787376488	0.5406265943379528	0.9180075591141468	0.9158595629041159	0.6119342377893235	0.6423164624178753	0.9516154222587799	0.94439573940839	0.6963703757691867	0.6210478639775934	0.9353393792363837	0.6331757650219173	0.910456774569724	0.6794029757504451	0.9489988859156836	0.8704517768083047	0.5421738179773643	0.8738908613850046	0.7169049280009996	0.9175046593713233	0.8904678112928585	0.834374186562269	0.8718480264048395	0.8076392865695574	0.9464406567891466	0.7742407046843601	0.9365898607915205	0.9454348573034995	0.6113605364263923	0.5070510084024864	0.8051893422737733	0.5985402371854274	0.9543870974459356	0.7692658496715014	0.6001863748529305	0.8256405984819299	0.8956050935518466	0.7737055277323699
Bengtsson-PalmeJ_2015__TRAVELRES1__bin.88	0.883697566330151	0.7735347693466266	0.8833716750974508	0.8776091253949092	0.7991502606304124	0.5919693133768993	0.5793079985929426	0.4496588876649618	1.0	0.47070144234395067	0.8819574612852776	0.8639640815014338	0.525173171004268	0.5702458001593124	0.9189648329229416	0.8894584645568512	0.6333910799385871	0.5194056668742021	0.8866971969500544	0.5395905550995648	0.8575585572046459	0.5992881038139733	0.9027522945880586	0.7919498259619709	0.4826806976054151	0.7777377753629531	0.6435085714348627	0.8497889138628736	0.8288129687094873	0.7513521458451345	0.8303306750077206	0.7221430431304936	0.9013011978154277	0.7055699325702414	0.8936719299201732	0.9062726905899458	0.5335648702462956	0.4371500591503597	0.7102414072335743	0.5011854844081414	0.9233379409509308	0.6981190240658565	0.519079775641502	0.7505698967882648	0.8108625272975194	0.7000551042439076
NielsenHB_2014__MH0117__bin.12	0.8322293645125166	0.7182869084464196	0.8292904443209974	0.832051248137273	0.7687899549418477	0.6018129072648555	0.626156654233791	0.4578419702140042	0.7539577987637666	1.0	0.8100600481443272	0.8075858177040622	0.4794390215944061	0.5520461339047166	0.8361602694671498	0.8343561798446332	0.6255623451401564	0.515065823700059	0.8197991341075224	0.5605816116886667	0.8164643017749914	0.814519129875054	0.8377086474618417	0.7794813462776323	0.5050181202550063	0.7398478074932324	0.6388231974534649	0.8056529905033992	0.7888553818480015	0.7296043523882584	0.7742621837773016	0.688968247669938	0.8331287640310734	0.7183389325362185	0.8293107248983766	0.8332416298530099	0.5290144521157932	0.4158514756324454	0.7037333897662443	0.5088008888183477	0.8406652029380385	0.6981562309869587	0.47254891587087444	0.692463561093035	0.7592933541429693	0.6796030297419076
