	QinJ_2012__T2D-001__bin.17	VogtmannE_2016__MMRS92546335ST-27-0-0__bin.22	HMP_2012__SRS019601__bin.44	HMP_2012__SRS056259__bin.23	IjazUZ_2017__S48_a_WGS__bin.4	GeversD_2014__SKBSTL041__bin.6	IjazUZ_2017__S53_a_WGS__bin.7	SchirmerM_2016__G89004__bin.12	IjazUZ_2017__S15_a_WGS__bin.6	Obregon-TitoAJ_2015__NO11__bin.6	HeQ_2017__SZAXPI029473-40__bin.30	IjazUZ_2017__S16_a_WGS__bin.8	LiJ_2014__V1.CD2-0-PN__bin.3	XieH_2016__YSZC12003_37179__bin.52	BackhedF_2015__SID637_12M__bin.22	FengQ_2015__SID31137__bin.39	VatanenT_2016__G80291__bin.7	IjazUZ_2017__S57_a_WGS__bin.4	IjazUZ_2017__S54_a_WGS__bin.1	XieH_2016__YSZC12003_37297R1__bin.7	IjazUZ_2017__S56_a_WGS__bin.17	VogtmannE_2016__MMRS14602194ST-27-0-0__bin.25	Obregon-TitoAJ_2015__NO21__bin.9	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.58	GeversD_2014__SKBSTL016__bin.38	VogtmannE_2016__MMRS39415781ST-27-0-0__bin.25	LiJ_2014__MH0336__bin.26	IjazUZ_2017__S52_a_WGS__bin.9	CosteaPI_2017__pluto3-11-30-0__bin.40	VogtmannE_2016__MMRS65945127ST-27-0-0__bin.30	VogtmannE_2016__MMRS72980899ST-27-0-0__bin.65	FengQ_2015__SID31450__bin.30	FengQ_2015__SID31416__bin.3	RaymondF_2016__P21E90__bin.79	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.30	LoombaR_2017__SID5639_uuc__bin.32	SchirmerM_2016__G89058__bin.13	LiJ_2014__O2.UC7-0__bin.29	VogtmannE_2016__MMRS47685461ST-27-0-0__bin.37	NielsenHB_2014__V1_UC11_5__bin.22	HMP_2012__SRS017521__bin.65	IjazUZ_2017__S14_a_WGS__bin.1
QinJ_2012__T2D-001__bin.17	1.0	0.9178279535420379	0.898502904006715	0.5973583550943924	0.9085164906918659	0.6295100957828014	0.8616114433381968	0.643581763626503	0.8556564499369318	0.8927840003851183	0.8962039733756281	0.921560835112542	0.905544627369924	0.9262754609512114	0.600084910380627	0.8601109161051639	0.6418174918456843	0.8452198477246528	0.9200495532474635	0.6632734949020483	0.9391170037390271	0.6890702723021621	0.5485128648444906	0.8314221669354471	0.9336464809051509	0.8576050868385325	0.8992178309750816	0.9253638778540105	0.9023453803990175	0.7609122386176302	0.7647736636473464	0.9139388737442047	0.9246356356269209	0.5289051221239681	0.40818284103578373	0.829858648286147	0.9134436485447703	0.901810721548749	0.9234065348217061	0.613373026461004	0.8708020446091894	0.928638919374572
VogtmannE_2016__MMRS92546335ST-27-0-0__bin.22	0.6700244016511023	1.0	0.9012482713783625	0.5711586466224443	0.9474319570782173	0.5778510620718635	0.8804767724470328	0.6249899525911846	0.8460628550941204	0.8664556368113133	0.8947513831777029	0.9188666597627728	0.9586386966744292	0.9262869749317617	0.564548853585981	0.8091100743639102	0.6131012976952833	0.81796936540379	0.9373647338380653	0.634601444060327	0.9333091323188597	0.6246224510892139	0.5038815710520973	0.8298509170153195	0.9247507962220995	0.8092125112016926	0.8624501321397823	0.9658960101599398	0.9002130611454457	0.7287708065480318	0.7163303386135661	0.9129298094562661	0.9108844374142698	0.4788294086440989	0.4559530943962937	0.8055150647576528	0.9020217816607403	0.8939031014808853	0.9190188195911574	0.5895617610013987	0.8473896738433516	0.9242969337364509
HMP_2012__SRS019601__bin.44	0.6594684135627011	0.9061281439655633	1.0	0.5906501770025266	0.8900874074486151	0.5942939707880052	0.8316807083408823	0.5894717889772043	0.8768533769556167	0.9219997338760058	0.9415549609947924	0.9717348502902181	0.9008695639099779	0.9062153484382506	0.5667418679949813	0.8403045541032337	0.5838895750811717	0.7913584126380331	0.8860557041122171	0.6467455817026975	0.9075444648840368	0.6384028951884932	0.5089155296882365	0.786316340238775	0.9852643235225795	0.8113895055431223	0.8612606910052345	0.9001854598569997	0.9402108092950947	0.7249409302461948	0.7383610220063493	0.9689777606041767	0.9195824409283667	0.49826681110533927	0.4632707541006776	0.7828661253474083	0.9307412305002154	0.8623537539646084	0.9752700143661851	0.5680766226609844	0.8770394382227727	0.9689751294347421
HMP_2012__SRS056259__bin.23	0.6622713209940401	0.8674179861314959	0.8921889309737306	1.0	0.8536482750671821	0.5793050077302744	0.8149651073068837	0.580847655963894	0.8369283982973524	0.863862570879775	0.8868438847936445	0.9086686383645318	0.8598682645406094	0.8632187125445066	0.5734949527524943	0.8119337495890718	0.5718518081120473	0.7707347650002242	0.8513913642358839	0.6417002175151042	0.8690384197195526	0.6308136745517549	0.4888593771380327	0.7721116225513937	0.9109897079188329	0.7858342081819972	0.8225034733715749	0.8707809252142079	0.870576525742694	0.7212377296442256	0.7261756802102135	0.8979444794257738	0.8705390525062497	0.48217381109060176	0.366611459883481	0.7574862725882707	0.8838539747464452	0.8305664647464851	0.9084807044060009	0.5807965560960155	0.8366672211948625	0.9131268179487717
IjazUZ_2017__S48_a_WGS__bin.4	0.6485386592595814	0.9264494868938682	0.8656876016990575	0.549643397544563	1.0	0.5582666367868088	0.8663880479593653	0.6085254838508021	0.8115803215545521	0.8397743802640858	0.8597802368137153	0.8873897372924389	0.9266074163220795	0.9050621134247692	0.5413623387301085	0.7839956803376765	0.5919948058765833	0.7948961010806833	0.9272080599576149	0.6079189909771847	0.9050617478473889	0.6056787327918157	0.48394841118242715	0.789363087432583	0.8956514205057471	0.7841503195694669	0.8320610631209561	0.9422014850484336	0.8689386813404552	0.70219445133964	0.6906933869610978	0.8693795676608789	0.8833906863313177	0.46020123572466026	0.4139944483419055	0.770505509433907	0.8644113710650622	0.854361283308212	0.8875703325182176	0.5719523915889418	0.8040391913574583	0.8908883128201772
GeversD_2014__SKBSTL041__bin.6	0.730702423922503	0.9188072750964196	0.9398632293286538	0.6065186014770851	0.9077713418838781	1.0	0.8569781100347633	0.6360811112854826	0.8962919502185192	0.9152738742337562	0.9353614721393958	0.9564875712743546	0.9162131025922703	0.9155223536349326	0.6259320949785762	0.8958383861441228	0.6291551938139329	0.8370242630029627	0.9056883949419581	0.6822144626900452	0.9217182885594852	0.6939482782398623	0.5688817000271068	0.8260549080031768	0.9755741181953499	0.8473082190803647	0.8866048202626035	0.9168860180997628	0.9171648143656761	0.7731353344841853	0.7941508662301038	0.9569357853137974	0.9259816719691457	0.5704920605481288	0.40984418320421917	0.8333374944716305	0.9528008027430224	0.8972442564402532	0.9544052187807628	0.6184527461134969	0.9202933959168533	0.9633159992200837
IjazUZ_2017__S53_a_WGS__bin.7	0.6326839361247661	0.8856536441254159	0.8320654005138418	0.5397757357144147	0.8912196373022702	0.5421347300525273	1.0	0.5935238027906306	0.7817161204339377	0.8101737224652376	0.825193367589456	0.8503710160710954	0.8731719956197089	0.8734059019609023	0.5280367962502783	0.7608898067978749	0.5801524076558824	0.7757988916900823	0.906030571784427	0.5919943862478113	0.874879662332505	0.5958233804054176	0.4819452132684312	0.7692265747688012	0.8580463029260104	0.7535601146817972	0.8036333702368847	0.9316369232065175	0.833310895372415	0.6878117497698543	0.6684441542969572	0.8337884854902857	0.8524697802032503	0.4585733819096385	0.39416828621110833	0.7521649498492771	0.8307736508643253	0.8205720251024374	0.8498268641808916	0.559328726406296	0.7858971022689667	0.8558117828627128
SchirmerM_2016__G89004__bin.12	0.7020705328680752	0.93394373326093	0.8761238990063542	0.5715289719292012	0.9299352951495384	0.5977941579039696	0.8817385056989655	1.0	0.8237991166352137	0.8653980448878028	0.8760523895877818	0.8998415619444751	0.9152948590314719	0.9095355574997178	0.5884124573876491	0.815867716514318	0.6504379393220237	0.8206828702539812	0.9214591943793596	0.647177556768981	0.91884239659347	0.6528072474795723	0.5217042258714373	0.8202672217585284	0.9038237426912347	0.8191655297786449	0.8642075248020362	0.9360834291447808	0.8814362666720299	0.7490533382049125	0.7259854053746032	0.8806044110137913	0.8955565835034476	0.5141354008493978	0.4027008213527124	0.8066273588331451	0.886671538245807	0.8778166610241266	0.8962236322985698	0.6236001193313423	0.8390976628710808	0.905736060970718
IjazUZ_2017__S15_a_WGS__bin.6	0.5985916502162144	0.8107827787948596	0.8357640593147775	0.5281028657822235	0.7953525531937762	0.5401854392897704	0.7447404530651581	0.528293822392439	1.0	0.8160858552384092	0.8216561992827484	0.8766445376736255	0.8043056595526671	0.8071094614880284	0.5077095596533403	0.7565210070184616	0.5269356300672468	0.7096714328194582	0.793941695537061	0.5815742993182168	0.80564844637272	0.5675456164172528	0.4538572876995998	0.6954922775427145	0.8709831936686956	0.7230369624643076	0.7599055606708202	0.8132340454498228	0.8143027575854199	0.6477104911489999	0.6664453767362541	0.8480759240616077	0.811410821829959	0.44349905596497574	0.4021159282175114	0.6945378527591975	0.8455945629314885	0.7758330616470992	0.8550764722109766	0.5123433922922316	0.7822933423139069	0.8776294151998596
Obregon-TitoAJ_2015__NO11__bin.6	0.653636617916467	0.8689743710879296	0.9197001499025521	0.5704710719569744	0.8612902717818007	0.5773021739994436	0.8077794100333475	0.5808030247470441	0.8540722276839043	1.0	0.8989548815064944	0.9331340131815261	0.8686894137602894	0.875592879966225	0.5535603543369381	0.8253125344479665	0.5728665882284127	0.7723318433064649	0.8760926801211519	0.6311512351025433	0.8831719949937497	0.6253062353912502	0.5012436887576086	0.7573817070893634	0.9442046053603473	0.7870975071483045	0.8257560930250695	0.8769156818766389	0.8817273363313843	0.7072674616976108	0.7207545670035912	0.9144303140604694	0.8818885621878124	0.4826408495327824	0.43779943953392975	0.7522254792344846	0.9053847936271544	0.8377231759544008	0.9428360602999701	0.5558508863297722	0.8438040153487015	0.9394540667535036
