	QinJ_2012__T2D-001__bin.17	VogtmannE_2016__MMRS92546335ST-27-0-0__bin.22	HMP_2012__SRS019601__bin.44	HMP_2012__SRS056259__bin.23	IjazUZ_2017__S48_a_WGS__bin.4	GeversD_2014__SKBSTL041__bin.6	IjazUZ_2017__S53_a_WGS__bin.7	SchirmerM_2016__G89004__bin.12	IjazUZ_2017__S15_a_WGS__bin.6	Obregon-TitoAJ_2015__NO11__bin.6	HeQ_2017__SZAXPI029473-40__bin.30	IjazUZ_2017__S16_a_WGS__bin.8	LiJ_2014__V1.CD2-0-PN__bin.3	XieH_2016__YSZC12003_37179__bin.52	BackhedF_2015__SID637_12M__bin.22	FengQ_2015__SID31137__bin.39	VatanenT_2016__G80291__bin.7	IjazUZ_2017__S57_a_WGS__bin.4	IjazUZ_2017__S54_a_WGS__bin.1	XieH_2016__YSZC12003_37297R1__bin.7	IjazUZ_2017__S56_a_WGS__bin.17	VogtmannE_2016__MMRS14602194ST-27-0-0__bin.25	Obregon-TitoAJ_2015__NO21__bin.9	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.58	GeversD_2014__SKBSTL016__bin.38	VogtmannE_2016__MMRS39415781ST-27-0-0__bin.25	LiJ_2014__MH0336__bin.26	IjazUZ_2017__S52_a_WGS__bin.9	CosteaPI_2017__pluto3-11-30-0__bin.40	VogtmannE_2016__MMRS65945127ST-27-0-0__bin.30	VogtmannE_2016__MMRS72980899ST-27-0-0__bin.65	FengQ_2015__SID31450__bin.30	FengQ_2015__SID31416__bin.3	RaymondF_2016__P21E90__bin.79	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.30	LoombaR_2017__SID5639_uuc__bin.32	SchirmerM_2016__G89058__bin.13	LiJ_2014__O2.UC7-0__bin.29	VogtmannE_2016__MMRS47685461ST-27-0-0__bin.37	NielsenHB_2014__V1_UC11_5__bin.22	HMP_2012__SRS017521__bin.65	IjazUZ_2017__S14_a_WGS__bin.1
QinJ_2012__T2D-001__bin.17	1.0	0.9898386825966313	0.9894717073283527	0.987831121130692	0.9899305658246361	0.9893014428927391	0.9896914433214683	0.9901488428455607	0.9892841050321127	0.9888291795850903	0.9895020514142772	0.9892427425069446	0.9899798780139588	0.9864695715346139	0.9898661034846885	0.988582545073548	0.9899304181467324	0.9862309063029966	0.9896552161034665	0.987505394479408	0.9862106352358068	0.989534771695492	0.9918865581355291	0.9899714620225377	0.9892382448458014	0.9916392247614908	0.9891015219676409	0.9897530477384072	0.9904616820223393	0.9876348964201556	0.9881887158528887	0.9890843792173675	0.9886816898446792	0.9893929799384387	0.9889753598983524	0.9861002080009152	0.9892765646847669	0.9858950535549023	0.989285724083254	0.9847044943496902	0.989084045173881	0.9893141432382739
VogtmannE_2016__MMRS92546335ST-27-0-0__bin.22	0.9898386825966313	1.0	0.9868648685381548	0.9872521200693001	0.9996248757474874	0.9865143453818542	0.999734690698171	0.9997775261989813	0.9867036455537916	0.9863433687945828	0.9873480073565388	0.9861696420654095	0.9993904314100873	0.9887285780130453	0.9877123488735339	0.9854851716612048	0.999718970297416	0.9886933271153636	0.999423213676413	0.9852506450049482	0.988536783742024	0.9865884364828541	0.9892182061854762	0.999452478413196	0.9863893683065409	0.9893947884945729	0.9885342949150582	0.9996239218221684	0.9871562243259775	0.9893629763770576	0.9850108805677122	0.9862597750674289	0.9880286556376147	0.9860489967303178	0.9883065293811618	0.988245757106806	0.9864511154249342	0.9884614748608895	0.9862902070672237	0.9869052722488023	0.9866692088499319	0.9863442109412277
HMP_2012__SRS019601__bin.44	0.9894717073283527	0.9868648685381548	1.0	0.9980082692393188	0.9867669934914244	0.9997578173462219	0.9868515830060725	0.9871470133911767	0.9997947088894908	0.9997876435444045	0.9981976123045337	0.9998302171673262	0.9867896149945795	0.9856017346598379	0.9931293591946774	0.9991664517616919	0.9871906981946486	0.9857909890353783	0.9868434823598757	0.9984106536687266	0.9857524942423288	0.9943514997096128	0.9959409876390642	0.986361148085228	0.999861914964794	0.9922833256489899	0.9894124307105576	0.986893974046739	0.995606174043908	0.9882611378021185	0.9989285276586829	0.9997339608651004	0.990490125544594	0.9994578965027162	0.9897204914827273	0.9852022037519791	0.9998631130435907	0.9853229181340599	0.9998289060856256	0.9836537072207462	0.99970907900583	0.9998425307404429
HMP_2012__SRS056259__bin.23	0.987831121130692	0.9872521200693001	0.9980082692393188	1.0	0.9869940773554361	0.998091476107746	0.9866875548641706	0.9870299527721631	0.9980310828908686	0.9977624703586343	0.996529919950185	0.9980629932553999	0.9873334124356696	0.9840962638842141	0.9922550679990098	0.9975438510824565	0.9870374998162494	0.9841387910159931	0.9869308189677868	0.996545329979182	0.9841213505339177	0.9921708674468116	0.9938407766900639	0.9866422210581456	0.9979661105502884	0.9904962013431272	0.9872827642608873	0.986930960412567	0.9933318303552341	0.9864414150317027	0.9969568613267273	0.9979296967677778	0.9883441574138236	0.9982133453697435	0.9879236218424394	0.983795478662019	0.9979562556654926	0.9839272177930596	0.9980893638760651	0.982368058143153	0.9977959712656949	0.998050753634125
IjazUZ_2017__S48_a_WGS__bin.4	0.9899305658246361	0.9996248757474874	0.9867669934914244	0.9869940773554361	1.0	0.9863762083590087	0.9997182130149309	0.9998047913219231	0.9864566369322032	0.986482406773183	0.9873363092551785	0.9861348433106073	0.9996095646409119	0.9886617856010428	0.9876388577648302	0.9854127695473989	0.99950128074561	0.9885750631851882	0.9997934412064295	0.9851531017878364	0.9885023004582549	0.9864826805995921	0.9890234025957725	0.9995033088058303	0.9863947988449752	0.9890538261809017	0.9884651080375527	0.9997028777031438	0.9870850953470379	0.9891378178307049	0.9849067521601439	0.986310846557555	0.9880481964757104	0.9859010867488072	0.9886446077382891	0.9881829144560034	0.9863953524267851	0.9882798657269697	0.9862221476600033	0.9867588513994218	0.9865702660064316	0.9862559922619132
GeversD_2014__SKBSTL041__bin.6	0.9893014428927391	0.9865143453818542	0.9997578173462219	0.998091476107746	0.9863762083590087	1.0	0.9862411304821351	0.9865656408265852	0.9996618667211216	0.9997318383810051	0.9979717040666762	0.9997514654220055	0.9863813491040041	0.9852814356853693	0.9927113757596442	0.9993309093995625	0.9865429679853694	0.9853016708721871	0.986407246533508	0.9982742228566309	0.9853044157923834	0.9938769289972365	0.9952297161540717	0.986089458061522	0.9997782524096774	0.992317620947867	0.988923080187325	0.9864915166647906	0.9948281809653073	0.9883338589378735	0.9990054409112255	0.9997534444799822	0.9897367569982	0.9994865615558539	0.9905620799342549	0.9847123306530976	0.9998228450093443	0.9847142783514907	0.9997913898170832	0.982907452528312	0.9996919846263521	0.999772964095629
IjazUZ_2017__S53_a_WGS__bin.7	0.9896914433214683	0.999734690698171	0.9868515830060725	0.9866875548641706	0.9997182130149309	0.9862411304821351	1.0	0.999742825561619	0.9862780692032066	0.986509678725121	0.9873811243326427	0.9861563507261331	0.9995484237016858	0.988283808090019	0.9877104820000873	0.9857454308062195	0.9995257420969974	0.988263428075413	0.9999215601967386	0.985115834911862	0.9884150035645489	0.9868964353096751	0.9891970913345945	0.9994263906240762	0.9863761219219287	0.9893689452929243	0.9884339377848905	0.9998724628790294	0.9872706502745826	0.9890031930051288	0.9850735681232509	0.9862791709407565	0.9876727924373259	0.9858186071967617	0.9885392872704226	0.9882603185426193	0.9865634662755864	0.9882096983541402	0.986420516151336	0.9867572823005615	0.9865912773197473	0.986254262769022
SchirmerM_2016__G89004__bin.12	0.9901488428455607	0.9997775261989813	0.9871470133911767	0.9870299527721631	0.9998047913219231	0.9865656408265852	0.999742825561619	1.0	0.9868712002976852	0.9868860313043124	0.987710550748226	0.9866981702479835	0.9995960991228884	0.9885842322744399	0.9882275119864138	0.9857155874441883	0.9996917465349391	0.9886264293516189	0.9995981942376326	0.985601784653815	0.9885541491584958	0.9871214687523495	0.9892257269006195	0.9994220975205329	0.9867608157718659	0.9893994244245089	0.9886455653730007	0.9997338919613296	0.9875590251523513	0.9892734135896657	0.9854139967999515	0.9867295415591522	0.9883240102567201	0.9864237824975481	0.9888836605037267	0.9885259560961549	0.986640631750786	0.9884625716135226	0.9868102720189167	0.9868639519895039	0.9868927946509356	0.9868520687295933
IjazUZ_2017__S15_a_WGS__bin.6	0.9892841050321127	0.9867036455537916	0.9997947088894908	0.9980310828908686	0.9864566369322032	0.9996618667211216	0.9862780692032066	0.9868712002976852	1.0	0.9998476877062471	0.9981746241418796	0.9998855825421843	0.9868426026784262	0.9853674069421493	0.9930026417024617	0.9991676792683527	0.987153741657315	0.9855955243129637	0.9863437691944773	0.9984887003130242	0.9855157192793007	0.9939252902302078	0.9957718579771889	0.9863329478641008	0.9996492526573326	0.9919358287193023	0.9890521670442156	0.9864387363853926	0.995187577636488	0.9880498119427554	0.9990000273891532	0.9995743541626727	0.9898109025178617	0.9995042442025235	0.9897915810526947	0.9850519735835883	0.9996209437272964	0.985014048476683	0.9998357833177635	0.9836358521414534	0.9997678626699364	0.9998918328936579
Obregon-TitoAJ_2015__NO11__bin.6	0.9888291795850903	0.9863433687945828	0.9997876435444045	0.9977624703586343	0.986482406773183	0.9997318383810051	0.986509678725121	0.9868860313043124	0.9998476877062471	1.0	0.998142407642856	0.9998240375900702	0.9866249904184374	0.985128560562949	0.9928067036115767	0.9991380179041716	0.9864226488037017	0.9852753505618365	0.9865177979590717	0.9983701744292942	0.9851677644910518	0.9940377985571032	0.9958144284895964	0.9860141293805302	0.9997078196357908	0.9918900210498464	0.9891311475262582	0.9866630442211165	0.9951643044672737	0.9878416126136789	0.9989113461633397	0.999612671741145	0.9899696365903078	0.9995216837972716	0.9899129998355288	0.9848577449792129	0.999761933941016	0.9849241468448667	0.999819884941069	0.9834924842806099	0.9996992658889337	0.9998351954649622
