	QinJ_2012__T2D-001__bin.17	VogtmannE_2016__MMRS92546335ST-27-0-0__bin.22	HMP_2012__SRS019601__bin.44	HMP_2012__SRS056259__bin.23	IjazUZ_2017__S48_a_WGS__bin.4	GeversD_2014__SKBSTL041__bin.6	IjazUZ_2017__S53_a_WGS__bin.7	SchirmerM_2016__G89004__bin.12	IjazUZ_2017__S15_a_WGS__bin.6	Obregon-TitoAJ_2015__NO11__bin.6	HeQ_2017__SZAXPI029473-40__bin.30	IjazUZ_2017__S16_a_WGS__bin.8	LiJ_2014__V1.CD2-0-PN__bin.3	XieH_2016__YSZC12003_37179__bin.52	BackhedF_2015__SID637_12M__bin.22	FengQ_2015__SID31137__bin.39	VatanenT_2016__G80291__bin.7	IjazUZ_2017__S57_a_WGS__bin.4	IjazUZ_2017__S54_a_WGS__bin.1	XieH_2016__YSZC12003_37297R1__bin.7	IjazUZ_2017__S56_a_WGS__bin.17	VogtmannE_2016__MMRS14602194ST-27-0-0__bin.25	Obregon-TitoAJ_2015__NO21__bin.9	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.58	GeversD_2014__SKBSTL016__bin.38	VogtmannE_2016__MMRS39415781ST-27-0-0__bin.25	LiJ_2014__MH0336__bin.26	IjazUZ_2017__S52_a_WGS__bin.9	CosteaPI_2017__pluto3-11-30-0__bin.40	VogtmannE_2016__MMRS65945127ST-27-0-0__bin.30	VogtmannE_2016__MMRS72980899ST-27-0-0__bin.65	FengQ_2015__SID31450__bin.30	FengQ_2015__SID31416__bin.3	RaymondF_2016__P21E90__bin.79	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.30	LoombaR_2017__SID5639_uuc__bin.32	SchirmerM_2016__G89058__bin.13	LiJ_2014__O2.UC7-0__bin.29	VogtmannE_2016__MMRS47685461ST-27-0-0__bin.37	NielsenHB_2014__V1_UC11_5__bin.22	HMP_2012__SRS017521__bin.65	IjazUZ_2017__S14_a_WGS__bin.1
QinJ_2012__T2D-001__bin.17	1952647.0	1810592.0	1773127.0	1180799.0	1792057.0	1242504.0	1699947.0	1269191.0	1688893.0	1762986.0	1768536.0	1819051.0	1786106.0	1833497.0	1183750.0	1698890.0	1265991.0	1673458.0	1815311.0	1311526.0	1859404.0	1359741.0	1079813.0	1639920.0	1842915.0	1688719.0	1775202.0	1825616.0	1778930.0	1504395.0	1511182.0	1804295.0	1826156.0	1043837.0	805922.0	1643262.0	1802967.0	1786111.0	1822615.0	1216305.0	1719135.0	1832890.0
VogtmannE_2016__MMRS92546335ST-27-0-0__bin.22	1810592.0	2674819.0	2442762.0	1547473.0	2535160.0	1566776.0	2355741.0	1672107.0	2293561.0	2349701.0	2423966.0	2492271.0	2565749.0	2505895.0	1528852.0	2196099.0	1640396.0	2212941.0	2508728.0	1722855.0	2525382.0	1693464.0	1362482.0	2220917.0	2507672.0	2187698.0	2333655.0	2584569.0	2439236.0	1970288.0	1945211.0	2475942.0	2465972.0	1298903.0	1234022.0	2180234.0	2445884.0	2418940.0	2492379.0	1597895.0	2297238.0	2506556.0
HMP_2012__SRS019601__bin.44	1773127.0	2442762.0	2660414.0	1574510.0	2399757.0	1581451.0	2242095.0	1588658.0	2333272.0	2453422.0	2509449.0	2585656.0	2428771.0	2446128.0	1518199.0	2237423.0	1573544.0	2135687.0	2388702.0	1723350.0	2449341.0	1708064.0	1359444.0	2120853.0	2621573.0	2175419.0	2315829.0	2426670.0	2512389.0	1951552.0	1966453.0	2578568.0	2469959.0	1326315.0	1245293.0	2114031.0	2476496.0	2328392.0	2595066.0	1536434.0	2333967.0	2578281.0
HMP_2012__SRS056259__bin.23	1180799.0	1547473.0	1574510.0	1761257.0	1523306.0	1022256.0	1454729.0	1036465.0	1476954.0	1524896.0	1567399.0	1603505.0	1533878.0	1544920.0	1017956.0	1433545.0	1020405.0	1379340.0	1519376.0	1134117.0	1555296.0	1119792.0	866343.0	1378298.0	1607757.0	1397336.0	1467300.0	1553978.0	1543602.0	1287745.0	1282886.0	1584792.0	1551325.0	850752.0	653590.0	1356103.0	1559882.0	1486737.0	1603131.0	1041292.0	1476841.0	1611392.0
IjazUZ_2017__S48_a_WGS__bin.4	1792057.0	2535160.0	2399757.0	1523306.0	2735399.0	1548174.0	2370585.0	1664885.0	2250475.0	2328595.0	2382007.0	2461494.0	2535631.0	2504098.0	1499376.0	2176287.0	1620150.0	2199487.0	2536808.0	1687962.0	2504501.0	1679475.0	1338484.0	2160296.0	2483756.0	2168703.0	2302579.0	2578063.0	2407993.0	1941875.0	1918275.0	2411106.0	2445656.0	1276836.0	1145447.0	2132844.0	2397122.0	2364734.0	2461777.0	1585512.0	2229307.0	2470895.0
GeversD_2014__SKBSTL041__bin.6	1242504.0	1566776.0	1581451.0	1022256.0	1548174.0	1682232.0	1461748.0	1084607.0	1508281.0	1540116.0	1576693.0	1609434.0	1562563.0	1563128.0	1060694.0	1508017.0	1072822.0	1429074.0	1544573.0	1149627.0	1573670.0	1174574.0	961578.0	1409219.0	1641506.0	1436404.0	1508181.0	1563536.0	1550905.0	1315945.0	1337276.0	1610185.0	1573869.0	960193.0	696022.0	1423631.0	1603116.0	1532803.0	1605866.0	1058473.0	1548624.0	1620889.0
IjazUZ_2017__S53_a_WGS__bin.7	1699947.0	2355741.0	2242095.0	1454729.0	2370585.0	1461748.0	2659184.0	1578695.0	2107648.0	2183862.0	2222385.0	2293037.0	2322974.0	2350081.0	1421618.0	2052605.0	1543464.0	2087492.0	2409491.0	1598007.0	2353734.0	1605441.0	1295577.0	2046689.0	2313218.0	2025387.0	2162015.0	2477710.0	2244498.0	1849355.0	1804450.0	2248042.0	2295167.0	1236973.0	1060318.0	2023905.0	2239268.0	2208086.0	2290956.0	1507319.0	2118248.0	2307479.0
SchirmerM_2016__G89004__bin.12	1269191.0	1672107.0	1588658.0	1036465.0	1664885.0	1084607.0	1578695.0	1789974.0	1494196.0	1569624.0	1587622.0	1632407.0	1639016.0	1646845.0	1065790.0	1481545.0	1164626.0	1485901.0	1650051.0	1175354.0	1663747.0	1183753.0	944008.0	1469106.0	1639527.0	1481995.0	1564675.0	1676011.0	1597624.0	1355324.0	1318730.0	1597458.0	1621961.0	932955.0	728927.0	1460601.0	1608609.0	1589609.0	1625659.0	1131086.0	1521911.0	1642844.0
IjazUZ_2017__S15_a_WGS__bin.6	1688893.0	2293561.0	2333272.0	1476954.0	2250475.0	1508281.0	2107648.0	1494196.0	2791210.0	2278214.0	2297609.0	2447179.0	2274918.0	2286266.0	1427110.0	2113368.0	1489928.0	2009792.0	2246740.0	1625753.0	2281784.0	1593821.0	1272190.0	1968164.0	2431950.0	2034555.0	2144534.0	2301113.0	2283881.0	1829762.0	1862051.0	2368166.0	2288132.0	1238513.0	1133966.0	1968019.0	2361127.0	2198459.0	2387090.0	1453849.0	2184052.0	2449913.0
Obregon-TitoAJ_2015__NO11__bin.6	1762986.0	2349701.0	2453422.0	1524896.0	2328595.0	1540116.0	2183862.0	1569624.0	2278214.0	2667066.0	2402034.0	2489168.0	2348260.0	2370517.0	1487079.0	2203062.0	1548903.0	2090644.0	2368530.0	1686070.0	2390941.0	1677736.0	1342469.0	2048639.0	2518992.0	2116405.0	2226546.0	2370406.0	2363052.0	1909546.0	1924395.0	2439791.0	2375886.0	1287851.0	1179538.0	2037081.0	2415296.0	2268462.0	2515059.0	1507374.0	2251158.0	2505999.0
HeQ_2017__SZAXPI029473-40__bin.30	1768536.0	2423966.0	2509449.0	1567399.0	2382007.0	1576693.0	2222385.0	1587622.0	2297609.0	2402034.0	2627822.0	2523910.0	2402573.0	2429901.0	1506904.0	2223956.0	1565970.0	2130904.0	2385964.0	1717897.0	2438318.0	1693768.0	1356868.0	2115001.0	2557456.0	2145146.0	2286781.0	2422010.0	2426341.0	1934120.0	1949704.0	2514510.0	2439862.0	1313179.0	1239515.0	2100823.0	2455938.0	2316783.0	2543802.0	1533317.0	2318060.0	2530013.0
IjazUZ_2017__S16_a_WGS__bin.8	1819051.0	2492271.0	2585656.0	1603505.0	2461494.0	1609434.0	2293037.0	1632407.0	2447179.0	2489168.0	2523910.0	2764146.0	2469855.0	2501514.0	1550337.0	2306263.0	1620763.0	2190669.0	2449790.0	1767921.0	2501581.0	1729949.0	1382948.0	2141252.0	2702194.0	2219380.0	2337642.0	2504607.0	2519923.0	1990589.0	2010580.0	2613132.0	2522879.0	1347103.0	1235466.0	2146945.0	2574745.0	2388818.0	2642239.0	1568926.0	2358744.0	2713590.0
LiJ_2014__V1.CD2-0-PN__bin.3	1786106.0	2565749.0	2428771.0	1533878.0	2535631.0	1562563.0	2322974.0	1639016.0	2274918.0	2348260.0	2402573.0	2469855.0	2611664.0	2494619.0	1510521.0	2179811.0	1614849.0	2173426.0	2502739.0	1702951.0	2487684.0	1665408.0	1338142.0	2158970.0	2493392.0	2154053.0	2288586.0	2536335.0	2388070.0	1925487.0	1931003.0	2454840.0	2431311.0	1287389.0	1222316.0	2140584.0	2430067.0	2386690.0	2473875.0	1565709.0	2268617.0	2484736.0
XieH_2016__YSZC12003_37179__bin.52	1833497.0	2505895.0	2446128.0	1544920.0	2504098.0	1563128.0	2350081.0	1646845.0	2286266.0	2370517.0	2429901.0	2501514.0	2494619.0	2965285.0	1525441.0	2203182.0	1615179.0	2315749.0	2493748.0	1708031.0	2657745.0	1714938.0	1375018.0	2178575.0	2525658.0	2193414.0	2352922.0	2544340.0	2455882.0	1998148.0	1940208.0	2447086.0	2517216.0	1307579.0	1237528.0	2257728.0	2440135.0	2523157.0	2506571.0	1664984.0	2278159.0	2510940.0
BackhedF_2015__SID637_12M__bin.22	1183750.0	1528852.0	1518199.0	1017956.0	1499376.0	1060694.0	1421618.0	1065790.0	1427110.0	1487079.0	1506904.0	1550337.0	1510521.0	1525441.0	1660641.0	1436412.0	1047294.0	1391129.0	1510395.0	1123479.0	1533474.0	1154847.0	916037.0	1374631.0	1566299.0	1414874.0	1470652.0	1524803.0	1520379.0	1284397.0	1265370.0	1538894.0	1537993.0	901753.0	676676.0	1363150.0	1532987.0	1490039.0	1543629.0	1031945.0	1470248.0	1562998.0
FengQ_2015__SID31137__bin.39	1698890.0	2196099.0	2237423.0	1433545.0	2176287.0	1508017.0	2052605.0	1481545.0	2113368.0	2203062.0	2223956.0	2306263.0	2179811.0	2203182.0	1436412.0	2432085.0	1461134.0	1998757.0	2178503.0	1621304.0	2227157.0	1593677.0	1285499.0	1949418.0	2344794.0	2008989.0	2117891.0	2197023.0	2222093.0	1805292.0	1847613.0	2292732.0	2230042.0	1264501.0	1063107.0	1960914.0	2271627.0	2143976.0	2299781.0	1454806.0	2154785.0	2314251.0
VatanenT_2016__G80291__bin.7	1265991.0	1640396.0	1573544.0	1020405.0	1620150.0	1072822.0	1543464.0	1164626.0	1489928.0	1548903.0	1565970.0	1620763.0	1614849.0	1615179.0	1047294.0	1461134.0	2047750.0	1490863.0	1636883.0	1149414.0	1644262.0	1199808.0	961124.0	1463846.0	1615239.0	1457339.0	1542829.0	1660480.0	1568294.0	1320287.0	1319241.0	1583872.0	1593984.0	947476.0	698778.0	1456823.0	1596366.0	1570251.0	1605977.0	1080852.0	1515262.0	1627506.0
IjazUZ_2017__S57_a_WGS__bin.4	1673458.0	2212941.0	2135687.0	1379340.0	2199487.0	1429074.0	2087492.0	1485901.0	2009792.0	2090644.0	2130904.0	2190669.0	2173426.0	2315749.0	1391129.0	1998757.0	1490863.0	2456244.0	2197774.0	1527099.0	2401945.0	1556081.0	1254059.0	1947607.0	2202471.0	1958886.0	2110797.0	2241672.0	2157767.0	1785770.0	1743915.0	2153621.0	2196480.0	1198332.0	1004180.0	2021447.0	2157001.0	2239676.0	2180395.0	1527476.0	2045342.0	2200991.0
