	HMP_2012__SRS049995__bin.33	XieH_2016__YSZC12003_37798__bin.54	NielsenHB_2014__V1_UC40_0__bin.36	RaymondF_2016__P13E7__bin.15	XieH_2016__YSZC12003_37126__bin.6	QinN_2014__HD-33__bin.90	NielsenHB_2014__V1_CD34_0__bin.57	XieH_2016__YSZC12003_35515__bin.86	LeChatelierE_2013__MH0149__bin.28	CosteaPI_2017__donald2-11-0-0__bin.26	XieH_2016__YSZC12003_37228__bin.59	NielsenHB_2014__MH0024__bin.6	RaymondF_2016__P15E90__bin.17	ZeeviD_2015__PNP_DietIntervention_28__bin.85	ZeeviD_2015__PNP_Main_252__bin.56	HeQ_2017__SZAXPI029560-51__bin.79	NielsenHB_2014__MH0145__bin.35	ZeeviD_2015__PNP_Main_162__bin.52	FengQ_2015__SID532915__bin.5	LiJ_2014__MH0376__bin.6	ZeeviD_2015__PNP_Main_259__bin.30	QinN_2014__HV-8__bin.27	LeChatelierE_2013__MH0024__bin.13	ZeeviD_2015__PNP_Main_27__bin.49	ZeeviD_2015__PNP_Main_536__bin.28	ZellerG_2014__CCIS21126322ST-4-0__bin.18	KarlssonFH_2013__S487__bin.24	XieH_2016__YSZC12003_37332__bin.97	RaymondF_2016__P3E90__bin.26	LeChatelierE_2013__MH0435__bin.9	XieH_2016__YSZC12003_35519__bin.35	NielsenHB_2014__MH0149__bin.40	LeChatelierE_2013__MH0253__bin.35	ZeeviD_2015__PNP_Validation_57__bin.41	LeChatelierE_2013__MH0429__bin.10	XieH_2016__YSZC12003_37877__bin.22	ZeeviD_2015__PNP_Main_506__bin.17	XieH_2016__YSZC12003_36005__bin.68	KarlssonFH_2013__S54__bin.4	ZeeviD_2015__PNP_Main_616__bin.34	LiJ_2014__MH0389__bin.18	XieH_2016__YSZC12003_35550__bin.52	LiJ_2014__MH0293__bin.70	LeChatelierE_2013__MH0145__bin.8
HMP_2012__SRS049995__bin.33	1124650.0	933944.0	859369.0	408388.0	981679.0	1007821.0	1005070.0	766674.0	993909.0	982035.0	996433.0	911611.0	967249.0	796932.0	1002292.0	1004100.0	599689.0	740833.0	726549.0	943614.0	863917.0	1011904.0	964637.0	732655.0	973374.0	996123.0	850338.0	992116.0	793157.0	757905.0	988709.0	993432.0	428354.0	940670.0	851698.0	705277.0	980067.0	1029040.0	1007515.0	972104.0	753505.0	927263.0	1000221.0	817982.0
XieH_2016__YSZC12003_37798__bin.54	933944.0	1220381.0	853620.0	390608.0	926360.0	949892.0	966450.0	725685.0	963084.0	995931.0	1007856.0	891276.0	937101.0	770527.0	945041.0	977925.0	590924.0	682218.0	736984.0	893076.0	824660.0	953602.0	923818.0	681329.0	935980.0	949519.0	810190.0	928136.0	814094.0	731205.0	937787.0	963198.0	419483.0	880169.0	813234.0	680755.0	907733.0	974887.0	931417.0	921155.0	716523.0	891863.0	972617.0	799420.0
NielsenHB_2014__V1_UC40_0__bin.36	859369.0	853620.0	1013038.0	363280.0	853674.0	850300.0	861968.0	703105.0	883421.0	856785.0	874205.0	812415.0	863077.0	730469.0	905343.0	865516.0	567997.0	611114.0	654691.0	827346.0	741338.0	853752.0	834499.0	664077.0	867532.0	901735.0	714584.0	879373.0	729681.0	665319.0	892521.0	883701.0	394426.0	812034.0	738637.0	607404.0	835754.0	872231.0	886896.0	911092.0	681134.0	859399.0	880718.0	688338.0
RaymondF_2016__P13E7__bin.15	408388.0	390608.0	363280.0	862441.0	408048.0	459305.0	412945.0	325080.0	411910.0	459586.0	410576.0	409692.0	404119.0	296851.0	402019.0	406563.0	209942.0	321789.0	300816.0	390815.0	333943.0	462539.0	436288.0	313159.0	394773.0	428267.0	379362.0	395465.0	377250.0	415693.0	397783.0	411847.0	300951.0	442478.0	419678.0	291281.0	395835.0	443294.0	397450.0	400264.0	378542.0	367987.0	412264.0	418475.0
XieH_2016__YSZC12003_37126__bin.6	981679.0	926360.0	853674.0	408048.0	1184004.0	966990.0	998058.0	741736.0	1018395.0	958173.0	986081.0	887070.0	969085.0	772497.0	967010.0	972656.0	579239.0	714937.0	717689.0	909126.0	839752.0	971087.0	937917.0	700068.0	955366.0	962849.0	862181.0	952140.0	821761.0	740449.0	964538.0	1017553.0	414382.0	916177.0	830836.0	693357.0	931413.0	990118.0	947678.0	959315.0	720359.0	897221.0	1019560.0	799395.0
QinN_2014__HD-33__bin.90	1007821.0	949892.0	850300.0	459305.0	966990.0	1249095.0	1009812.0	739669.0	989631.0	1058274.0	1010259.0	928924.0	969260.0	785898.0	999630.0	1097723.0	603585.0	723292.0	748358.0	924146.0	867714.0	1235424.0	980912.0	720939.0	992308.0	1017765.0	851151.0	979855.0	787535.0	735221.0	988401.0	989651.0	415600.0	1005120.0	853065.0	707576.0	945789.0	1027430.0	983234.0	967548.0	749626.0	933880.0	991414.0	901390.0
NielsenHB_2014__V1_CD34_0__bin.57	1005070.0	966450.0	861968.0	412945.0	998058.0	1009812.0	1151359.0	751462.0	1021766.0	992483.0	1034780.0	928499.0	972978.0	781475.0	989758.0	1022283.0	612834.0	724932.0	759939.0	940864.0	884217.0	1013681.0	984074.0	722906.0	980742.0	991232.0	879961.0	989655.0	819157.0	759181.0	995275.0	1021270.0	426153.0	941648.0	855900.0	724844.0	958708.0	1030795.0	993650.0	965829.0	758684.0	926209.0	1016123.0	838454.0
XieH_2016__YSZC12003_35515__bin.86	766674.0	725685.0	703105.0	325080.0	741736.0	739669.0	751462.0	885143.0	761831.0	742195.0	756014.0	731024.0	742862.0	611544.0	750745.0	740842.0	499002.0	503996.0	532282.0	730115.0	655230.0	743554.0	761092.0	590089.0	742562.0	777570.0	651052.0	746990.0	623957.0	593079.0	756892.0	761617.0	381723.0	698702.0	637247.0	495986.0	730169.0	797712.0	737981.0	743571.0	549029.0	709171.0	757224.0	569826.0
LeChatelierE_2013__MH0149__bin.28	993909.0	963084.0	883421.0	411910.0	1018395.0	989631.0	1021766.0	761831.0	1103285.0	995825.0	1018882.0	914847.0	992519.0	782222.0	989039.0	1002190.0	594847.0	722318.0	734705.0	931149.0	856652.0	994295.0	966317.0	718110.0	973152.0	976144.0	877579.0	970710.0	861987.0	752628.0	992906.0	1104270.0	430873.0	938164.0	853581.0	711343.0	952078.0	1005510.0	979422.0	978796.0	746284.0	920678.0	1098329.0	810695.0
CosteaPI_2017__donald2-11-0-0__bin.26	982035.0	995931.0	856785.0	459586.0	958173.0	1058274.0	992483.0	742195.0	995825.0	1229415.0	1023702.0	916308.0	1004141.0	789197.0	1000707.0	998798.0	609106.0	726242.0	754489.0	955878.0	853917.0	1063012.0	968936.0	716798.0	985082.0	983272.0	837501.0	976993.0	791869.0	727534.0	985509.0	993706.0	425437.0	987573.0	848803.0	695342.0	952812.0	1014247.0	977758.0	978724.0	732667.0	908829.0	994808.0	882338.0
