	HMP_2012__SRS049995__bin.33	XieH_2016__YSZC12003_37798__bin.54	NielsenHB_2014__V1_UC40_0__bin.36	RaymondF_2016__P13E7__bin.15	XieH_2016__YSZC12003_37126__bin.6	QinN_2014__HD-33__bin.90	NielsenHB_2014__V1_CD34_0__bin.57	XieH_2016__YSZC12003_35515__bin.86	LeChatelierE_2013__MH0149__bin.28	CosteaPI_2017__donald2-11-0-0__bin.26	XieH_2016__YSZC12003_37228__bin.59	NielsenHB_2014__MH0024__bin.6	RaymondF_2016__P15E90__bin.17	ZeeviD_2015__PNP_DietIntervention_28__bin.85	ZeeviD_2015__PNP_Main_252__bin.56	HeQ_2017__SZAXPI029560-51__bin.79	NielsenHB_2014__MH0145__bin.35	ZeeviD_2015__PNP_Main_162__bin.52	FengQ_2015__SID532915__bin.5	LiJ_2014__MH0376__bin.6	ZeeviD_2015__PNP_Main_259__bin.30	QinN_2014__HV-8__bin.27	LeChatelierE_2013__MH0024__bin.13	ZeeviD_2015__PNP_Main_27__bin.49	ZeeviD_2015__PNP_Main_536__bin.28	ZellerG_2014__CCIS21126322ST-4-0__bin.18	KarlssonFH_2013__S487__bin.24	XieH_2016__YSZC12003_37332__bin.97	RaymondF_2016__P3E90__bin.26	LeChatelierE_2013__MH0435__bin.9	XieH_2016__YSZC12003_35519__bin.35	NielsenHB_2014__MH0149__bin.40	LeChatelierE_2013__MH0253__bin.35	ZeeviD_2015__PNP_Validation_57__bin.41	LeChatelierE_2013__MH0429__bin.10	XieH_2016__YSZC12003_37877__bin.22	ZeeviD_2015__PNP_Main_506__bin.17	XieH_2016__YSZC12003_36005__bin.68	KarlssonFH_2013__S54__bin.4	ZeeviD_2015__PNP_Main_616__bin.34	LiJ_2014__MH0389__bin.18	XieH_2016__YSZC12003_35550__bin.52	LiJ_2014__MH0293__bin.70	LeChatelierE_2013__MH0145__bin.8
HMP_2012__SRS049995__bin.33	0.0	7505.0	7021.0	3531.0	6588.0	8589.0	7198.0	4310.0	6436.0	9025.0	8671.0	9784.0	7833.0	7463.0	9255.0	9204.0	4004.0	7424.0	5677.0	18916.0	8581.0	8720.0	10185.0	7016.0	7659.0	9846.0	5734.0	9982.0	5311.0	4510.0	9726.0	6413.0	3237.0	10032.0	7019.0	5414.0	15768.0	8868.0	9715.0	8832.0	8107.0	8753.0	6419.0	6987.0
XieH_2016__YSZC12003_37798__bin.54	7505.0	0.0	6436.0	3158.0	7038.0	8388.0	6289.0	6432.0	7959.0	8232.0	5482.0	8323.0	8002.0	6614.0	8262.0	8987.0	3815.0	7412.0	5490.0	18814.0	7493.0	8399.0	8736.0	6339.0	8354.0	8727.0	6177.0	9271.0	5860.0	5684.0	8668.0	7974.0	3652.0	9613.0	7181.0	3424.0	15556.0	7920.0	8843.0	7909.0	7278.0	8750.0	8072.0	6002.0
NielsenHB_2014__V1_UC40_0__bin.36	7021.0	6436.0	0.0	3325.0	6831.0	8333.0	6974.0	6021.0	7151.0	7969.0	6888.0	8437.0	7164.0	4160.0	4906.0	8876.0	4699.0	6623.0	5849.0	16716.0	6296.0	8369.0	8732.0	4347.0	7628.0	5449.0	5494.0	8644.0	5566.0	5624.0	7706.0	7221.0	2752.0	9051.0	7502.0	4874.0	14227.0	7297.0	8254.0	3064.0	6822.0	4347.0	7161.0	6201.0
RaymondF_2016__P13E7__bin.15	3531.0	3158.0	3325.0	0.0	2839.0	4638.0	3170.0	4470.0	2851.0	4046.0	3661.0	5159.0	3224.0	3142.0	3707.0	3942.0	1796.0	3772.0	2730.0	7861.0	2778.0	4696.0	5603.0	3168.0	3548.0	4978.0	3788.0	4261.0	2570.0	4583.0	4023.0	2853.0	3493.0	5200.0	2370.0	2382.0	6285.0	5068.0	4166.0	3947.0	4141.0	3220.0	2951.0	3796.0
XieH_2016__YSZC12003_37126__bin.6	6588.0	7038.0	6831.0	2839.0	0.0	8278.0	6771.0	5046.0	5241.0	7617.0	7517.0	9191.0	7507.0	7219.0	9006.0	8596.0	3978.0	7391.0	5451.0	18301.0	7857.0	8490.0	9442.0	6910.0	7205.0	9626.0	5370.0	10108.0	4352.0	4166.0	10552.0	5179.0	3186.0	9606.0	6862.0	5343.0	15416.0	7983.0	9665.0	8696.0	8287.0	8726.0	5135.0	6964.0
QinN_2014__HD-33__bin.90	8589.0	8388.0	8333.0	4638.0	8278.0	0.0	8457.0	6939.0	9267.0	10454.0	9219.0	9504.0	8797.0	7209.0	9234.0	2502.0	4855.0	7841.0	6884.0	19385.0	8556.0	187.0	9950.0	7116.0	9079.0	10624.0	7226.0	10537.0	6871.0	6239.0	10229.0	9298.0	3554.0	11661.0	8610.0	7092.0	16731.0	9714.0	9910.0	9533.0	8333.0	9072.0	9313.0	9762.0
NielsenHB_2014__V1_CD34_0__bin.57	7198.0	6289.0	6974.0	3170.0	6771.0	8457.0	0.0	6007.0	7500.0	8181.0	7270.0	9283.0	7806.0	7016.0	8797.0	9094.0	4219.0	7417.0	5905.0	19152.0	8157.0	8562.0	9669.0	7064.0	8199.0	8849.0	5945.0	9716.0	5333.0	5187.0	9918.0	7411.0	3027.0	9998.0	6945.0	4607.0	16241.0	8206.0	9737.0	8246.0	8043.0	8373.0	7374.0	6806.0
XieH_2016__YSZC12003_35515__bin.86	4310.0	6432.0	6021.0	4470.0	5046.0	6939.0	6007.0	0.0	5213.0	7231.0	7023.0	8419.0	6691.0	6035.0	7363.0	7194.0	3419.0	5292.0	4744.0	14810.0	5947.0	7047.0	8728.0	6325.0	5359.0	8635.0	5541.0	7785.0	4164.0	4551.0	7792.0	5187.0	3509.0	7549.0	6421.0	4113.0	12383.0	8266.0	7448.0	6778.0	6071.0	7253.0	5190.0	5607.0
LeChatelierE_2013__MH0149__bin.28	6436.0	7959.0	7151.0	2851.0	5241.0	9267.0	7500.0	5213.0	0.0	8205.0	7518.0	9766.0	7535.0	6981.0	8831.0	9412.0	4656.0	7538.0	5973.0	18978.0	7576.0	9548.0	10000.0	7022.0	7537.0	8874.0	6336.0	10006.0	1865.0	3999.0	10042.0	49.0	3137.0	9732.0	6992.0	4993.0	15302.0	7363.0	10043.0	8171.0	8543.0	8404.0	152.0	6946.0
CosteaPI_2017__donald2-11-0-0__bin.26	9025.0	8232.0	7969.0	4046.0	7617.0	10454.0	8181.0	7231.0	8205.0	0.0	8420.0	9115.0	8464.0	7139.0	9076.0	8939.0	5107.0	8046.0	6372.0	19989.0	7346.0	10671.0	9462.0	6087.0	8484.0	9422.0	7279.0	9503.0	5931.0	5889.0	9641.0	7988.0	3946.0	11642.0	7884.0	6079.0	16618.0	8625.0	9608.0	8907.0	7734.0	8577.0	8015.0	8453.0
