	Bengtsson-PalmeJ_2015__TRAVELRES38__bin.55	LiJ_2017__nHM612836__bin.3	LiJ_2014__V1.FI20__bin.60	FerrettiP_2018__CA_C10055MS2958FE_t0M16__bin.33	QinN_2014__LD-11__bin.70	Bengtsson-PalmeJ_2015__TRAVELRES32__bin.14	LiJ_2014__O2.UC32-1__bin.49	WenC_2017__RA070__bin.15	LiJ_2017__H1M512854__bin.8	WenC_2017__N310__bin.77	QinN_2014__HD-6__bin.17	WenC_2017__RA040__bin.13	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.82	LiJ_2017__nHM511615__bin.9	LiJ_2014__MH0327__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.8	LiJ_2017__nHF512818__bin.30	LiJ_2017__H1M412743__bin.8	LiJ_2017__nHM512834__bin.36	Bengtsson-PalmeJ_2015__TRAVELRES31__bin.89	LouisS_2016__AS53_12__bin.8	ChengpingW_2017__AS71raw__bin.15	RaymondF_2016__P15E90__bin.53	ZeeviD_2015__PNP_Main_716__bin.31	QinJ_2012__T2D-048__bin.26	LiuW_2016__SRR3993026__bin.33	WenC_2017__RA051__bin.40	LiJ_2017__H2F514923__bin.31	ChengpingW_2017__AS42raw__bin.92	WenC_2017__N274__bin.13	ChengpingW_2017__AS68raw__bin.70	LiJ_2017__H2M411920__bin.37	WenC_2017__RA070__bin.9
Bengtsson-PalmeJ_2015__TRAVELRES38__bin.55	1.0	0.8634701183083159	0.869337491149535	0.6724901988978061	0.9228028187922208	0.8926270770056908	0.5615702752486137	0.37771093409802264	0.6587240201794012	0.8736300093291909	0.8236046930805206	0.6559095893043448	0.8723202427088863	0.889979603894409	0.7109041137711534	0.8397505310279079	0.6557037883057331	0.6934669086304898	0.8096313504429833	0.8106801177835914	0.6492803438921058	0.909444834769738	0.8787068882684572	0.7711935844605254	0.8763258661189545	0.6411041836889761	0.8042907463829794	0.8353632898720694	0.8594283775044517	0.8814075152800427	0.7349821491484814	0.7143073263111125	0.5385628139402237
LiJ_2017__nHM612836__bin.3	0.687034067908086	1.0	0.8222782029044285	0.613181137209122	0.8620626833025445	0.8552871651754851	0.49990213019990926	0.3387113827728548	0.6645402803359781	0.8326247487511435	0.7536934327466387	0.6289899565523154	0.780921299125353	0.8538546332539351	0.702106017122064	0.7542351054906313	0.6378090828596634	0.6843961921327864	0.7405788795344759	0.7457711299813966	0.5924457527488942	0.8720996244076978	0.8335600695553349	0.7245775738808548	0.8095529600327932	0.6330543998846166	0.7789004639733405	0.809666825174173	0.8014397976020001	0.8513230316105898	0.7181344335236327	0.6920690760169106	0.5258568758550052
LiJ_2014__V1.FI20__bin.60	0.5212198123491333	0.6196127188129718	1.0	0.45907251573426866	0.6555653795427543	0.6742119791266602	0.3882948645243111	0.270272732769934	0.4883596647060458	0.6242104265371862	0.5759722887293444	0.4536458069461219	0.6077860727821259	0.6241920406092034	0.5162821692453271	0.5628565848588206	0.45950887509172533	0.48117035828862154	0.5442586058400244	0.576840921682484	0.443474303009899	0.653500435542205	0.624534836022037	0.5388682603316657	0.611618108749904	0.4551203583703367	0.5692038157746359	0.5864947596019487	0.6025350517502587	0.6287758567433864	0.524735201779431	0.5016890539173466	0.37725717909201295
FerrettiP_2018__CA_C10055MS2958FE_t0M16__bin.33	0.7069767275254235	0.8101715436058903	0.8049482216992453	1.0	0.8500918791708307	0.8322748423009554	0.5013658295453325	0.35065891514519776	0.6192068660426764	0.810716012766369	0.7551450544648262	0.6143854483452794	0.7679587063126184	0.8284714386522956	0.6939295270640575	0.7547087627296531	0.6159615432835073	0.6539540281762791	0.7318410579895477	0.7515959752266531	0.597087806398229	0.8477026625258355	0.8075717033646045	0.7318869080241143	0.8000709242722203	0.6126359829638465	0.7577484767400625	0.7827503573078866	0.780871938704235	0.8406632494062779	0.6984393078077594	0.6633017039735503	0.508433898936494
QinN_2014__LD-11__bin.70	0.689636118536611	0.8096903664176486	0.8171364635698386	0.6043072369382642	1.0	0.8720234836489899	0.5303025750428172	0.3661675949885388	0.6179542559784964	0.8132771841621854	0.7914247402319947	0.5941599497651991	0.7898332585549143	0.8369146339413898	0.677874941624452	0.76062995173609	0.598918607298204	0.6388304213886988	0.7297796523592888	0.7474988273963004	0.5921630858753327	0.879930983168999	0.8240422208630261	0.7118807035520344	0.8468918235528085	0.6059465903841913	0.7501017275087989	0.7718609742719799	0.8209142591156251	0.8433304695151048	0.6895592181419744	0.6504866878287047	0.5191128037119974
Bengtsson-PalmeJ_2015__TRAVELRES32__bin.14	0.5676035336935434	0.6835275576357168	0.7150542503511031	0.5034109320556548	0.7419798789024871	1.0	0.43489069547654463	0.3224176863207823	0.5330041205047217	0.6811087273321325	0.6356926100877617	0.49823310989558117	0.6723732919881771	0.6909786122881952	0.5733316809137303	0.6381452398832271	0.49845237326598857	0.5242253524788678	0.5946309940473895	0.671885799316817	0.47998051762621835	0.7362053657126688	0.686946072910704	0.593002551861637	0.6809410298531845	0.4913094139818098	0.6256121282976712	0.6414484902243636	0.6754789452998556	0.7047172390841724	0.5748301250537867	0.5424809780359635	0.4161449772871748
LiJ_2014__O2.UC32-1__bin.49	0.5689233681585617	0.636507738159756	0.6561132394090045	0.48315361508790994	0.7188897810173626	0.6928747624218917	1.0	0.3717803117908471	0.45540159243781897	0.6404028800024301	0.6283874513193567	0.44124459516276127	0.6575892786255301	0.6640271016817043	0.561050238492866	0.5958987097428945	0.42773586768392324	0.45664842444204956	0.5837576313229605	0.6269486927939876	0.47645965987582767	0.7241394546387191	0.6584218807280229	0.585445618172542	0.6947346546806943	0.4247920738489069	0.5799881392171469	0.5997538093617338	0.6660036686961631	0.6794461193907231	0.5478597776551963	0.47837892508721264	0.34149320214212087
WenC_2017__RA070__bin.15	0.5716562102598958	0.6442793330314847	0.6822524368773728	0.5048252801983537	0.7415564042612222	0.7673954006937017	0.5554079545700669	1.0	0.4475293967187889	0.6747079408528014	0.6506738477754823	0.4661498111039717	0.6528252925748339	0.6739127520031849	0.5341884793534526	0.5816718768210185	0.4584537031975668	0.4482905502479937	0.5756940369087266	0.6165745822164419	0.4577173026286612	0.8139969739506034	0.6854569138627923	0.5796813262636128	0.7008625375290977	0.449560170836681	0.6166766881776767	0.6145922826458027	0.7043774578916047	0.7366718200954845	0.54494570335021	0.47740621980009923	0.007957045362893869
LiJ_2017__H1M512854__bin.8	0.6499048643560695	0.8240178841563854	0.8036252395199516	0.5811160789323293	0.8158147040037651	0.82699297408142	0.44349749554576934	0.29173765421723197	1.0	0.7912260059837967	0.730217500924463	0.6053363364372878	0.7591710088412277	0.8073493125357178	0.6645228090227586	0.7263441691599153	0.638948465391468	0.6772474535247253	0.7134218576663193	0.7270265909167312	0.578126197599758	0.832629172689683	0.7921867751369887	0.6887518069048979	0.7534285810333815	0.6357367129458433	0.7444811241469728	0.7670965139341782	0.76299189834269	0.8076747235015296	0.7068006857834404	0.6845315493999395	0.5240602413688775
WenC_2017__N310__bin.77	0.6561029746304551	0.7858919106203464	0.7818851694279864	0.5791539936651626	0.8172820589194132	0.8044255835722076	0.47473153196308826	0.3347995887319936	0.6022803981868587	1.0	0.7190705834365854	0.5779451646070001	0.7387230118165343	0.7880859200074516	0.6366102222310931	0.7078093325492834	0.5858081830869358	0.6156476319591475	0.6876343747585029	0.7030154706577474	0.5510709805794088	0.8238932586541055	0.7802362078592313	0.668300786557739	0.7684897876462993	0.5712459383701894	0.7183356645002935	0.7430306808184622	0.7551783381108181	0.8049220121015969	0.6622402642432766	0.6332662387145674	0.4924253706709001
