	Bengtsson-PalmeJ_2015__TRAVELRES38__bin.55	LiJ_2017__nHM612836__bin.3	LiJ_2014__V1.FI20__bin.60	FerrettiP_2018__CA_C10055MS2958FE_t0M16__bin.33	QinN_2014__LD-11__bin.70	Bengtsson-PalmeJ_2015__TRAVELRES32__bin.14	LiJ_2014__O2.UC32-1__bin.49	WenC_2017__RA070__bin.15	LiJ_2017__H1M512854__bin.8	WenC_2017__N310__bin.77	QinN_2014__HD-6__bin.17	WenC_2017__RA040__bin.13	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.82	LiJ_2017__nHM511615__bin.9	LiJ_2014__MH0327__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.8	LiJ_2017__nHF512818__bin.30	LiJ_2017__H1M412743__bin.8	LiJ_2017__nHM512834__bin.36	Bengtsson-PalmeJ_2015__TRAVELRES31__bin.89	LouisS_2016__AS53_12__bin.8	ChengpingW_2017__AS71raw__bin.15	RaymondF_2016__P15E90__bin.53	ZeeviD_2015__PNP_Main_716__bin.31	QinJ_2012__T2D-048__bin.26	LiuW_2016__SRR3993026__bin.33	WenC_2017__RA051__bin.40	LiJ_2017__H2F514923__bin.31	ChengpingW_2017__AS42raw__bin.92	WenC_2017__N274__bin.13	ChengpingW_2017__AS68raw__bin.70	LiJ_2017__H2M411920__bin.37	WenC_2017__RA070__bin.9
Bengtsson-PalmeJ_2015__TRAVELRES38__bin.55	1467437.0	1281439.0	1290603.0	994461.0	1368830.0	1324935.0	833698.0	559864.0	977895.0	1296688.0	1222452.0	974624.0	1295126.0	1320673.0	1056170.0	1248626.0	972699.0	1030878.0	1200586.0	1203689.0	963519.0	1349591.0	1304534.0	1140830.0	1300611.0	952034.0	1193405.0	1239310.0	1275326.0	1308417.0	1092219.0	1060910.0	799431.0
LiJ_2017__nHM612836__bin.3	1281439.0	1844287.0	1536696.0	1144805.0	1606763.0	1598367.0	936181.0	632245.0	1232364.0	1544735.0	1404666.0	1174708.0	1457813.0	1593279.0	1313829.0	1411366.0	1190085.0	1280238.0	1378792.0	1393476.0	1107350.0	1629019.0	1557500.0	1355974.0	1510205.0	1182637.0	1454902.0	1510849.0	1495274.0	1589416.0	1342199.0	1285269.0	981416.0
LiJ_2014__V1.FI20__bin.60	1290603.0	1536696.0	2447524.0	1137965.0	1625761.0	1671997.0	963069.0	670677.0	1211782.0	1548621.0	1428220.0	1126923.0	1508951.0	1548542.0	1279451.0	1399316.0	1138847.0	1196546.0	1346980.0	1430109.0	1100394.0	1621564.0	1550162.0	1337782.0	1516380.0	1129031.0	1411668.0	1453963.0	1493772.0	1559875.0	1301821.0	1244541.0	935782.0
FerrettiP_2018__CA_C10055MS2958FE_t0M16__bin.33	994461.0	1144805.0	1137965.0	1395855.0	1201303.0	1177598.0	708461.0	496912.0	875246.0	1145608.0	1067301.0	869478.0	1085055.0	1170142.0	982570.0	1069009.0	870445.0	925593.0	1032593.0	1062952.0	842962.0	1198086.0	1141708.0	1028731.0	1130676.0	866352.0	1070756.0	1105587.0	1102741.0	1188993.0	988788.0	937553.0	718277.0
QinN_2014__LD-11__bin.70	1368830.0	1606763.0	1625761.0	1201303.0	1963579.0	1734854.0	1055002.0	727449.0	1227339.0	1614897.0	1557999.0	1181112.0	1571018.0	1660032.0	1349989.0	1516260.0	1188263.0	1271288.0	1440700.0	1486153.0	1177868.0	1748223.0	1637933.0	1416383.0	1678999.0	1196758.0	1489492.0	1531383.0	1630496.0	1675460.0	1372112.0	1292813.0	1031255.0
Bengtsson-PalmeJ_2015__TRAVELRES32__bin.14	1324935.0	1598367.0	1671997.0	1177598.0	1734854.0	2307727.0	1018226.0	755352.0	1247328.0	1593219.0	1487070.0	1167822.0	1573596.0	1615588.0	1342130.0	1495306.0	1164799.0	1228027.0	1388464.0	1551802.0	1122352.0	1724477.0	1608112.0	1388056.0	1592184.0	1148957.0	1463887.0	1500000.0	1580561.0	1649254.0	1345531.0	1268476.0	973113.0
LiJ_2014__O2.UC32-1__bin.49	833698.0	936181.0	963069.0	708461.0	1055002.0	1018226.0	1448471.0	546037.0	670636.0	939702.0	922435.0	649126.0	966998.0	975202.0	826072.0	875909.0	628123.0	672851.0	856450.0	920671.0	699774.0	1065988.0	968661.0	862524.0	1019365.0	624571.0	852242.0	880051.0	978796.0	999476.0	806342.0	703095.0	501775.0
WenC_2017__RA070__bin.15	559864.0	632245.0	670677.0	496912.0	727449.0	755352.0	546037.0	969581.0	438783.0	661716.0	638188.0	458678.0	640978.0	661040.0	525506.0	571988.0	449191.0	440618.0	563247.0	604854.0	449327.0	794797.0	674231.0	569830.0	688204.0	441665.0	601478.0	601523.0	692411.0	723416.0	535632.0	468468.0	8734.0
LiJ_2017__H1M512854__bin.8	977895.0	1232364.0	1211782.0	875246.0	1227339.0	1247328.0	670636.0	438783.0	1487350.0	1184782.0	1098787.0	912345.0	1143728.0	1215974.0	1003177.0	1096407.0	961384.0	1021277.0	1071212.0	1096518.0	871867.0	1254416.0	1194439.0	1039132.0	1134147.0	957407.0	1121212.0	1154343.0	1148123.0	1216193.0	1065693.0	1024978.0	788788.0
WenC_2017__N310__bin.77	1296688.0	1544735.0	1548621.0	1145608.0	1614897.0	1593219.0	939702.0	661716.0	1184782.0	1953957.0	1420953.0	1145218.0	1461708.0	1557982.0	1262090.0	1403385.0	1154675.0	1219702.0	1357318.0	1392192.0	1090786.0	1628729.0	1544520.0	1322802.0	1519123.0	1129574.0	1420188.0	1465232.0	1492539.0	1588078.0	1311247.0	1247547.0	973199.0
