	Bengtsson-PalmeJ_2015__TRAVELRES38__bin.55	LiJ_2017__nHM612836__bin.3	LiJ_2014__V1.FI20__bin.60	FerrettiP_2018__CA_C10055MS2958FE_t0M16__bin.33	QinN_2014__LD-11__bin.70	Bengtsson-PalmeJ_2015__TRAVELRES32__bin.14	LiJ_2014__O2.UC32-1__bin.49	WenC_2017__RA070__bin.15	LiJ_2017__H1M512854__bin.8	WenC_2017__N310__bin.77	QinN_2014__HD-6__bin.17	WenC_2017__RA040__bin.13	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.82	LiJ_2017__nHM511615__bin.9	LiJ_2014__MH0327__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.8	LiJ_2017__nHF512818__bin.30	LiJ_2017__H1M412743__bin.8	LiJ_2017__nHM512834__bin.36	Bengtsson-PalmeJ_2015__TRAVELRES31__bin.89	LouisS_2016__AS53_12__bin.8	ChengpingW_2017__AS71raw__bin.15	RaymondF_2016__P15E90__bin.53	ZeeviD_2015__PNP_Main_716__bin.31	QinJ_2012__T2D-048__bin.26	LiuW_2016__SRR3993026__bin.33	WenC_2017__RA051__bin.40	LiJ_2017__H2F514923__bin.31	ChengpingW_2017__AS42raw__bin.92	WenC_2017__N274__bin.13	ChengpingW_2017__AS68raw__bin.70	LiJ_2017__H2M411920__bin.37	WenC_2017__RA070__bin.9
Bengtsson-PalmeJ_2015__TRAVELRES38__bin.55	1.0	0.9888008715202207	0.9884511348571172	0.9923335354528735	0.9892791654186422	0.9886326499035801	0.9884502541687757	0.9900029292828258	0.9884864939487368	0.9886703663487284	0.9886588594071587	0.9875664871786453	0.9883787368950975	0.9888814263636797	0.9877264076805817	0.9869096110444601	0.9892104340602796	0.9871381482580868	0.9895859188762821	0.9883134264747788	0.9888523215421803	0.9888573649350062	0.9884349507180342	0.9919777705705495	0.9887299123258223	0.9881789936073712	0.988973567229901	0.9891334694305702	0.9888898995237296	0.9885304149976651	0.9874759549138039	0.9880206615075737	0.9885868824201213
LiJ_2017__nHM612836__bin.3	0.9888008715202207	1.0	0.9868685803828473	0.9878381034324623	0.9894993847879245	0.9868791084901027	0.9848127659074474	0.9880362834027948	0.994513796248511	0.9940857169676353	0.9895783054477008	0.9875117901640238	0.987947699739267	0.9883724068414885	0.985581076380564	0.9855884299324201	0.9884193145867732	0.9859283976885548	0.9906062698362045	0.9870396045572367	0.986716033774326	0.987343916799006	0.9870459069020867	0.9855122590846137	0.9886392906923233	0.987229386531962	0.9873627227125951	0.9883568774907353	0.9885044480142101	0.9878370420330486	0.9867731983111298	0.9930792697871029	0.9881956275422451
LiJ_2014__V1.FI20__bin.60	0.9884511348571172	0.9868685803828473	1.0	0.987368680056065	0.9869298131767216	0.9869335889956741	0.9868046837765518	0.9863153201913887	0.9863754371660909	0.9865357631079522	0.9870370111047317	0.9852572003588532	0.985831216520616	0.986557032356888	0.9876212531781209	0.9844845624576579	0.9875417856832392	0.9842296075537422	0.9889426717545917	0.9872198552697732	0.9863866942204338	0.9863674822578695	0.9860672626473879	0.9858803601782652	0.9871865891135467	0.9866141850843777	0.9868751009444147	0.9872740915690427	0.9872450414119424	0.9865816171167562	0.9865426967301957	0.9866255912822478	0.9867105800282544
FerrettiP_2018__CA_C10055MS2958FE_t0M16__bin.33	0.9923335354528735	0.9878381034324623	0.987368680056065	1.0	0.9877649518897397	0.9865293589153514	0.9878229006254402	0.9850214927391571	0.9875200800689178	0.9878090935119168	0.9876061204852239	0.9863308789871624	0.987930565731691	0.9882783457050511	0.985807626937521	0.9854584947367141	0.9877625812084624	0.9862056000855668	0.9892997531457215	0.9869862420880717	0.9887136074935762	0.987633608939592	0.9873391445098046	0.9930759353028148	0.9877126603907751	0.9870710750364747	0.9878132833250526	0.9882587259075948	0.9884315537374596	0.9869225470629348	0.985974748884493	0.987542037623473	0.9880589243425586
QinN_2014__LD-11__bin.70	0.9892791654186422	0.9894993847879245	0.9869298131767216	0.9877649518897397	1.0	0.9869919889512316	0.9870038161065098	0.9883840654121457	0.9886445391208134	0.9888766899684623	0.9974492923294559	0.9877810063736546	0.9871942905810118	0.9899495913331792	0.9859791450152556	0.9850269742656272	0.989700091646378	0.9867111150266501	0.9946414937183313	0.9876324981344451	0.9871725864018719	0.9883258600304423	0.9878743513928836	0.9869039659470638	0.9904347769117194	0.9942060132457857	0.9888498897610729	0.9897001599208036	0.9886132808666811	0.9883530493118308	0.9868028265914153	0.9879866616440274	0.9884257530872578
Bengtsson-PalmeJ_2015__TRAVELRES32__bin.14	0.9886326499035801	0.9868791084901027	0.9869335889956741	0.9865293589153514	0.9869919889512316	1.0	0.9856446407771948	0.9850400872705706	0.9861303522409502	0.9865643078572375	0.9865070238791718	0.9845558655343023	0.986056141474686	0.9870028744952302	0.9858158300611715	0.9848586175672405	0.9875454906812249	0.9851322487209158	0.9883194666912501	0.9991796633848906	0.9869131965729112	0.9852036298541529	0.9858044713303551	0.9859025860628101	0.9869625621159364	0.9868149982984568	0.9862386919208928	0.9868586666666667	0.9862453900861783	0.9860791606386887	0.9858940448046162	0.9869307736212589	0.986883332151559
LiJ_2014__O2.UC32-1__bin.49	0.9884502541687757	0.9848127659074474	0.9868046837765518	0.9878229006254402	0.9870038161065098	0.9856446407771948	1.0	0.9862207139809207	0.9835976595351279	0.9871267699760137	0.9867372768812979	0.9846008325040131	0.9850061737459643	0.9862818164852	0.9837701798390455	0.9854242849428423	0.9863720959111512	0.9830437942427075	0.9872800513748613	0.986364292999345	0.9862298399197456	0.9839651103014293	0.9845601299112899	0.9831622076603086	0.987186140391322	0.9851546101243894	0.9857481795076986	0.9871314276104453	0.9855853517995579	0.9846739691598397	0.98414692525008	0.9855254268626572	0.9857864580738379
WenC_2017__RA070__bin.15	0.9900029292828258	0.9880362834027948	0.9863153201913887	0.9850214927391571	0.9883840654121457	0.9850400872705706	0.9862207139809207	1.0	0.9889079567804587	0.9886174733571502	0.9885503958081318	0.9853753613646175	0.9875019111420361	0.9884621202952922	0.9856005449985348	0.9859962097106932	0.9895745907642851	0.986464465818464	0.9910074975987444	0.988369094029303	0.9876860282155312	0.9930032448537174	0.985724477219232	0.9863432953687942	0.9874150687877432	0.986913158162861	0.9940812465293826	0.9906470741767148	0.9863375942900965	0.9873475289460006	0.986440317232727	0.9880802957726035	0.8833295168307763
LiJ_2017__H1M512854__bin.8	0.9884864939487368	0.994513796248511	0.9863754371660909	0.9875200800689178	0.9886445391208134	0.9861303522409502	0.9835976595351279	0.9889079567804587	1.0	0.9932882167352306	0.9884436201010751	0.9868492730271992	0.9872565854818628	0.9875301610067321	0.9852478675248735	0.9853348254799541	0.9885123946310735	0.986318109582415	0.9905676934164293	0.9861607378994235	0.9862467555257854	0.9872410747311896	0.9864538917433205	0.9858372179857804	0.9880659209079599	0.9876290856448721	0.9875955662265476	0.9883899326283435	0.9884271981312107	0.9877502995001616	0.9864567000064747	0.9933266860361881	0.9881755300537026
WenC_2017__N310__bin.77	0.9886703663487284	0.9940857169676353	0.9865357631079522	0.9878090935119168	0.9888766899684623	0.9865643078572375	0.9871267699760137	0.9886174733571502	0.9932882167352306	1.0	0.9887962515297832	0.9860829990447234	0.9874975029212401	0.9883849749226885	0.9855945297086579	0.9854950708465603	0.9913127070387772	0.9862646777655526	0.9898991982718862	0.9866900542453915	0.9871496333836335	0.9884099810342911	0.987069121798358	0.9871704155270403	0.9884624220685224	0.988151285351823	0.9883177438479976	0.9908669753322341	0.9886415028351018	0.9903688609753425	0.9868384827572532	0.9918463993741318	0.9886754918572666
