	Bengtsson-PalmeJ_2015__TRAVELRES38__bin.55	LiJ_2017__nHM612836__bin.3	LiJ_2014__V1.FI20__bin.60	FerrettiP_2018__CA_C10055MS2958FE_t0M16__bin.33	QinN_2014__LD-11__bin.70	Bengtsson-PalmeJ_2015__TRAVELRES32__bin.14	LiJ_2014__O2.UC32-1__bin.49	WenC_2017__RA070__bin.15	LiJ_2017__H1M512854__bin.8	WenC_2017__N310__bin.77	QinN_2014__HD-6__bin.17	WenC_2017__RA040__bin.13	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.82	LiJ_2017__nHM511615__bin.9	LiJ_2014__MH0327__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.8	LiJ_2017__nHF512818__bin.30	LiJ_2017__H1M412743__bin.8	LiJ_2017__nHM512834__bin.36	Bengtsson-PalmeJ_2015__TRAVELRES31__bin.89	LouisS_2016__AS53_12__bin.8	ChengpingW_2017__AS71raw__bin.15	RaymondF_2016__P15E90__bin.53	ZeeviD_2015__PNP_Main_716__bin.31	QinJ_2012__T2D-048__bin.26	LiuW_2016__SRR3993026__bin.33	WenC_2017__RA051__bin.40	LiJ_2017__H2F514923__bin.31	ChengpingW_2017__AS42raw__bin.92	WenC_2017__N274__bin.13	ChengpingW_2017__AS68raw__bin.70	LiJ_2017__H2M411920__bin.37	WenC_2017__RA070__bin.9
Bengtsson-PalmeJ_2015__TRAVELRES38__bin.55	1.0	0.8732497545039413	0.8794946563293689	0.6776856519223653	0.9328032481121847	0.9028905499861323	0.5681320560950828	0.38152506717494516	0.6663965812501661	0.8836413420133198	0.833052458129378	0.6641675247387111	0.8825769010867247	0.8999861663567158	0.7197378831254766	0.8508889989825799	0.6628557137376255	0.702502390221863	0.8181516480775666	0.8202662192652904	0.6565999085480331	0.9196926341641924	0.8889880792156665	0.7774303087628294	0.8863147106144932	0.6487733374584395	0.8132580819483222	0.844540515197586	0.8690839879327017	0.8916341894064277	0.7443038440491824	0.7229680047593184	0.5447804573552391
LiJ_2017__nHM612836__bin.3	0.6948153947840006	1.0	0.8332195585611133	0.6207303960826054	0.8712109340899762	0.8666584972946184	0.5076113424862834	0.3428126967223648	0.66820619567345	0.8375784246161254	0.7616309175307314	0.6369442500001355	0.7904480159541329	0.8638997075834727	0.7123777373044434	0.7652637577557072	0.6452818894239346	0.6941641946182997	0.7476016476828172	0.7555635321400628	0.6004217347950725	0.8832784702164034	0.8444997985671427	0.7352293867494593	0.8188557420835261	0.641243472409663	0.7888696282086248	0.8192049285170909	0.8107599305314195	0.8618051311970425	0.7277603756899007	0.6968920780767852	0.5321384361544597
LiJ_2014__V1.FI20__bin.60	0.5273096402731904	0.6278573774966048	1.0	0.46494538970812954	0.6642472147361987	0.6831381428741863	0.3934870505866337	0.2740226449260559	0.49510525739482025	0.6327296484120278	0.5835366680776164	0.4604338915573453	0.616521431454809	0.6326973708940137	0.5227531987428928	0.5717271822462211	0.465305753896591	0.4888801907560457	0.5503439394261302	0.5843084684767136	0.4495947741472607	0.6625324205196762	0.6333592643013919	0.5465858557464605	0.6195567438766688	0.4612951701392918	0.5767739151893914	0.5940546446122694	0.610319653658146	0.6373277647124196	0.531893047831196	0.5084898043900693	0.3823382324340844
FerrettiP_2018__CA_C10055MS2958FE_t0M16__bin.33	0.712438612893173	0.8201460753445021	0.8152458529001938	1.0	0.8606216261717728	0.8436392032123681	0.5075462709235559	0.3559911308839385	0.6270321774109775	0.8207213499969552	0.764621683484316	0.6228999430456602	0.7773407696358146	0.838297674185356	0.7039198197520516	0.7658453062818129	0.6235927084116903	0.6631011100723213	0.7397566366134019	0.7615060303541556	0.6039037005992742	0.8583169455280097	0.8179273635155514	0.7369898735900219	0.8100239638071289	0.6206604554197964	0.7670968689441239	0.7920500338502209	0.7900111401255862	0.8518026585855981	0.7083744371729155	0.6716693352819598	0.5145785199752123
QinN_2014__LD-11__bin.70	0.6971097164921809	0.8182828396514732	0.8279580296998491	0.6117925481989774	1.0	0.8835162730911259	0.5372852327306413	0.3704709614433644	0.625052009621207	0.8224252754791124	0.7934485956511045	0.6015097941055593	0.8000788356363558	0.8454113636375211	0.6875144824832614	0.7721920024608127	0.6051516134568561	0.6474340986535301	0.7337112486943485	0.7568592860282168	0.5998577088062156	0.8903247590242104	0.8341569144913447	0.7213272295130474	0.8550707661876604	0.6094778972478316	0.7585597523705437	0.7798937552296088	0.8303694427369614	0.8532684450180003	0.6987811542087179	0.6583962244452605	0.5251914998072398
Bengtsson-PalmeJ_2015__TRAVELRES32__bin.14	0.574129868914304	0.6926152876835084	0.7245211413655082	0.5102847953852427	0.7517587652265627	1.0	0.441224633589675	0.3273142793753334	0.5405006744731937	0.6903845212193643	0.6443873127107322	0.5060485924028275	0.6818813490503859	0.7000776088332805	0.5815809235667824	0.6479561923919077	0.5047386454290304	0.5321370335399291	0.6016586883977177	0.6724374243573872	0.4863452219434968	0.7472621328259366	0.6968380575345351	0.6014818910555711	0.6899360279617129	0.49787388196264115	0.6343414970661607	0.6499902284802318	0.6848994703446292	0.7146659895212909	0.5830546680781565	0.5496646700411271	0.4216759608047226
LiJ_2014__O2.UC32-1__bin.49	0.5755710676982833	0.6463236060646019	0.6648866287278102	0.4891095506917294	0.72835562465524	0.7029660932113933	1.0	0.3769747547586386	0.46299580730301126	0.648754445204633	0.6368335990157897	0.44814566532571243	0.6675991442010231	0.6732630477241174	0.5703062056471963	0.6047128316687045	0.433645547615382	0.46452500602359315	0.5912786655721792	0.6356157631046807	0.48311219209773615	0.7359401741560584	0.6687472514120062	0.5954720529441045	0.7037524396415255	0.43119330659709443	0.5883735331946583	0.6075723987570342	0.6757442848355266	0.6900214087820882	0.5566849457117194	0.4854049546038547	0.34641701490744375
WenC_2017__RA070__bin.15	0.5774288068763723	0.6520806410191619	0.6917183814451809	0.5125017920111883	0.7502715090332834	0.7790499195013103	0.5631680076239117	1.0	0.452549090792827	0.6824762448934127	0.6582100928132874	0.47306826350763886	0.6610876244480863	0.6817790365116478	0.5419928814611672	0.5899331773209252	0.46328362457597666	0.45444166088238114	0.5809179429052344	0.6238302937041876	0.46342389135100626	0.819732441126631	0.6953838823161758	0.5877074736406757	0.7097952620771241	0.4555215087754401	0.6203483772887464	0.6203947890893077	0.7141342497429302	0.7461119803296475	0.5524365679607995	0.4831654085630803	0.009008014802270259
LiJ_2017__H1M512854__bin.8	0.6574747033314284	0.8285635526271556	0.8147255185396847	0.5884600127743974	0.8251850606783877	0.8386243990990688	0.45089319931421656	0.29500991696641676	1.0	0.7965724274716778	0.738754832420076	0.6134030322385451	0.7689703163344203	0.8175439540121693	0.6744727199381451	0.7371546710592665	0.646373751974989	0.6866420143207719	0.7202151477459912	0.7372293004336572	0.5861881870440717	0.8433899216727737	0.8030651830436683	0.6986465862103741	0.7625286583521027	0.6436998688943423	0.753831983057115	0.7761071704709719	0.771925236158268	0.817691195750832	0.7165045214643494	0.6891303324705013	0.5303311258278146
WenC_2017__N310__bin.77	0.6636215638317527	0.7905675508724092	0.7925563356819009	0.5863015409243909	0.8264751987889191	0.815380788830051	0.48092255868476125	0.33865433067360234	0.6063500885638732	1.0	0.7272181527024392	0.586101945948657	0.7480758276666273	0.7973471268815026	0.6459149305742142	0.7182271667186125	0.5909418682192085	0.6242215156218893	0.6946509058285315	0.7124987909150509	0.5582446287200793	0.8335541672616132	0.790457517744761	0.6769862386940961	0.7774597905685744	0.5780956285117841	0.7268266394808074	0.7498793473960789	0.7638545781713723	0.8127497176242875	0.6710725978104943	0.6384720851072977	0.4980657199723433
