	CM_madagascar__A09_02_1FE__bin.29	VatanenT_2016__G80310__bin.4	QinN_2014__LD-33__bin.41	VatanenT_2016__G78766__bin.2	GeversD_2014__SKBSTL023__bin.4	LoombaR_2017__SID1050_bax__bin.8	BackhedF_2015__SID608_B__bin.7	VincentC_2016__MM098.1__bin.2	VincentC_2016__MM019.2__bin.8	HeQ_2017__RSZAXPI003095-129__bin.6	QinN_2014__LD-5__bin.1	VatanenT_2016__G80539__bin.15	WenC_2017__RA039__bin.8	QinN_2014__LD-45__bin.19	VatanenT_2016__G78542__bin.1	QinN_2014__LD-85__bin.11	HeQ_2017__SZAXPI029473-40__bin.23	BackhedF_2015__SID103_B__bin.7	LoombaR_2017__SID5630_kod__bin.18	XieH_2016__YSZC12003_37270__bin.57	BackhedF_2015__SID12_B__bin.5	QinN_2014__LD-64__bin.31	BackhedF_2015__SID241_4M__bin.11	VincentC_2016__MM058.1__bin.43	VatanenT_2016__G78589__bin.3	QinN_2014__LD-91__bin.15	QinN_2014__LD-44__bin.14	LiuW_2016__SRR3993058__bin.16	LiJ_2014__V1.CD7-0-PN__bin.21	BackhedF_2015__SID582_4M__bin.1	WenC_2017__N227__bin.3	QinN_2014__LD-61__bin.27	VatanenT_2016__G78904__bin.6	BackhedF_2015__SID536_4M__bin.1	VatanenT_2016__G69157__bin.8	BackhedF_2015__SID532_4M__bin.3	LoombaR_2017__SID0017_mqf__bin.5	FerrettiP_2018__CA_C10034IS2595FE_t4M15__bin.6	NielsenHB_2014__V1_UC14_1__bin.19	QinN_2014__LD-38__bin.43	BackhedF_2015__SID577_4M__bin.10	BackhedF_2015__SID12_4M__bin.1	CM_periimplantitis__SP_123SPT_T016__bin.1	BackhedF_2015__SID546_4M__bin.20
CM_madagascar__A09_02_1FE__bin.29	2155262.0	1705287.0	1907891.0	1626293.0	1717564.0	1833257.0	1368524.0	1662267.0	1810532.0	1887808.0	1849065.0	1948471.0	1339838.0	927642.0	1629545.0	1846878.0	1903279.0	1576222.0	1731020.0	1272501.0	1868279.0	1869867.0	1840185.0	1875653.0	1860170.0	1413227.0	1703917.0	1823244.0	1925218.0	1801687.0	1956919.0	1871895.0	1155214.0	1756714.0	1594583.0	1519740.0	1905412.0	1909656.0	1425160.0	1847153.0	1620452.0	1441324.0	1839201.0	1743704.0
VatanenT_2016__G80310__bin.4	1705287.0	2049104.0	1933583.0	1628471.0	1723295.0	1866299.0	1373381.0	1766920.0	1827450.0	1921931.0	1865548.0	1876502.0	1367828.0	884557.0	1708728.0	1898721.0	1854449.0	1564006.0	1758473.0	1413729.0	1876670.0	1819757.0	1861231.0	1873105.0	1955225.0	1464614.0	1768064.0	1799976.0	1944961.0	1800067.0	1894175.0	1886751.0	1216923.0	1740298.0	1597381.0	1556454.0	1939453.0	1942089.0	1445804.0	1882039.0	1652736.0	1440860.0	1805206.0	1736299.0
QinN_2014__LD-33__bin.41	1907891.0	1933583.0	2421351.0	1807871.0	1928555.0	2044365.0	1570517.0	1911649.0	2065313.0	2192026.0	2146127.0	2167617.0	1491341.0	1056725.0	1843642.0	2102109.0	2079018.0	1749852.0	1996186.0	1520915.0	2110298.0	2028461.0	2136310.0	2096150.0	2121385.0	1660366.0	1990695.0	2004470.0	2208544.0	2040475.0	2165460.0	2270723.0	1309608.0	1963997.0	1749232.0	1685500.0	2158142.0	2204444.0	1586820.0	2122570.0	1878996.0	1659478.0	2039329.0	1920787.0
VatanenT_2016__G78766__bin.2	1626293.0	1628471.0	1807871.0	1891008.0	1619490.0	1733358.0	1420467.0	1596492.0	1704439.0	1786779.0	1744867.0	1814109.0	1276851.0	915417.0	1566661.0	1783653.0	1783877.0	1636898.0	1640119.0	1346159.0	1776278.0	1709393.0	1786560.0	1804620.0	1768090.0	1352445.0	1613632.0	1725804.0	1813905.0	1730100.0	1785224.0	1780820.0	1047920.0	1606204.0	1483085.0	1433652.0	1791304.0	1811060.0	1302069.0	1752466.0	1685569.0	1505805.0	1729800.0	1611958.0
GeversD_2014__SKBSTL023__bin.4	1717564.0	1723295.0	1928555.0	1619490.0	2119015.0	1917366.0	1376772.0	1689419.0	1896956.0	2007537.0	1873572.0	1946705.0	1334601.0	851953.0	1635979.0	1919255.0	1883061.0	1557058.0	1725537.0	1424625.0	1879802.0	1831138.0	1833856.0	1875276.0	1886135.0	1469237.0	1766326.0	1789541.0	2034609.0	1813401.0	1902182.0	1897576.0	1138521.0	1759814.0	1559496.0	1471597.0	2019431.0	2033220.0	1470255.0	1866752.0	1621768.0	1429426.0	1809135.0	1784250.0
LoombaR_2017__SID1050_bax__bin.8	1833257.0	1866299.0	2044365.0	1733358.0	1917366.0	2223572.0	1487951.0	1823159.0	2045497.0	2133742.0	1992569.0	2057473.0	1436866.0	951214.0	1762998.0	2089281.0	1979366.0	1678683.0	1850961.0	1495493.0	2016226.0	1930643.0	1971503.0	2036952.0	2027745.0	1566523.0	1902911.0	1907730.0	2195338.0	1913238.0	1993170.0	2024869.0	1232189.0	1905635.0	1690621.0	1601826.0	2201008.0	2205832.0	1520911.0	2009822.0	1782016.0	1553416.0	1952048.0	1903704.0
BackhedF_2015__SID608_B__bin.7	1368524.0	1373381.0	1570517.0	1420467.0	1376772.0	1487951.0	1854043.0	1365460.0	1439039.0	1547916.0	1493894.0	1594224.0	1006446.0	999285.0	1333385.0	1553967.0	1501128.0	1346654.0	1363403.0	1119197.0	1533855.0	1453128.0	1593570.0	1543092.0	1527229.0	1104699.0	1349026.0	1471643.0	1574489.0	1481034.0	1540650.0	1538779.0	865982.0	1362707.0	1277914.0	1179416.0	1562246.0	1571475.0	1003867.0	1507929.0	1519720.0	1475942.0	1545543.0	1355584.0
VincentC_2016__MM098.1__bin.2	1662267.0	1766920.0	1911649.0	1596492.0	1689419.0	1823159.0	1365460.0	2027640.0	1786438.0	1886913.0	1828354.0	1850233.0	1313600.0	864926.0	1651164.0	1839910.0	1808206.0	1569752.0	1722174.0	1388321.0	1816196.0	1770395.0	1829034.0	1838931.0	1902852.0	1424667.0	1716337.0	1750950.0	1898294.0	1773488.0	1847010.0	1849053.0	1187802.0	1732233.0	1546910.0	1552820.0	1888595.0	1895810.0	1421450.0	1831544.0	1649639.0	1444811.0	1783957.0	1701765.0
VincentC_2016__MM019.2__bin.8	1810532.0	1827450.0	2065313.0	1704439.0	1896956.0	2045497.0	1439039.0	1786438.0	2580648.0	2180353.0	1962128.0	2022673.0	1420059.0	947258.0	1769302.0	2046579.0	1981603.0	1650594.0	1835825.0	1531693.0	2009602.0	1919592.0	1943073.0	2022589.0	1999376.0	1547563.0	1910925.0	1867594.0	2282832.0	1887867.0	1973999.0	2029986.0	1225942.0	1941826.0	1673873.0	1585871.0	2149870.0	2292860.0	1465209.0	1976175.0	1713464.0	1501574.0	1903024.0	1968097.0
HeQ_2017__RSZAXPI003095-129__bin.6	1887808.0	1921931.0	2192026.0	1786779.0	2007537.0	2133742.0	1547916.0	1886913.0	2180353.0	2402420.0	2089188.0	2132426.0	1482688.0	1030164.0	1823526.0	2153011.0	2057838.0	1719070.0	1951105.0	1627449.0	2118655.0	1994316.0	2092277.0	2103663.0	2108598.0	1629924.0	2014549.0	1968641.0	2375422.0	1984974.0	2071303.0	2150058.0	1293997.0	1987020.0	1743324.0	1652285.0	2271713.0	2341537.0	1569345.0	2091426.0	1859929.0	1634636.0	2020598.0	2001314.0
