	CM_madagascar__A09_02_1FE__bin.29	VatanenT_2016__G80310__bin.4	QinN_2014__LD-33__bin.41	VatanenT_2016__G78766__bin.2	GeversD_2014__SKBSTL023__bin.4	LoombaR_2017__SID1050_bax__bin.8	BackhedF_2015__SID608_B__bin.7	VincentC_2016__MM098.1__bin.2	VincentC_2016__MM019.2__bin.8	HeQ_2017__RSZAXPI003095-129__bin.6	QinN_2014__LD-5__bin.1	VatanenT_2016__G80539__bin.15	WenC_2017__RA039__bin.8	QinN_2014__LD-45__bin.19	VatanenT_2016__G78542__bin.1	QinN_2014__LD-85__bin.11	HeQ_2017__SZAXPI029473-40__bin.23	BackhedF_2015__SID103_B__bin.7	LoombaR_2017__SID5630_kod__bin.18	XieH_2016__YSZC12003_37270__bin.57	BackhedF_2015__SID12_B__bin.5	QinN_2014__LD-64__bin.31	BackhedF_2015__SID241_4M__bin.11	VincentC_2016__MM058.1__bin.43	VatanenT_2016__G78589__bin.3	QinN_2014__LD-91__bin.15	QinN_2014__LD-44__bin.14	LiuW_2016__SRR3993058__bin.16	LiJ_2014__V1.CD7-0-PN__bin.21	BackhedF_2015__SID582_4M__bin.1	WenC_2017__N227__bin.3	QinN_2014__LD-61__bin.27	VatanenT_2016__G78904__bin.6	BackhedF_2015__SID536_4M__bin.1	VatanenT_2016__G69157__bin.8	BackhedF_2015__SID532_4M__bin.3	LoombaR_2017__SID0017_mqf__bin.5	FerrettiP_2018__CA_C10034IS2595FE_t4M15__bin.6	NielsenHB_2014__V1_UC14_1__bin.19	QinN_2014__LD-38__bin.43	BackhedF_2015__SID577_4M__bin.10	BackhedF_2015__SID12_4M__bin.1	CM_periimplantitis__SP_123SPT_T016__bin.1	BackhedF_2015__SID546_4M__bin.20
CM_madagascar__A09_02_1FE__bin.29	0.0	19170.0	21945.0	12908.0	20088.0	19961.0	17325.0	18784.0	21730.0	22311.0	21460.0	21518.0	14855.0	10008.0	18138.0	19629.0	16211.0	12390.0	18944.0	15507.0	16066.0	13817.0	13226.0	14471.0	21279.0	17912.0	19963.0	18563.0	22471.0	24118.0	13019.0	21139.0	12356.0	22307.0	16703.0	17958.0	21459.0	21989.0	17044.0	20646.0	12338.0	10495.0	20077.0	21920.0
VatanenT_2016__G80310__bin.4	19170.0	0.0	14244.0	16141.0	10831.0	11774.0	11637.0	1037.0	12376.0	12057.0	14167.0	13346.0	15889.0	5653.0	694.0	12339.0	19637.0	15569.0	18879.0	9100.0	21279.0	18722.0	19992.0	19310.0	585.0	11828.0	12308.0	19466.0	12178.0	22606.0	20988.0	14487.0	533.0	13054.0	2558.0	2595.0	12248.0	11604.0	12238.0	23838.0	16775.0	14089.0	21305.0	13155.0
QinN_2014__LD-33__bin.41	21945.0	14244.0	0.0	18476.0	17142.0	16480.0	14125.0	14952.0	20247.0	19660.0	8924.0	17744.0	17907.0	1062.0	13982.0	17247.0	24552.0	18545.0	16285.0	14468.0	25825.0	23668.0	24443.0	23175.0	16920.0	6366.0	12397.0	21587.0	20185.0	26095.0	25226.0	2452.0	10088.0	18937.0	13452.0	13885.0	19569.0	19211.0	10799.0	26550.0	20081.0	17067.0	24106.0	18283.0
VatanenT_2016__G78766__bin.2	12908.0	16141.0	18476.0	0.0	16335.0	16216.0	15650.0	15868.0	18727.0	18802.0	18503.0	17535.0	13209.0	8477.0	15974.0	16507.0	1582.0	2840.0	16826.0	15009.0	5460.0	15876.0	13252.0	4119.0	17933.0	15397.0	16801.0	16287.0	19240.0	23312.0	13694.0	18479.0	11066.0	19442.0	15489.0	15767.0	17121.0	19119.0	14185.0	19566.0	2463.0	1370.0	17551.0	19429.0
GeversD_2014__SKBSTL023__bin.4	20088.0	10831.0	17142.0	16335.0	0.0	3807.0	12919.0	11323.0	3640.0	3250.0	12427.0	12980.0	14609.0	5955.0	10460.0	4831.0	20048.0	15987.0	19461.0	1996.0	22191.0	19321.0	20800.0	20508.0	12558.0	10481.0	7982.0	20200.0	3200.0	24155.0	22115.0	17023.0	7528.0	14634.0	10416.0	11046.0	3944.0	2473.0	12655.0	23755.0	17076.0	14499.0	21904.0	5062.0
LoombaR_2017__SID1050_bax__bin.8	19961.0	11774.0	16480.0	16216.0	3807.0	0.0	12870.0	11113.0	4374.0	3608.0	12431.0	14976.0	15433.0	7090.0	11267.0	5572.0	18855.0	16149.0	19556.0	2580.0	21401.0	18673.0	20176.0	19710.0	12510.0	11450.0	8492.0	20001.0	4082.0	24477.0	21434.0	16898.0	7594.0	14917.0	11164.0	12047.0	3567.0	3702.0	12784.0	24414.0	17386.0	14118.0	22302.0	6005.0
BackhedF_2015__SID608_B__bin.7	17325.0	11637.0	14125.0	15650.0	12919.0	12870.0	0.0	11935.0	13699.0	14325.0	13253.0	14543.0	11937.0	7045.0	11599.0	14273.0	17753.0	15234.0	15178.0	10993.0	18657.0	16847.0	18231.0	17137.0	13270.0	10393.0	12628.0	16394.0	15334.0	18299.0	19022.0	13582.0	7486.0	14451.0	11273.0	11199.0	14587.0	14326.0	9170.0	18332.0	16908.0	16329.0	18559.0	13848.0
VincentC_2016__MM098.1__bin.2	18784.0	1037.0	14952.0	15868.0	11323.0	11113.0	11935.0	0.0	12103.0	12355.0	13885.0	13144.0	15749.0	6004.0	1033.0	11942.0	19235.0	15921.0	18664.0	9217.0	20787.0	18392.0	19601.0	19142.0	892.0	12022.0	12427.0	19086.0	12101.0	23197.0	20797.0	15083.0	1001.0	13645.0	2720.0	2849.0	12053.0	11508.0	12462.0	22915.0	16813.0	14621.0	21013.0	13276.0
VincentC_2016__MM019.2__bin.8	21730.0	12376.0	20247.0	18727.0	3640.0	4374.0	13699.0	12103.0	0.0	2628.0	13522.0	16463.0	16497.0	7251.0	13120.0	5212.0	22875.0	18573.0	21919.0	2465.0	24779.0	20897.0	23173.0	23181.0	13765.0	12095.0	8247.0	21961.0	2956.0	26206.0	24438.0	20245.0	8465.0	16100.0	10995.0	12083.0	4147.0	3239.0	13877.0	26395.0	19074.0	16468.0	24133.0	6625.0
HeQ_2017__RSZAXPI003095-129__bin.6	22311.0	12057.0	19660.0	18802.0	3250.0	3608.0	14325.0	12355.0	2628.0	0.0	13140.0	16526.0	16551.0	8091.0	11474.0	5047.0	23167.0	18357.0	21707.0	977.0	25647.0	21552.0	24285.0	22999.0	13617.0	11349.0	7431.0	22134.0	2782.0	26845.0	24447.0	19728.0	8553.0	15779.0	11285.0	12364.0	3282.0	1882.0	13879.0	27573.0	20414.0	17685.0	24590.0	4655.0
