	CM_madagascar__A09_02_1FE__bin.29	VatanenT_2016__G80310__bin.4	QinN_2014__LD-33__bin.41	VatanenT_2016__G78766__bin.2	GeversD_2014__SKBSTL023__bin.4	LoombaR_2017__SID1050_bax__bin.8	BackhedF_2015__SID608_B__bin.7	VincentC_2016__MM098.1__bin.2	VincentC_2016__MM019.2__bin.8	HeQ_2017__RSZAXPI003095-129__bin.6	QinN_2014__LD-5__bin.1	VatanenT_2016__G80539__bin.15	WenC_2017__RA039__bin.8	QinN_2014__LD-45__bin.19	VatanenT_2016__G78542__bin.1	QinN_2014__LD-85__bin.11	HeQ_2017__SZAXPI029473-40__bin.23	BackhedF_2015__SID103_B__bin.7	LoombaR_2017__SID5630_kod__bin.18	XieH_2016__YSZC12003_37270__bin.57	BackhedF_2015__SID12_B__bin.5	QinN_2014__LD-64__bin.31	BackhedF_2015__SID241_4M__bin.11	VincentC_2016__MM058.1__bin.43	VatanenT_2016__G78589__bin.3	QinN_2014__LD-91__bin.15	QinN_2014__LD-44__bin.14	LiuW_2016__SRR3993058__bin.16	LiJ_2014__V1.CD7-0-PN__bin.21	BackhedF_2015__SID582_4M__bin.1	WenC_2017__N227__bin.3	QinN_2014__LD-61__bin.27	VatanenT_2016__G78904__bin.6	BackhedF_2015__SID536_4M__bin.1	VatanenT_2016__G69157__bin.8	BackhedF_2015__SID532_4M__bin.3	LoombaR_2017__SID0017_mqf__bin.5	FerrettiP_2018__CA_C10034IS2595FE_t4M15__bin.6	NielsenHB_2014__V1_UC14_1__bin.19	QinN_2014__LD-38__bin.43	BackhedF_2015__SID577_4M__bin.10	BackhedF_2015__SID12_4M__bin.1	CM_periimplantitis__SP_123SPT_T016__bin.1	BackhedF_2015__SID546_4M__bin.20
CM_madagascar__A09_02_1FE__bin.29	1.0	0.782325768282464	0.8750425702304406	0.748579523046386	0.7875961252042676	0.8413343714128492	0.6269302757622971	0.7625444145537759	0.8299696278225106	0.8655546286251973	0.8479734714387391	0.8940690273386714	0.6147665573837428	0.42576447782218585	0.747661769195578	0.8478082943048224	0.8755631565907068	0.725587886762723	0.7943702436177134	0.583220972670608	0.8593911088303882	0.8611714028271273	0.8476737398979799	0.8635525518475248	0.8532099577684755	0.6473992489080214	0.7813221779997049	0.8373371775682028	0.8828379101937491	0.8247577324705767	0.9019321084861145	0.8587150889311833	0.5302640699831389	0.8047313969252926	0.732105887822455	0.6967978835055785	0.8741178566689339	0.8758410810379434	0.653338666018331	0.8474640206155911	0.7461338807068467	0.6638770599583717	0.8440384510096685	0.7988745683819415
VatanenT_2016__G80310__bin.4	0.822855745730817	1.0	0.9366723211706189	0.7868463484527872	0.8357135606587074	0.905041911001101	0.6645558253753836	0.8617830036933216	0.8857891058726155	0.9320532291186782	0.9035075818504088	0.909253995892839	0.6597708071430244	0.4289211284541926	0.8335516401314916	0.9205887060881244	0.8954216086640795	0.7556654030249319	0.8489534938197377	0.6854844849260946	0.9054645347429902	0.8789378186758701	0.8985581014921644	0.9046856577313792	0.953899850861645	0.7089859763096455	0.8568408436077427	0.8689212455785553	0.9432332375516324	0.8674332781547447	0.9141493062333587	0.9136988654553404	0.5936204311738205	0.8429264693251295	0.7783026142157743	0.7583114375844272	0.9405110721564156	0.9421117717792753	0.6996062669342308	0.9068358658223301	0.7983787060100415	0.6962901834167519	0.8705761152191397	0.840925594796555
QinN_2014__LD-33__bin.41	0.778881706947898	0.7926727682190645	1.0	0.7390068602197698	0.789399389018775	0.8375014609612568	0.642778349772503	0.7833217901906828	0.8445970865025352	0.8971710421165705	0.8826489839763008	0.8878815999828195	0.6085173112035388	0.43598098747352204	0.755636006510415	0.861032539272497	0.8484792167678292	0.7150169471505784	0.8176844249346749	0.6221514352937678	0.860871885158327	0.8279646362712386	0.8721854039335891	0.8561232964572256	0.8691284328459608	0.6830897296591861	0.8170223978266679	0.8189159688124522	0.9037760324711288	0.831923996149257	0.8839007644905674	0.936779095637105	0.5366921193994592	0.8032953504056207	0.7168642629672443	0.6903645939807984	0.8832147838128384	0.9024850176616277	0.6508849811530836	0.8656407104959173	0.7677181044796892	0.6783035586331763	0.8322721488953894	0.7857200381109554
VatanenT_2016__G78766__bin.2	0.8531878236369175	0.8526299201272549	0.946265166514367	1.0	0.8477780104579145	0.908056443970623	0.7428932082783362	0.8358632010017938	0.8914356787491116	0.9349389320404778	0.9129332081091143	0.9500615544725353	0.6682372575896031	0.47960664365248584	0.820031961789691	0.9344994838731513	0.9425105552171117	0.864120088333841	0.8584273572613125	0.7039367363860967	0.9364413053778725	0.8955631070836294	0.9377580634243747	0.9521382246928622	0.9255153865028599	0.7070557078552814	0.8444337623108945	0.9040242029647679	0.9490520399702169	0.9025810572985413	0.9368178241445833	0.9319585110163467	0.5483075692963753	0.8391090889091956	0.7760919044234609	0.7498038083392561	0.9382207796053745	0.9476115383964531	0.6810568754865131	0.9163895657765593	0.8900575777574711	0.7955730488712898	0.9054689350864723	0.8421587851558534
GeversD_2014__SKBSTL023__bin.4	0.8010684209408616	0.8081415185829265	0.9020290087611461	0.7565567020526046	1.0	0.9030417434515565	0.6436259299721804	0.7919226621803055	0.8934887199949032	0.9458578632053101	0.8783066660689046	0.9125584292702034	0.6229271619124923	0.39924115685825723	0.7671106622652506	0.903449951982407	0.8791882077285909	0.7272581836372087	0.8051269103805305	0.6713633457054339	0.8766389100596268	0.8550279257107666	0.8556126313405049	0.8752972489576525	0.8841735428961097	0.6884123047736802	0.8297930878261833	0.8349827632178158	0.9586572062963217	0.8443762786011425	0.8872362866709297	0.8874656385160086	0.5337352496324944	0.8235807674792297	0.7310377699072447	0.6892593964648669	0.9511433378244137	0.9583447969929425	0.6878667682862084	0.8697423095164499	0.7572820390606013	0.6677286380700468	0.8434253650870805	0.8396297336262367
LoombaR_2017__SID1050_bax__bin.8	0.8154878726661426	0.8340296603842826	0.9119943046593499	0.7722448384851042	0.8605788344159757	1.0	0.6633835108555064	0.8149257141212428	0.917947788513257	0.95797842390532	0.8905211974246843	0.9185657131858108	0.6392565655620775	0.42459789923600405	0.7878004400127362	0.9370998555477403	0.8816944088160852	0.7476861554291923	0.8236319759378155	0.6714030397936295	0.8971263354638394	0.859864218473699	0.8775641175549971	0.9072078619446549	0.9063052601849636	0.699358059914408	0.8519710627764695	0.8489623902441656	0.9854666275704137	0.849426508338835	0.8867425925492856	0.9030384444488417	0.5507332346332837	0.85030662375673	0.7552968826734641	0.7149662794818427	0.988248188050578	0.9903569571842064	0.6782451838753142	0.8928912578499819	0.7936014664692665	0.6922636190777722	0.8678585627090105	0.8534461667982868
BackhedF_2015__SID608_B__bin.7	0.7287851468385577	0.7344727171915646	0.839458416013005	0.7577046487055586	0.735610231262166	0.7956023673668842	1.0	0.7300397024232986	0.7687739712617236	0.827160427239282	0.7986012190655772	0.8520196133530884	0.536400180578336	0.5351763686171248	0.7129208977353816	0.8304521524042323	0.8000758342713734	0.7181171094737284	0.7271810847968466	0.5977229222838953	0.8172399453518607	0.7746751288939902	0.8496777043466629	0.8230418604099258	0.8165716760614505	0.5902268717607952	0.7208020525953281	0.7849057438257904	0.8409486727114743	0.7889434063826999	0.8207080418307451	0.8226330241531615	0.46303996185633234	0.7271978050131525	0.6831777903748726	0.6300916429662095	0.8347481692711549	0.8398667129079531	0.5365015805998027	0.8034317434924649	0.8105594098950241	0.7872595187921748	0.8235968637189105	0.7236811659708001
VincentC_2016__MM098.1__bin.2	0.8105398394192264	0.8709055848178179	0.9354209820283679	0.7795387741413663	0.8276104239411335	0.8936724467854255	0.6675371367698408	1.0	0.875073977629165	0.9245023771478172	0.8948674320885364	0.9060232585666094	0.6400795999289814	0.42360675465072695	0.8138185279438165	0.9015249255291866	0.8822922214988854	0.7663248900199247	0.8401442070584522	0.6801522952792409	0.8854673413426446	0.8640601881990886	0.8923837564853722	0.8974911720029196	0.9380166104436686	0.6966941863447161	0.8403414807362254	0.8541279517074037	0.9302405752500443	0.8632158568582193	0.9006593872679568	0.9044850170641731	0.5853114951372038	0.847580438342112	0.7615701012013967	0.7644211990294134	0.9254808545895721	0.9293079639383717	0.6948906117456748	0.8919872363930481	0.8052839754591545	0.7053471030360419	0.8694561164703792	0.832736087273875
VincentC_2016__MM019.2__bin.8	0.6931600125239862	0.7033404013255585	0.7924622032915764	0.6532126814660504	0.7336591429749427	0.7909342924722783	0.5523186424494934	0.6875540561905382	1.0	0.8438675092457398	0.7550839944076061	0.7774055198539281	0.5438796767323556	0.364252311822457	0.6805197764282459	0.7910288423682733	0.7590062650931084	0.632407441851814	0.702887801823418	0.592575198167282	0.7691180664701268	0.7357435031821464	0.7439604316435252	0.7747697477532774	0.7694234161342421	0.594993195507485	0.7372869139843946	0.7151820007997991	0.8834509782039239	0.7213928439678716	0.7554540565005379	0.7787737808488411	0.47177181855099964	0.7462180041601953	0.6443645161990321	0.6098421791736028	0.8314667478865773	0.8872271615501223	0.5623905313704155	0.7555389189071893	0.656575402767057	0.5754779419742638	0.7280694616235922	0.7600695639234797
HeQ_2017__RSZAXPI003095-129__bin.6	0.7765074383330142	0.7949792292771456	0.9042407239366972	0.7359150356723637	0.8342783526610668	0.8866617827024418	0.6383525778173674	0.7802790519559445	0.9064713913470585	1.0	0.864148650111138	0.8807369236020346	0.6102750559852149	0.4254347699403102	0.7542611200372957	0.8940834658386128	0.8469256000199799	0.7079166007608995	0.8031060347482954	0.6770140108723705	0.8712081983999467	0.8211570000249748	0.8607953646739538	0.8660700460369128	0.8720294536342521	0.6737269087003939	0.8354567477793226	0.810227603832802	0.9876041657994855	0.8150652258972204	0.8519975691178062	0.8867433671048359	0.535062145669783	0.8205230559186154	0.7209559527476461	0.6826121161162495	0.9442274872836557	0.9738742601210446	0.6474579798702974	0.8590725185438017	0.7656925100523638	0.6730509236519843	0.8308322441538115	0.8311032209189068
