	CM_madagascar__A09_02_1FE__bin.29	VatanenT_2016__G80310__bin.4	QinN_2014__LD-33__bin.41	VatanenT_2016__G78766__bin.2	GeversD_2014__SKBSTL023__bin.4	LoombaR_2017__SID1050_bax__bin.8	BackhedF_2015__SID608_B__bin.7	VincentC_2016__MM098.1__bin.2	VincentC_2016__MM019.2__bin.8	HeQ_2017__RSZAXPI003095-129__bin.6	QinN_2014__LD-5__bin.1	VatanenT_2016__G80539__bin.15	WenC_2017__RA039__bin.8	QinN_2014__LD-45__bin.19	VatanenT_2016__G78542__bin.1	QinN_2014__LD-85__bin.11	HeQ_2017__SZAXPI029473-40__bin.23	BackhedF_2015__SID103_B__bin.7	LoombaR_2017__SID5630_kod__bin.18	XieH_2016__YSZC12003_37270__bin.57	BackhedF_2015__SID12_B__bin.5	QinN_2014__LD-64__bin.31	BackhedF_2015__SID241_4M__bin.11	VincentC_2016__MM058.1__bin.43	VatanenT_2016__G78589__bin.3	QinN_2014__LD-91__bin.15	QinN_2014__LD-44__bin.14	LiuW_2016__SRR3993058__bin.16	LiJ_2014__V1.CD7-0-PN__bin.21	BackhedF_2015__SID582_4M__bin.1	WenC_2017__N227__bin.3	QinN_2014__LD-61__bin.27	VatanenT_2016__G78904__bin.6	BackhedF_2015__SID536_4M__bin.1	VatanenT_2016__G69157__bin.8	BackhedF_2015__SID532_4M__bin.3	LoombaR_2017__SID0017_mqf__bin.5	FerrettiP_2018__CA_C10034IS2595FE_t4M15__bin.6	NielsenHB_2014__V1_UC14_1__bin.19	QinN_2014__LD-38__bin.43	BackhedF_2015__SID577_4M__bin.10	BackhedF_2015__SID12_4M__bin.1	CM_periimplantitis__SP_123SPT_T016__bin.1	BackhedF_2015__SID546_4M__bin.20
CM_madagascar__A09_02_1FE__bin.29	1.0	0.9887584905062902	0.9884977705749437	0.992062930849484	0.9883043659508467	0.989111728470149	0.9873403754702146	0.9886997696519272	0.9879980027969679	0.9881815311726616	0.9883941343327574	0.9889564689441105	0.9889128387163224	0.9892113552426475	0.988869285598127	0.9893717939138373	0.9914825939864833	0.9921394321358286	0.9890561634181003	0.987813762032407	0.991400641981203	0.9926107043976925	0.9928126791599757	0.9922848202732595	0.9885607229446771	0.9873254615146753	0.9882840537420543	0.9898186967844128	0.9883280750543575	0.9866136570891615	0.993347195259487	0.9887071657331207	0.989304146244765	0.9873018601775816	0.9895251611236292	0.9881835050732362	0.9887378687653904	0.988485360714181	0.9880406410508293	0.9888227991942194	0.992386074996359	0.9927185004898275	0.9890838467356206	0.9874290590604827
VatanenT_2016__G80310__bin.4	0.9887584905062902	1.0	0.9926333651050925	0.9900882484244423	0.9937149472377045	0.9936912574030207	0.9915267504064786	0.9994131030267358	0.9932277216886919	0.9937266218194097	0.99240598472942	0.9928878306551232	0.9883837733984098	0.9936092303831183	0.9995938499281337	0.9935014148998194	0.9894108708300956	0.9900454346083072	0.9892639807378333	0.9935631227767132	0.9886612990030214	0.9897118131706596	0.9892587217814447	0.9896909142840364	0.9997008016980143	0.9919241520291353	0.9930387135307319	0.9891854113610403	0.9937386919326403	0.9874415785634646	0.9889197143875302	0.9923217213082172	0.9995620100860942	0.9924989858058793	0.998398628755444	0.9983327486710176	0.9936848173170476	0.9940249906157751	0.9915355055042039	0.9873339500403552	0.9898501636074969	0.9902218119734048	0.9881980228295275	0.9924235399548119
QinN_2014__LD-33__bin.41	0.9884977705749437	0.9926333651050925	1.0	0.9897802442762785	0.991111479838532	0.9919388171877331	0.991006146383643	0.9921784804637253	0.990196643317502	0.9910311282804127	0.9958418117846707	0.9918140520211827	0.9879926857774312	0.99899500816201	0.9924160981361891	0.9917953826371515	0.9881905784365503	0.9894019608515463	0.9918419425845086	0.9904873053392201	0.987762391851767	0.9883320408920852	0.9885583084851918	0.9889440164110392	0.992024078609022	0.9961659055894905	0.9937725266803805	0.9892305696767724	0.9908604945158439	0.9872113110917801	0.9883507430291947	0.9989201677175067	0.9922969316009065	0.9903579282453079	0.9923097679438748	0.9917620884010679	0.9909324780297126	0.9912853309043006	0.9931945652310911	0.9874915786051814	0.9893129096602654	0.9897154406385622	0.9881794452979387	0.9904815057577961
VatanenT_2016__G78766__bin.2	0.992062930849484	0.9900882484244423	0.9897802442762785	1.0	0.9899134912842932	0.9906447485170403	0.9889824966014698	0.9900607081025148	0.9890128071465156	0.9894771541416146	0.9893957533726067	0.9903340978959919	0.9896550184790551	0.990739739375607	0.989803792907336	0.990745397226927	0.9991131675558349	0.9982650110147364	0.9897409883063363	0.9888504998295149	0.9969261568290549	0.9907124926801502	0.9925823929786853	0.9977175250191176	0.989857416760459	0.9886154335296444	0.9895880845198906	0.9905626594908807	0.9893930498013953	0.9865256343563956	0.9923292539199563	0.9896233195943441	0.9894400335903504	0.9878956844834156	0.9895562290765533	0.9890022125313535	0.9904421583382832	0.9894431990105242	0.9891058000766473	0.9888351614239591	0.998538772367076	0.999090187640498	0.9898537403167996	0.9879469564343488
GeversD_2014__SKBSTL023__bin.4	0.9883043659508467	0.9937149472377045	0.991111479838532	0.9899134912842932	1.0	0.9980144635922406	0.9906164564648322	0.993297695835077	0.9980811363046902	0.998381100821554	0.9933672151377155	0.9933323230792545	0.9890536572353834	0.9930101777914979	0.9936062748971717	0.9974828774706852	0.9893535047457305	0.9897325597376591	0.9887217718310299	0.9985989295428621	0.9881950333066993	0.9894486379508262	0.9886577790186362	0.9890640097777608	0.9933419399989927	0.9928663653311208	0.9954810153957989	0.9887121893267603	0.9984272162366332	0.9866797250029089	0.9883738779990558	0.9910290813121583	0.993387912915089	0.9916843484595531	0.9933209190661598	0.9924938689056855	0.9980469746180979	0.9987837026981832	0.9913926495743935	0.9872746888713659	0.9894707504402602	0.9898567676815729	0.9878925563874448	0.99716295362197
LoombaR_2017__SID1050_bax__bin.8	0.989111728470149	0.9936912574030207	0.9919388171877331	0.9906447485170403	0.9980144635922406	1.0	0.9913505216233599	0.9939045360278506	0.9978616443827588	0.9983090739180276	0.993761320185148	0.9927211681514168	0.9892592628679362	0.992546367063563	0.9936091816326508	0.9973330538113351	0.9904742225540906	0.9903799585746683	0.9894346774459322	0.9982748163983383	0.9893856145094846	0.9903280927649493	0.9897661834651025	0.9903237778798911	0.9938305852067197	0.9926908190942616	0.9955373635445903	0.9895158119859728	0.9981406052279876	0.9872065054112452	0.9892462760326515	0.9916547687776345	0.9938369844236558	0.992172163084746	0.9933965093300036	0.9924792081037516	0.9983793789027573	0.9983217216905005	0.9915945114474154	0.9878526556083076	0.9902436341761242	0.9909116424705294	0.9885750760227208	0.996845623059047
BackhedF_2015__SID608_B__bin.7	0.9873403754702146	0.9915267504064786	0.991006146383643	0.9889824966014698	0.9906164564648322	0.9913505216233599	1.0	0.9912593558214814	0.990480452579812	0.9907456218554496	0.991128553967015	0.9908776934734391	0.9881394530854114	0.992949959220843	0.9913010870828756	0.9908151202696067	0.9881735601494342	0.9886875173578366	0.988867561535364	0.9901777792470852	0.9878365295285408	0.9884063895265937	0.9885596490897796	0.9888943757079941	0.9913110607512037	0.9905920074155946	0.9906391722620617	0.9888600700033907	0.9902609672090437	0.9876444430040093	0.987653263233051	0.9911735213438707	0.9913554785203388	0.9893953725929345	0.9911785926126484	0.9905046226267915	0.9906628021451167	0.990883723889976	0.9908653237928928	0.9878429289442673	0.9888742663122154	0.9889365571275837	0.9879919225799606	0.9897844766536047
VincentC_2016__MM098.1__bin.2	0.9886997696519272	0.9994131030267358	0.9921784804637253	0.9900607081025148	0.993297695835077	0.9939045360278506	0.9912593558214814	1.0	0.9932250657453547	0.9934522683345761	0.9924057376197388	0.9928960298513755	0.9880108099878198	0.9930583656867755	0.9993743807398902	0.9935094651368817	0.9893623845955605	0.989857633562499	0.9891625352606647	0.9933610454642694	0.9885546493880616	0.9896113579173009	0.9892834140863428	0.9895906915485138	0.9995312299642852	0.9915615368363274	0.992759580432048	0.9890996316285445	0.9936253288479023	0.9869201257634672	0.9887401800748237	0.9918428514488227	0.9991572669518994	0.9921228841616573	0.9982416559463705	0.998165273502402	0.9936180070369772	0.9939297714433408	0.9912328959864927	0.9874886980602159	0.989808073160249	0.9898803372897909	0.9882211286482802	0.9921986878329264
VincentC_2016__MM019.2__bin.8	0.9879980027969679	0.9932277216886919	0.990196643317502	0.9890128071465156	0.9980811363046902	0.9978616443827588	0.990480452579812	0.9932250657453547	1.0	0.9987946905845063	0.9931085026053346	0.9918607703766253	0.9883828770494747	0.9923452744658794	0.992584646374672	0.9974533111108831	0.9884563154173667	0.9887476871962457	0.988060408808029	0.99839066967075	0.9876696977809536	0.9891138325227444	0.9880740455968459	0.9885389468646374	0.9931153519898208	0.9921844861889306	0.9956842890223321	0.9882410202645757	0.9987051171527296	0.9861187255246264	0.9876200545187713	0.99002702481692	0.9930951056412131	0.9917088348801592	0.9934314013070287	0.9923808430824449	0.9980710461562792	0.9985873537852289	0.990528996204637	0.9866433893759409	0.9888681641400111	0.9890328415382792	0.987318604494741	0.9966338041265242
HeQ_2017__RSZAXPI003095-129__bin.6	0.9881815311726616	0.9937266218194097	0.9910311282804127	0.9894771541416146	0.998381100821554	0.9983090739180276	0.9907456218554496	0.9934522683345761	0.9987946905845063	1.0	0.9937104750745266	0.9922501413882592	0.9888371660119998	0.9921459107481916	0.9937077946790998	0.997655841052368	0.9887420681316994	0.9893215517692706	0.9888745095727806	0.999399673968278	0.9878946784634591	0.9891932873225707	0.9883930282653779	0.9890671652256089	0.993542154550085	0.993037098662269	0.9963113332065887	0.9887567108477371	0.998828839675645	0.9864758933870167	0.9881972845112472	0.9908244335734199	0.9933902474271579	0.9920589626677134	0.9935267339863387	0.992517029447099	0.9985552752482378	0.9991962544260458	0.9911561829935419	0.986816172314966	0.9890243122183696	0.989181077622174	0.987830335375963	0.9976740281634966
