	BritoIL_2016__M1.57.ST__bin.49	CosteaPI_2017__SID713B002-11-90-0__bin.69	ZeeviD_2015__PNP_Main_415__bin.61	CosteaPI_2017__SID713A066-11-90-0__bin.37	CosteaPI_2017__SID713A078-11-0-0__bin.28	CosteaPI_2017__SID713B065-11-0-0__bin.55	CosteaPI_2017__SID713A066-11-0-0__bin.48	CM_madagascar__A46_01_1FE__bin.15	ZeeviD_2015__PNP_Main_51__bin.51	CosteaPI_2017__SID713B032-11-0-0__bin.37	Obregon-TitoAJ_2015__SM30__bin.13	CM_madagascar__A81_01_1FE__bin.24	CosteaPI_2017__SID713B042-11-0-0__bin.44	ZeeviD_2015__PNP_Main_587__bin.27	LiuW_2016__SRR3992983__bin.11	CosteaPI_2017__SID713A078-11-90-0__bin.4	CosteaPI_2017__SID713A073-11-90-0__bin.42	ZellerG_2014__CCIS74726977ST-3-0__bin.59	LiuW_2016__SRR3993058__bin.63	CosteaPI_2017__SID713A049-11-90-0__bin.34	CosteaPI_2017__SID713A073-11-0-0__bin.42	CosteaPI_2017__SID713B043-11-0-0__bin.37	ZeeviD_2015__PNP_Main_73__bin.17	HMP_2012__SRS017307__bin.40	CosteaPI_2017__SID713B042-11-90-0__bin.30	CosteaPI_2017__SID713B046-11-0-0__bin.20	CosteaPI_2017__SID713B037-11-90-0__bin.28	CM_madagascar__A62_01_1FE__bin.52	CosteaPI_2017__SID713B046-11-90-0__bin.62	LiuW_2016__SRR3993059__bin.71	RampelliS_2015__H9__bin.15	ZeeviD_2015__PNP_Main_293__bin.8	BritoIL_2016__M1.65.ST__bin.15	RampelliS_2015__H6__bin.15	ZeeviD_2015__PNP_Main_374__bin.24	CosteaPI_2017__SID713B032-11-90-0__bin.28	SchirmerM_2016__G88821__bin.15	HMP_2012__SRS049959__bin.25	CosteaPI_2017__SID713B065-11-90-0__bin.33	CosteaPI_2017__SID713B043-11-90-0__bin.27	CosteaPI_2017__SID713A049-11-0-0__bin.64
BritoIL_2016__M1.57.ST__bin.49	2267323.0	1457003.0	2044894.0	1644855.0	1883508.0	1974594.0	2091391.0	2023692.0	1979801.0	2075599.0	1940888.0	1988537.0	2089253.0	1640509.0	1436779.0	1980988.0	2018713.0	2042538.0	1876105.0	2061865.0	2019950.0	1917043.0	1946390.0	2038150.0	2102954.0	2069379.0	2001560.0	1552685.0	2039246.0	2007922.0	1838743.0	2073924.0	2055152.0	1789246.0	2035283.0	2076739.0	1624304.0	1987098.0	1671229.0	2086863.0	2066492.0
CosteaPI_2017__SID713B002-11-90-0__bin.69	1457003.0	1675215.0	1591397.0	1497102.0	1601829.0	1572983.0	1617271.0	1480081.0	1510601.0	1639067.0	1524993.0	1515910.0	1599758.0	1310707.0	1292023.0	1564678.0	1582385.0	1579606.0	1465485.0	1510906.0	1622099.0	1555404.0	1490582.0	1567441.0	1617208.0	1615856.0	1568010.0	1217528.0	1591646.0	1550440.0	1494813.0	1594641.0	1502706.0	1471019.0	1567774.0	1621918.0	1294843.0	1506785.0	1488630.0	1585377.0	1577961.0
ZeeviD_2015__PNP_Main_415__bin.61	2044894.0	1591397.0	2633232.0	1749233.0	2035436.0	2114721.0	2296284.0	2092808.0	2149159.0	2292518.0	2084824.0	2107954.0	2255298.0	1777490.0	1560449.0	2168421.0	2199553.0	2265493.0	1929176.0	2119400.0	2193851.0	2026532.0	2089396.0	2235111.0	2278854.0	2316173.0	2281300.0	1638665.0	2244798.0	2209144.0	2022130.0	2294901.0	2143249.0	1925167.0	2227907.0	2237438.0	1739581.0	2112345.0	1819202.0	2236628.0	2195159.0
CosteaPI_2017__SID713A066-11-90-0__bin.37	1644855.0	1497102.0	1749233.0	1940441.0	1701908.0	1765653.0	1923488.0	1671948.0	1711085.0	1833109.0	1702827.0	1705917.0	1802965.0	1448452.0	1365817.0	1727810.0	1778096.0	1773614.0	1657392.0	1728388.0	1767702.0	1722587.0	1675460.0	1775339.0	1804575.0	1806716.0	1736411.0	1342449.0	1786391.0	1734010.0	1629548.0	1766463.0	1681800.0	1612058.0	1759935.0	1822131.0	1406179.0	1691164.0	1598804.0	1816050.0	1770122.0
CosteaPI_2017__SID713A078-11-0-0__bin.28	1883508.0	1601829.0	2035436.0	1701908.0	2183889.0	1996806.0	2071175.0	1922530.0	1946201.0	2062707.0	1947969.0	1938278.0	2067697.0	1653951.0	1537444.0	2042698.0	1992185.0	2037406.0	1832067.0	1946951.0	2057162.0	1946706.0	1933042.0	2025307.0	2093047.0	2069724.0	2008418.0	1567559.0	2032538.0	1980106.0	1874115.0	2037862.0	1960784.0	1822782.0	2005815.0	2059571.0	1629658.0	1941222.0	1801970.0	2060116.0	2015433.0
CosteaPI_2017__SID713B065-11-0-0__bin.55	1974594.0	1572983.0	2114721.0	1765653.0	1996806.0	2298312.0	2177385.0	2018992.0	2040396.0	2154020.0	2050170.0	2060624.0	2150370.0	1740116.0	1572718.0	2088535.0	2073318.0	2175203.0	1928405.0	2049931.0	2123519.0	2006680.0	2020776.0	2124940.0	2173833.0	2155905.0	2086629.0	1612202.0	2135183.0	2098331.0	1915585.0	2138746.0	2037707.0	1869265.0	2093064.0	2142748.0	1691917.0	2048822.0	1874932.0	2146807.0	2096865.0
CosteaPI_2017__SID713A066-11-0-0__bin.48	2091391.0	1617271.0	2296284.0	1923488.0	2071175.0	2177385.0	2730358.0	2129133.0	2193935.0	2382272.0	2141758.0	2182926.0	2364244.0	1808611.0	1585585.0	2242015.0	2273871.0	2330832.0	1991219.0	2229474.0	2244328.0	2095139.0	2148895.0	2316498.0	2359183.0	2336699.0	2269372.0	1675740.0	2306938.0	2231040.0	2033995.0	2289465.0	2164293.0	1961506.0	2266751.0	2360032.0	1775607.0	2158942.0	1862511.0	2373791.0	2287383.0
CM_madagascar__A46_01_1FE__bin.15	2023692.0	1480081.0	2092808.0	1671948.0	1922530.0	2018992.0	2129133.0	2398040.0	2005331.0	2095556.0	2004048.0	2012839.0	2110466.0	1657820.0	1471828.0	2028136.0	2033032.0	2094791.0	1892240.0	2094699.0	2049046.0	1935015.0	2001042.0	2124156.0	2134024.0	2119002.0	2043027.0	1590667.0	2076992.0	2030924.0	1900658.0	2111480.0	2115784.0	1860685.0	2073876.0	2065156.0	1646727.0	2023237.0	1722608.0	2103741.0	2072576.0
ZeeviD_2015__PNP_Main_51__bin.51	1979801.0	1510601.0	2149159.0	1711085.0	1946201.0	2040396.0	2193935.0	2005331.0	2495175.0	2170125.0	2020172.0	2045398.0	2171336.0	1740705.0	1518514.0	2095168.0	2080062.0	2180141.0	1930275.0	2051760.0	2085292.0	1948129.0	2121302.0	2146612.0	2182905.0	2203531.0	2112072.0	1591390.0	2166728.0	2126366.0	1912907.0	2145901.0	2018075.0	1849475.0	2214401.0	2134055.0	1656761.0	2048720.0	1748936.0	2178505.0	2127373.0
CosteaPI_2017__SID713B032-11-0-0__bin.37	2075599.0	1639067.0	2292518.0	1833109.0	2062707.0	2154020.0	2382272.0	2095556.0	2170125.0	2652250.0	2124831.0	2141288.0	2377484.0	1789385.0	1568647.0	2207453.0	2323468.0	2291358.0	1976188.0	2235888.0	2269319.0	2095885.0	2107419.0	2262286.0	2383301.0	2321779.0	2271567.0	1660654.0	2298620.0	2211033.0	2039935.0	2277371.0	2168742.0	1952180.0	2276396.0	2458666.0	1758301.0	2151340.0	1846661.0	2401953.0	2355851.0
