	BritoIL_2016__M1.57.ST__bin.49	CosteaPI_2017__SID713B002-11-90-0__bin.69	ZeeviD_2015__PNP_Main_415__bin.61	CosteaPI_2017__SID713A066-11-90-0__bin.37	CosteaPI_2017__SID713A078-11-0-0__bin.28	CosteaPI_2017__SID713B065-11-0-0__bin.55	CosteaPI_2017__SID713A066-11-0-0__bin.48	CM_madagascar__A46_01_1FE__bin.15	ZeeviD_2015__PNP_Main_51__bin.51	CosteaPI_2017__SID713B032-11-0-0__bin.37	Obregon-TitoAJ_2015__SM30__bin.13	CM_madagascar__A81_01_1FE__bin.24	CosteaPI_2017__SID713B042-11-0-0__bin.44	ZeeviD_2015__PNP_Main_587__bin.27	LiuW_2016__SRR3992983__bin.11	CosteaPI_2017__SID713A078-11-90-0__bin.4	CosteaPI_2017__SID713A073-11-90-0__bin.42	ZellerG_2014__CCIS74726977ST-3-0__bin.59	LiuW_2016__SRR3993058__bin.63	CosteaPI_2017__SID713A049-11-90-0__bin.34	CosteaPI_2017__SID713A073-11-0-0__bin.42	CosteaPI_2017__SID713B043-11-0-0__bin.37	ZeeviD_2015__PNP_Main_73__bin.17	HMP_2012__SRS017307__bin.40	CosteaPI_2017__SID713B042-11-90-0__bin.30	CosteaPI_2017__SID713B046-11-0-0__bin.20	CosteaPI_2017__SID713B037-11-90-0__bin.28	CM_madagascar__A62_01_1FE__bin.52	CosteaPI_2017__SID713B046-11-90-0__bin.62	LiuW_2016__SRR3993059__bin.71	RampelliS_2015__H9__bin.15	ZeeviD_2015__PNP_Main_293__bin.8	BritoIL_2016__M1.65.ST__bin.15	RampelliS_2015__H6__bin.15	ZeeviD_2015__PNP_Main_374__bin.24	CosteaPI_2017__SID713B032-11-90-0__bin.28	SchirmerM_2016__G88821__bin.15	HMP_2012__SRS049959__bin.25	CosteaPI_2017__SID713B065-11-90-0__bin.33	CosteaPI_2017__SID713B043-11-90-0__bin.27	CosteaPI_2017__SID713A049-11-0-0__bin.64
BritoIL_2016__M1.57.ST__bin.49	1.0	0.642609367963894	0.9018979651333312	0.725461259820502	0.8307188697860869	0.8708922372330717	0.9224054093748443	0.8925468493020183	0.8731887781317439	0.9154403673406921	0.8560262476938663	0.8770417801080834	0.9214624471237667	0.7235444619050748	0.6336895978208663	0.873712303011084	0.8903508675208605	0.9008588542523496	0.8274537858081976	0.9093830036567353	0.890896444838252	0.8455094399871567	0.8584528979770416	0.8989235322889593	0.9275052561986096	0.9126970440470987	0.8827855581229495	0.684809795516563	0.8994069217310459	0.8855915103406087	0.8109753219986742	0.9147016106659704	0.9064222433239552	0.7891447314740776	0.8976590454910923	0.9159431629282638	0.7163972667326182	0.8764071109409644	0.7370934798438511	0.9204083405849101	0.9114237362740113
CosteaPI_2017__SID713B002-11-90-0__bin.69	0.8697408989293911	1.0	0.9499658252821279	0.8936775279590978	0.9561930856636313	0.9389738033625534	0.9654110069453772	0.8835170410962175	0.9017355981172566	0.9784218742071913	0.9103267341803888	0.9049047435702283	0.9549568264372036	0.7824112128890919	0.771258017627588	0.9340162307524705	0.9445862172915118	0.9429273257462475	0.8748041296191832	0.9019176642998062	0.9682930250743934	0.9284802249263527	0.8897854902206582	0.9356655712848798	0.9653733998322603	0.9645663392460072	0.9360052291795381	0.7267890987127026	0.9501144629196849	0.9255170231880684	0.8923111361825199	0.9519022931384926	0.8970227702115848	0.8781075861904293	0.9358643517399259	0.9681849792414705	0.7729413836432936	0.8994576815513232	0.8886202666523402	0.9463722566954093	0.941945362237086
ZeeviD_2015__PNP_Main_415__bin.61	0.7765719085899002	0.604351230730904	1.0	0.6642912588028704	0.7729801248048026	0.8030895112925864	0.8720401392661186	0.794767798659594	0.8161677360749072	0.8706099576490032	0.7917357832503934	0.8005196655668775	0.8564752365154304	0.6750221780686244	0.5925983734057615	0.8234827011064729	0.8353054345382405	0.8603469044884765	0.7326266732289445	0.8048664151126829	0.8331400347557678	0.7695987288624777	0.7934720525954416	0.8488089921434951	0.8654208972092091	0.8795932147262375	0.8663497937135809	0.6223017949045128	0.8524877413004247	0.8389477265960614	0.7679270189637677	0.871514929182085	0.8139233459110325	0.7311042095797105	0.8460731906645521	0.8496926970354303	0.6606258012966575	0.802187198089648	0.6908627876313215	0.8493850902617012	0.8336367627311229
CosteaPI_2017__SID713A066-11-90-0__bin.37	0.8476707099056349	0.7715266787292168	0.901461574971875	1.0	0.8770727891237096	0.9099235689206732	0.9912633262232657	0.8616329999211519	0.8818021264238387	0.9446868005778069	0.8775463928045223	0.8791388143210744	0.9291521875697328	0.7464550584119796	0.7038693781465141	0.8904213011372157	0.916336028768718	0.9140262445495637	0.8541316123499761	0.8907191715697618	0.9109795144505811	0.8877296449621503	0.8634428977742689	0.9149152177262797	0.9299818958680012	0.9310852533006673	0.8948537986983371	0.6918267548459345	0.9206108302184915	0.8936164511057023	0.8397822969108568	0.9103409998036529	0.8667101962904309	0.8307688819191101	0.906976816094898	0.9390293237465092	0.7246698044413615	0.8715359034363838	0.8239384758413165	0.9358955000435468	0.9122266536318291
CosteaPI_2017__SID713A078-11-0-0__bin.28	0.862455921523484	0.7334754650991877	0.9320235598054663	0.7793015121189767	1.0	0.9143349318578005	0.9483884025241209	0.8803240457733886	0.8911629666159773	0.9445109160767786	0.8919725315709727	0.8875350349765945	0.9467958307404818	0.7573420627147259	0.7039936553551943	0.9353488203841862	0.9122189818255415	0.9329256203039623	0.8389011529432128	0.891506390663628	0.9419718676178139	0.8913942054747288	0.8851374772252619	0.92738550356726	0.9584035635510779	0.9477239914665992	0.9196520519128948	0.7177832756151984	0.9306965692853437	0.9066880230634432	0.8581548787507057	0.933134422124934	0.8978405037984989	0.8346495632332962	0.9184601415181816	0.9430749456588682	0.7462183288619523	0.8888830888383064	0.8251197748603524	0.9433245004668278	0.9228642115052551
CosteaPI_2017__SID713B065-11-0-0__bin.55	0.859149671585059	0.6844079480940795	0.9201192005262993	0.7682390380418325	0.8688141557804162	1.0	0.9473844282238443	0.8784673273254459	0.8877802491567724	0.9372182714966463	0.8920329354761234	0.8965814911117377	0.9356301494314088	0.7571278399103342	0.6842926460811238	0.9087256212385437	0.9021046750832785	0.9464350358001873	0.8390527482778666	0.8919289461134955	0.9239472273564251	0.8731103522933353	0.8792435491787016	0.9245655072070285	0.9458389461483037	0.9380384386454058	0.9078963169491349	0.7014722109095719	0.929022256334214	0.9129878798004797	0.8334747414624298	0.9305725245310471	0.8866102600517249	0.8133208198016632	0.9106961979052453	0.9323138024776445	0.7361563617124219	0.8914464180668247	0.8157865424711701	0.9340798812345756	0.9123500203627706
CosteaPI_2017__SID713A066-11-0-0__bin.48	0.7659768425971979	0.592329284291657	0.8410193828062108	0.7044819763562141	0.7585726853401642	0.797472346117249	1.0	0.7797999383231063	0.8035338223046209	0.8725126888122363	0.7844238740853764	0.7995017503199214	0.8659098916698836	0.6624080065691019	0.5807242127222877	0.8211432346966955	0.8328105691634576	0.8536726685658071	0.7292886134345753	0.8165500641307843	0.8219903763535771	0.7673495563585434	0.7870378170188671	0.8484228075585692	0.8640562885892619	0.8558214710305388	0.8311627998965704	0.6137436922191156	0.8449214352110602	0.8171236152914746	0.74495542342799	0.8385219081160785	0.7926773705133173	0.7184061577273017	0.8302028525197062	0.864367236823889	0.6503202144187685	0.7907175542547901	0.6821490075660408	0.8694065027370037	0.8377593707491838
CM_madagascar__A46_01_1FE__bin.15	0.8438941802472019	0.6172044669813681	0.8727160514420109	0.6972143917532652	0.8017088955980718	0.8419342463011459	0.8878638388016881	1.0	0.8362375106336841	0.8738619872896198	0.8357024903671332	0.8393684008607029	0.8800795649780654	0.6913229137128655	0.6137629063735384	0.8457473603442812	0.8477890277059599	0.8735429767643575	0.789077746826575	0.8735046120998816	0.8544669813681173	0.8069152307717969	0.8344489666561025	0.8857883938549815	0.889903421127254	0.8836391386298811	0.851957014895498	0.6633196276959517	0.8661206652099215	0.8469099764807927	0.792588113626128	0.8805024103017465	0.8822972093876666	0.7759190839185335	0.8648212707044086	0.861184967723641	0.6866970525929509	0.8437044419609347	0.7183399776484128	0.8772751914063152	0.864279161315074
ZeeviD_2015__PNP_Main_51__bin.51	0.793451761900468	0.6054088390593846	0.861325959101065	0.6857575119981565	0.7799857725410041	0.8177366316991794	0.8792709930165219	0.8036835091727034	1.0	0.8697285761519733	0.8096313885799593	0.819741300710371	0.8702139128518039	0.6976284228561123	0.6085801597082369	0.8396877974490767	0.8336337130662178	0.8737427234562706	0.7736030538940154	0.8222910216718267	0.8357297584337772	0.780758463835202	0.8501616119109882	0.8603051890147986	0.8748504613904836	0.8831168154538259	0.8464624725720641	0.637786928772531	0.8683671485967918	0.8521911288787359	0.7666424198703498	0.8600202390613885	0.8087909665654713	0.7412205556724478	0.8874732233210095	0.8552726762651918	0.663985892773052	0.8210726702535894	0.7009271894756881	0.8730870580219824	0.8525947077860271
CosteaPI_2017__SID713B032-11-0-0__bin.37	0.7825804505608446	0.6179911395984542	0.8643672353661985	0.6911524177585069	0.7777196719766236	0.8121481760769158	0.8982079366575549	0.7901050051842775	0.8182203789235555	1.0	0.8011428032802338	0.8073477236308795	0.896402676972382	0.6746667923461213	0.5914400980299745	0.8322944669620134	0.8760365727212744	0.8639298708643605	0.7450986897916863	0.8430155528325007	0.855620322367801	0.7902290508059195	0.794577811292299	0.8529686115562258	0.8985959091337543	0.8753997549250636	0.856467904609294	0.6261302667546423	0.8666679234612121	0.8336442643038929	0.769133754359506	0.8586562352719389	0.8176989348666227	0.7360467527570931	0.8582886228673767	0.9270114054105005	0.6629469318503157	0.8111377132623244	0.6962620416627392	0.9056284286926195	0.8882462060514658
Obregon-TitoAJ_2015__SM30__bin.13	0.829266375217476	0.6515705271721112	0.890764661045047	0.7275521173362136	0.8322918126476188	0.8759583471481162	0.9150903572246472	0.8562522003958148	0.863141361972375	0.9078581048054936	1.0	0.8684693106736715	0.9052817190261176	0.7414710094646928	0.6495465902837357	0.8801583259559544	0.868398385294007	0.9096342301263668	0.8043117503700083	0.8595912476372449	0.8816832216187394	0.8310202829495388	0.860329555203872	0.9038516753771009	0.9124392007136973	0.9153185147712785	0.8863061891366245	0.688327391552531	0.9028843557411959	0.887135076103787	0.8107766414525518	0.8992240079846596	0.8642197695523327	0.7895118453929266	0.8884527500247812	0.902323788885053	0.7124172394816808	0.8687401943526307	0.762656334918188	0.9042486011464276	0.8791645161180062
CM_madagascar__A81_01_1FE__bin.24	0.850709196343965	0.6485162598582677	0.9017965736971686	0.72980250309625	0.8292080658650998	0.8815484886663344	0.9338700879784214	0.861105751645451	0.8750347058081159	0.9160570779527745	0.8695776051815932	1.0	0.9185327945822576	0.7328771489258846	0.6469911294307392	0.888878526463045	0.8830958650355828	0.9191129002932614	0.8103084271477494	0.8734428375554277	0.8898252624058558	0.838239490396812	0.8703023095137764	0.9083672548294014	0.9253789831465601	0.9167886271901022	0.8865174619947337	0.6834804631433944	0.9089122804015393	0.8910013026710103	0.8218887232326776	0.911314414300718	0.8637769758781265	0.7858233458324153	0.894600439357349	0.9069696107601909	0.712222219845519	0.8727656197526851	0.7547748560965645	0.9115283175864864	0.8943262153449939
CosteaPI_2017__SID713B042-11-0-0__bin.44	0.8225836234731976	0.6298589650560442	0.8879590939210597	0.7098659103016024	0.8140965648988707	0.8466466944922707	0.9308534659492013	0.8309356356061164	0.8549014574385194	0.9360663373318366	0.8342173035044749	0.8453493824676647	1.0	0.7107411529816325	0.6230223866052829	0.8731736740545863	0.9032366655419358	0.8982119929901842	0.7821653653518078	0.8898477754937562	0.8985222454561597	0.8465840927891106	0.8359646390933069	0.8933452027212448	0.9710638391695313	0.9101452950095419	0.8803831066744834	0.6583695130493054	0.8886134588937137	0.8703920323387012	0.8025337547202275	0.8952256161444674	0.8545955359079825	0.7678697349113163	0.88386242271741	0.9299171964516252	0.688734095131753	0.8486920771835691	0.7305717189128407	0.9720473552355301	0.9345922443970491
ZeeviD_2015__PNP_Main_587__bin.27	0.8585955118807927	0.6859865734297942	0.9302874512806637	0.758078368588504	0.8656306704021429	0.9107269681251109	0.9465752929964008	0.8676555943955295	0.9110352338868335	0.9365129542275065	0.9082608420313301	0.8965896595416627	0.9447837926528074	1.0	0.6989787453635835	0.908119531750065	0.9087475774445762	0.9375345752239114	0.8617849372660857	0.889342535598415	0.9272115974917948	0.8752706484414784	0.8967037545094989	0.9232973027007535	0.9499803474034759	0.9355850167138661	0.9078431916444801	0.7184947419491085	0.9333460338129335	0.9557301057367263	0.8479328661022281	0.9294620945637935	0.8799045789241473	0.8193484130593728	0.9146936000573616	0.930453360018297	0.7519156702111123	0.8988312592996558	0.797410776950095	0.9412384747072915	0.9248124629387618
LiuW_2016__SRR3992983__bin.11	0.8615260170508853	0.7747269615773448	0.9356814177970564	0.81897555576076	0.9218870861550602	0.9430381947983887	0.9507535464713974	0.8825422104749375	0.9105362190399553	0.9405971287642845	0.9115807626487515	0.9068371435390001	0.9488401488504624	0.8008153676229857	1.0	0.9236427828752412	0.9152468588738837	0.9379911663510649	0.9021642799664691	0.9010052083270873	0.9433667883102258	0.9110932689897668	0.899584700973908	0.9329609273532512	0.9553040869117846	0.9611893885882111	0.9287425781638818	0.7440226561628672	0.9432360704533271	0.9671364514539064	0.8796202466370133	0.9477860112705176	0.8933282325386727	0.8515674749987108	0.9298440859763725	0.9306541769152264	0.7765204345589232	0.9046719041754162	0.8776324957396772	0.942138760003214	0.9221083471146732
CosteaPI_2017__SID713A078-11-90-0__bin.4	0.7978573312900115	0.6301854495878786	0.8733473358613065	0.6958880495874759	0.8227114828113263	0.8411726680857148	0.9029878548543327	0.816846531353647	0.8438441570995032	0.8890677578703806	0.829679989206105	0.8368321529188827	0.8932129357582006	0.698837843879197	0.6203960312297992	1.0	0.8494650376477364	0.8798281031944694	0.7641489638062173	0.8317070665777916	0.8571677705572348	0.8100922918298673	0.8323180493659593	0.8812699742436721	0.8998044613423497	0.900132305765269	0.8555986282087169	0.6595214840800118	0.8808869520738979	0.8439033624191213	0.7835940851066401	0.8729179966047561	0.8328057884275751	0.7629020272787503	0.8720218616649583	0.8864595017489735	0.68335263211949	0.832763096156286	0.7220555925868496	0.8879009700409	0.8640968067389347
CosteaPI_2017__SID713A073-11-90-0__bin.42	0.8388323654986859	0.6575257367836033	0.9139765018750714	0.7388491943945233	0.8278092309610131	0.8615222878987773	0.9448577335009297	0.8447823151158804	0.8643246107019311	0.9654666902132699	0.8445512813853713	0.8577505375897282	0.9532638708538067	0.7214959018522173	0.6342499194913934	0.8764006939322481	1.0	0.9050866895899775	0.7980395375170107	0.9072973001049209	0.9323723549027144	0.8513073558895942	0.8492791622949628	0.9004244621505667	0.9515344421013265	0.9196638376115434	0.9025719123650832	0.6678337471302578	0.9097430996332962	0.8921699926243728	0.8227456031912573	0.9076513302099457	0.8644102095301414	0.7804547957159033	0.9133316019654488	0.9572392300260744	0.7053788059794521	0.8576337741395967	0.7475732108909965	0.9537579339933308	0.961676241131068
ZellerG_2014__CCIS74726977ST-3-0__bin.59	0.7564364414484646	0.5849935430971875	0.8390059147229605	0.6568427430300817	0.7545358492354857	0.8055677871099703	0.8632036533441275	0.7757878921313927	0.8073965330857478	0.8485847957807742	0.7884524579745805	0.7956530063761684	0.8448743450048903	0.6634063041740071	0.5793254675282783	0.8090152954713539	0.8066625163737204	1.0	0.7267365402185236	0.7995119640650304	0.8123457759412135	0.7572371196176891	0.7852775209048478	0.8454731870953789	0.8507320353853829	0.8538336448521986	0.8173564954738722	0.6099052999932227	0.8369212628198315	0.812347257306929	0.7475060282326085	0.8416275616979562	0.7896875466398737	0.7119936182764977	0.8312909620766673	0.8437918370082931	0.6435548925620997	0.7963085107052745	0.6900168172042851	0.8446462146847042	0.8234349093459733
