	NielsenHB_2014__O2_UC58_2__bin.2	ZeeviD_2015__PNP_Main_111__bin.3	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.66	SchirmerM_2016__G89089__bin.14	BackhedF_2015__SID566_12M__bin.26	ZeeviD_2015__PNP_Main_165__bin.56	SchirmerM_2016__G89059__bin.2	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.50	SchirmerM_2016__G90575__bin.14	SchirmerM_2016__G89168__bin.7	ZeeviD_2015__PNP_Main_71__bin.27	ZeeviD_2015__PNP_Main_38__bin.4	ZeeviD_2015__PNP_Main_142__bin.16	ZeeviD_2015__PNP_Main_217__bin.35	ZeeviD_2015__PNP_Main_230__bin.30	NielsenHB_2014__O2_UC1_2__bin.64	ZeeviD_2015__PNP_Main_30__bin.24	ZeeviD_2015__PNP_Main_359__bin.43	BackhedF_2015__SID626_12M__bin.8	SchirmerM_2016__G88922__bin.7	ZeeviD_2015__PNP_Main_459__bin.26	ZeeviD_2015__PNP_Main_689__bin.9	ZeeviD_2015__PNP_Main_340__bin.40	ZeeviD_2015__PNP_Main_186__bin.45	FengQ_2015__SID530323__bin.64	ZeeviD_2015__PNP_DietIntervention_25__bin.10	FengQ_2015__SID530450__bin.39	CM_madagascar__A15_02_1FE__bin.10	ZellerG_2014__CCIS74726977ST-3-0__bin.79	BackhedF_2015__SID238_M__bin.26
NielsenHB_2014__O2_UC58_2__bin.2	3045173.0	1899415.0	2460575.0	2341240.0	2135455.0	2243860.0	1907725.0	1666711.0	2195542.0	1681763.0	1770695.0	1785797.0	2142789.0	1586582.0	1557626.0	2010566.0	2274016.0	2046095.0	2447251.0	1597090.0	2195289.0	1742837.0	1646639.0	2253416.0	1761547.0	1831799.0	2070827.0	2577878.0	1850591.0	2684987.0
ZeeviD_2015__PNP_Main_111__bin.3	1899415.0	2272129.0	1872530.0	1771818.0	1627883.0	1786477.0	1551960.0	1587959.0	1886838.0	1561772.0	1689861.0	1708243.0	1698834.0	1577281.0	1219707.0	1558609.0	1725657.0	1616023.0	1862599.0	1601452.0	1825935.0	1281354.0	1596631.0	1806446.0	1412346.0	1384007.0	1668157.0	1879583.0	1431919.0	1980149.0
Bengtsson-PalmeJ_2015__TRAVELRES4__bin.66	2460575.0	1872530.0	3194754.0	2340668.0	2139172.0	2214713.0	1925244.0	1705338.0	2201410.0	1625972.0	1784478.0	1772311.0	2078326.0	1562138.0	1558840.0	2014711.0	2295200.0	2047863.0	2432366.0	1577532.0	2253930.0	1701843.0	1619949.0	2264846.0	1752649.0	1850232.0	2096582.0	2518866.0	1794626.0	2654856.0
SchirmerM_2016__G89089__bin.14	2341240.0	1771818.0	2340668.0	2978503.0	2061622.0	2005785.0	1867222.0	1632681.0	2044685.0	1579467.0	1651840.0	1684630.0	1937915.0	1446200.0	1515965.0	1902357.0	2176037.0	1989902.0	2312532.0	1462004.0	2122206.0	1704336.0	1530790.0	2095758.0	1655544.0	1760525.0	2026672.0	2352079.0	1728622.0	2513583.0
BackhedF_2015__SID566_12M__bin.26	2135455.0	1627883.0	2139172.0	2061622.0	2589628.0	1812457.0	1815420.0	1534607.0	1776043.0	1483069.0	1502275.0	1487055.0	1713150.0	1296751.0	1502895.0	1803306.0	1982702.0	1905931.0	2098109.0	1300113.0	2004824.0	1590692.0	1312179.0	1898562.0	1598302.0	1536132.0	1941214.0	2151144.0	1616350.0	2257116.0
ZeeviD_2015__PNP_Main_165__bin.56	2243860.0	1786477.0	2214713.0	2005785.0	1812457.0	2687454.0	1618944.0	1522161.0	2124507.0	1557578.0	1677026.0	1704179.0	1977038.0	1505956.0	1311741.0	1741620.0	2008058.0	1749190.0	2156553.0	1533807.0	1947494.0	1416975.0	1602188.0	2063585.0	1560964.0	1676513.0	1756950.0	2221243.0	1612576.0	2329041.0
SchirmerM_2016__G89059__bin.2	1907725.0	1551960.0	1925244.0	1867222.0	1815420.0	1618944.0	2240881.0	1592675.0	1640260.0	1503697.0	1392848.0	1430774.0	1488774.0	1183752.0	1608703.0	1684744.0	1872631.0	1831367.0	1859408.0	1202754.0	1939179.0	1541926.0	1209710.0	1784583.0	1509272.0	1340640.0	1892346.0	1900146.0	1470377.0	2031937.0
Bengtsson-PalmeJ_2015__TRAVELRES19__bin.50	1666711.0	1587959.0	1705338.0	1632681.0	1534607.0	1522161.0	1592675.0	1888828.0	1659133.0	1496322.0	1438282.0	1460396.0	1460957.0	1202732.0	1308137.0	1474892.0	1588244.0	1567995.0	1650823.0	1262816.0	1678141.0	1289345.0	1278211.0	1628633.0	1433153.0	1257333.0	1702923.0	1663325.0	1316460.0	1774625.0
SchirmerM_2016__G90575__bin.14	2195542.0	1886838.0	2201410.0	2044685.0	1776043.0	2124507.0	1640260.0	1659133.0	2734902.0	1685772.0	1821712.0	1819345.0	1996945.0	1608624.0	1305699.0	1733858.0	1983006.0	1749335.0	2140498.0	1630088.0	1954642.0	1426492.0	1679483.0	2096856.0	1568929.0	1680274.0	1746661.0	2223867.0	1610333.0	2338499.0
SchirmerM_2016__G89168__bin.7	1681763.0	1561772.0	1625972.0	1579467.0	1483069.0	1557578.0	1503697.0	1496322.0	1685772.0	1932143.0	1398958.0	1442365.0	1474900.0	1270344.0	1289923.0	1456149.0	1567818.0	1458989.0	1606406.0	1280101.0	1623829.0	1229853.0	1310678.0	1613907.0	1355350.0	1210889.0	1570899.0	1664506.0	1293154.0	1704185.0
ZeeviD_2015__PNP_Main_71__bin.27	1770695.0	1689861.0	1784478.0	1651840.0	1502275.0	1677026.0	1392848.0	1438282.0	1821712.0	1398958.0	1944776.0	1604304.0	1634385.0	1385537.0	1104061.0	1500909.0	1661602.0	1540055.0	1757090.0	1433243.0	1644106.0	1167085.0	1435434.0	1772349.0	1337396.0	1322653.0	1501077.0	1770391.0	1334047.0	1857878.0
ZeeviD_2015__PNP_Main_38__bin.4	1785797.0	1708243.0	1772311.0	1684630.0	1487055.0	1704179.0	1430774.0	1460396.0	1819345.0	1442365.0	1604304.0	2081280.0	1609123.0	1397802.0	1102490.0	1496721.0	1686417.0	1577398.0	1777228.0	1435091.0	1701350.0	1168870.0	1503389.0	1759076.0	1331467.0	1357302.0	1518672.0	1767750.0	1306800.0	1869688.0
ZeeviD_2015__PNP_Main_142__bin.16	2142789.0	1698834.0	2078326.0	1937915.0	1713150.0	1977038.0	1488774.0	1460957.0	1996945.0	1474900.0	1634385.0	1609123.0	2624943.0	1448518.0	1196296.0	1666371.0	1898296.0	1622959.0	2055609.0	1433597.0	1831460.0	1365858.0	1561516.0	1983428.0	1485456.0	1612552.0	1655894.0	2146462.0	1532984.0	2284747.0
ZeeviD_2015__PNP_Main_217__bin.35	1586582.0	1577281.0	1562138.0	1446200.0	1296751.0	1505956.0	1183752.0	1202732.0	1608624.0	1270344.0	1385537.0	1397802.0	1448518.0	1844232.0	909429.0	1332227.0	1441310.0	1289047.0	1534156.0	1517653.0	1486781.0	985654.0	1514812.0	1506091.0	1156140.0	1190759.0	1277414.0	1582551.0	1141881.0	1634528.0
ZeeviD_2015__PNP_Main_230__bin.30	1557626.0	1219707.0	1558840.0	1515965.0	1502895.0	1311741.0	1608703.0	1308137.0	1305699.0	1289923.0	1104061.0	1102490.0	1196296.0	909429.0	2254036.0	1373892.0	1558452.0	1518554.0	1646178.0	881402.0	1587802.0	1303748.0	874658.0	1462742.0	1291867.0	1072426.0	1546477.0	1583484.0	1206603.0	1649788.0
NielsenHB_2014__O2_UC1_2__bin.64	2010566.0	1558609.0	2014711.0	1902357.0	1803306.0	1741620.0	1684744.0	1474892.0	1733858.0	1456149.0	1500909.0	1496721.0	1666371.0	1332227.0	1373892.0	2259496.0	1910673.0	1794463.0	1944766.0	1328878.0	1872791.0	1457107.0	1327820.0	1872101.0	1556056.0	1439567.0	1805938.0	1987705.0	1577891.0	2065101.0
ZeeviD_2015__PNP_Main_30__bin.24	2274016.0	1725657.0	2295200.0	2176037.0	1982702.0	2008058.0	1872631.0	1588244.0	1983006.0	1567818.0	1661602.0	1686417.0	1898296.0	1441310.0	1558452.0	1910673.0	2796771.0	2000464.0	2260306.0	1450103.0	2145679.0	1626681.0	1489480.0	2135148.0	1690510.0	1631736.0	2004216.0	2269337.0	1682275.0	2444386.0
ZeeviD_2015__PNP_Main_359__bin.43	2046095.0	1616023.0	2047863.0	1989902.0	1905931.0	1749190.0	1831367.0	1567995.0	1749335.0	1458989.0	1540055.0	1577398.0	1622959.0	1289047.0	1518554.0	1794463.0	2000464.0	2435804.0	2024460.0	1305176.0	2008015.0	1537300.0	1296575.0	1906149.0	1595293.0	1439557.0	1915469.0	2071268.0	1565519.0	2155925.0
BackhedF_2015__SID626_12M__bin.8	2447251.0	1862599.0	2432366.0	2312532.0	2098109.0	2156553.0	1859408.0	1650823.0	2140498.0	1606406.0	1757090.0	1777228.0	2055609.0	1534156.0	1646178.0	1944766.0	2260306.0	2024460.0	3141692.0	1544273.0	2212205.0	1696487.0	1620289.0	2230985.0	1700887.0	1852303.0	2030282.0	2449373.0	1792003.0	2640543.0
SchirmerM_2016__G88922__bin.7	1597090.0	1601452.0	1577532.0	1462004.0	1300113.0	1533807.0	1202754.0	1262816.0	1630088.0	1280101.0	1433243.0	1435091.0	1433597.0	1517653.0	881402.0	1328878.0	1450103.0	1305176.0	1544273.0	1932961.0	1477483.0	1009890.0	1574431.0	1489463.0	1165249.0	1194354.0	1329813.0	1582021.0	1161356.0	1660033.0
ZeeviD_2015__PNP_Main_459__bin.26	2195289.0	1825935.0	2253930.0	2122206.0	2004824.0	1947494.0	1939179.0	1678141.0	1954642.0	1623829.0	1644106.0	1701350.0	1831460.0	1486781.0	1587802.0	1872791.0	2145679.0	2008015.0	2212205.0	1477483.0	2567334.0	1623720.0	1536405.0	2094605.0	1695823.0	1600901.0	2052071.0	2228550.0	1658201.0	2343701.0
ZeeviD_2015__PNP_Main_689__bin.9	1742837.0	1281354.0	1701843.0	1704336.0	1590692.0	1416975.0	1541926.0	1289345.0	1426492.0	1229853.0	1167085.0	1168870.0	1365858.0	985654.0	1303748.0	1457107.0	1626681.0	1537300.0	1696487.0	1009890.0	1623720.0	2401150.0	1028076.0	1539217.0	1294935.0	1278728.0	1642082.0	1760681.0	1330292.0	1874372.0
ZeeviD_2015__PNP_Main_340__bin.40	1646639.0	1596631.0	1619949.0	1530790.0	1312179.0	1602188.0	1209710.0	1278211.0	1679483.0	1310678.0	1435434.0	1503389.0	1561516.0	1514812.0	874658.0	1327820.0	1489480.0	1296575.0	1620289.0	1574431.0	1536405.0	1028076.0	1937618.0	1586466.0	1163235.0	1258900.0	1334624.0	1629984.0	1185195.0	1763059.0
ZeeviD_2015__PNP_Main_186__bin.45	2253416.0	1806446.0	2264846.0	2095758.0	1898562.0	2063585.0	1784583.0	1628633.0	2096856.0	1613907.0	1772349.0	1759076.0	1983428.0	1506091.0	1462742.0	1872101.0	2135148.0	1906149.0	2230985.0	1489463.0	2094605.0	1539217.0	1586466.0	2551141.0	1662308.0	1652629.0	1875372.0	2261239.0	1669923.0	2385584.0
