	NielsenHB_2014__O2_UC58_2__bin.2	ZeeviD_2015__PNP_Main_111__bin.3	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.66	SchirmerM_2016__G89089__bin.14	BackhedF_2015__SID566_12M__bin.26	ZeeviD_2015__PNP_Main_165__bin.56	SchirmerM_2016__G89059__bin.2	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.50	SchirmerM_2016__G90575__bin.14	SchirmerM_2016__G89168__bin.7	ZeeviD_2015__PNP_Main_71__bin.27	ZeeviD_2015__PNP_Main_38__bin.4	ZeeviD_2015__PNP_Main_142__bin.16	ZeeviD_2015__PNP_Main_217__bin.35	ZeeviD_2015__PNP_Main_230__bin.30	NielsenHB_2014__O2_UC1_2__bin.64	ZeeviD_2015__PNP_Main_30__bin.24	ZeeviD_2015__PNP_Main_359__bin.43	BackhedF_2015__SID626_12M__bin.8	SchirmerM_2016__G88922__bin.7	ZeeviD_2015__PNP_Main_459__bin.26	ZeeviD_2015__PNP_Main_689__bin.9	ZeeviD_2015__PNP_Main_340__bin.40	ZeeviD_2015__PNP_Main_186__bin.45	FengQ_2015__SID530323__bin.64	ZeeviD_2015__PNP_DietIntervention_25__bin.10	FengQ_2015__SID530450__bin.39	CM_madagascar__A15_02_1FE__bin.10	ZellerG_2014__CCIS74726977ST-3-0__bin.79	BackhedF_2015__SID238_M__bin.26
NielsenHB_2014__O2_UC58_2__bin.2	1.0	0.6237461713997858	0.8080247000745113	0.768836450342887	0.7012590089298704	0.7368579716160626	0.6264750803977311	0.5473288381316923	0.7209908927998507	0.5522717428533617	0.5814759949598922	0.5864353191099487	0.7036674106856983	0.5210153905870044	0.5115065712194348	0.6602468890930007	0.7467608572649239	0.6719142065163457	0.8036492507979022	0.524466097656849	0.7209078104922118	0.5723277462397046	0.5407374227999526	0.7399960527694157	0.5784718963421782	0.6015418500032674	0.6800359125737684	0.8465456642364818	0.607712927968296	0.881719035338879
ZeeviD_2015__PNP_Main_111__bin.3	0.8359626588103052	1.0	0.8241301440191116	0.7798051959197739	0.7164571201723141	0.7862568542543139	0.6830422040297888	0.6988859347334593	0.8304273216881612	0.687360620809822	0.7437346207015535	0.7518248303683461	0.7476837802783205	0.6941863776220453	0.5368123904936736	0.6859685343569841	0.759489007886436	0.7112373461189924	0.8197593534522027	0.704824417979789	0.8036229457042272	0.5639442126745444	0.7027026194375408	0.795045527784734	0.6215958688965283	0.6091234256505682	0.7341823461608034	0.8272342811521705	0.6302102565479337	0.8714949723365178
Bengtsson-PalmeJ_2015__TRAVELRES4__bin.66	0.7701923215371199	0.5861265061410049	1.0	0.7326598542485587	0.6695889573970327	0.6932342834534365	0.6026266811153534	0.533793212247328	0.6890702695731815	0.508950610907757	0.5585650726159197	0.5547566416694368	0.6505433595200131	0.48896972975071007	0.4879374123954458	0.6306310282419241	0.7184277725295907	0.6410080400556663	0.7613625337036904	0.4937882541190965	0.7055097199972205	0.5326992313023162	0.507065332729844	0.7089265714981497	0.5486021771942378	0.5791469390131446	0.65625772751204	0.7884381708262984	0.5617415300207778	0.831004828540789
SchirmerM_2016__G89089__bin.14	0.7860458760659298	0.594868630315296	0.7858538332847071	1.0	0.692167172569576	0.6734205068787911	0.6268994860841167	0.5481548952611429	0.6864807589584432	0.5302888733031325	0.5545873212147175	0.5655962072222187	0.6506338922606424	0.48554592693040766	0.5089687671961385	0.6386956803468051	0.7305807649010257	0.6680879623085826	0.7764074771789721	0.49085194810950333	0.7125075919010322	0.5722122824788157	0.5139460997689108	0.7036279634433807	0.5558308989448727	0.5910771283426607	0.6804330900455698	0.7896849524744477	0.5803660429417059	0.8439081646048368
BackhedF_2015__SID566_12M__bin.26	0.8246184394051964	0.6286165426076641	0.8260537806974593	0.7961073945755915	1.0	0.6998908723569562	0.7010350521387628	0.59259746959795	0.6858293932564832	0.5726957694309762	0.5801122786747749	0.5742349866467308	0.661542893419441	0.5007479838803103	0.5803516953014101	0.696357160178991	0.76563197494003	0.735986404224854	0.8101970630530717	0.5020462398460319	0.7741745146407129	0.6142550204121981	0.506705596325032	0.73314082177054	0.6171936664262203	0.5931863572683026	0.7496111410596425	0.8306768385266147	0.6241630071964004	0.8715985462004582
ZeeviD_2015__PNP_Main_165__bin.56	0.8349389422107318	0.6647470059022406	0.8240933612259038	0.7463513794096569	0.6744141481119305	1.0	0.6024080784266447	0.5663951829501082	0.7905277634519512	0.5795738271241108	0.6240203553251517	0.6341239701219072	0.735654638181714	0.5603653122992989	0.4880980288406797	0.6480557434657486	0.7471971613281567	0.6508725358647999	0.8024520605748042	0.570728652471819	0.7246613337381774	0.527255536280807	0.5961731810107261	0.7678587242795598	0.5808337556661435	0.6238294683369464	0.6537600271483717	0.8265231702570537	0.6000385494970333	0.8666347405388148
SchirmerM_2016__G89059__bin.2	0.8513281160400753	0.6925668966803681	0.8591460233720577	0.8332535284113703	0.810136727474596	0.7224587115513943	1.0	0.7107360899574765	0.7319710417465274	0.6710293853176497	0.6215626800352183	0.638487273532151	0.6643699509255512	0.5282529505136596	0.7178886339792251	0.7518221628011483	0.8356673112048342	0.8172531249986055	0.8297665070121975	0.5367326511314077	0.8653645597423514	0.6880891934913099	0.5398367874063816	0.7963756219094187	0.6735172461188256	0.5982647003566901	0.8444651902532977	0.8479459641096515	0.6561602334081997	0.9067581009433343
Bengtsson-PalmeJ_2015__TRAVELRES19__bin.50	0.8824048563447809	0.8407112770458718	0.9028551037998166	0.8643883932258523	0.8124651900543618	0.8058759188237362	0.8432080634128677	1.0	0.8783928446634632	0.7921960072595281	0.7614679579082902	0.7731757470770234	0.7734727566512144	0.6367609967662488	0.6925654426978	0.7808503474111989	0.8408621642627068	0.8301417598637886	0.8739932910778536	0.6685711986480506	0.8884562278831106	0.6826164161056486	0.676721755501295	0.8622452653179644	0.7587525174340914	0.6656683403676777	0.9015765331729517	0.8806122103230151	0.6969718788582127	0.9395376392133111
SchirmerM_2016__G90575__bin.14	0.8027863521252315	0.6899106439645735	0.8049319500296537	0.7476264231771376	0.64939913751937	0.7768128437508912	0.5997509234334539	0.6066517191475234	1.0	0.6163921047262388	0.6660977248910565	0.6652322459817573	0.7301705874652913	0.5881834157128848	0.4774207631571442	0.6339744531979574	0.7250738783327519	0.639633522517443	0.7826598539911119	0.5960315945507371	0.7147027571737489	0.5215879764613138	0.614092570775845	0.7667024266317404	0.5736691844899744	0.6143817950332406	0.6386557909570434	0.813143213175463	0.5888083009921379	0.8550576949375152
SchirmerM_2016__G89168__bin.7	0.8704133182688859	0.8083107720287784	0.8415381263188076	0.8174689968599632	0.7675772445414237	0.8061401252391774	0.7782534729572294	0.7744364676941613	0.8724882164518879	1.0	0.7240447523811643	0.7465104808495023	0.7633492966100335	0.6574792859534724	0.66761259389186	0.7536445283811809	0.8114399400044406	0.7551143988824843	0.8314115466608838	0.6625291192215069	0.8404289951623664	0.6365227625491487	0.6783545524321958	0.8352937644884463	0.7014749943456566	0.6267077540326984	0.8130345424743407	0.8614817847333246	0.6692848303671105	0.882018049388684
ZeeviD_2015__PNP_Main_71__bin.27	0.9104878916646442	0.8689232076084855	0.9175750831972422	0.8493728840750812	0.7724668547945882	0.8623234758141811	0.7161997062900818	0.7395617798656503	0.936720732876177	0.7193414562911101	1.0	0.8249299662274729	0.840397557353649	0.7124404044476074	0.5677059980172524	0.7717644602771733	0.8543924853042201	0.7918932566012744	0.9034922273824851	0.7369707359613652	0.8453960764633047	0.6001128150491367	0.7380973438586244	0.9113383752164774	0.6876863967881134	0.6801055751407874	0.7718508455472507	0.910331575461647	0.6859643475649638	0.955317219052477
ZeeviD_2015__PNP_Main_38__bin.4	0.8580282326260763	0.8207655865621156	0.8515485662669127	0.8094201645141451	0.7144906019372693	0.8188129420356703	0.6874490698031981	0.7016816574415744	0.8741471594403444	0.6930182387761378	0.7708256457564575	1.0	0.7731410478167282	0.6716068957564576	0.5297172893603936	0.7191348593173432	0.8102787707564576	0.7578980242927429	0.8539110547355474	0.6895232741389914	0.8174536823493235	0.5616111239237392	0.7223386569803198	0.8451894987699877	0.6397346825030751	0.6521477167896679	0.7296817343173432	0.8493571263837638	0.6278828413284133	0.8983356396063961
ZeeviD_2015__PNP_Main_142__bin.16	0.8163182971973105	0.6471889103877684	0.7917604306074456	0.7382693643252444	0.6526427430995645	0.7531736879619862	0.5671643155679952	0.5565671330767944	0.7607574716860519	0.5618788674649317	0.6226363772470488	0.6130125492248784	1.0	0.5518283635111315	0.45574170562941746	0.6348217847016107	0.7231760842044951	0.6182835208231188	0.7831061474477732	0.5461440496041248	0.6977141979844895	0.5203381559142427	0.5948761554060412	0.7556080265361953	0.565900288120542	0.6143188633048413	0.6308304599376062	0.8177175656766642	0.5840065860477732	0.8703987096100754
ZeeviD_2015__PNP_Main_217__bin.35	0.8602941495430076	0.8552508578096465	0.847039851819077	0.7841746591535121	0.7031387591149053	0.8165762225143041	0.6418671837382716	0.6521587305718587	0.8722460080944263	0.6888200616842133	0.7512812921584703	0.7579317569589943	0.7854315509111652	1.0	0.4931207136629231	0.7223749506569672	0.7815231489313709	0.6989614104949919	0.8318671403597812	0.8229187000334014	0.8061789406105089	0.5344522814916995	0.821378221395139	0.8166494237167559	0.6268950977968065	0.6456665972610821	0.692653635768168	0.8581084158609112	0.6191634241245136	0.8862919632670944
ZeeviD_2015__PNP_Main_230__bin.30	0.6910386524438829	0.54112134854989	0.6915772418896593	0.6725558065620957	0.6667573188715709	0.5819521072422978	0.7136988938952173	0.580353197553189	0.5792715821752625	0.5722725812719939	0.489815158231723	0.48911818622240283	0.5307350903002437	0.4034669366416508	1.0	0.6095253137039515	0.6914051062183567	0.6737044128842663	0.7303246265809419	0.3910327962818695	0.7044261937253886	0.5784060236837388	0.38804082987139515	0.6489434951349491	0.5731350342230559	0.4757803335882834	0.6860924137857602	0.7025105189091922	0.5353077768056943	0.731926198161875
NielsenHB_2014__O2_UC1_2__bin.64	0.8898294132850866	0.6898038323590747	0.8916638931867992	0.8419386447243102	0.7981009924337109	0.7708002138530008	0.7456282285961117	0.6527526492633755	0.7673649344809639	0.6444574365256677	0.6642671640047161	0.6624136533102958	0.7374967691910054	0.5896124622482182	0.6080524152288829	1.0	0.845619111518675	0.7941872877845325	0.8607078746764765	0.5881302732998863	0.828853425719718	0.6448814248841335	0.5876620272839607	0.8285480478832448	0.6886739343641237	0.6371186317656681	0.7992658539780553	0.8797116702131803	0.6983375938704914	0.9139653267808396
ZeeviD_2015__PNP_Main_30__bin.24	0.8130862340892407	0.6170176249682223	0.8206606833380352	0.7780533336479819	0.7089254000416909	0.7179915695636147	0.6695689421836826	0.5678848929712157	0.709034096820941	0.5605814705601567	0.5941144269588036	0.6029871591202856	0.6787455962608308	0.5153478779635515	0.5572326086047088	0.6831710569081273	1.0	0.7152762954135322	0.8081841523671406	0.5184918607923209	0.7671986730411606	0.5816282419976466	0.5325713117019591	0.7634332592836525	0.6044506325330176	0.5834356835078739	0.7166178425048029	0.8114132333322964	0.6015061655030033	0.8740029126446177
ZeeviD_2015__PNP_Main_359__bin.43	0.8400080630461236	0.6634454167905135	0.8407339014140711	0.8169384728820546	0.782464845283118	0.718116071736478	0.7518531868738207	0.6437279025734419	0.7181756003356592	0.5989763544193211	0.6322573573243168	0.6475882295948279	0.6662929365416922	0.5292080150948106	0.6234302924209009	0.7367025425691065	0.8212746181548269	1.0	0.831125985506223	0.5358296480340783	0.8243746212749465	0.6311263139398736	0.532298575747474	0.7825543434529215	0.6549348798179164	0.5909987010449117	0.786380595483052	0.8503426384060458	0.6427114004246647	0.885097897860419
BackhedF_2015__SID626_12M__bin.8	0.7789595542783952	0.5928649275613268	0.7742216614486717	0.7360785207461457	0.6678277183122979	0.6864304330278079	0.5918492328337723	0.5254566647526238	0.681320129407975	0.5113187416207572	0.559281431788985	0.5656913535763531	0.6542999759365336	0.48832157958195777	0.5239781620859079	0.6190186689210782	0.7194549943151652	0.6443852548244704	1.0	0.4915418188670309	0.7041444546441854	0.5399915077607862	0.5157376980302334	0.7101221252751702	0.5413920269714536	0.5895877126083652	0.6462383963800398	0.7796349864977216	0.5703942334258101	0.8404843632030129
SchirmerM_2016__G88922__bin.7	0.8262401569405694	0.8284967984351469	0.8161220014268266	0.7563546289863065	0.6726017752039488	0.793501265674786	0.6222339716114293	0.6533065074773883	0.8433113756563118	0.6622487468707335	0.741475384138635	0.7424314303289099	0.7416585228569019	0.7851441389660733	0.4559854027060039	0.6874830894156685	0.7501977536018575	0.6752210727479758	0.7989157567069383	1.0	0.7643625505118831	0.5224575146627376	0.8145177269484485	0.7705602958362844	0.6028310969543618	0.6178883071101796	0.6879668032619386	0.8184443452299348	0.6008170883944374	0.8588031522622547
ZeeviD_2015__PNP_Main_459__bin.26	0.8550850804764787	0.71121832998745	0.8779262846205441	0.8266185856612346	0.7808972264613798	0.7585666687700159	0.7553279004601661	0.6536512195140952	0.7613508799400468	0.6324962003385614	0.640394276708835	0.6626913366161161	0.7133703678602005	0.5791147548390665	0.6184633553717592	0.7294691691848431	0.835761533170207	0.7821401500544923	0.861674016703709	0.5754930990669699	1.0	0.6324537438447821	0.5984437552729797	0.8158677445162958	0.6605385197251312	0.6235655352984847	0.7993003637236137	0.8680405432249952	0.6458844077163314	0.9128929075842879
ZeeviD_2015__PNP_Main_689__bin.9	0.725834287737126	0.5336417966391104	0.7087616350498719	0.7097998875538805	0.662470899360723	0.5901234824979698	0.6421614642983571	0.5369697853112051	0.5940869999791767	0.5121933240322346	0.4860525165025092	0.48679591029298463	0.5688349332611456	0.4104924723569956	0.542968161089478	0.6068371405368261	0.6774591341648794	0.6402348874497636	0.7065310372113363	0.4205859692230806	0.6762259750536201	1.0	0.42815984007662994	0.6410332548986943	0.539297836453366	0.5325481540095371	0.6838731441184432	0.7332657268392229	0.5540228640443121	0.7806142889865273
