	BritoIL_2016__W1.44.ST__bin.70	BritoIL_2016__W2.69.ST__bin.3	BritoIL_2016__W2.13.ST__bin.34	BritoIL_2016__M2.36.ST__bin.3	BritoIL_2016__W1.38.ST__bin.17	BritoIL_2016__M1.57.ST__bin.54	BritoIL_2016__WL.7.ST__bin.78	BritoIL_2016__M2.41.ST__bin.40	BritoIL_2016__W2.11.ST__bin.63	BritoIL_2016__M1.59.ST__bin.21	BritoIL_2016__W1.18.ST__bin.19	BritoIL_2016__W1.26.ST__bin.53	BritoIL_2016__M2.39.ST__bin.25	BritoIL_2016__M2.37.ST__bin.25	LiuW_2016__SRR3993030__bin.56	BritoIL_2016__M1.27.ST__bin.96	BritoIL_2016__W2.21.ST__bin.22	BritoIL_2016__W2.15.ST__bin.65	BritoIL_2016__M1.22.ST__bin.51	Obregon-TitoAJ_2015__HCO74__bin.1	BritoIL_2016__W3.23.ST__bin.8	BritoIL_2016__M2.50.ST__bin.62	BritoIL_2016__W1.31.ST__bin.47	BritoIL_2016__W1.33.ST__bin.46	BritoIL_2016__M2.63.ST__bin.18	BritoIL_2016__M2.60.ST__bin.4	BritoIL_2016__M1.61.ST__bin.36	BritoIL_2016__W2.33.ST__bin.50	BritoIL_2016__W2.62.ST__bin.9	BritoIL_2016__W1.37.ST__bin.46	BritoIL_2016__M2.51.ST__bin.30	BritoIL_2016__W1.20.ST__bin.10	BritoIL_2016__W3.20.ST__bin.25	LiJ_2014__MH0245__bin.7	BritoIL_2016__W1.40.ST__bin.31	BritoIL_2016__W1.21.ST__bin.57	BritoIL_2016__W1.8.ST__bin.57	CM_madagascar__A13_03_1FE__bin.36	BritoIL_2016__W1.39.ST__bin.79	BritoIL_2016__M2.45.ST__bin.43	BritoIL_2016__M1.25.ST__bin.73
BritoIL_2016__W1.44.ST__bin.70	0.0	5090.0	3149.0	10289.0	3488.0	8938.0	9114.0	6561.0	3447.0	9910.0	10393.0	7966.0	8636.0	7000.0	11352.0	9505.0	7828.0	9677.0	9877.0	15209.0	5678.0	9140.0	4589.0	8870.0	10320.0	2318.0	6446.0	7653.0	7032.0	6833.0	10038.0	3129.0	7221.0	11078.0	3769.0	6655.0	9466.0	2636.0	8174.0	3719.0	4188.0
BritoIL_2016__W2.69.ST__bin.3	5090.0	0.0	6654.0	5428.0	7422.0	7150.0	6667.0	4362.0	7035.0	8342.0	8130.0	5023.0	7859.0	8575.0	8931.0	7418.0	8400.0	7897.0	8939.0	9420.0	7480.0	8791.0	7797.0	6246.0	8035.0	5935.0	3034.0	8783.0	8365.0	4768.0	8662.0	6448.0	8525.0	6962.0	6747.0	7641.0	7919.0	6310.0	3618.0	6619.0	7226.0
BritoIL_2016__W2.13.ST__bin.34	3149.0	6654.0	0.0	3125.0	6717.0	5404.0	1235.0	2848.0	6772.0	6205.0	6919.0	2626.0	4995.0	6923.0	6547.0	5395.0	6589.0	6388.0	1947.0	6038.0	6489.0	6552.0	6816.0	4661.0	5797.0	1633.0	694.0	7224.0	7231.0	3249.0	7191.0	7057.0	7257.0	4598.0	5376.0	6545.0	5762.0	6920.0	1873.0	5867.0	6019.0
BritoIL_2016__M2.36.ST__bin.3	10289.0	5428.0	3125.0	0.0	4895.0	6009.0	9691.0	6321.0	3282.0	11270.0	11258.0	8216.0	9535.0	7459.0	12995.0	10004.0	9101.0	10660.0	10511.0	15742.0	9372.0	10068.0	7593.0	9287.0	10879.0	3224.0	7100.0	9097.0	8471.0	7305.0	11907.0	2751.0	8125.0	11367.0	3973.0	6742.0	10314.0	2924.0	9002.0	4064.0	4242.0
BritoIL_2016__W1.38.ST__bin.17	3488.0	7422.0	6717.0	4895.0	0.0	6427.0	6367.0	3772.0	7605.0	7771.0	8134.0	4471.0	6490.0	7840.0	8982.0	6871.0	2274.0	6994.0	7355.0	8294.0	7027.0	7502.0	8186.0	5812.0	7200.0	7183.0	2594.0	8478.0	8366.0	3895.0	8553.0	6919.0	7709.0	5935.0	7510.0	7406.0	6798.0	6994.0	2749.0	6426.0	7326.0
BritoIL_2016__M1.57.ST__bin.54	8938.0	7150.0	5404.0	6009.0	6427.0	0.0	10424.0	5894.0	5243.0	12156.0	12448.0	8637.0	11594.0	8814.0	13233.0	10388.0	10028.0	11929.0	11606.0	16251.0	11130.0	10737.0	8684.0	10389.0	11210.0	4534.0	6869.0	9725.0	9221.0	7325.0	12085.0	5126.0	9436.0	12128.0	6074.0	8928.0	11481.0	4836.0	8071.0	5568.0	5846.0
BritoIL_2016__WL.7.ST__bin.78	9114.0	6667.0	1235.0	9691.0	6367.0	10424.0	0.0	5628.0	5450.0	11673.0	11466.0	7874.0	8444.0	8741.0	12839.0	10588.0	9879.0	11097.0	2280.0	16439.0	10853.0	10514.0	8968.0	9165.0	10893.0	629.0	900.0	8928.0	8611.0	7105.0	11619.0	5017.0	8591.0	11726.0	4942.0	8436.0	10834.0	4938.0	7671.0	5270.0	5597.0
BritoIL_2016__M2.41.ST__bin.40	6561.0	4362.0	2848.0	6321.0	3772.0	5894.0	5628.0	0.0	3190.0	5498.0	6532.0	5055.0	6421.0	6101.0	7535.0	6252.0	6771.0	6543.0	6175.0	10426.0	6061.0	6618.0	5844.0	6015.0	6504.0	1962.0	3571.0	6697.0	6499.0	6036.0	6633.0	2317.0	6722.0	6815.0	3172.0	6617.0	6049.0	2219.0	5125.0	3575.0	3941.0
BritoIL_2016__W2.11.ST__bin.63	3447.0	7035.0	6772.0	3282.0	7605.0	5243.0	5450.0	3190.0	0.0	6349.0	6865.0	3708.0	6296.0	6781.0	6984.0	5790.0	7755.0	6254.0	6547.0	6777.0	6441.0	4678.0	6999.0	5043.0	6057.0	5994.0	2137.0	7043.0	7004.0	3366.0	6990.0	6265.0	7024.0	4963.0	6856.0	6882.0	6309.0	6515.0	2209.0	4242.0	6062.0
BritoIL_2016__M1.59.ST__bin.21	9910.0	8342.0	6205.0	11270.0	7771.0	12156.0	11673.0	5498.0	6349.0	0.0	14011.0	9963.0	12756.0	10287.0	15530.0	10129.0	11743.0	13175.0	13258.0	17915.0	12980.0	12242.0	11278.0	11368.0	9707.0	6379.0	7107.0	11855.0	11256.0	7861.0	14203.0	6368.0	10944.0	12873.0	7433.0	10775.0	12641.0	6515.0	8599.0	6115.0	5276.0
BritoIL_2016__W1.18.ST__bin.19	10393.0	8130.0	6919.0	11258.0	8134.0	12448.0	11466.0	6532.0	6865.0	14011.0	0.0	9664.0	12960.0	10742.0	15743.0	12155.0	12383.0	12318.0	13464.0	18704.0	13320.0	12774.0	11518.0	11092.0	13644.0	6843.0	7241.0	11380.0	10696.0	7690.0	13974.0	6467.0	10458.0	13080.0	7833.0	10334.0	12717.0	6857.0	8179.0	6795.0	7583.0
BritoIL_2016__W1.26.ST__bin.53	7966.0	5023.0	2626.0	8216.0	4471.0	8637.0	7874.0	5055.0	3708.0	9963.0	9664.0	0.0	9363.0	6721.0	11228.0	9379.0	7625.0	9471.0	8740.0	14206.0	9023.0	8928.0	6648.0	8501.0	9593.0	2571.0	5876.0	7286.0	6811.0	6506.0	9398.0	3590.0	7046.0	10401.0	2385.0	6413.0	8931.0	3245.0	7174.0	3626.0	4351.0
BritoIL_2016__M2.39.ST__bin.25	8636.0	7859.0	4995.0	9535.0	6490.0	11594.0	8444.0	6421.0	6296.0	12756.0	12960.0	9363.0	0.0	9645.0	13833.0	11801.0	10175.0	12233.0	9574.0	17520.0	11485.0	11648.0	9380.0	10779.0	12134.0	4387.0	5637.0	10273.0	9919.0	7469.0	12810.0	5945.0	10198.0	12565.0	6473.0	9428.0	12090.0	5893.0	7903.0	6051.0	6676.0
BritoIL_2016__M2.37.ST__bin.25	7000.0	8575.0	6923.0	7459.0	7840.0	8814.0	8741.0	6101.0	6781.0	10287.0	10742.0	6721.0	9645.0	0.0	10802.0	9396.0	10626.0	9938.0	10258.0	12741.0	10589.0	10564.0	10683.0	8501.0	9627.0	6321.0	4406.0	10740.0	10476.0	6358.0	10611.0	3521.0	10540.0	8678.0	7256.0	10745.0	9712.0	5996.0	5626.0	6620.0	8601.0
