	BritoIL_2016__W1.44.ST__bin.70	BritoIL_2016__W2.69.ST__bin.3	BritoIL_2016__W2.13.ST__bin.34	BritoIL_2016__M2.36.ST__bin.3	BritoIL_2016__W1.38.ST__bin.17	BritoIL_2016__M1.57.ST__bin.54	BritoIL_2016__WL.7.ST__bin.78	BritoIL_2016__M2.41.ST__bin.40	BritoIL_2016__W2.11.ST__bin.63	BritoIL_2016__M1.59.ST__bin.21	BritoIL_2016__W1.18.ST__bin.19	BritoIL_2016__W1.26.ST__bin.53	BritoIL_2016__M2.39.ST__bin.25	BritoIL_2016__M2.37.ST__bin.25	LiuW_2016__SRR3993030__bin.56	BritoIL_2016__M1.27.ST__bin.96	BritoIL_2016__W2.21.ST__bin.22	BritoIL_2016__W2.15.ST__bin.65	BritoIL_2016__M1.22.ST__bin.51	Obregon-TitoAJ_2015__HCO74__bin.1	BritoIL_2016__W3.23.ST__bin.8	BritoIL_2016__M2.50.ST__bin.62	BritoIL_2016__W1.31.ST__bin.47	BritoIL_2016__W1.33.ST__bin.46	BritoIL_2016__M2.63.ST__bin.18	BritoIL_2016__M2.60.ST__bin.4	BritoIL_2016__M1.61.ST__bin.36	BritoIL_2016__W2.33.ST__bin.50	BritoIL_2016__W2.62.ST__bin.9	BritoIL_2016__W1.37.ST__bin.46	BritoIL_2016__M2.51.ST__bin.30	BritoIL_2016__W1.20.ST__bin.10	BritoIL_2016__W3.20.ST__bin.25	LiJ_2014__MH0245__bin.7	BritoIL_2016__W1.40.ST__bin.31	BritoIL_2016__W1.21.ST__bin.57	BritoIL_2016__W1.8.ST__bin.57	CM_madagascar__A13_03_1FE__bin.36	BritoIL_2016__W1.39.ST__bin.79	BritoIL_2016__M2.45.ST__bin.43	BritoIL_2016__M1.25.ST__bin.73
BritoIL_2016__W1.44.ST__bin.70	1.0	0.46167131811319023	0.2614346191420705	0.9167173526316781	0.36590848536880094	0.8760903089331995	0.8506569439323518	0.6458504342396701	0.2998299104607758	0.9235343906515344	0.942726653730532	0.7840078155066759	0.9109714481025059	0.6256812328262045	0.8325674370036252	0.8889095968716444	0.7370569127133857	0.9244178066523311	0.9307356103442429	0.7169240437173177	0.877577919578867	0.8672009774765925	0.6599924913004044	0.8464363281113333	0.9282051247547561	0.21826834316102797	0.6011871280973385	0.7112905005530602	0.6639937669719487	0.7465706234911954	0.9594563862970269	0.24369363429134291	0.6747885318742952	0.6943965992857315	0.33306868979920284	0.6480546008951231	0.9232504595377978	0.21064593655552533	0.8072639267538465	0.3539335897235776	0.38904954396087943
BritoIL_2016__W2.69.ST__bin.3	0.5468138499091129	1.0	0.6729879914221029	0.5724806013134606	0.8183109894146963	0.784718210021413	0.7302313498075074	0.5519491127646027	0.7201249867514362	0.8875430030449781	0.9407587980424799	0.5790343570123353	0.8778749383393912	0.903144033603936	0.7738165346857361	0.808621408244631	0.9021367443039144	0.8542355160325551	0.8941915905687758	0.5340290854785381	0.8702102955485622	0.9428713960918131	0.9113768704382107	0.7014614460817322	0.8904246154728882	0.6224179246493413	0.32144004118410685	0.9469969789290061	0.9066807028392968	0.5940416925329102	0.942445051332706	0.6576507367795271	0.9263746430856842	0.48491416922938385	0.7598850223890766	0.9319657362256775	0.8522129683715942	0.5836046134487466	0.4332029329331802	0.71483990555069	0.7901371714455797
BritoIL_2016__W2.13.ST__bin.34	0.4257199892190612	0.9252554447027682	1.0	0.44537109875734343	0.924729545250361	0.7562204044605039	0.7128742377197	0.4401745547932448	0.9238278468142544	0.8789982053681187	0.9426188916230791	0.5192621630682727	0.8724989646354531	0.9111985905894676	0.7552025698953241	0.7855666895286845	0.9180100841219999	0.8348215557420551	0.8964668321789109	0.4763772539721843	0.8875068202585233	0.9362818032215724	0.9430144118362437	0.6614270281641069	0.8611198152339924	0.7726931091833	0.2519419932903995	0.9383864966550604	0.9315782899941055	0.5039168552965744	0.9427821395780971	0.9122372420079718	0.9420864184275168	0.42182285515195206	0.9205935651819502	0.9300279822333635	0.8186282351033503	0.832607299922649	0.23667557043656232	0.8467770032934453	0.872468287167396
BritoIL_2016__M2.36.ST__bin.3	0.849807708860112	0.4480633045135714	0.2535398908998826	1.0	0.383371650186054	0.8443177749863094	0.8055838652577375	0.5852399242062299	0.2880674709255547	0.9069299656083898	0.9057991714578325	0.7424140739899882	0.8649446328754854	0.6025885393732169	0.8063192244985025	0.8486363732755856	0.7319456520247639	0.8816670388162401	0.8801146137524029	0.6763271706195604	0.840861149954656	0.8253574818904533	0.6340898572816781	0.8056412469796632	0.8831570924432015	0.24025789341719384	0.5753852371798631	0.7066078795083633	0.6551177635099651	0.6831150540947473	0.9392096790490602	0.23785097966815902	0.6449044407215626	0.6527507674805308	0.3261645682836254	0.621546337611598	0.8760093257772417	0.20581139625946018	0.7243450687270863	0.34102830540548296	0.3821816031704649
BritoIL_2016__W1.38.ST__bin.17	0.447946790766633	0.8457961822786895	0.695196754730968	0.5062776187632559	1.0	0.7037456499804378	0.654709140703828	0.4597030661202974	0.7626011572596421	0.8248098346477771	0.8756683071474167	0.5053789922368881	0.7906463768712806	0.83485122418302	0.7212898708893603	0.7202503963923153	0.9353927887486357	0.7608574429092108	0.7961526264851843	0.4754623890616313	0.797120441488376	0.8557972118691184	0.8678211807343039	0.628732986018162	0.7964746823713527	0.6675641949632436	0.2619121553446039	0.8652982723472603	0.8630002265098944	0.5058575458682537	0.8689957374956242	0.6886815064967157	0.8432131458105966	0.4167221959104669	0.7702876675658423	0.880772604657867	0.7590676029075634	0.6377653769330561	0.32130222597450736	0.7377690834586002	0.7671000555978831
BritoIL_2016__M1.57.ST__bin.54	0.7476016510125916	0.5653644474223454	0.3962860828870788	0.7772166463132113	0.4905498533345505	1.0	0.8370006872520768	0.5147190792544607	0.42605093014429996	0.9273315615205439	0.9572336295349594	0.7336011147607622	0.9518825941498026	0.7091804131435668	0.8423121066027298	0.8974892046305977	0.7906912653533664	0.9398335782063582	0.9526060173885684	0.6744405957562615	0.8951524327402985	0.8937704646960847	0.702018523079785	0.8318557700754255	0.9213983426718086	0.3724900514951034	0.5455202590084853	0.7636874834574349	0.7230276525662291	0.6289022511668071	0.9690013142188837	0.38780365833983554	0.7401641711435656	0.6522142779633224	0.4667503770700096	0.7182277967915606	0.9131427055684642	0.3459737190671974	0.6661815137803515	0.4374551807725586	0.48198590013658915
BritoIL_2016__WL.7.ST__bin.78	0.7427424187237842	0.5383164338334646	0.3822396634982552	0.7587685493062002	0.46695844250449414	0.8564227890636933	1.0	0.5070384556637803	0.40935073022288543	0.924030383851676	0.9347228912831478	0.7245520555509863	0.9260207258756212	0.6815664250214426	0.8335732161530237	0.876681627521707	0.760792377013547	0.9151760641985173	0.9473722550551633	0.6731603435513623	0.8815875738741172	0.8643248228783589	0.6908707452620695	0.8153540670418631	0.9002132509311369	0.36204955881143447	0.5420427441811282	0.7381031829023275	0.7017600545170424	0.6102953789756905	0.950249673955188	0.3686556379316422	0.7111272338475638	0.6390366697606654	0.4398497256523834	0.6857979579607807	0.8911868031159309	0.3303709273771898	0.6683295931195733	0.41740256841066375	0.4650503460187285
BritoIL_2016__M2.41.ST__bin.40	0.9274368705411317	0.6691828918586766	0.3881650138741816	0.906569560277329	0.5392322437527536	0.8661663201341815	0.833891456750427	1.0	0.4401072060721767	0.9267692480116249	0.9607300756703278	0.7413238056223286	0.9217103890181407	0.9019077965944489	0.8195409539562672	0.8878345841996645	0.9441544865006918	0.9159471930868701	0.9232137474203298	0.6788764618131506	0.8936171035037139	0.9606363573123508	0.8510641381389273	0.8267050944139994	0.9440974825509943	0.3097150188982586	0.5097998485047573	0.9655415954922436	0.942950640376574	0.9072159270967792	0.9691154532876787	0.3658175332555246	0.9591329989101618	0.6305448418188705	0.4720352149145521	0.9441438586456634	0.9411748224182042	0.297133570881996	0.7397257626935236	0.5104587755165138	0.5729466984085271
BritoIL_2016__W2.11.ST__bin.63	0.42777838040722604	0.8674513862023882	0.8094200902152283	0.4433562983150161	0.8887659098174097	0.7123345662171904	0.6688914892616232	0.4372702741878662	1.0	0.8343007935829884	0.8769298408130315	0.4912487004802583	0.8162164704707838	0.8458056830410154	0.7156694002578401	0.7370117621535694	0.8896634543850572	0.7850683141809163	0.825213034842968	0.45925963612487297	0.822793024302819	0.9266730086749843	0.8734222174438507	0.6269084821321435	0.8156856232559077	0.7205775771288365	0.24380670249805372	0.87525378432628	0.8691610406141317	0.4838465976341301	0.8794650442388678	0.7857863498350341	0.87915594332894	0.40623443096154377	0.8535332057892104	0.8704761593923959	0.7816422857724308	0.7249357079706757	0.26572214900007773	0.8318318260664221	0.8200639128527422
BritoIL_2016__M1.59.ST__bin.21	0.6891541935859613	0.5591729107380623	0.4028008450834339	0.7300487609928125	0.5027628886269202	0.8109181044264459	0.7897066708974392	0.4815956372166068	0.43635716423096005	1.0	0.9248135815832863	0.6723926023067083	0.8789977286374436	0.6714221019040485	0.7947133082566339	0.8362826571126182	0.7709734525714997	0.8684934299181225	0.8864660129051952	0.6296253155506999	0.8611506630330221	0.8518719160379083	0.7147471879085591	0.7629679539060006	0.8982259875205597	0.39626440186448536	0.4900288991221816	0.7496264602692297	0.7142270438748521	0.5835845354551461	0.9378593562665306	0.3973975727950612	0.7131842454597852	0.5899788929969334	0.45845023185570927	0.6894715015293038	0.851952247162805	0.3630243865212406	0.6080880388963307	0.4263333460524282	0.5084709171203702
