	BritoIL_2016__W1.44.ST__bin.70	BritoIL_2016__W2.69.ST__bin.3	BritoIL_2016__W2.13.ST__bin.34	BritoIL_2016__M2.36.ST__bin.3	BritoIL_2016__W1.38.ST__bin.17	BritoIL_2016__M1.57.ST__bin.54	BritoIL_2016__WL.7.ST__bin.78	BritoIL_2016__M2.41.ST__bin.40	BritoIL_2016__W2.11.ST__bin.63	BritoIL_2016__M1.59.ST__bin.21	BritoIL_2016__W1.18.ST__bin.19	BritoIL_2016__W1.26.ST__bin.53	BritoIL_2016__M2.39.ST__bin.25	BritoIL_2016__M2.37.ST__bin.25	LiuW_2016__SRR3993030__bin.56	BritoIL_2016__M1.27.ST__bin.96	BritoIL_2016__W2.21.ST__bin.22	BritoIL_2016__W2.15.ST__bin.65	BritoIL_2016__M1.22.ST__bin.51	Obregon-TitoAJ_2015__HCO74__bin.1	BritoIL_2016__W3.23.ST__bin.8	BritoIL_2016__M2.50.ST__bin.62	BritoIL_2016__W1.31.ST__bin.47	BritoIL_2016__W1.33.ST__bin.46	BritoIL_2016__M2.63.ST__bin.18	BritoIL_2016__M2.60.ST__bin.4	BritoIL_2016__M1.61.ST__bin.36	BritoIL_2016__W2.33.ST__bin.50	BritoIL_2016__W2.62.ST__bin.9	BritoIL_2016__W1.37.ST__bin.46	BritoIL_2016__M2.51.ST__bin.30	BritoIL_2016__W1.20.ST__bin.10	BritoIL_2016__W3.20.ST__bin.25	LiJ_2014__MH0245__bin.7	BritoIL_2016__W1.40.ST__bin.31	BritoIL_2016__W1.21.ST__bin.57	BritoIL_2016__W1.8.ST__bin.57	CM_madagascar__A13_03_1FE__bin.36	BritoIL_2016__W1.39.ST__bin.79	BritoIL_2016__M2.45.ST__bin.43	BritoIL_2016__M1.25.ST__bin.73
BritoIL_2016__W1.44.ST__bin.70	1486276.0	691261.0	391713.0	1372784.0	547329.0	1311050.0	1273425.0	966473.0	449077.0	1382537.0	1411545.0	1173218.0	1362591.0	936935.0	1248777.0	1330670.0	1103298.0	1383617.0	1393207.0	1080756.0	1310001.0	1298040.0	985520.0	1266908.0	1389889.0	326725.0	899976.0	1064827.0	993910.0	1116443.0	1436055.0	365325.0	1010143.0	1043143.0	498801.0	969843.0	1381671.0	315714.0	1207991.0	529762.0	582423.0
BritoIL_2016__W2.69.ST__bin.3	691261.0	1254853.0	851155.0	723807.0	1034282.0	991856.0	923000.0	696977.0	910686.0	1122078.0	1188644.0	731626.0	1109463.0	1141888.0	979957.0	1022119.0	1140449.0	1079837.0	1131018.0	679548.0	1099466.0	1191956.0	1151441.0	886477.0	1125387.0	786978.0	406394.0	1197125.0	1146116.0	750203.0	1191292.0	831703.0	1170989.0	615458.0	960291.0	1177121.0	1077321.0	738648.0	547224.0	903638.0	998732.0
BritoIL_2016__W2.13.ST__bin.34	391713.0	851155.0	912722.0	409625.0	850738.0	695623.0	651891.0	404605.0	849970.0	808486.0	867268.0	476568.0	801344.0	838594.0	695837.0	722399.0	844477.0	768348.0	820172.0	440838.0	816536.0	861117.0	867526.0	608360.0	791760.0	706887.0	230647.0	863710.0	857503.0	463185.0	867689.0	839676.0	867120.0	389605.0	845622.0	855402.0	752942.0	766859.0	217892.0	778739.0	802340.0
BritoIL_2016__M2.36.ST__bin.3	1372784.0	723807.0	409625.0	1603298.0	619554.0	1359702.0	1301282.0	944635.0	465140.0	1465349.0	1463524.0	1198527.0	1396299.0	973588.0	1305765.0	1370621.0	1182628.0	1424235.0	1421597.0	1100096.0	1357523.0	1333362.0	1024228.0	1300970.0	1426843.0	388429.0	929614.0	1142000.0	1058820.0	1102542.0	1517740.0	384097.0	1042099.0	1057921.0	526912.0	1003266.0	1414818.0	332901.0	1170343.0	550834.0	616993.0
BritoIL_2016__W1.38.ST__bin.17	547329.0	1034282.0	850738.0	619554.0	1214075.0	860827.0	801233.0	561886.0	933460.0	1009152.0	1071261.0	618039.0	966394.0	1021412.0	884682.0	881309.0	1137911.0	930732.0	973944.0	585541.0	974791.0	1046504.0	1061786.0	769141.0	974180.0	817656.0	320575.0	1059015.0	1056113.0	618044.0	1063579.0	843030.0	1031433.0	511867.0	942697.0	1076730.0	928363.0	781289.0	392834.0	902133.0	938643.0
BritoIL_2016__M1.57.ST__bin.54	1311050.0	991856.0	695623.0	1359702.0	860827.0	1741719.0	1468244.0	902390.0	747304.0	1627307.0	1679680.0	1286364.0	1669506.0	1244007.0	1480304.0	1573562.0	1387190.0	1648855.0	1670778.0	1190937.0	1570234.0	1567434.0	1231403.0	1459248.0	1616027.0	653307.0	957012.0	1339854.0	1268532.0	1102696.0	1699813.0	680571.0	1298594.0	1148102.0	819022.0	1259879.0	1601919.0	607425.0	1168372.0	767492.0	845330.0
BritoIL_2016__WL.7.ST__bin.78	1273425.0	923000.0	651891.0	1301282.0	801233.0	1468244.0	1702220.0	868719.0	702255.0	1584576.0	1602570.0	1241221.0	1584735.0	1168917.0	1431764.0	1502893.0	1304915.0	1568928.0	1614916.0	1162306.0	1511509.0	1481785.0	1184982.0	1397077.0	1543254.0	616917.0	923576.0	1265342.0	1203161.0	1045962.0	1629153.0	632550.0	1219086.0	1099507.0	753663.0	1175815.0	1527830.0	567302.0	1145315.0	715781.0	797215.0
BritoIL_2016__M2.41.ST__bin.40	966473.0	696977.0	404605.0	944635.0	561886.0	902390.0	868719.0	1035016.0	458708.0	964719.0	1000903.0	772337.0	960406.0	939590.0	855773.0	925175.0	983986.0	954563.0	961716.0	713074.0	930969.0	1000892.0	886709.0	861668.0	983660.0	322522.0	531222.0	1006048.0	982468.0	945019.0	1009683.0	380944.0	999440.0	659439.0	491736.0	983821.0	980180.0	309757.0	770753.0	531908.0	596950.0
BritoIL_2016__W2.11.ST__bin.63	449077.0	910686.0	849970.0	465140.0	933460.0	747304.0	702255.0	458708.0	1041731.0	875466.0	920390.0	515457.0	856574.0	887883.0	752519.0	773558.0	934545.0	824084.0	866197.0	485202.0	863570.0	970022.0	916870.0	658113.0	855782.0	756642.0	256118.0	918822.0	912436.0	507404.0	923156.0	824843.0	922868.0	428150.0	896008.0	913684.0	820570.0	761703.0	279020.0	870787.0	860348.0
BritoIL_2016__M1.59.ST__bin.21	1382537.0	1122078.0	808486.0	1465349.0	1009152.0	1627307.0	1584576.0	964719.0	875466.0	1991756.0	1856014.0	1349205.0	1763505.0	1347596.0	1598405.0	1675800.0	1547334.0	1743002.0	1778882.0	1271975.0	1728182.0	1708963.0	1434880.0	1531014.0	1798754.0	795641.0	983125.0	1504928.0	1433822.0	1170219.0	1882190.0	797887.0	1431433.0	1187967.0	920554.0	1384034.0	1709522.0	729571.0	1219762.0	855267.0	1018026.0
