	YuJ_2015__SZAXPI017586-111__bin.46	YuJ_2015__SZAXPI015213-15__bin.3	HeQ_2017__SZAXPI029460-123__bin.30	YuJ_2015__SZAXPI015258-57__bin.36	LiJ_2017__H2M514917__bin.38	QinJ_2012__CON-098__bin.12	HeQ_2017__RSZAXPI003105-143__bin.29	WenC_2017__N010__bin.15	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.75	QinJ_2012__CON-084__bin.10	QinN_2014__LD-74__bin.17	QinJ_2012__CON-074__bin.14	YuJ_2015__SZAXPI003417-4__bin.21	YuJ_2015__SZAXPI015210-17__bin.10	QinJ_2012__CON-040__bin.45	LiJ_2017__H1M513803__bin.32	QinN_2014__HD-26__bin.35	WenC_2017__N287__bin.41	LiJ_2014__O2.UC8-0__bin.48	ChengpingW_2017__AS54raw__bin.17	QinJ_2012__T2D-087__bin.26	QinJ_2012__CON-094__bin.51	QinJ_2012__T2D-008__bin.19	WenC_2017__RA068__bin.5	FerrettiP_2018__CA_C10029IS2503FE_t3M15__bin.3	HeQ_2017__RSZAXPI003102-140__bin.5	QinJ_2012__CON-022__bin.36	QinN_2014__HD-58__bin.4	QinN_2014__LD-84__bin.67	LiJ_2014__O2.UC8-1__bin.57	QinN_2014__HD-81__bin.7	QinJ_2012__T2D-023__bin.48	HeQ_2017__RSZAXPI003081-115__bin.31	QinJ_2012__NOM022__bin.8	LeChatelierE_2013__MH0321__bin.36	VogtmannE_2016__MMRS67247116ST-27-0-0__bin.90	ChengpingW_2017__AS42raw__bin.81	VogtmannE_2016__MMRS56137463ST-27-0-0__bin.1	QinN_2014__HD-43__bin.29	QinJ_2012__NLM032__bin.22	QinN_2014__LD-16__bin.6
YuJ_2015__SZAXPI017586-111__bin.46	1.0	0.5420088643936457	0.9087905553997974	0.6715696885060747	0.9298342652828241	0.8663649480982942	0.5834244740499079	0.9139535264134356	0.6657002897609063	0.7080083493138674	0.9349474021376952	0.5869843828876347	0.6603045057307381	0.5839152073690645	0.5193065519745549	0.7535202507380971	0.9161561201482548	0.8089327919796676	0.8704597182125591	0.816302160862382	0.8910701372037102	0.9243783759313947	0.7296067019715686	0.9201097568815838	0.6692693285208499	0.5267790128956347	0.7579402743313378	0.5576195097307852	0.8689951265236033	0.8619589998018046	0.8891874711599072	0.9221095902605033	0.5120456009181659	0.8703299972343944	0.8743030350524342	0.8136746453310529	0.8282908899734053	0.620035462139544	0.9394819301720724	0.7458016623305876	0.9218204760569692
YuJ_2015__SZAXPI015213-15__bin.3	0.8391181182124432	1.0	0.9217019246625362	0.7472349171947513	0.9541579306933026	0.8813164032132677	0.581332893589955	0.9355373507031968	0.6437848948149544	0.7547115361963769	0.9453620815566915	0.5322439869019294	0.7787786520294943	0.7031620297297934	0.670430398831539	0.769816721241961	0.9169503404084902	0.8456170934533205	0.8821674244387383	0.8405616151146081	0.9092699474663715	0.9446524064171123	0.7704839925557728	0.9429321067634102	0.6306444203632594	0.6334960776461165	0.8013027397582982	0.5962772974628378	0.8939056279299866	0.8815484463709392	0.9221683667459776	0.9336786496737262	0.6339695870338524	0.9116816650568919	0.892273080637942	0.8565343117623501	0.8677730924167825	0.5520866215929704	0.9538516808405381	0.8469233668637659	0.9454003627882871
HeQ_2017__SZAXPI029460-123__bin.30	0.7560563182370296	0.4952952093166629	1.0	0.6416358467958622	0.9388396199962149	0.8502787238769551	0.5720175405838042	0.8935048190399392	0.6425166104492812	0.6654411508729466	0.9130480878598931	0.5570271520793681	0.6701668292318589	0.5994943283631214	0.5051016565192651	0.7055106751846185	0.894570406974205	0.7715378835974147	0.8419872661134176	0.7493839718104994	0.9274972956789729	0.9147064427085871	0.6786120962428135	0.9199742511926546	0.6206386691639043	0.5478745524182548	0.7105968241871687	0.5188985991965207	0.8428718275260321	0.851747507245808	0.8698558560497355	0.9278121932122649	0.5335307324168497	0.8585955000351293	0.8284542677002479	0.7766433378758753	0.7887774949853754	0.5988635838567384	0.9365549513601991	0.6941594894292538	0.9217183721031801
YuJ_2015__SZAXPI015258-57__bin.36	0.754637165720539	0.5423598762054579	0.8666532726899665	1.0	0.8978575336844266	0.8183045790301621	0.5245750974625538	0.903190188769578	0.636149630668217	0.6634374358798988	0.8777490424731551	0.5491732781615485	0.6732798714178236	0.5808079987688941	0.5311533923808222	0.6911210758498051	0.863199336570686	0.7905055228780521	0.8265662403392381	0.7555741741330962	0.8473116578893373	0.8908735722590794	0.6989625367621913	0.8872896860679844	0.6066954209698379	0.5484893304151562	0.7166024040763286	0.5360487483756241	0.8382296867519321	0.8220102934135832	0.8553198310649066	0.8878945523562	0.5411321900006839	0.839642893782915	0.8197519834484646	0.7691193317830518	0.7783863962793243	0.5904089152588742	0.8994524143355448	0.7351365330688735	0.8879355892209835
LiJ_2017__H2M514917__bin.38	0.7183895411343761	0.47616559204381337	0.8718776029160301	0.617326302288303	1.0	0.8103246087947628	0.525276316895493	0.86798656491206	0.6269162017543911	0.6342953309307395	0.8842073057111468	0.563478674384279	0.633773939479796	0.573978510677944	0.5008823095466364	0.6691427372287015	0.853126908560166	0.7320835613563702	0.8253900002174913	0.7264802197485682	0.8464017230018275	0.8866993452334417	0.6462741084764613	0.9151431004980553	0.6173477575171187	0.5294268749959588	0.6745873689247168	0.5166037019380831	0.8109215344074272	0.8242957835478955	0.850984912565534	0.8889547894242769	0.5150753842690262	0.8121524179455061	0.7939948284081337	0.7490708122479378	0.745592126107369	0.5913681205866154	0.9044842603853595	0.6691177551129573	0.8812159177812119
QinJ_2012__CON-098__bin.12	0.7957457825924256	0.5228638504378221	0.9387380953296061	0.6688694332333918	0.9633365676603866	1.0	0.5994290020953827	0.9267838967549695	0.677358580883974	0.7123798089941779	0.9464868534563332	0.6014604436676779	0.6752132332310857	0.6025589734756065	0.5381265664269864	0.7483052976460225	0.9074265017520922	0.8086199649406868	0.8806285239693683	0.8014309538725797	0.909599801817396	0.9384393539219157	0.7187550554558392	0.9478558228543815	0.6696007382232119	0.5402083223416295	0.756737142851153	0.5643155310242078	0.8760834617106108	0.8792417349084052	0.9066731842374949	0.9312216916310827	0.5288498595565979	0.8892860849047539	0.8651987923160216	0.8151912276944117	0.825411677888978	0.6202783571109365	0.9537300223234954	0.7234433738282261	0.9414903597370656
HeQ_2017__RSZAXPI003105-143__bin.29	0.8299177744167232	0.5341443155038109	0.9780688487065502	0.6640656073031687	0.9671276241703712	0.9283563270949395	1.0	0.9516679157884483	0.7898634443834164	0.7545954604118584	0.9716758704845601	0.6837997472895861	0.6881412797320295	0.5241906637842166	0.48849464140284043	0.7913082769424745	0.9499811955313007	0.8183261046610731	0.9023120026623881	0.8450403552015325	0.9501116092566688	0.9476705457083874	0.7442208050477146	0.968485333867254	0.7746780918469777	0.48905147013065725	0.7888845297394702	0.7221624868436362	0.8992859713252145	0.8706452773726775	0.9276620498764857	0.940376576396198	0.4447064744191584	0.9088830145592585	0.8802699185320069	0.8292586710246136	0.8646543630425901	0.6594291558552245	0.9680031818784447	0.7361562583706942	0.9707207658153699
WenC_2017__N010__bin.15	0.7587285967515728	0.5016568677824879	0.8915976134029914	0.6672590104521782	0.9326547117858518	0.8376591693649521	0.55538909154759	1.0	0.6578590924981612	0.6684957004810017	0.9135352818254252	0.5818474999502609	0.6505580105838686	0.5625044804749193	0.5059555972698078	0.7179437217611654	0.8793854572705594	0.790236085895007	0.8509693773947843	0.7757431903886826	0.869295506703422	0.9125095491355328	0.696310804584343	0.9179906502949455	0.65336519589189	0.536997906532635	0.7155811890477771	0.541263792362397	0.8575895850235448	0.8466071712231452	0.8723505984651274	0.910513033721278	0.5270573314465073	0.8533432790665579	0.8380416084928646	0.7924868238509378	0.7950994736488072	0.6141296572859075	0.9508014641955183	0.7027143703949797	0.9197907353726508
VogtmannE_2016__MMRS93621581ST-27-0-0__bin.75	0.7915260339725769	0.49443650880524254	0.9182913116360192	0.6731295135518504	0.9648093350859085	0.8768627518384399	0.660219047765512	0.9422301548459817	1.0	0.6900004613626844	0.9470274221314775	0.7380640498054587	0.6560260751333655	0.5335415194753854	0.48144733997273437	0.7559988456886562	0.9171492128338434	0.799189630014266	0.889278383529895	0.8102220782851058	0.8776923000377231	0.9440344447952409	0.7281248501702067	0.9693261662298799	0.7782125543118866	0.49725851055842074	0.7436696064214449	0.6826643423636787	0.8755917428744343	0.8646230712099734	0.8915340852037369	0.9271232408286074	0.4955329236553313	0.8889617620797868	0.8746807777308374	0.7955059656004364	0.8301176655771874	0.7399800618949703	0.970409463905607	0.7207747093641246	0.9354155566069398
QinJ_2012__CON-084__bin.10	0.8355702392961861	0.5753191940224665	0.9439823974693444	0.696782851090977	0.968905996973162	0.9153405731417743	0.6260490336970298	0.9503440547686166	0.6848689978975553	1.0	0.9592589050855995	0.6003819688094721	0.7253074988091535	0.6492652667428989	0.5884932569575295	0.8018956571475262	0.9414691612264844	0.8405414906211572	0.9007738594697781	0.8509441696106729	0.9181766062511252	0.9556996094561973	0.7733081560756521	0.9591444221913642	0.676384244100876	0.5788591846932329	0.808491667665586	0.6390313939033144	0.9191876473406073	0.8940620191999037	0.9358370517826333	0.9494228041844172	0.5596287521768586	0.9225875648231329	0.9192540923145164	0.8700125302650122	0.8721320351422079	0.5992865246450244	0.962783631370468	0.7822683505978028	0.9524550295478105
