	YuJ_2015__SZAXPI017586-111__bin.46	YuJ_2015__SZAXPI015213-15__bin.3	HeQ_2017__SZAXPI029460-123__bin.30	YuJ_2015__SZAXPI015258-57__bin.36	LiJ_2017__H2M514917__bin.38	QinJ_2012__CON-098__bin.12	HeQ_2017__RSZAXPI003105-143__bin.29	WenC_2017__N010__bin.15	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.75	QinJ_2012__CON-084__bin.10	QinN_2014__LD-74__bin.17	QinJ_2012__CON-074__bin.14	YuJ_2015__SZAXPI003417-4__bin.21	YuJ_2015__SZAXPI015210-17__bin.10	QinJ_2012__CON-040__bin.45	LiJ_2017__H1M513803__bin.32	QinN_2014__HD-26__bin.35	WenC_2017__N287__bin.41	LiJ_2014__O2.UC8-0__bin.48	ChengpingW_2017__AS54raw__bin.17	QinJ_2012__T2D-087__bin.26	QinJ_2012__CON-094__bin.51	QinJ_2012__T2D-008__bin.19	WenC_2017__RA068__bin.5	FerrettiP_2018__CA_C10029IS2503FE_t3M15__bin.3	HeQ_2017__RSZAXPI003102-140__bin.5	QinJ_2012__CON-022__bin.36	QinN_2014__HD-58__bin.4	QinN_2014__LD-84__bin.67	LiJ_2014__O2.UC8-1__bin.57	QinN_2014__HD-81__bin.7	QinJ_2012__T2D-023__bin.48	HeQ_2017__RSZAXPI003081-115__bin.31	QinJ_2012__NOM022__bin.8	LeChatelierE_2013__MH0321__bin.36	VogtmannE_2016__MMRS67247116ST-27-0-0__bin.90	ChengpingW_2017__AS42raw__bin.81	VogtmannE_2016__MMRS56137463ST-27-0-0__bin.1	QinN_2014__HD-43__bin.29	QinJ_2012__NLM032__bin.22	QinN_2014__LD-16__bin.6
YuJ_2015__SZAXPI017586-111__bin.46	2628719.0	1424789.0	2388955.0	1765368.0	2444273.0	2277430.0	1533659.0	2402527.0	1749939.0	1861155.0	2457714.0	1543017.0	1735755.0	1534949.0	1365111.0	1980793.0	2408317.0	2126457.0	2288194.0	2145829.0	2342373.0	2429931.0	1917931.0	2418710.0	1759321.0	1384754.0	1992412.0	1465825.0	2284344.0	2265848.0	2337424.0	2423967.0	1346024.0	2287853.0	2298297.0	2138922.0	2177344.0	1629899.0	2469634.0	1960503.0	2423207.0
YuJ_2015__SZAXPI015213-15__bin.3	1424789.0	1697960.0	1565013.0	1268775.0	1620122.0	1496440.0	987080.0	1588505.0	1093121.0	1281470.0	1605187.0	903729.0	1322335.0	1193941.0	1138364.0	1307118.0	1556945.0	1435824.0	1497885.0	1427240.0	1543904.0	1603982.0	1308251.0	1601061.0	1070809.0	1075651.0	1360580.0	1012455.0	1517816.0	1496834.0	1565805.0	1585349.0	1076455.0	1547999.0	1515044.0	1454361.0	1473444.0	937421.0	1619602.0	1438042.0	1605252.0
HeQ_2017__SZAXPI029460-123__bin.30	2388955.0	1565013.0	3159758.0	2027414.0	2966506.0	2686675.0	1807437.0	2823259.0	2030197.0	2102633.0	2885011.0	1760071.0	2117565.0	1894257.0	1595999.0	2229243.0	2826626.0	2437873.0	2660476.0	2367872.0	2930667.0	2890251.0	2144250.0	2906896.0	1961068.0	1731151.0	2245314.0	1639594.0	2663271.0	2691316.0	2748534.0	2931662.0	1685828.0	2712954.0	2617715.0	2454005.0	2492346.0	1892264.0	2959287.0	2193376.0	2912407.0
YuJ_2015__SZAXPI015258-57__bin.36	1765368.0	1268775.0	2027414.0	2339360.0	2100412.0	1914309.0	1227170.0	2112887.0	1488183.0	1552019.0	2053371.0	1284714.0	1575044.0	1358719.0	1242559.0	1616781.0	2019334.0	1849277.0	1933636.0	1767560.0	1982167.0	2084074.0	1635125.0	2075690.0	1419279.0	1283114.0	1676391.0	1254011.0	1960921.0	1922978.0	2000901.0	2077105.0	1265903.0	1964227.0	1917695.0	1799247.0	1820926.0	1381179.0	2104143.0	1719749.0	2077201.0
LiJ_2017__H2M514917__bin.38	2444273.0	1620122.0	2966506.0	2100412.0	3402434.0	2757076.0	1787218.0	2953267.0	2133041.0	2158148.0	3008457.0	1917199.0	2156374.0	1952924.0	1704219.0	2276714.0	2902708.0	2490866.0	2808335.0	2471801.0	2879826.0	3016936.0	2198905.0	3113714.0	2100485.0	1801340.0	2295239.0	1757710.0	2759107.0	2804612.0	2895420.0	3024610.0	1752510.0	2763295.0	2701515.0	2548664.0	2536828.0	2012091.0	3077448.0	2276629.0	2998279.0
QinJ_2012__CON-098__bin.12	2277430.0	1496440.0	2686675.0	1914309.0	2757076.0	2862007.0	1715570.0	2652462.0	1938605.0	2038836.0	2708852.0	1721384.0	1932465.0	1724528.0	1540122.0	2141655.0	2597061.0	2314276.0	2520365.0	2293701.0	2603281.0	2685820.0	2057082.0	2712770.0	1916402.0	1546080.0	2165787.0	1615075.0	2507357.0	2516396.0	2594905.0	2665163.0	1513572.0	2545143.0	2476205.0	2333083.0	2362334.0	1775241.0	2729582.0	2070500.0	2694552.0
HeQ_2017__RSZAXPI003105-143__bin.29	1533659.0	987080.0	1807437.0	1227170.0	1787218.0	1715570.0	1847965.0	1758649.0	1459640.0	1394466.0	1795623.0	1263638.0	1271661.0	968686.0	902721.0	1462310.0	1755532.0	1512238.0	1667441.0	1561605.0	1755773.0	1751262.0	1375294.0	1789727.0	1431578.0	903750.0	1457831.0	1334531.0	1661849.0	1608922.0	1714287.0	1737783.0	821802.0	1679584.0	1626708.0	1532441.0	1597851.0	1218602.0	1788836.0	1360391.0	1793858.0
WenC_2017__N010__bin.15	2402527.0	1588505.0	2823259.0	2112887.0	2953267.0	2652462.0	1758649.0	3166517.0	2083122.0	2116803.0	2892725.0	1842430.0	2060003.0	1781180.0	1602117.0	2273381.0	2784589.0	2502296.0	2694609.0	2456404.0	2752639.0	2889477.0	2204880.0	2906833.0	2068892.0	1700413.0	2265900.0	1713921.0	2715572.0	2680796.0	2762313.0	2883155.0	1668936.0	2702126.0	2653673.0	2509423.0	2517696.0	1944652.0	3010729.0	2225157.0	2912533.0
VogtmannE_2016__MMRS93621581ST-27-0-0__bin.75	1749939.0	1093121.0	2030197.0	1488183.0	2133041.0	1938605.0	1459640.0	2083122.0	2210842.0	1525482.0	2093728.0	1631743.0	1450370.0	1179576.0	1064404.0	1671394.0	2027672.0	1766882.0	1966054.0	1791273.0	1940439.0	2087111.0	1609769.0	2143027.0	1720505.0	1099360.0	1644136.0	1509263.0	1935795.0	1911545.0	1971041.0	2049723.0	1095545.0	1965354.0	1933781.0	1758738.0	1835259.0	1635979.0	2145422.0	1593519.0	2068056.0
QinJ_2012__CON-084__bin.10	1861155.0	1281470.0	2102633.0	1552019.0	2158148.0	2038836.0	1394466.0	2116803.0	1525482.0	2227407.0	2136660.0	1337295.0	1615555.0	1446178.0	1310814.0	1786148.0	2097035.0	1872228.0	2006390.0	1895399.0	2045153.0	2128732.0	1722472.0	2136405.0	1506583.0	1289355.0	1800840.0	1423383.0	2047405.0	1991440.0	2084490.0	2114751.0	1246521.0	2054978.0	2047553.0	1937872.0	1942593.0	1334855.0	2144511.0	1742430.0	2121505.0
