	LiSS_2016__FAT_010-22-42-0__bin.4	HeQ_2017__RSZAXPI003099-133__bin.4	VincentC_2016__MM021.4__bin.15	ZellerG_2014__CCIS71578391ST-4-0__bin.47	NielsenHB_2014__V1_UC13_3__bin.36	RaymondF_2016__P1E0__bin.32	ZellerG_2014__CCIS23164343ST-4-0__bin.86	ZellerG_2014__CCIS80834637ST-4-0__bin.35	LiSS_2016__FAT_010-22-14-0__bin.52	XieH_2016__YSZC12003_35705__bin.12	ZellerG_2014__CCIS38765456ST-20-0__bin.18	NielsenHB_2014__V1_UC55_0__bin.105	ZeeviD_2015__PNP_Main_144__bin.23	FengQ_2015__SID31416__bin.9	NielsenHB_2014__V1_UC13_0__bin.4	ZellerG_2014__CCIS11354283ST-4-0__bin.12	FengQ_2015__SID31865__bin.46	HeQ_2017__SZAXPI029501-104__bin.44	LiJ_2014__V1.FI10__bin.10	HeQ_2017__RSZAXPI003105-143__bin.39	YuJ_2015__SZAXPI003415-12__bin.14	XieH_2016__YSZC12003_37322__bin.70	LiSS_2016__FAT_010-22-2-0__bin.52	CosteaPI_2017__halbarad-11-0-0__bin.8	XieH_2016__YSZC12003_37285__bin.65	ZellerG_2014__CCIS81710917ST-20-0__bin.52	LiJ_2014__MH0370__bin.30	FerrettiP_2018__CA_C10024IS2415FE_t3M15__bin.7	XieH_2016__YSZC12003_36699__bin.28	NielsenHB_2014__O2_UC19_2__bin.43	RaymondF_2016__P1E7__bin.27
LiSS_2016__FAT_010-22-42-0__bin.4	1399643.0	1208324.0	884596.0	1161134.0	1185034.0	1161566.0	1163774.0	952218.0	1355773.0	950339.0	798648.0	1221044.0	981957.0	973539.0	1179101.0	1210532.0	950033.0	1241292.0	1210907.0	1075482.0	1108557.0	880559.0	1364643.0	1028089.0	966298.0	1187342.0	1156653.0	1258617.0	1134472.0	1146257.0	1185757.0
HeQ_2017__RSZAXPI003099-133__bin.4	1208324.0	2188592.0	1383301.0	1740331.0	1809573.0	1759617.0	1763730.0	1358330.0	1901982.0	1401930.0	1132782.0	1788319.0	1497431.0	1463750.0	1784690.0	1789247.0	1359204.0	1838819.0	1823951.0	1643918.0	1680399.0	1269282.0	1923875.0	1558849.0	1447572.0	1814863.0	1667703.0	1873584.0	1720216.0	1709717.0	1788553.0
VincentC_2016__MM021.4__bin.15	884596.0	1383301.0	1628789.0	1406327.0	1464757.0	1451155.0	1421991.0	1049139.0	1404018.0	1114278.0	914797.0	1403626.0	1113828.0	1191380.0	1433660.0	1445321.0	1073508.0	1381977.0	1463151.0	1220860.0	1294613.0	1049124.0	1436709.0	1234532.0	1178042.0	1425630.0	1317082.0	1458024.0	1405724.0	1357588.0	1469992.0
ZellerG_2014__CCIS71578391ST-4-0__bin.47	1161134.0	1740331.0	1406327.0	2073895.0	1788834.0	1809153.0	1817331.0	1369845.0	1802933.0	1404109.0	1158728.0	1814432.0	1425684.0	1502149.0	1763450.0	1808794.0	1358756.0	1765952.0	1847578.0	1564030.0	1622785.0	1330619.0	1817949.0	1555015.0	1501626.0	1807881.0	1686914.0	1875390.0	1722103.0	1733465.0	1827815.0
NielsenHB_2014__V1_UC13_3__bin.36	1185034.0	1809573.0	1464757.0	1788834.0	2208532.0	1929971.0	1895414.0	1404650.0	1854651.0	1490741.0	1190179.0	1861105.0	1486538.0	1549301.0	2121472.0	1915082.0	1413016.0	1852317.0	1952790.0	1586558.0	1694827.0	1361552.0	1887111.0	1625185.0	1513895.0	1899204.0	1754101.0	1946621.0	1806024.0	1757823.0	1965250.0
RaymondF_2016__P1E0__bin.32	1161566.0	1759617.0	1451155.0	1809153.0	1929971.0	2128512.0	1859078.0	1377114.0	1826815.0	1452445.0	1173622.0	1829972.0	1447896.0	1524694.0	1898293.0	1875396.0	1382904.0	1830026.0	1885763.0	1573026.0	1672320.0	1354772.0	1846342.0	1600744.0	1527977.0	1850592.0	1725502.0	1912913.0	1806146.0	1755954.0	2118808.0
ZellerG_2014__CCIS23164343ST-4-0__bin.86	1163774.0	1763730.0	1421991.0	1817331.0	1895414.0	1859078.0	2251536.0	1384169.0	1825957.0	1432252.0	1182245.0	1860917.0	1481361.0	1541224.0	1859426.0	1879837.0	1385248.0	1832005.0	1873233.0	1570206.0	1666785.0	1344828.0	1841568.0	1602714.0	1513491.0	1833437.0	1743042.0	1903626.0	1778851.0	1763412.0	1887459.0
ZellerG_2014__CCIS80834637ST-4-0__bin.35	952218.0	1358330.0	1049139.0	1369845.0	1404650.0	1377114.0	1384169.0	1598803.0	1424762.0	1106818.0	947151.0	1480586.0	1130963.0	1157059.0	1390153.0	1416153.0	1078975.0	1342123.0	1408324.0	1219569.0	1230598.0	1028812.0	1442622.0	1206314.0	1135354.0	1412865.0	1338323.0	1557113.0	1312448.0	1333312.0	1401673.0
LiSS_2016__FAT_010-22-14-0__bin.52	1355773.0	1901982.0	1404018.0	1802933.0	1854651.0	1826815.0	1825957.0	1424762.0	2294812.0	1469686.0	1175708.0	1878349.0	1508943.0	1495353.0	1831310.0	1911246.0	1415824.0	1928289.0	1890836.0	1662211.0	1743645.0	1326972.0	2205278.0	1585401.0	1500599.0	1849742.0	1758109.0	1970194.0	1770536.0	1756813.0	1864430.0
XieH_2016__YSZC12003_35705__bin.12	950339.0	1401930.0	1114278.0	1404109.0	1490741.0	1452445.0	1432252.0	1106818.0	1469686.0	1628267.0	939959.0	1450064.0	1197834.0	1233890.0	1463341.0	1493935.0	1121572.0	1444566.0	1510493.0	1275298.0	1321627.0	1109555.0	1484477.0	1286772.0	1201974.0	1472687.0	1338687.0	1496475.0	1462123.0	1398364.0	1474835.0
