	LiSS_2016__FAT_010-22-42-0__bin.4	HeQ_2017__RSZAXPI003099-133__bin.4	VincentC_2016__MM021.4__bin.15	ZellerG_2014__CCIS71578391ST-4-0__bin.47	NielsenHB_2014__V1_UC13_3__bin.36	RaymondF_2016__P1E0__bin.32	ZellerG_2014__CCIS23164343ST-4-0__bin.86	ZellerG_2014__CCIS80834637ST-4-0__bin.35	LiSS_2016__FAT_010-22-14-0__bin.52	XieH_2016__YSZC12003_35705__bin.12	ZellerG_2014__CCIS38765456ST-20-0__bin.18	NielsenHB_2014__V1_UC55_0__bin.105	ZeeviD_2015__PNP_Main_144__bin.23	FengQ_2015__SID31416__bin.9	NielsenHB_2014__V1_UC13_0__bin.4	ZellerG_2014__CCIS11354283ST-4-0__bin.12	FengQ_2015__SID31865__bin.46	HeQ_2017__SZAXPI029501-104__bin.44	LiJ_2014__V1.FI10__bin.10	HeQ_2017__RSZAXPI003105-143__bin.39	YuJ_2015__SZAXPI003415-12__bin.14	XieH_2016__YSZC12003_37322__bin.70	LiSS_2016__FAT_010-22-2-0__bin.52	CosteaPI_2017__halbarad-11-0-0__bin.8	XieH_2016__YSZC12003_37285__bin.65	ZellerG_2014__CCIS81710917ST-20-0__bin.52	LiJ_2014__MH0370__bin.30	FerrettiP_2018__CA_C10024IS2415FE_t3M15__bin.7	XieH_2016__YSZC12003_36699__bin.28	NielsenHB_2014__O2_UC19_2__bin.43	RaymondF_2016__P1E7__bin.27
LiSS_2016__FAT_010-22-42-0__bin.4	1.0	0.8361496467313451	0.6079228774766137	0.7949469971985714	0.8108982076143703	0.7949412814553425	0.7962116053879453	0.6524963865785776	0.9665571863682382	0.6494241745930927	0.5471523810000122	0.8361989450166936	0.6769976343967712	0.6657547674657038	0.8068678941701563	0.8285134137776562	0.6506752078922983	0.858293150467655	0.8293614871792306	0.7431030627095624	0.7660517717732307	0.6011161417590056	0.9726194465302939	0.7033622145075565	0.6606713283315817	0.8125829229310617	0.7923349025430056	0.86174831724947	0.776078614332369	0.7844678964564535	0.8115640917005265
HeQ_2017__RSZAXPI003099-133__bin.4	0.5347323758836732	1.0	0.608840295495917	0.7627067996227711	0.7924094577701097	0.7710249329249125	0.7727511569081857	0.595487418395023	0.8425887511240103	0.6127825560908565	0.49619892606753563	0.7836092793905854	0.6615367322918113	0.640261410075519	0.7815723533669134	0.7839597330155643	0.5960443974939139	0.8177056299209721	0.7994258409059339	0.7310087946954023	0.7468445466308933	0.555096153143208	0.8526107195859256	0.6830295459363829	0.6332468545987557	0.7941589844064129	0.7310252436269529	0.8209981577196663	0.7529429880032459	0.7498725207804835	0.7835887182261472
VincentC_2016__MM021.4__bin.15	0.5223973148148716	0.8180943019629923	1.0	0.8397514963571096	0.874387044607988	0.8674892819143548	0.8492874153742443	0.6259963690815692	0.830583949179421	0.6640639149699562	0.5459123311859301	0.8375283723060507	0.6603568663589943	0.7112314731987999	0.8558057550732476	0.8627157968281957	0.6400264245399496	0.8169050748746461	0.8731499291805138	0.7221622935813049	0.7659279378728614	0.6257974482882681	0.8503470983657183	0.7379992129121697	0.7027540092670076	0.8512035628924312	0.7874199788922936	0.8700525359638357	0.8386156831854832	0.8099010983006393	0.8786030603104515
ZellerG_2014__CCIS71578391ST-4-0__bin.47	0.5364987137728766	0.8048883863454996	0.6595213354581596	1.0	0.839346736454835	0.8502879846858207	0.8540012874325845	0.6442167997897676	0.8340456001870876	0.6581022665081887	0.545105706894515	0.8518787113137357	0.6610966321824393	0.7061529151668721	0.8274083307014097	0.8496900759199477	0.6367337787110726	0.8164690112083783	0.8671171877071887	0.7235004665134928	0.7506787952138367	0.6241907136089339	0.8415387471400432	0.7307419131633955	0.7051321306044906	0.8504808584812635	0.794046468119167	0.8817133943618167	0.8068716111471411	0.8133743511604976	0.8590815832045499
NielsenHB_2014__V1_UC13_3__bin.36	0.5139015418386512	0.7852550925229971	0.64485911908906	0.7881783012426354	1.0	0.851234666285116	0.8357121381985863	0.6194377079435571	0.805315476524678	0.6560176624110495	0.5246534802303068	0.8203815928408553	0.647528765714058	0.6826769999257425	0.9600223134643283	0.8439723762209468	0.6219180885764842	0.8038647391117719	0.8616528988486469	0.6884785912090021	0.7357837694903221	0.5994031329407952	0.8197984000231828	0.7168811681243469	0.66659527686264	0.8370990322983775	0.7740431200453514	0.8581836260466228	0.795016327587737	0.7745362077615356	0.866752213687644
RaymondF_2016__P1E0__bin.32	0.5227285540321126	0.7927881073726623	0.6638238356184978	0.8284698418425641	0.8832362702206987	1.0	0.8510283240122678	0.6300528256359372	0.8233338595225208	0.6630664990378256	0.5377676987491732	0.8369428971976667	0.6547226419207409	0.6973538321606831	0.8687599600096217	0.8587369956100789	0.6312940683444584	0.8247390665403812	0.8623042764146972	0.708805494166817	0.753771648926574	0.6191513132178724	0.832475926844669	0.7335044387816465	0.6981379480125083	0.8480849532443323	0.7914359890853329	0.8752988002886524	0.8244693945817547	0.8029637605989536	0.9953455747489327
ZellerG_2014__CCIS23164343ST-4-0__bin.86	0.4949563320328878	0.7511481051157965	0.6143850242678776	0.7866225545583103	0.8197501616674128	0.8045281088110516	1.0	0.5995742462034807	0.7778356641865819	0.6186669900014923	0.511966497537681	0.8052111980443574	0.6332157247319165	0.6666306912259009	0.8041172781603314	0.8131382309676594	0.5979091606796426	0.7796597522757798	0.8096805913829492	0.6686000135018938	0.7100197376368843	0.5809998152372425	0.784845545440979	0.6941292522082703	0.65401485918946	0.7933326404729928	0.7557853838446288	0.8241391654408368	0.7682542051292984	0.7626282679912736	0.8168397040953377
ZellerG_2014__CCIS80834637ST-4-0__bin.35	0.5712160910381078	0.8151592159884613	0.6377371070732292	0.8356489198481615	0.8556701482296443	0.8387994018024735	0.8443585607482598	1.0	0.8551272420679721	0.6732061423452421	0.5776602871022883	0.9144685117553569	0.680813708755863	0.7046615499220354	0.846515174164672	0.864106459645122	0.6559407256553809	0.8048183547316337	0.8567484549378503	0.7314791128112719	0.7387651887068012	0.6256480629570997	0.8662005262687148	0.7353789053435601	0.6907148660591704	0.8635623025475935	0.8172557844837669	0.9688854724440722	0.7976917731577936	0.8115383821521477	0.8535998493873229
LiSS_2016__FAT_010-22-14-0__bin.52	0.5895188799779677	0.8035878320315565	0.5895236733989538	0.7537536843976761	0.7750373451071374	0.7636686578246932	0.7631670916833274	0.5957699367094124	1.0	0.6135517855057407	0.49165116793881153	0.785419459197529	0.6355518447698548	0.6241313013876518	0.7651201928523992	0.7993334530236028	0.5925914628300707	0.8145678164485805	0.7910469354352339	0.7018727460027226	0.7362851510276223	0.5530474827567574	0.9603331340432245	0.6626978593453408	0.6259384210994191	0.7726519645182263	0.7355290978084479	0.8235519946732021	0.7399996165263211	0.7346693323897556	0.77965123068905
XieH_2016__YSZC12003_35705__bin.12	0.5582389129055616	0.8236554569981459	0.664276804725515	0.838213266006128	0.8898024709706701	0.866777377420288	0.8554807043316607	0.6610242669046293	0.8647144479375926	1.0	0.5609976742143641	0.8650798671225297	0.7065198766541361	0.7364031820334135	0.8734740678279421	0.8914404087290353	0.6683025572587297	0.848450530533383	0.9013534021140267	0.7492260176003075	0.7770463934968896	0.6614738246245855	0.8736570844953562	0.7684833015715481	0.7169002381059126	0.8789314037562636	0.8005222730670093	0.8929518316099264	0.8720123910881938	0.8343717584401085	0.8800694235036391
