	BritoIL_2016__W1.41.ST__bin.79	ZellerG_2014__CCIS10793554ST-4-0__bin.56	FengQ_2015__SID530258__bin.75	KarlssonFH_2013__S194__bin.18	YuJ_2015__SZAXPI003416-4__bin.10	FengQ_2015__SID530002__bin.65	CM_madagascar__A58_01_1FE__bin.6	FengQ_2015__SID530163__bin.45	Bengtsson-PalmeJ_2015__TRAVELRES61__bin.97	LeChatelierE_2013__MH0420__bin.61	LiJ_2014__O2.UC46-1__bin.34	SchirmerM_2016__G88975__bin.5	LiJ_2014__V1.FI28__bin.31	LiJ_2014__O2.UC15-1__bin.5	FengQ_2015__SID530119__bin.18	FengQ_2015__SID530297__bin.62	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.123	ZellerG_2014__CCIS81735969ST-20-0__bin.53	FengQ_2015__SID530558__bin.75	ZeeviD_2015__PNP_Main_447__bin.22	NielsenHB_2014__MH0086__bin.4	ZeeviD_2015__PNP_Main_279__bin.36	XieH_2016__YSZC12003_36034__bin.30	LiJ_2014__O2.UC32-1__bin.62	BackhedF_2015__SID184_12M__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.33	LeChatelierE_2013__MH0086__bin.32	LiJ_2014__V1.FI31__bin.11	FengQ_2015__SID531469__bin.57	ZellerG_2014__CCIS81887263ST-4-0__bin.29	Bengtsson-PalmeJ_2015__TRAVELRES57__bin.29	ZellerG_2014__CCMD79987997ST-21-0__bin.40	FengQ_2015__SID31379__bin.49	FengQ_2015__SID532779__bin.85
BritoIL_2016__W1.41.ST__bin.79	1.0	0.988514010660346	0.9864226976329388	0.9857982992867176	0.9876687976084941	0.9864737745190788	0.9841162419604649	0.9867311911877762	0.9856289332091184	0.9858527553093398	0.9844191141533407	0.9882050930368308	0.9862341167073032	0.9860354234009322	0.9869490298145427	0.9876191941240728	0.986831720017839	0.9847925759820606	0.9861082850853665	0.9864703537189133	0.9865855763143578	0.9859228269401812	0.9885680489407895	0.9845869441474223	0.9860332543336566	0.9849682543287339	0.9864747427579097	0.9840073233121747	0.9861524112899903	0.9851628027834399	0.9860579504443285	0.9882861777638708	0.9872453181433641	0.9891601980668533
ZellerG_2014__CCIS10793554ST-4-0__bin.56	0.988514010660346	1.0	0.9899488194675496	0.9940208913957906	0.9916957513437329	0.9905532956606901	0.9858566099424655	0.9941831805944015	0.9909065641038992	0.9935292520087624	0.9937118073985954	0.9921461152241654	0.9930188105314942	0.991223125855544	0.9941746566956129	0.9913067144581309	0.9906414962253798	0.9954249939802552	0.9910208413085997	0.9934122487355038	0.9917952223955089	0.9929108352897859	0.9913804205700225	0.992244894333354	0.9938973500023024	0.9963566708364074	0.9921689599326594	0.9954702800566038	0.9939466755402755	0.9946087587627009	0.9937741531890194	0.9910115658217178	0.99036066875031	0.9911059626214493
FengQ_2015__SID530258__bin.75	0.9864226976329388	0.9899488194675496	1.0	0.987576334514338	0.9892115246301598	0.9877655446862423	0.983702678566148	0.9884408631701606	0.9917278060399329	0.9879855411492756	0.9869240956978398	0.9900754531036827	0.9874222896361755	0.9863353509209032	0.9880251524794179	0.9893155505816468	0.9880759222266489	0.9868791527590558	0.9882636067811083	0.9876584471845654	0.9877642787207093	0.9881505102704247	0.9902365495949161	0.9869651787087624	0.9878630843823674	0.9878020656140571	0.9877384196185286	0.9859994810926705	0.9881451456435503	0.9879958275848125	0.985673334166452	0.9889386578346185	0.9943093475829862	0.9900195524059556
KarlssonFH_2013__S194__bin.18	0.9857982992867176	0.9940208913957906	0.987576334514338	1.0	0.988855626986452	0.9878799186445126	0.9836187477690257	0.99293450888473	0.9890958817370537	0.9917457099130755	0.9904903370376437	0.9909796001787452	0.9914122024527204	0.9879732032879812	0.992508098903922	0.9913551080611492	0.9898071450485046	0.9912294725433751	0.9893628146298352	0.9911124438670904	0.9912581716941268	0.9911388649791498	0.9895598511241712	0.9897374879155202	0.9911542956485108	0.9912953038615518	0.9907800086108616	0.9899751754554345	0.9913212879943153	0.9926007665776413	0.9914199137237235	0.9899040161210493	0.9886090682279266	0.9897943133780517
YuJ_2015__SZAXPI003416-4__bin.10	0.9876687976084941	0.9916957513437329	0.9892115246301598	0.988855626986452	1.0	0.9883302948271735	0.9850968133726571	0.9903613500789605	0.9887211280790161	0.9888139818941628	0.9883197476252585	0.9921305812410128	0.9887660237890449	0.9879665935640894	0.9899154829367803	0.9902967351932257	0.9900861898625596	0.988550657195789	0.9894954041034506	0.990192492470102	0.9890230359753531	0.9901989000580844	0.9914836780051974	0.9881599699431893	0.9892843776326646	0.9886971907656976	0.9894703292119418	0.9882012350051587	0.9894264761497608	0.9892993892965247	0.988222606485357	0.9909041441267046	0.9900640277684436	0.9921631181080519
FengQ_2015__SID530002__bin.65	0.9864737745190788	0.9905532956606901	0.9877655446862423	0.9878799186445126	0.9883302948271735	1.0	0.9833119438786377	0.9896716078057237	0.9883584044047833	0.9885098427025577	0.9892346453856163	0.9897805305431576	0.9891755833361159	0.9899642883052963	0.9896842042186001	0.9887757558353147	0.9887876864902703	0.9876711237577356	0.9882975791081919	0.9887740720045202	0.9881699049916292	0.9882211578096919	0.9901082940264873	0.9875541915904613	0.9884291941318312	0.9882839627435505	0.9887747319522285	0.9870794746895398	0.988644418262633	0.9888910517438675	0.9886704793214844	0.9893098140837232	0.9876669210587266	0.9898962828855512
CM_madagascar__A58_01_1FE__bin.6	0.9841162419604649	0.9858566099424655	0.983702678566148	0.9836187477690257	0.9850968133726571	0.9833119438786377	1.0	0.9853433498680837	0.9832066421776087	0.98454020573634	0.9854435362523293	0.9858708152205071	0.9842479949231725	0.9845468691892207	0.9858763160077242	0.9846015707320728	0.984158555292023	0.9834813927247702	0.9847247033742687	0.9848721718954372	0.9851849691676786	0.9843087597113951	0.986112165924048	0.9827705082775164	0.9846478008063078	0.9842407953010163	0.9846915338147911	0.9839323255140662	0.984422194844031	0.983918283460549	0.9849520160395601	0.9845983628457016	0.9842719559272961	0.9863040729284581
FengQ_2015__SID530163__bin.45	0.9867311911877762	0.9941831805944015	0.9884408631701606	0.99293450888473	0.9903613500789605	0.9896716078057237	0.9853433498680837	1.0	0.9897635856958458	0.995695742398795	0.9917716072596191	0.9905478712538095	0.9953322283493166	0.9889893876977472	0.99670333904153	0.9914110506738562	0.9901930682661145	0.9918266059996402	0.9908335444267645	0.9917052419522656	0.991862296405294	0.9914428632438774	0.9898481883121841	0.9897321322990327	0.995723760694725	0.9928961654713178	0.9921464304888667	0.9912253927540878	0.9959109191932332	0.9945024912561176	0.9965588100258089	0.9893165813788073	0.9889251788409332	0.9896651479037856
Bengtsson-PalmeJ_2015__TRAVELRES61__bin.97	0.9856289332091184	0.9909065641038992	0.9917278060399329	0.9890958817370537	0.9887211280790161	0.9883584044047833	0.9832066421776087	0.9897635856958458	1.0	0.9895808137823018	0.9894719018249967	0.9898748247297455	0.9891137045506109	0.9873085853637497	0.9893351746996272	0.9890512037921156	0.9897144260494135	0.9886648970904125	0.9890806021739517	0.9888313128187627	0.988569102369586	0.9892164148294939	0.9894402116361002	0.9881835267172618	0.9893141132946254	0.9882305951617898	0.9891892490013611	0.9867698546965414	0.9893895675610239	0.9892380269332798	0.9884409313401243	0.9889939926689876	0.9921129307156596	0.988416365822536
LeChatelierE_2013__MH0420__bin.61	0.9858527553093398	0.9935292520087624	0.9879855411492756	0.9917457099130755	0.9888139818941628	0.9885098427025577	0.98454020573634	0.995695742398795	0.9895808137823018	1.0	0.9916446723390498	0.9899192482174596	0.9987592536113344	0.9881830432858565	0.9957312429698253	0.9895178058817832	0.9895466329713293	0.9912343147839551	0.9893913280863285	0.9910905810154631	0.990694028224208	0.9909589063238758	0.9892785687120723	0.9894716645235704	0.997482201249741	0.9918495482922269	0.9907951130301854	0.9905561331975681	0.9982157073238804	0.9924749092934759	0.9972103410229289	0.9896828759839856	0.9888305501044786	0.989089234693319
