	BritoIL_2016__W1.41.ST__bin.79	ZellerG_2014__CCIS10793554ST-4-0__bin.56	FengQ_2015__SID530258__bin.75	KarlssonFH_2013__S194__bin.18	YuJ_2015__SZAXPI003416-4__bin.10	FengQ_2015__SID530002__bin.65	CM_madagascar__A58_01_1FE__bin.6	FengQ_2015__SID530163__bin.45	Bengtsson-PalmeJ_2015__TRAVELRES61__bin.97	LeChatelierE_2013__MH0420__bin.61	LiJ_2014__O2.UC46-1__bin.34	SchirmerM_2016__G88975__bin.5	LiJ_2014__V1.FI28__bin.31	LiJ_2014__O2.UC15-1__bin.5	FengQ_2015__SID530119__bin.18	FengQ_2015__SID530297__bin.62	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.123	ZellerG_2014__CCIS81735969ST-20-0__bin.53	FengQ_2015__SID530558__bin.75	ZeeviD_2015__PNP_Main_447__bin.22	NielsenHB_2014__MH0086__bin.4	ZeeviD_2015__PNP_Main_279__bin.36	XieH_2016__YSZC12003_36034__bin.30	LiJ_2014__O2.UC32-1__bin.62	BackhedF_2015__SID184_12M__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.33	LeChatelierE_2013__MH0086__bin.32	LiJ_2014__V1.FI31__bin.11	FengQ_2015__SID531469__bin.57	ZellerG_2014__CCIS81887263ST-4-0__bin.29	Bengtsson-PalmeJ_2015__TRAVELRES57__bin.29	ZellerG_2014__CCMD79987997ST-21-0__bin.40	FengQ_2015__SID31379__bin.49	FengQ_2015__SID532779__bin.85
BritoIL_2016__W1.41.ST__bin.79	1.0	0.4088425993276669	0.6500639259382507	0.7609727428394383	0.8450172758287361	0.7493955129595575	0.5852421824660864	0.6130858994450653	0.722560266494068	0.7637417537281903	0.5288110995058116	0.5314021108481286	0.6575123213144439	0.7376667076094661	0.5972378419485985	0.7363820909807078	0.35724508969522006	0.5712995622024206	0.7585132711293157	0.7781240009303598	0.6756203632642619	0.7345300826492838	0.737251181751475	0.5374241868571291	0.7689565887272568	0.70525627143508	0.7680024182385362	0.46445337442712753	0.6880504229449255	0.8003652330008256	0.8121715683328062	0.6970116692785849	0.8180043201912754	0.4520991024815692
ZellerG_2014__CCIS10793554ST-4-0__bin.56	0.9174931040617126	1.0	0.8511572078438732	0.8762041419289339	0.9298539879147582	0.8970180483631228	0.7875249495144986	0.8424370144904304	0.8432958707779687	0.9034809745086502	0.4855359608601335	0.7765904969311201	0.8615540607025027	0.8663370691626933	0.825405203574354	0.8520773179182314	0.5458976579549445	0.684241290395732	0.8957688620936153	0.915728473692476	0.8942746606768283	0.9014576446355042	0.8527569742975201	0.6550779715091695	0.9001739216564066	0.8958398904208852	0.9094017394772185	0.5496256676825673	0.8447464125807459	0.9215892881462844	0.9326990308217326	0.9062595505405647	0.9105890203238761	0.6679125947560243
FengQ_2015__SID530258__bin.75	0.8461935052726711	0.49371546890845747	1.0	0.7993553881259726	0.874936451641069	0.8213029596431539	0.6286889704239795	0.6797302563517176	0.8158547155055728	0.8350672034526462	0.5346018688225798	0.5977042080447592	0.7435961208380786	0.7893354419734029	0.6483100577822313	0.8086152108595971	0.400284167472085	0.6328762639272488	0.8189360313241909	0.847784812877723	0.7374871627590175	0.789908085921539	0.7876530405125749	0.6160443116800844	0.8394298809769948	0.8094978007070547	0.8259491242705405	0.5228658807396216	0.7989036986751324	0.8588748283485591	0.8765047022950737	0.7494053385535279	0.8815515286947536	0.48918874684715086
KarlssonFH_2013__S194__bin.18	0.7274185780882869	0.3732277454176538	0.5870046923336344	1.0	0.7457979257137385	0.6687020930222876	0.5147555226171592	0.5565249251599849	0.6382375922402319	0.7049164720201738	0.485121791108576	0.47643632457458807	0.604829731158844	0.6708058017839472	0.5394065814802016	0.66041910408487	0.3116458974348299	0.530068268527501	0.6985254053573932	0.7045708964286359	0.6004696497195842	0.6584125450878998	0.6647830715147175	0.4987155413254281	0.700096733408555	0.6494886452742885	0.6821903663517626	0.4251684507527025	0.6203473242873023	0.7235675614159994	0.7293402004338431	0.6217679314178176	0.7322916102851068	0.39475613327282294
YuJ_2015__SZAXPI003416-4__bin.10	0.7731194350833335	0.37909590485893685	0.6149557861849928	0.7138169998366141	1.0	0.7129110715856003	0.5408487299071888	0.5829573908203698	0.6846681606069984	0.7105893979827821	0.5038756992052539	0.5002312640887119	0.6160006588569098	0.6856564459717408	0.5677547989623004	0.7019163969028412	0.3394518469911094	0.5384035206337778	0.7256745645367612	0.7479742142533597	0.6279543954124431	0.703805828492639	0.689047433712486	0.5086805726210417	0.7275177698756274	0.6706990657780953	0.7158894767533763	0.42621666031277106	0.6394519798251639	0.7706973389353882	0.7734137953478858	0.6690795529868402	0.7788427231512488	0.44087516388401465
FengQ_2015__SID530002__bin.65	0.8711048134735541	0.4646370511934702	0.7334138239820054	0.813161334920644	0.9057611344928532	1.0	0.6201650339576253	0.6736658877503111	0.7968736234934585	0.8296562923288946	0.5635024975840992	0.5826518237140033	0.7299500483180167	0.8198418112353649	0.6689596488024456	0.7902795559265432	0.4081264051969461	0.6319517272129838	0.8471571015670699	0.8552977507060371	0.7367449487167457	0.8091993588200885	0.7901394792455301	0.5956489145069824	0.833206139206518	0.8021715598432897	0.8287982804659186	0.5149016273534992	0.7735125459763733	0.8899459709052295	0.8770200998223557	0.7680161395339261	0.8780100875462379	0.5049366060196518
CM_madagascar__A58_01_1FE__bin.6	0.8307639293353102	0.49814946029531965	0.6855896150489953	0.764412425305507	0.8391446339294878	0.757338371978472	1.0	0.6961297978730026	0.7397426845047236	0.7823040672302992	0.4710580866256205	0.6024845334945831	0.7211268197798149	0.7518681609481095	0.6908809343916796	0.7475966066637566	0.4493128539448296	0.5802240597778527	0.7813786943297518	0.7948565754442718	0.7380254891801443	0.768980758426561	0.7439326246089836	0.5393534920358163	0.7803119392889427	0.7344876381309694	0.7890186884106628	0.46088187006940096	0.7015266385798473	0.8043333007700999	0.8196973762689872	0.764065771136527	0.8071353876199533	0.539800309062183
FengQ_2015__SID530163__bin.45	0.8600603445923074	0.5266212364571933	0.7325387052268095	0.8167270289107381	0.8938474504674527	0.8130042718626943	0.6879483123759369	1.0	0.7665046370505368	0.8406359360316363	0.4769858336446154	0.6300836571413674	0.7825301305429425	0.779813524048424	0.8008872862897527	0.7693361157944861	0.5084009497735347	0.6064688555668843	0.8205744345698666	0.8638723109404411	0.7968260227194497	0.8227207533012533	0.7709329215312553	0.5455059083849002	0.8600159436164636	0.8236173271345769	0.8521357887751888	0.47226425831428637	0.7827765763262958	0.8975388416885243	0.9107047493972262	0.8861200512770169	0.8621398581857272	0.6141367818905936
Bengtsson-PalmeJ_2015__TRAVELRES61__bin.97	0.8537107851243355	0.443986737908325	0.7405184758749734	0.788866992775426	0.8841700934617914	0.8099660556873363	0.6157087993786139	0.6455708058326306	1.0	0.8267368241928876	0.5914190945850347	0.5597281298653001	0.7209402855933256	0.8010274553018519	0.6144366595832129	0.7960256953026204	0.36224455137859746	0.624362986632926	0.8203188308939218	0.8310579139240297	0.6990023926383314	0.7809442515954925	0.7863278593812075	0.5956526989742601	0.8378073222829626	0.7817947463508321	0.7974189422576159	0.5178874931641356	0.7654833616602864	0.8560396106181818	0.8612901034522745	0.7151703699840879	0.8697216319344141	0.460547198513504
LeChatelierE_2013__MH0420__bin.61	0.8245017386912966	0.4346276837020693	0.6925527336151895	0.7960996137042666	0.8384607981773287	0.770520021203476	0.5949474662253769	0.646912283000574	0.7553976545143749	1.0	0.5557987776340318	0.5398406855330791	0.7226937066365563	0.7734999183396588	0.625479970019213	0.7526143064529224	0.3652931951074014	0.6184998133254003	0.790732601410075	0.8080364433959042	0.6996090648307876	0.768709700778328	0.7501917685749063	0.5690387245563774	0.8330683943758752	0.7476554391273096	0.7761299769313454	0.4906692480320798	0.7444567361631176	0.8433325193422156	0.8493923122666371	0.692614174793255	0.8286455699813451	0.45317163436354935
