	BritoIL_2016__W1.41.ST__bin.79	ZellerG_2014__CCIS10793554ST-4-0__bin.56	FengQ_2015__SID530258__bin.75	KarlssonFH_2013__S194__bin.18	YuJ_2015__SZAXPI003416-4__bin.10	FengQ_2015__SID530002__bin.65	CM_madagascar__A58_01_1FE__bin.6	FengQ_2015__SID530163__bin.45	Bengtsson-PalmeJ_2015__TRAVELRES61__bin.97	LeChatelierE_2013__MH0420__bin.61	LiJ_2014__O2.UC46-1__bin.34	SchirmerM_2016__G88975__bin.5	LiJ_2014__V1.FI28__bin.31	LiJ_2014__O2.UC15-1__bin.5	FengQ_2015__SID530119__bin.18	FengQ_2015__SID530297__bin.62	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.123	ZellerG_2014__CCIS81735969ST-20-0__bin.53	FengQ_2015__SID530558__bin.75	ZeeviD_2015__PNP_Main_447__bin.22	NielsenHB_2014__MH0086__bin.4	ZeeviD_2015__PNP_Main_279__bin.36	XieH_2016__YSZC12003_36034__bin.30	LiJ_2014__O2.UC32-1__bin.62	BackhedF_2015__SID184_12M__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.33	LeChatelierE_2013__MH0086__bin.32	LiJ_2014__V1.FI31__bin.11	FengQ_2015__SID531469__bin.57	ZellerG_2014__CCIS81887263ST-4-0__bin.29	Bengtsson-PalmeJ_2015__TRAVELRES57__bin.29	ZellerG_2014__CCMD79987997ST-21-0__bin.40	FengQ_2015__SID31379__bin.49	FengQ_2015__SID532779__bin.85
BritoIL_2016__W1.41.ST__bin.79	3443829.0	1424344.0	2269523.0	2658414.0	2946428.0	2616177.0	2048004.0	2139755.0	2524656.0	2667940.0	1849959.0	1851901.0	2295966.0	2576376.0	2083983.0	2567765.0	1246708.0	1997840.0	2648989.0	2716479.0	2358357.0	2565714.0	2568328.0	1879770.0	2685665.0	2465848.0	2681132.0	1625494.0	2402801.0	2797833.0	2836527.0	2428840.0	2853462.0	1574014.0
ZellerG_2014__CCIS10793554ST-4-0__bin.56	1424344.0	1534599.0	1319447.0	1352710.0	1438902.0	1389691.0	1225873.0	1300367.0	1305997.0	1395511.0	749818.0	1201189.0	1331435.0	1341252.0	1274088.0	1319064.0	845648.0	1054862.0	1387101.0	1414595.0	1383706.0	1393253.0	1320018.0	1013139.0	1389888.0	1379782.0	1406582.0	847293.0	1304242.0	1421936.0	1440286.0	1403359.0	1410990.0	1034176.0
FengQ_2015__SID530258__bin.75	2269523.0	1319447.0	2645623.0	2141397.0	2339997.0	2199771.0	1690830.0	1819340.0	2176448.0	2236139.0	1433094.0	1597151.0	1992334.0	2117215.0	1735972.0	2162395.0	1071781.0	1696613.0	2192326.0	2270946.0	1975282.0	2114859.0	2104379.0	1651346.0	2248100.0	2168072.0	2212276.0	1402948.0	2138955.0	2299867.0	2352606.0	2004820.0	2345601.0	1307256.0
KarlssonFH_2013__S194__bin.18	2658414.0	1352710.0	2141397.0	3602685.0	2717156.0	2438680.0	1885387.0	2019251.0	2324718.0	2560729.0	1764521.0	1732074.0	2197886.0	2446121.0	1957981.0	2400030.0	1134324.0	1926566.0	2543624.0	2561109.0	2182381.0	2393260.0	2420272.0	1815345.0	2544738.0	2360450.0	2480588.0	1547259.0	2254482.0	2626218.0	2650323.0	2262880.0	2668614.0	1436846.0
YuJ_2015__SZAXPI003416-4__bin.10	2946428.0	1438902.0	2339997.0	2717156.0	3764095.0	2715150.0	2066605.0	2215663.0	2606555.0	2704984.0	1919051.0	1897853.0	2345029.0	2612311.0	2158854.0	2667968.0	1290523.0	2050074.0	2760506.0	2843332.0	2389914.0	2675414.0	2615918.0	1937664.0	2768108.0	2553436.0	2723352.0	1623475.0	2432680.0	2932356.0	2945898.0	2541597.0	2961059.0	1672604.0
FengQ_2015__SID530002__bin.65	2616177.0	1389691.0	2199771.0	2438680.0	2715150.0	2962663.0	1868522.0	2016674.0	2388676.0	2486563.0	1687636.0	1744024.0	2186261.0	2453538.0	2002560.0	2367910.0	1222852.0	1895631.0	2539560.0	2562728.0	2208858.0	2425960.0	2364304.0	1786947.0	2497406.0	2404738.0	2483326.0	1545448.0	2317979.0	2666229.0	2628090.0	2299960.0	2633730.0	1511226.0
CM_madagascar__A58_01_1FE__bin.6	2048004.0	1225873.0	1690830.0	1885387.0	2066605.0	1868522.0	2426049.0	1713966.0	1825305.0	1927710.0	1159691.0	1482605.0	1777488.0	1852699.0	1700123.0	1842071.0	1107601.0	1431295.0	1925069.0	1957981.0	1817411.0	1895325.0	1830235.0	1331438.0	1922591.0	1810434.0	1943957.0	1136381.0	1728870.0	1983246.0	2019008.0	1882657.0	1989440.0	1327767.0
FengQ_2015__SID530163__bin.45	2139755.0	1300367.0	1819340.0	2019251.0	2215663.0	2016674.0	1713966.0	2454901.0	1901154.0	2072599.0	1180668.0	1561553.0	1930043.0	1935678.0	1972602.0	1905006.0	1260435.0	1501090.0	2033065.0	2138459.0	1972178.0	2037130.0	1911974.0	1353056.0	2120321.0	2036365.0	2108468.0	1169625.0	1929529.0	2215549.0	2243410.0	2198828.0	2140170.0	1523389.0
Bengtsson-PalmeJ_2015__TRAVELRES61__bin.97	2524656.0	1305997.0	2176448.0	2324718.0	2606555.0	2388676.0	1825305.0	1901154.0	2914774.0	2435123.0	1742195.0	1648169.0	2124506.0	2364827.0	1810250.0	2345920.0	1066834.0	1840742.0	2417441.0	2449706.0	2060993.0	2301090.0	2316429.0	1756954.0	2468396.0	2305894.0	2349698.0	1529764.0	2255139.0	2522307.0	2539824.0	2107758.0	2555195.0	1358123.0
LeChatelierE_2013__MH0420__bin.61	2667940.0	1395511.0	2236139.0	2560729.0	2704984.0	2486563.0	1927710.0	2072599.0	2435123.0	3190043.0	1787961.0	1739652.0	2308288.0	2497005.0	2003862.0	2426305.0	1177611.0	1990489.0	2549518.0	2600843.0	2252747.0	2474590.0	2419080.0	1834573.0	2664232.0	2404652.0	2498890.0	1580179.0	2379094.0	2710665.0	2717178.0	2232502.0	2673274.0	1461584.0
