	BritoIL_2016__W1.41.ST__bin.79	ZellerG_2014__CCIS10793554ST-4-0__bin.56	FengQ_2015__SID530258__bin.75	KarlssonFH_2013__S194__bin.18	YuJ_2015__SZAXPI003416-4__bin.10	FengQ_2015__SID530002__bin.65	CM_madagascar__A58_01_1FE__bin.6	FengQ_2015__SID530163__bin.45	Bengtsson-PalmeJ_2015__TRAVELRES61__bin.97	LeChatelierE_2013__MH0420__bin.61	LiJ_2014__O2.UC46-1__bin.34	SchirmerM_2016__G88975__bin.5	LiJ_2014__V1.FI28__bin.31	LiJ_2014__O2.UC15-1__bin.5	FengQ_2015__SID530119__bin.18	FengQ_2015__SID530297__bin.62	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.123	ZellerG_2014__CCIS81735969ST-20-0__bin.53	FengQ_2015__SID530558__bin.75	ZeeviD_2015__PNP_Main_447__bin.22	NielsenHB_2014__MH0086__bin.4	ZeeviD_2015__PNP_Main_279__bin.36	XieH_2016__YSZC12003_36034__bin.30	LiJ_2014__O2.UC32-1__bin.62	BackhedF_2015__SID184_12M__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.33	LeChatelierE_2013__MH0086__bin.32	LiJ_2014__V1.FI31__bin.11	FengQ_2015__SID531469__bin.57	ZellerG_2014__CCIS81887263ST-4-0__bin.29	Bengtsson-PalmeJ_2015__TRAVELRES57__bin.29	ZellerG_2014__CCMD79987997ST-21-0__bin.40	FengQ_2015__SID31379__bin.49	FengQ_2015__SID532779__bin.85
BritoIL_2016__W1.41.ST__bin.79	0.0	16360.0	30814.0	37754.0	36333.0	35387.0	32530.0	28392.0	36282.0	37744.0	28824.0	21843.0	31606.0	35978.0	27198.0	31791.0	16417.0	30382.0	36799.0	36753.0	31636.0	36118.0	29361.0	28973.0	37510.0	37066.0	36263.0	25996.0	33273.0	41512.0	39547.0	28451.0	36395.0	17062.0
ZellerG_2014__CCIS10793554ST-4-0__bin.56	16360.0	0.0	13262.0	8088.0	11949.0	13128.0	17338.0	7564.0	11876.0	9030.0	4715.0	9434.0	9295.0	11772.0	7422.0	11467.0	7914.0	4826.0	12455.0	9319.0	11353.0	9877.0	11378.0	7857.0	8482.0	5027.0	11015.0	3838.0	7895.0	7666.0	8967.0	12614.0	13601.0	9198.0
FengQ_2015__SID530258__bin.75	30814.0	13262.0	0.0	26604.0	25245.0	26913.0	27556.0	21030.0	18004.0	26866.0	18739.0	15851.0	25059.0	28931.0	20788.0	23104.0	12780.0	22261.0	25730.0	28027.0	24169.0	25060.0	20546.0	21525.0	27285.0	26446.0	27126.0	19642.0	25357.0	27608.0	33705.0	22176.0	13348.0	13047.0
KarlssonFH_2013__S194__bin.18	37754.0	8088.0	26604.0	0.0	30281.0	29557.0	30885.0	14267.0	25349.0	21137.0	16780.0	15624.0	18875.0	29419.0	14669.0	20748.0	11562.0	16897.0	27057.0	22762.0	19078.0	21207.0	25268.0	18630.0	22510.0	20547.0	22871.0	15511.0	19566.0	19432.0	22740.0	22846.0	30398.0	14664.0
YuJ_2015__SZAXPI003416-4__bin.10	36333.0	11949.0	25245.0	30281.0	0.0	31685.0	30799.0	21356.0	29399.0	30258.0	22415.0	14935.0	26344.0	31435.0	21771.0	25888.0	12794.0	23472.0	28998.0	27886.0	26234.0	26222.0	22278.0	22942.0	29662.0	28861.0	28676.0	19155.0	25722.0	31378.0	34695.0	23118.0	29421.0	13108.0
FengQ_2015__SID530002__bin.65	35387.0	13128.0	26913.0	29557.0	31685.0	0.0	31182.0	20829.0	27808.0	28571.0	18168.0	17823.0	23665.0	24623.0	20658.0	26578.0	13711.0	23371.0	29719.0	28769.0	26131.0	28575.0	23387.0	22240.0	28897.0	28174.0	27876.0	19968.0	26322.0	29619.0	29775.0	24587.0	32482.0	15269.0
CM_madagascar__A58_01_1FE__bin.6	32530.0	17338.0	27556.0	30885.0	30799.0	31182.0	0.0	25121.0	30653.0	29802.0	16881.0	20948.0	27999.0	28630.0	24012.0	28365.0	17546.0	23643.0	29406.0	29620.0	26925.0	29740.0	25418.0	22940.0	29516.0	28531.0	29759.0	18259.0	26932.0	31894.0	30382.0	28996.0	31290.0	18185.0
FengQ_2015__SID530163__bin.45	28392.0	7564.0	21030.0	14267.0	21356.0	20829.0	25121.0	0.0	19461.0	8921.0	9715.0	14760.0	9009.0	21313.0	6503.0	16362.0	12361.0	12269.0	18636.0	17738.0	16049.0	17432.0	19410.0	13893.0	9067.0	14466.0	16559.0	10263.0	7890.0	12180.0	7720.0	23491.0	23702.0	15744.0
Bengtsson-PalmeJ_2015__TRAVELRES61__bin.97	36282.0	11876.0	18004.0	25349.0	29399.0	27808.0	30653.0	19461.0	0.0	25372.0	18342.0	16688.0	23128.0	30013.0	19306.0	25685.0	10973.0	20865.0	26397.0	27360.0	23559.0	24814.0	24461.0	20761.0	26377.0	27139.0	25402.0	20239.0	23928.0	27145.0	29358.0	23198.0	20153.0	15732.0
LeChatelierE_2013__MH0420__bin.61	37744.0	9030.0	26866.0	21137.0	30258.0	28571.0	29802.0	8921.0	25372.0	0.0	14939.0	17537.0	2864.0	29507.0	8554.0	25433.0	12310.0	17448.0	27047.0	23172.0	20964.0	22373.0	25936.0	19315.0	6708.0	19599.0	23002.0	14923.0	4245.0	20398.0	7580.0	23033.0	29859.0	15947.0
