	ZellerG_2014__CCMD86114146ST-21-0__bin.49	BritoIL_2016__W2.44.ST__bin.40	CosteaPI_2017__SID713B032-11-90-0__bin.40	LiuW_2016__SRR3993013__bin.60	CosteaPI_2017__SID713A084-11-90-0__bin.51	VogtmannE_2016__MMRS77487595ST-27-0-0__bin.33	LiuW_2016__SRR3992955__bin.28	QinJ_2012__DLM019__bin.36	LiJ_2014__MH0374__bin.66	CosteaPI_2017__SID713A014-11-90-0__bin.25	BritoIL_2016__M2.44.ST__bin.39	LiJ_2017__H3M516113__bin.21	LiJ_2017__H2M614904__bin.14	CosteaPI_2017__SID713B051-11-0-0__bin.38	BritoIL_2016__M2.46.ST__bin.83	CosteaPI_2017__SID713B040-11-90-0__bin.43	ZeeviD_2015__PNP_Main_677__bin.12	CosteaPI_2017__SID713B005-11-90-0__bin.8	YuJ_2015__SZAXPI015262-79__bin.22	BritoIL_2016__M2.40.ST__bin.17	BritoIL_2016__W2.43.ST__bin.8	CosteaPI_2017__SID713B003-11-90-0__bin.37	LiuW_2016__SRR3992969__bin.69	LeChatelierE_2013__MH0200__bin.93	FengQ_2015__SID530600__bin.86	BritoIL_2016__M1.10.ST__bin.20
ZellerG_2014__CCMD86114146ST-21-0__bin.49	1.0	0.737211169318183	0.7861834585304127	0.7600085217729151	0.5844476571027475	0.7632031133449462	0.727949912582065	0.7632347748438122	0.6831301094414589	0.5938650747909	0.7550274703750331	0.6446377763539048	0.7333908606668663	0.7672380762258635	0.7125398854390376	0.7395449974295155	0.5118666224478954	0.655799259657562	0.7602827425512299	0.7336978162151951	0.7387937076259135	0.7565391727869953	0.463000587079318	0.5479618044263849	0.6535529031447918	0.7487123429401834
BritoIL_2016__W2.44.ST__bin.40	0.6485150524660062	1.0	0.841016766084886	0.7857301338227768	0.619151744492344	0.8116303266167026	0.7902927030992426	0.8492317511391081	0.7183259029308076	0.6294660306921888	0.7975352212409433	0.6871913833766694	0.7860289549662848	0.8208130578702786	0.7462267339651536	0.7761499185204906	0.5276459125232966	0.7110904658588582	0.8377929910627459	0.7792698378529441	0.8884556847772107	0.8081766528633014	0.45105659002116766	0.5443265525009394	0.698245405329874	0.8150075248167891
CosteaPI_2017__SID713B032-11-90-0__bin.40	0.666248429906763	0.8101935773750133	1.0	0.8131500367908886	0.6095317961502814	0.8625748892407797	0.7902605558925906	0.8379954832249009	0.7245499369234085	0.625737068389214	0.8137753454659892	0.6648636554226314	0.7908090084468969	0.8774999840830519	0.7458690971997995	0.7851398463059492	0.5500979119692722	0.709190991553103	0.8300010823524704	0.7751653770906911	0.8302743990897326	0.8116370171821181	0.479880522839911	0.5523813118657664	0.7247495809294953	0.8239326321993493
LiuW_2016__SRR3993013__bin.60	0.6563919385398012	0.7714184677219015	0.828711119268232	1.0	0.5798772167903212	0.7993783903034078	0.7766033377455942	0.8067717081382112	0.6990091878844508	0.6269892251847402	0.8132000756387582	0.6468717441036993	0.7599567857977109	0.8253643823020137	0.7394068660711969	0.7628062164677442	0.5426719391330462	0.6760506001045595	0.7884775104466766	0.7502938417444375	0.7864567691126906	0.7963746231966274	0.510343785571536	0.5402169238013668	0.6870946930512452	0.7900584161095724
CosteaPI_2017__SID713A084-11-90-0__bin.51	0.5527808414623191	0.6656965515911224	0.6802858371150733	0.6350364148444864	1.0	0.6647738087201739	0.6445287895268177	0.6930367427278168	0.5848667123808441	0.5119360191004729	0.6443907333877098	0.5500430664095709	0.6392004316284584	0.6655803205034176	0.6130118926227773	0.6377965225079725	0.44320487175752066	0.5698094571500644	0.6674928040775286	0.6406038331896095	0.668734801770164	0.6335223653483151	0.3747594803201481	0.44586245243534584	0.5613915855798333	0.6555159264505919
VogtmannE_2016__MMRS77487595ST-27-0-0__bin.33	0.6244961262095167	0.754952673187679	0.8328640757088482	0.7573510685198098	0.5751169338478481	1.0	0.7389138983979667	0.791711967738026	0.6801246708902781	0.598924805783549	0.7743299686127246	0.6145815586144634	0.7352723948297939	0.8194757429229335	0.7027812076811882	0.7323646368859326	0.5195195656717703	0.7045635377165449	0.7665867787030223	0.7223012124586582	0.7965087584022875	0.7557474545042584	0.44339971440565284	0.516252619265499	0.6782035834537946	0.7681144274325138
LiuW_2016__SRR3992955__bin.28	0.6613774619911039	0.8162208994199508	0.8472389278963333	0.8169629645159293	0.6191314327950842	0.820449987884154	1.0	0.8367013109979216	0.7220522536692486	0.6480680710646781	0.8266975714188899	0.6885447479392093	0.7958311738523953	0.8342874054196106	0.7561687208348183	0.7913178383770519	0.5546951219214902	0.7043558050991866	0.8235230734951607	0.7930881658169323	0.816696757195033	0.795251465968612	0.4685019694953714	0.548188156894599	0.703912126231026	0.8045955379557521
QinJ_2012__DLM019__bin.36	0.6515140132459554	0.8240691963283656	0.8441021234023177	0.7973913035511583	0.62548156074697	0.8259299333121393	0.7861187738375432	1.0	0.7324808085731327	0.6236006680696251	0.8124934150432935	0.6585547634775168	0.7922658022928017	0.823281750027256	0.736371315516311	0.77244863275685	0.531242241203185	0.7069476675739782	0.8075117521436038	0.7709584856844186	0.8524355865261021	0.794907114318513	0.46135695458464154	0.5393223839054955	0.7126663875408497	0.818252904481252
LiJ_2014__MH0374__bin.66	0.7119896819168994	0.8510667929207479	0.8910997025049652	0.8435452414497444	0.6444953910362211	0.8663017379325466	0.8283063812936644	0.8943364082130778	1.0	0.6664207583187028	0.8606907768708936	0.7212920647296397	0.8508262912006014	0.87130361440527	0.7978801171634892	0.829785187219403	0.5702927800824306	0.7447348300743486	0.8692929081635793	0.8234661443491325	0.8729496529224593	0.8552062190388993	0.5095151988697538	0.6009863926363966	0.7576805342941471	0.8579999541368813
CosteaPI_2017__SID713A014-11-90-0__bin.25	0.7189171596326175	0.8662339653431836	0.8938623627804968	0.8788330186926453	0.6552384751208649	0.8860816645250311	0.8635028928320391	0.8843659741106799	0.7740505235421828	1.0	0.9018347038501366	0.6956244372522448	0.8581947116977474	0.8728985878198323	0.8335351537884861	0.8681744300412779	0.6101920196034358	0.7939436972901056	0.8698160618765924	0.8466539164645214	0.8575717101425173	0.8633489289440417	0.4768930737038774	0.5895920411713729	0.7344363297607648	0.8740010212288267
BritoIL_2016__M2.44.ST__bin.39	0.6564434065921247	0.7882359802455542	0.8348852128595191	0.8186290862519042	0.5923473684456088	0.8227558711621951	0.7911035008853109	0.827539582375899	0.7179784586026786	0.6476948092090989	1.0	0.6595456104212399	0.7776066513788221	0.8449369318089035	0.7863043929613706	0.78229331666134	0.5557619855224267	0.7112869550206106	0.7965842631624376	0.7700114075625842	0.7960383797995161	0.8144747738899789	0.4727746504830135	0.5619617275108885	0.7136995728579327	0.8084733228666808
LiJ_2017__H3M516113__bin.21	0.6211213460081748	0.7526797879023689	0.7559289871071321	0.721662448326409	0.5603379498090759	0.7236867345909933	0.7302052983043049	0.7433391157772821	0.666809202617353	0.5536616830789833	0.730921942177284	1.0	0.7234478533000003	0.7474042341967357	0.6911409683999348	0.7165921670721271	0.49855249312957756	0.614648800552219	0.771886464169099	0.734973617060881	0.7380661473670059	0.7460448858979895	0.46608325168108833	0.5120534225432585	0.6531712525497476	0.7296794492286772
LiJ_2017__H2M614904__bin.14	0.7436262557724861	0.9060029502457541	0.9461903904260118	0.8922023078517781	0.6852498050672184	0.9111247988777966	0.888162179721223	0.9410756154189789	0.8277322012631317	0.7188098027383635	0.9068691972469451	0.7613173919218115	1.0	0.9233289785195773	0.846704751789219	0.8861434759684472	0.6167983358480977	0.790470521211897	0.9303362202792124	0.8845344983412349	0.9221689040179822	0.9016956567398315	0.5127284440800016	0.6247371196090136	0.7908535852124237	0.9069421099970454
CosteaPI_2017__SID713B051-11-0-0__bin.38	0.6363999745389979	0.7739557094294287	0.8588846211540867	0.7926855704221496	0.5837046025212624	0.8307043661612599	0.7616716661332616	0.7999869134009889	0.6934246071683404	0.598098526066146	0.806101560020529	0.643420445273757	0.7553308973267283	1.0	0.7190819083110142	0.7526650591812507	0.5295741558364674	0.6910935010791993	0.7983386250969812	0.7472105291036614	0.7945942553391321	0.7721084514057633	0.46410733147776634	0.5276645806746543	0.6881209735895517	0.7845362692420856
BritoIL_2016__M2.46.ST__bin.83	0.6870259460382425	0.8179120540807642	0.8486219805294761	0.8254725987173153	0.6249215461551796	0.8281223077977818	0.802481030080226	0.8317545979256622	0.7381274043872063	0.6638910519929734	0.8720073059738754	0.6916237423454142	0.8051498837097997	0.8358768850266342	1.0	0.8146455800669024	0.571219016228886	0.7218167659682355	0.8285781550346284	0.8039908623584533	0.8140443377408915	0.8301407641779616	0.48924412663343103	0.5864808438089374	0.7202593310273637	0.8237718383682634
CosteaPI_2017__SID713B040-11-90-0__bin.43	0.6695441403458313	0.7987889929829999	0.8387824438477238	0.7996207525966982	0.6105052405228231	0.8103121673508116	0.7885290049444028	0.819254069038963	0.7207920955629609	0.6492777732162716	0.8146099159155162	0.6733268975609329	0.7912239643936924	0.8215166300909444	0.7649258825421333	1.0	0.5512613158417655	0.7148322852935475	0.8134526429015972	0.7857995507915077	0.8014198214340371	0.8105278807085698	0.4690963893762143	0.5578430024578691	0.6924355058356779	0.8077260362621927
ZeeviD_2015__PNP_Main_677__bin.12	0.7032645215802593	0.824093182305802	0.891845442299653	0.863285578728741	0.64381199269488	0.8723167065911971	0.8388191776357747	0.8550448312294617	0.7517778028458116	0.6925280301170308	0.8782460339052532	0.7109058481511219	0.835768250450303	0.8771799051691024	0.8139553744758754	0.8365748513060077	1.0	0.7591448556339301	0.8647461603513653	0.8290588649046788	0.8568099157345413	0.8768260035139485	0.476622952439304	0.5995012935842791	0.7311445990552301	0.8666505936331618
CosteaPI_2017__SID713B005-11-90-0__bin.8	0.6939239626547771	0.8553377980128125	0.8855067509633282	0.8282765935941654	0.6374751431222396	0.9111114644292543	0.820323528376305	0.8763197852229482	0.7560880186158282	0.6939682536077252	0.8656678110388955	0.6750054795858454	0.8249116168355591	0.8816125541002633	0.7921436934793495	0.8354693307864143	0.5846604530623787	1.0	0.8356340022781449	0.816578671521258	0.8735476258345721	0.8405474588917495	0.4407534686062319	0.5695089723249684	0.737063918659097	0.8684314529363198
YuJ_2015__SZAXPI015262-79__bin.22	0.6621113228692216	0.8294008013990367	0.8529473893776773	0.7950609367975258	0.6146036140535518	0.8158824502583937	0.7893757144499518	0.8238328820361929	0.726359709836346	0.6257375834089649	0.7979084550682833	0.6976676801769173	0.7990548463891712	0.8381910477726922	0.7483855650966138	0.7824805421921545	0.5481288070893998	0.6877506708702573	1.0	0.8139864414573984	0.8294302439808614	0.8213578357926457	0.455959505701112	0.5478030693190538	0.7050012197641041	0.8127554611315859
BritoIL_2016__M2.40.ST__bin.17	0.6679133697671568	0.8064224750476184	0.8326931278422705	0.7908416174116353	0.6165738234361618	0.8035846622299277	0.7946510965564711	0.8221826195323008	0.7192475423778908	0.6366749568514689	0.8062422111588722	0.6944067876926173	0.7941425472117964	0.8200604885493349	0.759084396230775	0.7901327748572422	0.5493212258530659	0.7025220823263715	0.8508719349643062	1.0	0.8075822215838894	0.7961762560704719	0.4636343251755375	0.5442445257667444	0.6968127488093545	0.807859212437329
BritoIL_2016__W2.43.ST__bin.8	0.6483273259159702	0.8862959303710973	0.8597664406546595	0.7991001588896748	0.6204655928977164	0.8542246099103079	0.788831195496462	0.8763288291045949	0.7350046103435577	0.6216565590731468	0.8034717441037991	0.672211165978961	0.7981093353099573	0.8406525873022003	0.7408925700475538	0.7768132212785956	0.5472600243185026	0.7244639239439299	0.8357860612219719	0.7784934772350748	1.0	0.8236395248190946	0.45029446862376304	0.541326855934063	0.7114758467915494	0.8081692085561195
CosteaPI_2017__SID713B003-11-90-0__bin.37	0.6794758840336069	0.8251269515058742	0.8601856171751796	0.8281619311280851	0.6015853033148129	0.8295254307868488	0.7861387656110831	0.8363602800837474	0.7369587932955723	0.6405277018403631	0.8413674903894722	0.6954195279756007	0.798699445924635	0.8360282011636739	0.7732686590759241	0.8040739191289026	0.5731841211331361	0.7134505939826721	0.8470697047630431	0.7855049720263272	0.8429633007005949	1.0	0.4702666463595667	0.5811116016518154	0.7297002903401182	0.8283759268327479
LiuW_2016__SRR3992969__bin.69	0.5682992729481104	0.629358984999203	0.6950505405793493	0.7252932117672011	0.4863409358273624	0.6651220601428284	0.6329349631731553	0.6633870948618944	0.6000430777256541	0.4835323208091762	0.6674445687155592	0.5937427956785268	0.6206742783822272	0.6867742160710215	0.622812356325246	0.6359793859250448	0.4258028989860267	0.5112700288370463	0.6426373316576494	0.6251269607281321	0.6298266483816871	0.6426834393150773	1.0	0.4685084699766695	0.6156175857240154	0.6479311494112052
LeChatelierE_2013__MH0200__bin.93	0.6655234668804464	0.7515267648228171	0.7916619413539814	0.7596901498412947	0.5725410450436358	0.766276909841034	0.7328158301233795	0.767354281133293	0.7003376154442772	0.59152572199519	0.7850282541110221	0.6454575080330316	0.7483265875421204	0.7726290336246733	0.7387592958306448	0.7483598276727347	0.5299578306578288	0.6536912839163391	0.7639794302250552	0.7261130555501242	0.7492064733524954	0.7858325349184313	0.4635909769339564	1.0	0.6741632937710602	0.7706958919109165
FengQ_2015__SID530600__bin.86	0.6170928503892962	0.7494621400290439	0.8075054140685725	0.7511757928050905	0.5604389423793121	0.7826006986352595	0.7315437771906836	0.7882980114128667	0.686413196038432	0.572839363546724	0.7750873800772411	0.6400827539241231	0.7364557080041062	0.7833115959873569	0.7053338076027	0.7221617562559474	0.5024711663479536	0.6577092586906315	0.7643702098033911	0.7227414188153197	0.7655239612436802	0.7671347543173206	0.4735711368581276	0.5241091995083003	1.0	0.8421681203833475
BritoIL_2016__M1.10.ST__bin.20	0.6574986439532569	0.8136044829892124	0.853806143987423	0.8033305733285516	0.6086333640751054	0.8243586052063713	0.7776955169636617	0.8417862210570614	0.7229310214012687	0.6340167683250101	0.8166031017301318	0.6650453798509598	0.785489192389927	0.8306018396994878	0.750279102930899	0.7834825730910373	0.5539390860504143	0.7207330710936075	0.8195659048142369	0.779314290399943	0.8087439213525877	0.8099621249429189	0.46356770125218133	0.5572496780125326	0.7832653228569395	1.0
