	ZellerG_2014__CCMD86114146ST-21-0__bin.49	BritoIL_2016__W2.44.ST__bin.40	CosteaPI_2017__SID713B032-11-90-0__bin.40	LiuW_2016__SRR3993013__bin.60	CosteaPI_2017__SID713A084-11-90-0__bin.51	VogtmannE_2016__MMRS77487595ST-27-0-0__bin.33	LiuW_2016__SRR3992955__bin.28	QinJ_2012__DLM019__bin.36	LiJ_2014__MH0374__bin.66	CosteaPI_2017__SID713A014-11-90-0__bin.25	BritoIL_2016__M2.44.ST__bin.39	LiJ_2017__H3M516113__bin.21	LiJ_2017__H2M614904__bin.14	CosteaPI_2017__SID713B051-11-0-0__bin.38	BritoIL_2016__M2.46.ST__bin.83	CosteaPI_2017__SID713B040-11-90-0__bin.43	ZeeviD_2015__PNP_Main_677__bin.12	CosteaPI_2017__SID713B005-11-90-0__bin.8	YuJ_2015__SZAXPI015262-79__bin.22	BritoIL_2016__M2.40.ST__bin.17	BritoIL_2016__W2.43.ST__bin.8	CosteaPI_2017__SID713B003-11-90-0__bin.37	LiuW_2016__SRR3992969__bin.69	LeChatelierE_2013__MH0200__bin.93	FengQ_2015__SID530600__bin.86	BritoIL_2016__M1.10.ST__bin.20
ZellerG_2014__CCMD86114146ST-21-0__bin.49	0.0	19724.0	22172.0	21207.0	15231.0	19765.0	19490.0	19247.0	18157.0	14452.0	19625.0	17367.0	18051.0	19781.0	18446.0	17081.0	13579.0	15838.0	20418.0	19314.0	19675.0	20138.0	13389.0	14783.0	16802.0	19516.0
BritoIL_2016__W2.44.ST__bin.40	19724.0	0.0	25590.0	22903.0	16454.0	22415.0	23159.0	20872.0	21830.0	17062.0	22214.0	19704.0	19835.0	23311.0	18680.0	20700.0	14781.0	20127.0	23100.0	21136.0	387.0	22100.0	13791.0	17017.0	19812.0	22757.0
CosteaPI_2017__SID713B032-11-90-0__bin.40	22172.0	25590.0	0.0	28886.0	20875.0	29174.0	26039.0	25526.0	23449.0	18332.0	25943.0	20065.0	21070.0	28488.0	22380.0	22826.0	18386.0	21407.0	23170.0	24855.0	27594.0	25775.0	17286.0	19465.0	24478.0	27314.0
LiuW_2016__SRR3993013__bin.60	21207.0	22903.0	28886.0	0.0	18375.0	25219.0	25018.0	25560.0	22239.0	17861.0	26000.0	20387.0	21923.0	27018.0	21724.0	21516.0	17282.0	20206.0	25933.0	23692.0	24973.0	24855.0	1731.0	17999.0	21855.0	25397.0
CosteaPI_2017__SID713A084-11-90-0__bin.51	15231.0	16454.0	20875.0	18375.0	0.0	18850.0	19383.0	14691.0	17053.0	13773.0	18359.0	16113.0	16467.0	19473.0	16785.0	16740.0	12607.0	15510.0	19497.0	18152.0	17026.0	17381.0	11879.0	13889.0	16039.0	18161.0
VogtmannE_2016__MMRS77487595ST-27-0-0__bin.33	19765.0	22415.0	29174.0	25219.0	18850.0	0.0	23611.0	25478.0	22323.0	16704.0	25182.0	19559.0	20879.0	28427.0	20846.0	19743.0	17381.0	21507.0	25460.0	22346.0	26325.0	23097.0	15187.0	17241.0	22395.0	23613.0
LiuW_2016__SRR3992955__bin.28	19490.0	23159.0	26039.0	25018.0	19383.0	23611.0	0.0	23736.0	21247.0	18269.0	23768.0	19682.0	21062.0	23885.0	20603.0	19950.0	16274.0	19270.0	24450.0	23550.0	24065.0	21925.0	15534.0	17688.0	21024.0	23012.0
QinJ_2012__DLM019__bin.36	19247.0	20872.0	25526.0	25560.0	14691.0	25478.0	23736.0	0.0	22498.0	16730.0	24177.0	18893.0	19817.0	24454.0	19681.0	20368.0	16153.0	20523.0	21402.0	22697.0	23277.0	23765.0	15681.0	17439.0	21081.0	24494.0
LiJ_2014__MH0374__bin.66	18157.0	21830.0	23449.0	22239.0	17053.0	22323.0	21247.0	22498.0	0.0	15007.0	21698.0	18663.0	19789.0	22124.0	19389.0	18084.0	15436.0	17971.0	22509.0	20681.0	22855.0	21233.0	15256.0	16449.0	19480.0	21961.0
CosteaPI_2017__SID713A014-11-90-0__bin.25	14452.0	17062.0	18332.0	17861.0	13773.0	16704.0	18269.0	16730.0	15007.0	0.0	17037.0	13238.0	14832.0	16736.0	15595.0	14862.0	12118.0	14371.0	17546.0	16492.0	17205.0	15903.0	10921.0	12726.0	14332.0	16306.0
BritoIL_2016__M2.44.ST__bin.39	19625.0	22214.0	25943.0	26000.0	18359.0	25182.0	23768.0	24177.0	21698.0	17037.0	0.0	19437.0	20787.0	27474.0	6082.0	20643.0	16601.0	21469.0	23967.0	21879.0	22898.0	22964.0	15666.0	18238.0	20938.0	23319.0
LiJ_2017__H3M516113__bin.21	17367.0	19704.0	20065.0	20387.0	16113.0	19559.0	19682.0	18893.0	18663.0	13238.0	19437.0	0.0	12336.0	19781.0	18082.0	18938.0	13979.0	16246.0	20184.0	18027.0	19222.0	19192.0	14499.0	15774.0	17110.0	19654.0
LiJ_2017__H2M614904__bin.14	18051.0	19835.0	21070.0	21923.0	16467.0	20879.0	21062.0	19817.0	19789.0	14832.0	20787.0	12336.0	0.0	21335.0	18611.0	18761.0	15419.0	17611.0	20713.0	18970.0	20659.0	20087.0	13183.0	16201.0	17884.0	20500.0
CosteaPI_2017__SID713B051-11-0-0__bin.38	19781.0	23311.0	28488.0	27018.0	19473.0	28427.0	23885.0	24454.0	22124.0	16736.0	27474.0	19781.0	21335.0	0.0	21356.0	20770.0	17532.0	21742.0	24859.0	23760.0	25717.0	22906.0	17180.0	18127.0	22115.0	25091.0
BritoIL_2016__M2.46.ST__bin.83	18446.0	18680.0	22380.0	21724.0	16785.0	20846.0	20603.0	19681.0	19389.0	15595.0	6082.0	18082.0	18611.0	21356.0	0.0	18574.0	14237.0	17702.0	21302.0	18995.0	18936.0	20517.0	13966.0	16491.0	17524.0	19529.0
CosteaPI_2017__SID713B040-11-90-0__bin.43	17081.0	20700.0	22826.0	21516.0	16740.0	19743.0	19950.0	20368.0	18084.0	14862.0	20643.0	18938.0	18761.0	20770.0	18574.0	0.0	14459.0	15106.0	21634.0	20767.0	20945.0	19921.0	12752.0	15535.0	17483.0	20033.0
ZeeviD_2015__PNP_Main_677__bin.12	13579.0	14781.0	18386.0	17282.0	12607.0	17381.0	16274.0	16153.0	15436.0	12118.0	16601.0	13979.0	15419.0	17532.0	14237.0	14459.0	0.0	13807.0	17691.0	16741.0	16011.0	15155.0	10298.0	12166.0	14089.0	15749.0
CosteaPI_2017__SID713B005-11-90-0__bin.8	15838.0	20127.0	21407.0	20206.0	15510.0	21507.0	19270.0	20523.0	17971.0	14371.0	21469.0	16246.0	17611.0	21742.0	17702.0	15106.0	13807.0	0.0	19554.0	19121.0	21135.0	18761.0	10579.0	13911.0	17381.0	19407.0
YuJ_2015__SZAXPI015262-79__bin.22	20418.0	23100.0	23170.0	25933.0	19497.0	25460.0	24450.0	21402.0	22509.0	17546.0	23967.0	20184.0	20713.0	24859.0	21302.0	21634.0	17691.0	19554.0	0.0	24499.0	25217.0	24340.0	15699.0	17748.0	21742.0	24703.0
BritoIL_2016__M2.40.ST__bin.17	19314.0	21136.0	24855.0	23692.0	18152.0	22346.0	23550.0	22697.0	20681.0	16492.0	21879.0	18027.0	18970.0	23760.0	18995.0	20767.0	16741.0	19121.0	24499.0	0.0	21906.0	21639.0	14626.0	16937.0	19429.0	21286.0
BritoIL_2016__W2.43.ST__bin.8	19675.0	387.0	27594.0	24973.0	17026.0	26325.0	24065.0	23277.0	22855.0	17205.0	22898.0	19222.0	20659.0	25717.0	18936.0	20945.0	16011.0	21135.0	25217.0	21906.0	0.0	23068.0	14722.0	17240.0	21162.0	23158.0
CosteaPI_2017__SID713B003-11-90-0__bin.37	20138.0	22100.0	25775.0	24855.0	17381.0	23097.0	21925.0	23765.0	21233.0	15903.0	22964.0	19192.0	20087.0	22906.0	20517.0	19921.0	15155.0	18761.0	24340.0	21639.0	23068.0	0.0	14524.0	16077.0	20624.0	22477.0
LiuW_2016__SRR3992969__bin.69	13389.0	13791.0	17286.0	1731.0	11879.0	15187.0	15534.0	15681.0	15256.0	10921.0	15666.0	14499.0	13183.0	17180.0	13966.0	12752.0	10298.0	10579.0	15699.0	14626.0	14722.0	14524.0	0.0	12591.0	14549.0	16148.0
LeChatelierE_2013__MH0200__bin.93	14783.0	17017.0	19465.0	17999.0	13889.0	17241.0	17688.0	17439.0	16449.0	12726.0	18238.0	15774.0	16201.0	18127.0	16491.0	15535.0	12166.0	13911.0	17748.0	16937.0	17240.0	16077.0	12591.0	0.0	14913.0	17360.0
FengQ_2015__SID530600__bin.86	16802.0	19812.0	24478.0	21855.0	16039.0	22395.0	21024.0	21081.0	19480.0	14332.0	20938.0	17110.0	17884.0	22115.0	17524.0	17483.0	14089.0	17381.0	21742.0	19429.0	21162.0	20624.0	14549.0	14913.0	0.0	17860.0
