	ZellerG_2014__CCMD86114146ST-21-0__bin.49	BritoIL_2016__W2.44.ST__bin.40	CosteaPI_2017__SID713B032-11-90-0__bin.40	LiuW_2016__SRR3993013__bin.60	CosteaPI_2017__SID713A084-11-90-0__bin.51	VogtmannE_2016__MMRS77487595ST-27-0-0__bin.33	LiuW_2016__SRR3992955__bin.28	QinJ_2012__DLM019__bin.36	LiJ_2014__MH0374__bin.66	CosteaPI_2017__SID713A014-11-90-0__bin.25	BritoIL_2016__M2.44.ST__bin.39	LiJ_2017__H3M516113__bin.21	LiJ_2017__H2M614904__bin.14	CosteaPI_2017__SID713B051-11-0-0__bin.38	BritoIL_2016__M2.46.ST__bin.83	CosteaPI_2017__SID713B040-11-90-0__bin.43	ZeeviD_2015__PNP_Main_677__bin.12	CosteaPI_2017__SID713B005-11-90-0__bin.8	YuJ_2015__SZAXPI015262-79__bin.22	BritoIL_2016__M2.40.ST__bin.17	BritoIL_2016__W2.43.ST__bin.8	CosteaPI_2017__SID713B003-11-90-0__bin.37	LiuW_2016__SRR3992969__bin.69	LeChatelierE_2013__MH0200__bin.93	FengQ_2015__SID530600__bin.86	BritoIL_2016__M1.10.ST__bin.20
ZellerG_2014__CCMD86114146ST-21-0__bin.49	1863462.0	1393489.0	1487195.0	1437454.0	1104327.0	1441965.0	1375997.0	1441506.0	1291144.0	1121097.0	1426590.0	1218625.0	1384697.0	1449500.0	1346237.0	1395195.0	967423.0	1237895.0	1437176.0	1386532.0	1396389.0	1429920.0	876173.0	1035889.0	1234673.0	1414713.0
BritoIL_2016__W2.44.ST__bin.40	1393489.0	2118324.0	1807136.0	1687334.0	1328018.0	1741711.0	1697255.0	1819820.0	1543477.0	1350475.0	1711652.0	1475398.0	1684899.0	1762059.0	1599430.0	1664837.0	1132506.0	1526447.0	1797817.0	1671882.0	1882424.0	1734080.0	969275.0	1170077.0	1498922.0	1749207.0
CosteaPI_2017__SID713B032-11-90-0__bin.40	1487195.0	1807136.0	2198914.0	1816933.0	1361183.0	1925902.0	1763754.0	1868206.0	1616672.0	1394274.0	1815365.0	1482043.0	1759991.0	1958035.0	1662482.0	1749281.0	1228004.0	1580857.0	1848271.0	1729377.0	1853296.0	1810495.0	1072502.0	1234104.0	1618140.0	1839071.0
LiuW_2016__SRR3993013__bin.60	1437454.0	1687334.0	1816933.0	2157624.0	1269532.0	1749977.0	1700636.0	1766270.0	1530438.0	1370668.0	1780580.0	1416093.0	1661624.0	1807844.0	1617086.0	1667365.0	1188164.0	1478869.0	1727171.0	1642544.0	1721851.0	1743132.0	1102861.0	1183584.0	1504347.0	1730046.0
CosteaPI_2017__SID713A084-11-90-0__bin.51	1104327.0	1328018.0	1361183.0	1269532.0	1970213.0	1328596.0	1289242.0	1380121.0	1169365.0	1022396.0	1287946.0	1099815.0	1275828.0	1330808.0	1224549.0	1273335.0	885815.0	1138156.0	1334600.0	1280278.0	1334576.0	1265555.0	750235.0	892333.0	1122100.0	1309667.0
VogtmannE_2016__MMRS77487595ST-27-0-0__bin.33	1441965.0	1741711.0	1925902.0	1749977.0	1328596.0	2277356.0	1706381.0	1828488.0	1571209.0	1380669.0	1788607.0	1419180.0	1695356.0	1894665.0	1621329.0	1687598.0	1200512.0	1626049.0	1771251.0	1667283.0	1840259.0	1744203.0	1024966.0	1192932.0	1566906.0	1772883.0
LiuW_2016__SRR3992955__bin.28	1375997.0	1697255.0	1763754.0	1700636.0	1289242.0	1706381.0	2051033.0	1739838.0	1502200.0	1347478.0	1719352.0	1431910.0	1653338.0	1735036.0	1571530.0	1642969.0	1153972.0	1463927.0	1713523.0	1650200.0	1699137.0	1653012.0	976447.0	1142040.0	1464771.0	1673264.0
QinJ_2012__DLM019__bin.36	1441506.0	1819820.0	1868206.0	1766270.0	1380121.0	1828488.0	1739838.0	2183006.0	1621508.0	1378054.0	1797855.0	1456522.0	1749338.0	1821683.0	1627184.0	1706628.0	1175858.0	1563794.0	1784205.0	1705704.0	1884149.0	1759052.0	1022826.0	1194783.0	1576836.0	1810745.0
LiJ_2014__MH0374__bin.66	1291144.0	1543477.0	1616672.0	1530438.0	1169365.0	1571209.0	1502200.0	1621508.0	1787929.0	1206520.0	1560552.0	1308282.0	1541006.0	1579953.0	1445942.0	1501681.0	1035079.0	1349504.0	1576743.0	1492980.0	1583627.0	1550281.0	926233.0	1090970.0	1374159.0	1556004.0
CosteaPI_2017__SID713A014-11-90-0__bin.25	1121097.0	1350475.0	1394274.0	1370668.0	1022396.0	1380669.0	1347478.0	1378054.0	1206520.0	1539322.0	1405251.0	1084028.0	1335870.0	1360408.0	1298674.0	1351262.0	951400.0	1236506.0	1356473.0	1319765.0	1337284.0	1344875.0	745013.0	920298.0	1144866.0	1361675.0
BritoIL_2016__M2.44.ST__bin.39	1426590.0	1711652.0	1815365.0	1780580.0	1287946.0	1788607.0	1719352.0	1797855.0	1560552.0	1405251.0	2143315.0	1433051.0	1687443.0	1838440.0	1691380.0	1697344.0	1207774.0	1545981.0	1731298.0	1672256.0	1729059.0	1768640.0	1028971.0	1222699.0	1550621.0	1756132.0
LiJ_2017__H3M516113__bin.21	1218625.0	1475398.0	1482043.0	1416093.0	1099815.0	1419180.0	1431910.0	1456522.0	1308282.0	1084028.0	1433051.0	1934015.0	1411495.0	1465272.0	1354759.0	1404838.0	978187.0	1204986.0	1513024.0	1439477.0	1446653.0	1462054.0	915911.0	1006093.0	1280353.0	1430865.0
LiJ_2017__H2M614904__bin.14	1384697.0	1684899.0	1759991.0	1661624.0	1275828.0	1695356.0	1653338.0	1749338.0	1541006.0	1335870.0	1687443.0	1411495.0	1837813.0	1718241.0	1574696.0	1647327.0	1148979.0	1470348.0	1730497.0	1644579.0	1715433.0	1677235.0	955482.0	1164351.0	1471325.0	1687290.0
CosteaPI_2017__SID713B051-11-0-0__bin.38	1449500.0	1762059.0	1958035.0	1807844.0	1330808.0	1894665.0	1735036.0	1821683.0	1579953.0	1360408.0	1838440.0	1465272.0	1718241.0	2246573.0	1636826.0	1711687.0	1207259.0	1574334.0	1818385.0	1702423.0	1810831.0	1757504.0	1059831.0	1203564.0	1568029.0	1787609.0
BritoIL_2016__M2.46.ST__bin.83	1346237.0	1599430.0	1662482.0	1617086.0	1224549.0	1621329.0	1571530.0	1627184.0	1445942.0	1298674.0	1691380.0	1354759.0	1574696.0	1636826.0	1932665.0	1593011.0	1118212.0	1412732.0	1622666.0	1572840.0	1592211.0	1624901.0	959511.0	1149962.0	1409544.0	1611604.0
CosteaPI_2017__SID713B040-11-90-0__bin.43	1395195.0	1664837.0	1749281.0	1667365.0	1273335.0	1687598.0	1642969.0	1706628.0	1501681.0	1351262.0	1697344.0	1404838.0	1647327.0	1711687.0	1593011.0	2058287.0	1149113.0	1486436.0	1695953.0	1638168.0	1670497.0	1688220.0	978287.0	1163736.0	1442714.0	1682565.0
ZeeviD_2015__PNP_Main_677__bin.12	967423.0	1132506.0	1228004.0	1188164.0	885815.0	1200512.0	1153972.0	1175858.0	1035079.0	951400.0	1207774.0	978187.0	1148979.0	1207259.0	1118212.0	1149113.0	1356309.0	1043442.0	1190554.0	1141201.0	1178110.0	1204402.0	656746.0	825275.0	1005747.0	1191195.0
