	Bengtsson-PalmeJ_2015__TRAVELRES28__bin.35	BackhedF_2015__SID179_M__bin.15	Bengtsson-PalmeJ_2015__TRAVELRES24__bin.72	LeChatelierE_2013__MH0136__bin.28	ZeeviD_2015__PNP_Main_701__bin.29	LiJ_2014__O2.UC48-1__bin.17	LiJ_2014__V1.CD6-0-PT__bin.34	ZeeviD_2015__PNP_Main_158__bin.67	ZeeviD_2015__PNP_Main_640__bin.22	ZeeviD_2015__PNP_Main_595__bin.26	ZeeviD_2015__PNP_Main_706__bin.63	HMP_2012__SRS024435__bin.63	ZeeviD_2015__PNP_Main_560__bin.26	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.32	ZellerG_2014__CCIS55230578ST-4-0__bin.61	ZeeviD_2015__PNP_Validation_74__bin.3	LeChatelierE_2013__MH0095__bin.8	ZellerG_2014__CCMD25963797ST-21-0__bin.57	NielsenHB_2014__MH0136__bin.17	VogtmannE_2016__MMRS11932626ST-27-0-0__bin.3	HMP_2012__SRS022609__bin.76	NielsenHB_2014__MH0095__bin.20	BackhedF_2015__SID150_M__bin.37	LeChatelierE_2013__MH0422__bin.61	ZeeviD_2015__PNP_Main_765__bin.14	ZeeviD_2015__PNP_Main_553__bin.40
Bengtsson-PalmeJ_2015__TRAVELRES28__bin.35	1.0	0.9760375639857852	0.9666696601536942	0.9257632322817642	0.8422304044200974	0.9638403872716932	0.9591791003288559	0.749901856389598	0.6613322727836436	0.9552413819646682	0.8768795891225234	0.9131991395863002	0.936806633567253	0.9058009502183108	0.9492723688318131	0.9193169717885231	0.9133223001954319	0.9655894389777668	0.9005084651536728	0.6909395700497346	0.9664635371897998	0.9319922511450088	0.9514644566179583	0.9548265701908561	0.9548026222946361	0.936109578730847
BackhedF_2015__SID179_M__bin.15	0.6135389667469351	1.0	0.887181191058753	0.8145041233671451	0.7468732678175214	0.8796446683860132	0.8632264682590245	0.6368334776874736	0.5962159322884997	0.8693264387430384	0.7946402409880812	0.8098767264029367	0.8360943414789928	0.8035434237146165	0.8316873735557193	0.8083439381207296	0.8138847715252991	0.8757758699017049	0.7871332880647351	0.5976288286777107	0.8710393336806435	0.8502819072380833	0.8408921677260701	0.8335846762031797	0.8709210546830687	0.8456830047596544
Bengtsson-PalmeJ_2015__TRAVELRES24__bin.72	0.6516324611537723	0.951396019641769	1.0	0.8583610988274784	0.7896489238480755	0.9148856680467256	0.9508050599982587	0.6739344132808522	0.6343141725959618	0.9060800810854286	0.8445038158696592	0.8740823549828276	0.8873423362912064	0.8762553568329636	0.8918491963237122	0.8642862620044083	0.8547865136667345	0.9127893468137473	0.8300538436303487	0.6351599655686733	0.9496283296251816	0.8657189787986742	0.8952790684400453	0.8892553158981981	0.90705790309069	0.8843321896582638
LeChatelierE_2013__MH0136__bin.28	0.680021787696862	0.9517887523213825	0.9353374077415432	1.0	0.8146839527455766	0.9632838356398471	0.9357878627199188	0.6958348306615971	0.6485961133965435	0.9358173904521135	0.8746396988422617	0.8878034131545419	0.9270897467148828	0.8791473898741239	0.9113885321827151	0.900165480950215	0.8896812512722055	0.984312606959498	0.968002618544421	0.6723502315728104	0.9439877767753706	0.8950980195058943	0.9202933423131145	0.9220254265186678	0.9380351116148277	0.9100126655123627
ZeeviD_2015__PNP_Main_701__bin.29	0.6659534237014876	0.9394728584451665	0.9262375126124981	0.8769588257730481	1.0	0.9222731982049001	0.9287904445280017	0.696663673029948	0.6359688156830496	0.9185820982327625	0.8423038739642873	0.8649475347131114	0.8966241786660102	0.8660613569289616	0.8915250775685538	0.8736795762741666	0.8619401471029802	0.9232450030161791	0.853700432544438	0.6427538662547712	0.9286842696112511	0.8774984919104182	0.9049308442867076	0.9039265783543835	0.9256342767797486	0.8962353214868275
LiJ_2014__O2.UC48-1__bin.17	0.6475910866845613	0.9402154830842504	0.9118805321049567	0.8811038839018654	0.7836865433118241	1.0	0.9039641233134676	0.6699743647650851	0.6242061898087731	0.9160875609059508	0.8445789896809703	0.8552916561074324	0.890742525355092	0.8559542301010871	0.8790236429157162	0.8681673134377246	0.8511777209638296	0.9471118842098791	0.8534751804838916	0.6374157200708203	0.9114541401680167	0.8591251609744492	0.8902408539791505	0.8891829192676861	0.9148836645341323	0.8898627328275245
LiJ_2014__V1.CD6-0-PT__bin.34	0.6394091658318732	0.9154366173734712	0.9402557803146881	0.8492462913222728	0.7830400010946864	0.896880542918833	1.0	0.6598364698188693	0.6143436984549528	0.8883191831815122	0.8220655705739178	0.8492679569902282	0.8670680136630544	0.8645302797664897	0.86880924918768	0.8519339744470551	0.8389522482976771	0.8995967335014513	0.8221134631030824	0.6223987657411055	0.9228930280450669	0.8522943087141027	0.8751812361631925	0.8743436870519696	0.8869445535646581	0.8647788647988199
ZeeviD_2015__PNP_Main_158__bin.67	0.7207341914079648	0.9736905703308284	0.9608679497781379	0.9104455159873803	0.8468001400714495	0.958369844523979	0.9513227052202919	1.0	0.6709627939322099	0.9501759935290937	0.8776980605365131	0.8991847249782576	0.9406282829245998	0.9089428715633584	0.9419796764875604	0.921117743863243	0.9243737474538068	0.9621387858172725	0.8872630334675411	0.6756606127961516	0.9692566184581949	0.9363644882706601	0.9433935432322639	0.9466224203097025	0.9612000440600333	0.9301048398631508
ZeeviD_2015__PNP_Main_640__bin.22	0.6280743422436698	0.9007811605233297	0.8936575483889834	0.8385766746783612	0.76386078658649	0.8823150033668612	0.8752328170271388	0.6630084711688654	1.0	0.8742873341851344	0.8035223297217081	0.8304360998995222	0.8534664048989657	0.8290414314805172	0.8588874981013177	0.8398730583689447	0.8263341339612725	0.8847233853484274	0.8108620058044849	0.6413127265726978	0.8947175613690657	0.8424836957007337	0.8612918187304699	0.8623217777026879	0.8818479478392387	0.8547213627949253
ZeeviD_2015__PNP_Main_595__bin.26	0.658765497052913	0.9537289954069917	0.9269571895295691	0.8785893383461041	0.8011664483311638	0.9402838145266936	0.9189832741831883	0.6817907010899474	0.6348638052427653	1.0	0.856323245859539	0.8674008480579544	0.9066853131674298	0.8676226242374232	0.8997884278841077	0.8763774748540613	0.866703078854998	0.9428041592470934	0.8506195872013911	0.6415076533425976	0.9341153696200845	0.8719850088739963	0.9085957733942903	0.9026066368881027	0.9908464241245296	0.9524083654446759
ZeeviD_2015__PNP_Main_706__bin.63	0.6724352899123425	0.9694054837556609	0.9606994231595378	0.9130968036020556	0.8168952931261212	0.963951242387772	0.9456661539924641	0.7003013737263762	0.6488094262093481	0.9522052096006716	1.0	0.9045684846378105	0.9615415643231224	0.9156442150345809	0.9321125347202865	0.9007053916054791	0.9069604541265901	0.9679048459189931	0.8842023106412144	0.6635134470398804	0.9602527735237114	0.8981173160357714	0.9282330448584462	0.9287269173632586	0.952483299829145	0.919354489615888
HMP_2012__SRS024435__bin.63	0.6021083890628587	0.8494786829279021	0.8549425166793831	0.7968986582619833	0.7212503038126158	0.8393202041169641	0.8399912704978354	0.6168611349367873	0.5765328650530621	0.8292993221101711	0.777750145632683	1.0	0.8159242360416782	0.7927577839470772	0.8221747400463656	0.7955441192310142	0.7842905052002006	0.8410756912124704	0.7724938349300765	0.5930895952567449	0.8491019834804886	0.793814008595289	0.8264159923577382	0.825611276622021	0.8313204161513835	0.8046181773273174
