	Bengtsson-PalmeJ_2015__TRAVELRES28__bin.35	BackhedF_2015__SID179_M__bin.15	Bengtsson-PalmeJ_2015__TRAVELRES24__bin.72	LeChatelierE_2013__MH0136__bin.28	ZeeviD_2015__PNP_Main_701__bin.29	LiJ_2014__O2.UC48-1__bin.17	LiJ_2014__V1.CD6-0-PT__bin.34	ZeeviD_2015__PNP_Main_158__bin.67	ZeeviD_2015__PNP_Main_640__bin.22	ZeeviD_2015__PNP_Main_595__bin.26	ZeeviD_2015__PNP_Main_706__bin.63	HMP_2012__SRS024435__bin.63	ZeeviD_2015__PNP_Main_560__bin.26	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.32	ZellerG_2014__CCIS55230578ST-4-0__bin.61	ZeeviD_2015__PNP_Validation_74__bin.3	LeChatelierE_2013__MH0095__bin.8	ZellerG_2014__CCMD25963797ST-21-0__bin.57	NielsenHB_2014__MH0136__bin.17	VogtmannE_2016__MMRS11932626ST-27-0-0__bin.3	HMP_2012__SRS022609__bin.76	NielsenHB_2014__MH0095__bin.20	BackhedF_2015__SID150_M__bin.37	LeChatelierE_2013__MH0422__bin.61	ZeeviD_2015__PNP_Main_765__bin.14	ZeeviD_2015__PNP_Main_553__bin.40
Bengtsson-PalmeJ_2015__TRAVELRES28__bin.35	0.0	8966.0	9140.0	8737.0	5267.0	8846.0	8876.0	2737.0	6347.0	7973.0	8294.0	38386.0	8652.0	8531.0	8515.0	7699.0	8143.0	8680.0	8649.0	7503.0	9174.0	8295.0	9338.0	7941.0	8107.0	7919.0
BackhedF_2015__SID179_M__bin.15	8966.0	0.0	15635.0	11374.0	10968.0	13435.0	13986.0	9098.0	10405.0	14273.0	11358.0	52613.0	12591.0	12861.0	13579.0	11443.0	9924.0	13298.0	10931.0	10660.0	14625.0	9836.0	14362.0	12235.0	14284.0	13759.0
Bengtsson-PalmeJ_2015__TRAVELRES24__bin.72	9140.0	15635.0	0.0	13091.0	10344.0	14582.0	4291.0	9192.0	10431.0	12950.0	12965.0	53018.0	13306.0	3308.0	13631.0	12010.0	12179.0	14142.0	12603.0	9567.0	3682.0	11934.0	13775.0	12501.0	12862.0	12590.0
LeChatelierE_2013__MH0136__bin.28	8737.0	11374.0	13091.0	0.0	10415.0	6294.0	13379.0	9038.0	8983.0	12110.0	10109.0	49662.0	11188.0	12592.0	12404.0	11547.0	10123.0	7717.0	703.0	10597.0	13226.0	10334.0	13141.0	11751.0	12144.0	11485.0
ZeeviD_2015__PNP_Main_701__bin.29	5267.0	10968.0	10344.0	10415.0	0.0	11364.0	10760.0	5341.0	7253.0	8682.0	10511.0	45053.0	9938.0	9906.0	9704.0	8850.0	9822.0	10635.0	10172.0	8046.0	10610.0	9479.0	10557.0	9188.0	9139.0	8373.0
LiJ_2014__O2.UC48-1__bin.17	8846.0	13435.0	14582.0	6294.0	11364.0	0.0	14099.0	9300.0	9685.0	14225.0	11146.0	52962.0	11872.0	13576.0	13534.0	12366.0	11164.0	9317.0	6120.0	9918.0	14634.0	10969.0	14551.0	12542.0	14416.0	14113.0
LiJ_2014__V1.CD6-0-PT__bin.34	8876.0	13986.0	4291.0	13379.0	10760.0	14099.0	0.0	9315.0	9171.0	12226.0	12573.0	51987.0	12671.0	5116.0	12422.0	11664.0	12161.0	14655.0	12819.0	9513.0	4992.0	12196.0	12707.0	12278.0	12200.0	11870.0
ZeeviD_2015__PNP_Main_158__bin.67	2737.0	9098.0	9192.0	9038.0	5341.0	9300.0	9315.0	0.0	6387.0	7813.0	8655.0	38460.0	8765.0	9161.0	8425.0	8269.0	8658.0	9022.0	8854.0	7018.0	9824.0	8353.0	8786.0	8150.0	8276.0	7483.0
ZeeviD_2015__PNP_Main_640__bin.22	6347.0	10405.0	10431.0	8983.0	7253.0	9685.0	9171.0	6387.0	0.0	8846.0	9066.0	35619.0	8938.0	8955.0	9204.0	8506.0	8375.0	9418.0	8578.0	7985.0	9623.0	8266.0	8996.0	8193.0	8805.0	8378.0
ZeeviD_2015__PNP_Main_595__bin.26	7973.0	14273.0	12950.0	12110.0	8682.0	14225.0	12226.0	7813.0	8846.0	0.0	12806.0	51703.0	12060.0	11857.0	11215.0	10697.0	10817.0	13800.0	11585.0	8982.0	13507.0	10582.0	11359.0	11062.0	1531.0	1237.0
ZeeviD_2015__PNP_Main_706__bin.63	8294.0	11358.0	12965.0	10109.0	10511.0	11146.0	12573.0	8655.0	9066.0	12806.0	0.0	49375.0	11430.0	11796.0	12468.0	10885.0	9462.0	11027.0	9657.0	9713.0	13402.0	9236.0	13268.0	11506.0	12887.0	11757.0
HMP_2012__SRS024435__bin.63	38386.0	52613.0	53018.0	49662.0	45053.0	52962.0	51987.0	38460.0	35619.0	51703.0	49375.0	0.0	51524.0	48338.0	50731.0	50443.0	48976.0	53270.0	48225.0	37518.0	52859.0	49621.0	51502.0	51924.0	52061.0	50353.0
ZeeviD_2015__PNP_Main_560__bin.26	8652.0	12591.0	13306.0	11188.0	9938.0	11872.0	12671.0	8765.0	8938.0	12060.0	11430.0	51524.0	0.0	12420.0	12585.0	10933.0	11178.0	11280.0	10724.0	9268.0	13035.0	11102.0	13752.0	11663.0	12674.0	11705.0
Bengtsson-PalmeJ_2015__TRAVELRES14__bin.32	8531.0	12861.0	3308.0	12592.0	9906.0	13576.0	5116.0	9161.0	8955.0	11857.0	11796.0	48338.0	12420.0	0.0	12469.0	11169.0	11727.0	12892.0	12345.0	8654.0	4436.0	11285.0	12834.0	12254.0	12331.0	11584.0
ZellerG_2014__CCIS55230578ST-4-0__bin.61	8515.0	13579.0	13631.0	12404.0	9704.0	13534.0	12422.0	8425.0	9204.0	11215.0	12468.0	50731.0	12585.0	12469.0	0.0	11450.0	11705.0	13981.0	12104.0	9832.0	13583.0	11693.0	6600.0	11755.0	11041.0	11014.0
ZeeviD_2015__PNP_Validation_74__bin.3	7699.0	11443.0	12010.0	11547.0	8850.0	12366.0	11664.0	8269.0	8506.0	10697.0	10885.0	50443.0	10933.0	11169.0	11450.0	0.0	10044.0	12050.0	11343.0	9130.0	12105.0	10216.0	12014.0	4738.0	11025.0	10417.0
LeChatelierE_2013__MH0095__bin.8	8143.0	9924.0	12179.0	10123.0	9822.0	11164.0	12161.0	8658.0	8375.0	10817.0	9462.0	48976.0	11178.0	11727.0	11705.0	10044.0	0.0	10990.0	9751.0	9147.0	13262.0	626.0	12507.0	10536.0	11609.0	10772.0
ZellerG_2014__CCMD25963797ST-21-0__bin.57	8680.0	13298.0	14142.0	7717.0	10635.0	9317.0	14655.0	9022.0	9418.0	13800.0	11027.0	53270.0	11280.0	12892.0	13981.0	12050.0	10990.0	0.0	7506.0	11625.0	14734.0	11366.0	14136.0	12004.0	13971.0	13284.0
NielsenHB_2014__MH0136__bin.17	8649.0	10931.0	12603.0	703.0	10172.0	6120.0	12819.0	8854.0	8578.0	11585.0	9657.0	48225.0	10724.0	12345.0	12104.0	11343.0	9751.0	7506.0	0.0	10370.0	12701.0	10017.0	12717.0	11621.0	11504.0	11197.0
VogtmannE_2016__MMRS11932626ST-27-0-0__bin.3	7503.0	10660.0	9567.0	10597.0	8046.0	9918.0	9513.0	7018.0	7985.0	8982.0	9713.0	37518.0	9268.0	8654.0	9832.0	9130.0	9147.0	11625.0	10370.0	0.0	9297.0	9757.0	9696.0	9284.0	9028.0	8971.0
HMP_2012__SRS022609__bin.76	9174.0	14625.0	3682.0	13226.0	10610.0	14634.0	4992.0	9824.0	9623.0	13507.0	13402.0	52859.0	13035.0	4436.0	13583.0	12105.0	13262.0	14734.0	12701.0	9297.0	0.0	12650.0	13763.0	12581.0	13649.0	12734.0
NielsenHB_2014__MH0095__bin.20	8295.0	9836.0	11934.0	10334.0	9479.0	10969.0	12196.0	8353.0	8266.0	10582.0	9236.0	49621.0	11102.0	11285.0	11693.0	10216.0	626.0	11366.0	10017.0	9757.0	12650.0	0.0	12724.0	10302.0	11394.0	10500.0
BackhedF_2015__SID150_M__bin.37	9338.0	14362.0	13775.0	13141.0	10557.0	14551.0	12707.0	8786.0	8996.0	11359.0	13268.0	51502.0	13752.0	12834.0	6600.0	12014.0	12507.0	14136.0	12717.0	9696.0	13763.0	12724.0	0.0	12017.0	11542.0	11202.0
LeChatelierE_2013__MH0422__bin.61	7941.0	12235.0	12501.0	11751.0	9188.0	12542.0	12278.0	8150.0	8193.0	11062.0	11506.0	51924.0	11663.0	12254.0	11755.0	4738.0	10536.0	12004.0	11621.0	9284.0	12581.0	10302.0	12017.0	0.0	11042.0	10490.0
ZeeviD_2015__PNP_Main_765__bin.14	8107.0	14284.0	12862.0	12144.0	9139.0	14416.0	12200.0	8276.0	8805.0	1531.0	12887.0	52061.0	12674.0	12331.0	11041.0	11025.0	11609.0	13971.0	11504.0	9028.0	13649.0	11394.0	11542.0	11042.0	0.0	1142.0
ZeeviD_2015__PNP_Main_553__bin.40	7919.0	13759.0	12590.0	11485.0	8373.0	14113.0	11870.0	7483.0	8378.0	1237.0	11757.0	50353.0	11705.0	11584.0	11014.0	10417.0	10772.0	13284.0	11197.0	8971.0	12734.0	10500.0	11202.0	10490.0	1142.0	0.0
