	Bengtsson-PalmeJ_2015__TRAVELRES28__bin.35	BackhedF_2015__SID179_M__bin.15	Bengtsson-PalmeJ_2015__TRAVELRES24__bin.72	LeChatelierE_2013__MH0136__bin.28	ZeeviD_2015__PNP_Main_701__bin.29	LiJ_2014__O2.UC48-1__bin.17	LiJ_2014__V1.CD6-0-PT__bin.34	ZeeviD_2015__PNP_Main_158__bin.67	ZeeviD_2015__PNP_Main_640__bin.22	ZeeviD_2015__PNP_Main_595__bin.26	ZeeviD_2015__PNP_Main_706__bin.63	HMP_2012__SRS024435__bin.63	ZeeviD_2015__PNP_Main_560__bin.26	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.32	ZellerG_2014__CCIS55230578ST-4-0__bin.61	ZeeviD_2015__PNP_Validation_74__bin.3	LeChatelierE_2013__MH0095__bin.8	ZellerG_2014__CCMD25963797ST-21-0__bin.57	NielsenHB_2014__MH0136__bin.17	VogtmannE_2016__MMRS11932626ST-27-0-0__bin.3	HMP_2012__SRS022609__bin.76	NielsenHB_2014__MH0095__bin.20	BackhedF_2015__SID150_M__bin.37	LeChatelierE_2013__MH0422__bin.61	ZeeviD_2015__PNP_Main_765__bin.14	ZeeviD_2015__PNP_Main_553__bin.40
Bengtsson-PalmeJ_2015__TRAVELRES28__bin.35	1.0	0.9922045221770303	0.9919780581459133	0.9919928075487745	0.994679835597122	0.9922114718346008	0.9921475857541847	0.9968880965429107	0.9918584365940635	0.992911918609303	0.9919751999427214	0.9652961794697239	0.9921628376107706	0.9920091644982475	0.992386506188702	0.9928882131300638	0.992432184266973	0.9923702503050141	0.9918523110082824	0.9907978507468544	0.9919467541223068	0.9924452519843168	0.9916758409513324	0.9929371207182239	0.992790362011513	0.992816731871523
BackhedF_2015__SID179_M__bin.15	0.9922045221770303	1.0	0.9906141193420579	0.9925482799262821	0.9921666039356959	0.9918555124874059	0.9913645077936151	0.9923777703679749	0.9907046093702541	0.9912501501935965	0.9923740898995297	0.9662518898441363	0.9919686630512574	0.9914684246802069	0.9912984412297143	0.992446715116471	0.9934871505102192	0.9919025677592131	0.9925891826880704	0.9905012675372353	0.991053765493043	0.9938191543376517	0.9909010794910635	0.9921706522643357	0.9912593585260111	0.9913287457215657
Bengtsson-PalmeJ_2015__TRAVELRES24__bin.72	0.9919780581459133	0.9906141193420579	1.0	0.9912836492685883	0.9925041522822334	0.9908943369669811	0.9974047904025024	0.9921976659205557	0.9906080163655158	0.9918271573149151	0.9912264021346269	0.9662108808636881	0.991428600876594	0.9978281764560671	0.9912650575387341	0.9920520738065206	0.9918523018133797	0.9911465588210436	0.9913220648018597	0.9913906289511362	0.9977695405992678	0.9921149392630964	0.9912071119304331	0.9919601771192081	0.9918909240387258	0.9918586943518479
LeChatelierE_2013__MH0136__bin.28	0.9919928075487745	0.9925482799262821	0.9912836492685883	1.0	0.9920323875985242	0.9959118614475674	0.9910978478203734	0.9919058941533115	0.9913738549928027	0.9919356610926613	0.9927910980151096	0.9660500410172272	0.9924754129342459	0.9910818498079255	0.9915220120799708	0.992005466773565	0.9929023663453111	0.9950986712362437	0.9995439495139786	0.9901951622558621	0.9912745399440821	0.9927990227742925	0.9911088948940253	0.9920567055640915	0.991932167492561	0.9921334215540825
ZeeviD_2015__PNP_Main_701__bin.29	0.994679835597122	0.9921666039356959	0.9925041522822334	0.9920323875985242	1.0	0.991736005968925	0.9922263041350138	0.9948420654143151	0.992346370778395	0.993648782500428	0.9916314960203627	0.9659731851811572	0.9925600908540324	0.9923241671729132	0.9926927435720767	0.9931962486344448	0.9923526471426369	0.9922701205817579	0.9920064878525648	0.9916054674010231	0.9923329729854724	0.9927476743056198	0.992172294058373	0.9931729202410134	0.993367284360537	0.9937216422258364
LiJ_2014__O2.UC48-1__bin.17	0.9922114718346008	0.9918555124874059	0.9908943369669811	0.9959118614475674	0.991736005968925	1.0	0.9911168488156848	0.9920863052235491	0.991162659980035	0.9911557245311291	0.9924733332072811	0.9656386773466483	0.9923991326099108	0.9909679574051639	0.9912298891391631	0.9918812240010084	0.9925192763987994	0.9943787651624619	0.9958962612391816	0.9911378221452583	0.9908579267847002	0.9927164868088	0.9906947029959718	0.9919596533842602	0.9910263488955051	0.9909684718843852
LiJ_2014__V1.CD6-0-PT__bin.34	0.9921475857541847	0.9913645077936151	0.9974047904025024	0.9910978478203734	0.9922263041350138	0.9911168488156848	1.0	0.9920153949015104	0.9915605718308433	0.9922140927087201	0.9913552931210878	0.9662759537372019	0.9917369061166198	0.9966373939408678	0.9919140764849471	0.992254434907105	0.9918031681924372	0.9907973842090523	0.9911881524334832	0.9913608892481076	0.9969255006685435	0.9919074116590072	0.9917898108884668	0.9920572540145541	0.9922185738814518	0.9922348719015536
ZeeviD_2015__PNP_Main_158__bin.67	0.9968880965429107	0.9923777703679749	0.9921976659205557	0.9919058941533115	0.9948420654143151	0.9920863052235491	0.9920153949015104	1.0	0.9922358587356618	0.9932862029881682	0.9919592639869788	0.9660348765121368	0.9923984875028186	0.9917831932622364	0.9927016088512809	0.9926747098099004	0.9923595477854779	0.9923508989092698	0.9918638448341296	0.9915341132532504	0.9917372193522667	0.9927204497582053	0.992402578592151	0.9929725446372755	0.9929721288352467	0.9934300634956311
ZeeviD_2015__PNP_Main_640__bin.22	0.9918584365940635	0.9907046093702541	0.9906080163655158	0.9913738549928027	0.992346370778395	0.991162659980035	0.9915605718308433	0.9922358587356618	1.0	0.9918484771414565	0.9909185251668844	0.9663331074317829	0.9915651792328636	0.9913024644474273	0.9913706702169052	0.9918406734657857	0.9918347569292446	0.9914273959235984	0.9914803087668	0.989987661689546	0.9913394082573967	0.9920934476815035	0.9915873893132912	0.9923416450740877	0.991954958733187	0.9921009956252829
ZeeviD_2015__PNP_Main_595__bin.26	0.992911918609303	0.9912501501935965	0.9918271573149151	0.9919356610926613	0.993648782500428	0.9911557245311291	0.9922140927087201	0.9932862029881682	0.9918484771414565	1.0	0.9912564291464196	0.9660361939884267	0.992215623360101	0.9920037873602248	0.9927019839020667	0.9928520357364802	0.9926923419905582	0.9914404431617514	0.9920308338286117	0.9918091986474509	0.9915433734721004	0.9928929687269132	0.9926800898314533	0.992823146552619	0.9990894573915422	0.9992345074392633
