	LouisS_2016__AS60_3__bin.21	RaymondF_2016__P23C7__bin.76	QinN_2014__LD-35__bin.22	Obregon-TitoAJ_2015__NO11__bin.44	LeChatelierE_2013__MH0239__bin.22	XieH_2016__YSZC12003_37190R1__bin.70	ZellerG_2014__CCIS76845094ST-20-0__bin.31	IjazUZ_2017__S58_a_WGS__bin.10	RaymondF_2016__P22E7__bin.1	LouisS_2016__AS63_3__bin.7	LoombaR_2017__SID0017_mqf__bin.7	HMP_2012__SRS022713__bin.4	LiJ_2014__O2.UC15-0__bin.4	HeQ_2017__RSZAXPI003105-143__bin.26	Obregon-TitoAJ_2015__NO21__bin.51	FengQ_2015__SID530227__bin.11	ZeeviD_2015__PNP_Validation_10__bin.24	LiJ_2014__V1.FI34__bin.1	LoombaR_2017__SID1035_bai__bin.9	XieH_2016__YSZC12003_36389__bin.67	RaymondF_2016__P21E7__bin.46	VincentC_2016__MM055.6__bin.16	WenC_2017__RA082__bin.3	VogtmannE_2016__MMRS97327636ST-27-0-0__bin.1	LeChatelierE_2013__MH0233__bin.12	BackhedF_2015__SID622_4M__bin.2	VincentC_2016__MM055.4__bin.8	XieH_2016__YSZC12003_37097__bin.2	LoombaR_2017__SID1050_bax__bin.20	VincentC_2016__MM090.2__bin.22	RaymondF_2016__P21E90__bin.7	IjazUZ_2017__S56_a_WGS__bin.10	FengQ_2015__SID530185__bin.46	XieH_2016__YSZC12003_37297R1__bin.4	XieH_2016__YSZC12003_37179__bin.27	ZeeviD_2015__PNP_Main_222__bin.11	LiuW_2016__SRR3992999__bin.29	HeQ_2017__SZAXPI029464-140__bin.27	HanniganGD_2017__MG100158__bin.1	RaymondF_2016__P19E7__bin.8	LouisS_2016__AS68_3__bin.12	CosteaPI_2017__SID713A089-11-90-0__bin.16	GeversD_2014__SKBSTL024__bin.3
LouisS_2016__AS60_3__bin.21	1.0	0.9907838254389224	0.9888240298323477	0.9912466782258869	0.9916757623889022	0.9889412366976814	0.9924734959076854	0.9916241984521084	0.99082213428296	0.991450747395841	0.9909325894170711	0.9896337598147276	0.9897944627969613	0.9909067109180436	0.9893778846183217	0.9888431566302186	0.9912846470117944	0.9911193609789843	0.9919082018933925	0.9912160000945788	0.9905165482952484	0.9913121383008131	0.9891574684145704	0.9887104568968674	0.991074610301679	0.9890068702180796	0.9915298909600552	0.9885818078457608	0.9913268689410288	0.9907453679730034	0.9905335102745303	0.9917159897186397	0.9890582343800243	0.9889771640114804	0.9905604350951771	0.9901779372122674	0.9912370843490391	0.9901762435875111	0.9909187356734745	0.991151617466624	0.9898810031005622	0.988570081290812	0.990153921404734
RaymondF_2016__P23C7__bin.76	0.9907838254389224	1.0	0.9892699835642409	0.9911516300984502	0.9917862273617496	0.9900886532660924	0.9920120477009122	0.9931016560587033	0.9915373239970676	0.9912816391434927	0.9918708442923424	0.9889205032207733	0.9907535111722275	0.9906581437867561	0.9903865899913773	0.9887722985415721	0.9911073516754222	0.9929115632196909	0.9929521933139432	0.9917808721680949	0.9913423906235158	0.9920944838648572	0.9897236470822387	0.988179865193189	0.9910056365828325	0.9895201749746092	0.9917673243462237	0.9891428308124733	0.9920368150032227	0.9930929425627071	0.9916178119096523	0.99326572927012	0.9890359205675324	0.9898653599010317	0.9911129498410518	0.9904119738174699	0.9910905548193562	0.9906649933109468	0.9914445069079741	0.9905513183802832	0.9904783245027853	0.9891315204306389	0.9915257348977115
QinN_2014__LD-35__bin.22	0.9888240298323477	0.9892699835642409	1.0	0.989691893815718	0.9893396438201388	0.9875451152699412	0.9894548364736687	0.9895125353145452	0.9896950304082384	0.9886876151429058	0.9889612229232275	0.9872742750484599	0.9887084114902623	0.9891582090581059	0.9883243153696797	0.9868146048990248	0.9892163140623949	0.9887385545264302	0.9892564717761205	0.9883059694231451	0.9886951251170905	0.9896324691950944	0.9872025840123512	0.9864296382484324	0.9884871448778888	0.9887481538215596	0.9897384091485164	0.987078422089772	0.9890790128328301	0.9883061937569156	0.9879452953330491	0.9891556241914556	0.9876684575711033	0.9888621697263367	0.9889987363413365	0.9887023563180029	0.9893019114792324	0.9895346004588845	0.9896386027265004	0.98874118704353	0.9885236605157621	0.9869178626442164	0.988955129263445
Obregon-TitoAJ_2015__NO11__bin.44	0.9912466782258869	0.9911516300984502	0.989691893815718	1.0	0.9913596753357445	0.9894176738889134	0.9920521864372034	0.9919818225941553	0.9922692483755818	0.9910495662975239	0.9913030052501318	0.9894657325208616	0.993008461946787	0.992502413845405	0.991298586387215	0.9884497306413411	0.991103089063083	0.9912518068706039	0.9919106635570692	0.990474199671437	0.9910009406618839	0.9914878270047669	0.9902887654634962	0.9891627675565812	0.9907294090222396	0.9900455561051542	0.991793845626671	0.9890568361193822	0.9916670587373497	0.9901053375773216	0.9904618895779492	0.9918957919207394	0.9893253897209586	0.9891157837607248	0.9926891083576892	0.9903549556138435	0.9913278407198304	0.9909010537827682	0.9957464343304849	0.9907920805720505	0.990341573650239	0.9890393462918997	0.9916257134788946
LeChatelierE_2013__MH0239__bin.22	0.9916757623889022	0.9917862273617496	0.9893396438201388	0.9913596753357445	1.0	0.9898783790991376	0.9928129121293029	0.9923114676086635	0.9923887357227255	0.9917936279000782	0.9912762303832563	0.9886050803900565	0.9903573682148369	0.9908961465101895	0.9904912589290845	0.9888324534804568	0.9914982590656127	0.9919273719680303	0.9925075888173877	0.9914777457432545	0.9916167039274422	0.9915828412048714	0.9897525542061525	0.9887070981259509	0.9920102939449088	0.9898072970685738	0.9913941449046042	0.988829425407935	0.9915524731971135	0.9909156092751693	0.9916005202351926	0.9924576126818438	0.9894444580910213	0.989823971425043	0.9915064463027066	0.9907109775207394	0.9913401379500401	0.9909519903483966	0.9906346477014977	0.9911548291952437	0.9906098658282594	0.9885373530541832	0.9911699888572489
XieH_2016__YSZC12003_37190R1__bin.70	0.9889412366976814	0.9900886532660924	0.9875451152699412	0.9894176738889134	0.9898783790991376	1.0	0.9905634552455113	0.989317106984795	0.9895980966333562	0.9899752628035955	0.9891981827989835	0.9878211931491777	0.9889939011907677	0.9892114177949034	0.9895452454279862	0.9871140932486722	0.9898010117716557	0.989560876983771	0.9895756850750171	0.9887738349952229	0.9895326721768545	0.9893368161813653	0.9878544747593032	0.9876605089781682	0.9898609809942341	0.9888209232113438	0.9898993615965221	0.9900765858866588	0.9899350062584087	0.9887436578362157	0.9890610524385056	0.9889780861982056	0.9904074466466259	0.9901841553006218	0.9894830348113024	0.991703563685783	0.9896138566623977	0.9893019331375283	0.9894251441313452	0.9908916715158391	0.9908168136841004	0.9906252733301351	0.9901364435969074
ZellerG_2014__CCIS76845094ST-20-0__bin.31	0.9924734959076854	0.9920120477009122	0.9894548364736687	0.9920521864372034	0.9928129121293029	0.9905634552455113	1.0	0.9931065376728576	0.9918630243318446	0.992906099884604	0.9922562329594963	0.9898542745392575	0.9912822023411272	0.9917472057403063	0.9900198017620538	0.9891090360361112	0.9920487988375609	0.9931467499406341	0.9931326193349256	0.9918070935702441	0.9913431884234486	0.9922669002661154	0.9895937134376092	0.9880162442603949	0.9925802735984072	0.9899164505906078	0.9920087150521187	0.9891946735915538	0.9925224836177347	0.9918389158386698	0.990726154874636	0.9931077921789296	0.9893920417180266	0.9902946121106486	0.992333600386319	0.9911886746095392	0.9921279985808222	0.991014761902481	0.9916891934666068	0.9910639141541543	0.9906688611403307	0.9894050114412843	0.9911339061804672
IjazUZ_2017__S58_a_WGS__bin.10	0.9916241984521084	0.9931016560587033	0.9895125353145452	0.9919818225941553	0.9923114676086635	0.989317106984795	0.9931065376728576	1.0	0.9919963920161794	0.9916930868544941	0.9920674358807697	0.9893173855195098	0.9901643590563418	0.9904770343341743	0.9908764321449444	0.9887758328493429	0.9916526040133563	0.9942110621841735	0.9945206041099862	0.9951938263695971	0.9914012299678481	0.9922034914409777	0.9898712679075216	0.9888555800355562	0.9912559259861249	0.9898563151968862	0.9922757060115732	0.9891697433122743	0.9925090950940839	0.992842766752875	0.9907975676376428	0.9999038474590842	0.9892462563346729	0.98929856614001	0.9922978049374475	0.9903095448876686	0.991783331229506	0.9912849882605526	0.9919219376599343	0.9911822979465957	0.9900194917167598	0.9885738233877398	0.9911967573053103
RaymondF_2016__P22E7__bin.1	0.99082213428296	0.9915373239970676	0.9896950304082384	0.9922692483755818	0.9923887357227255	0.9895980966333562	0.9918630243318446	0.9919963920161794	1.0	0.9911245576935156	0.991454188848417	0.9887545657529624	0.990477981056544	0.9905562712738553	0.9905581653764087	0.9880830428000724	0.9915093148998543	0.9915209900069855	0.9916335072950617	0.9904961933255344	0.9908494661214695	0.9916161612412111	0.9894066518119932	0.9886670394045416	0.9906722564574735	0.9891857689725355	0.9923022329846946	0.9880521988022756	0.9916754296959075	0.9908751061614804	0.9901243293505115	0.9911419470495619	0.9890009660220452	0.9898425457563643	0.9918135797671261	0.9897927844356416	0.9911324603751015	0.990469449448549	0.9921383172264899	0.9906299079148071	0.9896620670081008	0.9888798481149986	0.9914276724416646
LouisS_2016__AS63_3__bin.7	0.991450747395841	0.9912816391434927	0.9886876151429058	0.9910495662975239	0.9917936279000782	0.9899752628035955	0.992906099884604	0.9916930868544941	0.9911245576935156	1.0	0.9909684189049361	0.9893178794965832	0.9902326961921953	0.9909833266060173	0.989921459569365	0.9886654082272144	0.9914013657119938	0.9924880762152319	0.9923556883044562	0.9907969789796134	0.9907030028965013	0.9912355478249543	0.9890828209384787	0.9882574515491656	0.9950038921602775	0.9894605210713514	0.9914204870325031	0.9893345096545225	0.9915085805070141	0.9916827057714411	0.9901487880272467	0.9921779505695988	0.9894182974098743	0.9893299526710642	0.9925699827089215	0.9904040666589528	0.9910294567605908	0.9901288363917368	0.9910858023455617	0.9906628966762523	0.9904621758037858	0.9887692925876281	0.9904697809537659
