	LouisS_2016__AS60_3__bin.21	RaymondF_2016__P23C7__bin.76	QinN_2014__LD-35__bin.22	Obregon-TitoAJ_2015__NO11__bin.44	LeChatelierE_2013__MH0239__bin.22	XieH_2016__YSZC12003_37190R1__bin.70	ZellerG_2014__CCIS76845094ST-20-0__bin.31	IjazUZ_2017__S58_a_WGS__bin.10	RaymondF_2016__P22E7__bin.1	LouisS_2016__AS63_3__bin.7	LoombaR_2017__SID0017_mqf__bin.7	HMP_2012__SRS022713__bin.4	LiJ_2014__O2.UC15-0__bin.4	HeQ_2017__RSZAXPI003105-143__bin.26	Obregon-TitoAJ_2015__NO21__bin.51	FengQ_2015__SID530227__bin.11	ZeeviD_2015__PNP_Validation_10__bin.24	LiJ_2014__V1.FI34__bin.1	LoombaR_2017__SID1035_bai__bin.9	XieH_2016__YSZC12003_36389__bin.67	RaymondF_2016__P21E7__bin.46	VincentC_2016__MM055.6__bin.16	WenC_2017__RA082__bin.3	VogtmannE_2016__MMRS97327636ST-27-0-0__bin.1	LeChatelierE_2013__MH0233__bin.12	BackhedF_2015__SID622_4M__bin.2	VincentC_2016__MM055.4__bin.8	XieH_2016__YSZC12003_37097__bin.2	LoombaR_2017__SID1050_bax__bin.20	VincentC_2016__MM090.2__bin.22	RaymondF_2016__P21E90__bin.7	IjazUZ_2017__S56_a_WGS__bin.10	FengQ_2015__SID530185__bin.46	XieH_2016__YSZC12003_37297R1__bin.4	XieH_2016__YSZC12003_37179__bin.27	ZeeviD_2015__PNP_Main_222__bin.11	LiuW_2016__SRR3992999__bin.29	HeQ_2017__SZAXPI029464-140__bin.27	HanniganGD_2017__MG100158__bin.1	RaymondF_2016__P19E7__bin.8	LouisS_2016__AS68_3__bin.12	CosteaPI_2017__SID713A089-11-90-0__bin.16	GeversD_2014__SKBSTL024__bin.3
LouisS_2016__AS60_3__bin.21	2344839.0	1631154.0	1971283.0	1775783.0	1513532.0	1683823.0	1716999.0	1654767.0	1817416.0	2033862.0	1610934.0	1228893.0	1416094.0	1951879.0	1964298.0	1726474.0	1858674.0	1163655.0	1947404.0	1522541.0	1722685.0	1906453.0	1801701.0	1119443.0	1571472.0	1536778.0	1278614.0	1153948.0	1790011.0	1326687.0	1473936.0	2033194.0	1561174.0	1851157.0	1823601.0	1682335.0	1987124.0	1671153.0	1789949.0	1875371.0	1150114.0	1268163.0	1938132.0
RaymondF_2016__P23C7__bin.76	1631154.0	1844031.0	1763837.0	1572267.0	1379634.0	1470335.0	1543199.0	1446869.0	1582360.0	1745741.0	1458085.0	1097252.0	1223167.0	1737128.0	1689723.0	1568264.0	1684650.0	1025614.0	1709468.0	1363040.0	1452826.0	1726263.0	1612829.0	988229.0	1390204.0	1372542.0	1169972.0	1041708.0	1587179.0	1228888.0	1249793.0	1721790.0	1413981.0	1665180.0	1537293.0	1471210.0	1745451.0	1449383.0	1602713.0	1697803.0	1057692.0	1141374.0	1715783.0
QinN_2014__LD-35__bin.22	1971283.0	1763837.0	2442529.0	1890939.0	1621428.0	1758828.0	1848051.0	1714237.0	1871039.0	2118563.0	1701366.0	1335641.0	1486859.0	2089046.0	2052385.0	1866004.0	2006735.0	1210413.0	2040205.0	1593035.0	1760391.0	2067609.0	1940548.0	1175724.0	1667701.0	1676436.0	1361095.0	1235685.0	1865216.0	1408951.0	1524550.0	2074716.0	1673270.0	1994823.0	1843061.0	1797720.0	2104862.0	1765150.0	1897524.0	1975075.0	1225565.0	1351614.0	2041219.0
Obregon-TitoAJ_2015__NO11__bin.44	1775783.0	1572267.0	1890939.0	2092709.0	1460709.0	1559487.0	1712169.0	1532892.0	1697377.0	1903148.0	1515581.0	1253623.0	1409132.0	1892209.0	1907736.0	1693467.0	1798377.0	1156696.0	1840324.0	1425602.0	1648839.0	1888237.0	1761568.0	1133592.0	1561497.0	1540518.0	1237364.0	1109277.0	1679119.0	1281499.0	1439803.0	1875939.0	1530454.0	1790942.0	1689534.0	1646234.0	1897336.0	1503251.0	1790968.0	1814525.0	1108048.0	1226113.0	1880399.0
LeChatelierE_2013__MH0239__bin.22	1513532.0	1379634.0	1621428.0	1460709.0	1692683.0	1387426.0	1453579.0	1340698.0	1523400.0	1638361.0	1299209.0	994215.0	1120441.0	1621621.0	1600948.0	1470511.0	1591674.0	897725.0	1576662.0	1369356.0	1321318.0	1589016.0	1502228.0	901097.0	1311062.0	1257272.0	1104713.0	976136.0	1415799.0	1093414.0	1104116.0	1602543.0	1302728.0	1579005.0	1507143.0	1380339.0	1625661.0	1356873.0	1487077.0	1537223.0	953554.0	1030652.0	1615400.0
XieH_2016__YSZC12003_37190R1__bin.70	1683823.0	1470335.0	1758828.0	1559487.0	1387426.0	1917090.0	1508709.0	1462806.0	1717378.0	1717252.0	1384767.0	1027030.0	1196791.0	1718020.0	1706305.0	1510177.0	1648791.0	903141.0	1675218.0	1486260.0	1412777.0	1700524.0	1628501.0	967625.0	1353484.0	1309321.0	1168540.0	1080878.0	1493990.0	1157925.0	1177627.0	1684281.0	1393164.0	1674945.0	1625564.0	1483408.0	1699861.0	1680584.0	1563331.0	1642892.0	1041033.0	1131873.0	1691175.0
ZellerG_2014__CCIS76845094ST-20-0__bin.31	1716999.0	1543199.0	1848051.0	1712169.0	1453579.0	1508709.0	1972408.0	1511287.0	1643854.0	1863150.0	1494234.0	1256884.0	1351144.0	1811750.0	1815495.0	1677262.0	1762501.0	1174917.0	1797483.0	1381561.0	1609253.0	1809365.0	1705988.0	1093063.0	1560974.0	1502943.0	1206189.0	1102882.0	1674219.0	1251917.0	1406105.0	1844837.0	1513015.0	1747586.0	1633883.0	1603618.0	1848958.0	1461397.0	1690209.0	1750207.0	1080897.0	1196981.0	1817937.0
IjazUZ_2017__S58_a_WGS__bin.10	1654767.0	1446869.0	1714237.0	1532892.0	1340698.0	1462806.0	1511287.0	1855979.0	1556548.0	1723745.0	1430811.0	1090557.0	1235405.0	1681619.0	1688813.0	1511738.0	1640871.0	1012621.0	1707305.0	1354924.0	1472071.0	1674724.0	1563868.0	996732.0	1396603.0	1341130.0	1134861.0	1005424.0	1564030.0	1182021.0	1276619.0	1768024.0	1365106.0	1604271.0	1506973.0	1448126.0	1703245.0	1423406.0	1562751.0	1650430.0	1014277.0	1102381.0	1686992.0
RaymondF_2016__P22E7__bin.1	1817416.0	1582360.0	1871039.0	1697377.0	1523400.0	1717378.0	1643854.0	1556548.0	2087964.0	1910440.0	1477566.0	1143842.0	1292478.0	1865259.0	1850276.0	1636072.0	1806568.0	1026417.0	1800396.0	1591678.0	1540238.0	1885771.0	1756574.0	1040946.0	1478171.0	1422385.0	1265302.0	1120792.0	1626150.0	1251631.0	1304519.0	1869824.0	1483403.0	1787948.0	1783197.0	1595440.0	1872560.0	1689724.0	1719352.0	1770100.0	1106314.0	1194588.0	1846523.0
LouisS_2016__AS63_3__bin.7	2033862.0	1745741.0	2118563.0	1903148.0	1638361.0	1717252.0	1863150.0	1723745.0	1910440.0	2379587.0	1715425.0	1336626.0	1489152.0	2093455.0	2086314.0	1852559.0	2021949.0	1237233.0	2054338.0	1590456.0	1787674.0	2088094.0	1940886.0	1189350.0	1711132.0	1643345.0	1364180.0	1246825.0	1885786.0	1403341.0	1549251.0	2132817.0	1666367.0	1984621.0	1884787.0	1788987.0	2085158.0	1705574.0	1918176.0	1991517.0	1213694.0	1333932.0	2069837.0
