	RaymondF_2016__P7C0__bin.11	LiuW_2016__SRR3993037__bin.47	XieH_2016__YSZC12003_36439__bin.51	HMP_2012__SRS020328__bin.53	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.8	KarlssonFH_2013__S436__bin.55	XieH_2016__YSZC12003_37203__bin.31	ZellerG_2014__CCMD86114146ST-21-0__bin.27	XieH_2016__YSZC12003_37233__bin.20	XieH_2016__YSZC12003_37255__bin.77	YuJ_2015__SZAXPI003420-4__bin.57	FengQ_2015__SID31884__bin.16	LiuW_2016__SRR3993044__bin.88	FengQ_2015__SID530743__bin.16	LiJ_2014__MH0309__bin.18	YuJ_2015__SZAXPI003409-8__bin.78	XieH_2016__YSZC12003_35740__bin.47	XieH_2016__YSZC12003_36666__bin.33	LiJ_2014__MH0336__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.47	ZellerG_2014__CCIS78318719ST-4-0__bin.8	Obregon-TitoAJ_2015__SM11__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES36__bin.48	LiJ_2014__MH0338__bin.14	KarlssonFH_2013__S193__bin.14	HMP_2012__SRS049959__bin.10	LeChatelierE_2013__MH0450__bin.33	XieH_2016__YSZC12003_36033__bin.7	RaymondF_2016__P7C7__bin.27	XieH_2016__YSZC12003_37830__bin.66	QinJ_2012__CON-073__bin.10	XieH_2016__YSZC12003_35734__bin.27	NielsenHB_2014__V1_UC43_0__bin.23	HMP_2012__SRS011084__bin.63	HMP_2012__SRS042628__bin.30
RaymondF_2016__P7C0__bin.11	1.0	0.5726329919589941	0.7759953285445715	0.8342681280887342	0.7372174717502215	0.9059772110572725	0.9203849271474243	0.8036789661187879	0.6385422368492243	0.8929576737087818	0.5674867871997052	0.9115801305219464	0.5018095553294999	0.7649103703483461	0.8380471132657344	0.7385413107468334	0.9223214559889336	0.6238484038625294	0.9223351038136409	0.8056661868806385	0.6789841534132478	0.9290551952150726	0.8784388253317275	0.8686348129687479	0.5389106793740912	0.873094727114182	0.9197512781431549	0.6248539560900737	0.9932906318894097	0.5323319404428426	0.9185839017083665	0.9198453506491734	0.6233102896312114	0.9277211203499302	0.832454429669591
LiuW_2016__SRR3993037__bin.47	0.9532015467773578	1.0	0.8731089218806035	0.8985450686329713	0.7700994240964285	0.9347017195971109	0.9570903969012525	0.8475007667355241	0.6839662214462011	0.9337808256078305	0.6306858104435058	0.951446574355496	0.663462334218798	0.8612062656491126	0.8928777166372683	0.7752775258053157	0.9627334080866663	0.7016644246075856	0.9495617842787575	0.8822813505579725	0.8006219888389271	0.9610733648249328	0.9046440643311389	0.9141012804888933	0.6257340782703096	0.9195958127315419	0.9589216371953544	0.7196271312407809	0.9556729503820696	0.634299609411131	0.9582693034796	0.9583837052879598	0.6659637581561999	0.9607780296600886	0.893117067938447
XieH_2016__YSZC12003_36439__bin.51	0.9381977380088066	0.634154864836833	1.0	0.899902293106537	0.7665223653318499	0.9268359231356723	0.9384735331001255	0.8446277709156397	0.669393580810319	0.9244816466617007	0.5871948574822973	0.9376909350632208	0.5527805802540143	0.8202635139594747	0.8848455311766315	0.7698360315679305	0.9485105886457281	0.6569727835032105	0.946327800145205	0.8687969676683293	0.7285975937467589	0.9511182665924928	0.8981019640382059	0.9291648594623646	0.5798774479760883	0.9008392892501201	0.9468516929575607	0.682972363917516	0.952454222729287	0.5803541963283895	0.9461875453765427	0.9442057101370018	0.6791130005563046	0.9475022865063126	0.8833304260916299
HMP_2012__SRS020328__bin.53	0.9251323573526908	0.5985903502774167	0.8253882887727994	1.0	0.7706908526813343	0.92428862145662	0.9360949783931183	0.844537472197524	0.6559735798778988	0.931204445153113	0.5969077430740417	0.9381726983063122	0.5233021909567295	0.801391272387243	0.8786803992205848	0.7757132703279003	0.9517746290075428	0.6422597636350369	0.9447820529105105	0.8642466238402685	0.6974144710705609	0.9470570589236827	0.9121817410363194	0.9185608384388994	0.5680191124287539	0.9067874526040415	0.9480191664797404	0.6512214171628097	0.9478959302309868	0.5585207326070682	0.944798808716262	0.9494866507576597	0.6814856454093146	0.9536826288237694	0.8856670297091246
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.8	0.9219848298925365	0.5785842167729477	0.7928987121318799	0.8691808349228236	1.0	0.9157615868203063	0.9225127296379132	0.8254919495288829	0.6498598261588344	0.9167241199588164	0.6050334570179272	0.9294522339120115	0.5167169268675977	0.8050050504034532	0.8671929814936392	0.7620470562274188	0.9481359835607387	0.65688650094516	0.9391074349131922	0.8319236703296569	0.6945496484833855	0.9461889722596608	0.893493483242231	0.8857133626299405	0.5536558886119346	0.9315248195174167	0.941678660231898	0.6452806311388919	0.9508638719678529	0.5491120494640842	0.9423784626657231	0.9447826619679932	0.6553893626372556	0.9600820012398938	0.858329020526522
KarlssonFH_2013__S436__bin.55	0.8784323381417535	0.5444471277790827	0.7432905737919914	0.8081657286285393	0.7099786808800435	1.0	0.8707998001834645	0.7850989228905721	0.6078808435584924	0.8730545889512042	0.5475303895524497	0.8878016920131515	0.4766645194738417	0.724573133182825	0.8082810437531103	0.7177624517885897	0.8967731141841857	0.6060093357990606	0.9392279841451155	0.774736630180142	0.6459310538431837	0.8949162571168099	0.8677902644733477	0.8415366969116813	0.5330399099029699	0.8441052940512047	0.9101066617641985	0.6106876325946707	0.9073726535853316	0.5085316651078646	0.8815912163902491	0.8896604394924055	0.6075159940659971	0.8972854158031818	0.8004925468148687
XieH_2016__YSZC12003_37203__bin.31	0.8912424351982873	0.556763742192124	0.7516455892167534	0.8174252629214035	0.7142834217683157	0.869668295657608	1.0	0.7821757176826857	0.6123711116376409	0.8784586164873266	0.5493931639019132	0.8829746060544845	0.4856128350767029	0.7443269297029207	0.8110600209374265	0.7166032470946724	0.8895399713219558	0.5971801496582329	0.8976992430242404	0.7825920118714642	0.6467597491662316	0.9060109671335266	0.8609280056487629	0.8438977030189352	0.5218511970109889	0.8586138441889202	0.9029916542926916	0.6024886085484737	0.9184662815866755	0.5089097340153886	0.9001828484906268	0.8930931035817348	0.6068545056530108	0.8993365724356609	0.8221786628932729
ZellerG_2014__CCMD86114146ST-21-0__bin.27	0.9190354123225496	0.5822122933426529	0.798876646862788	0.8709041281583507	0.7548042381303532	0.9259402940650234	0.9236929189289519	1.0	0.6536656683906575	0.9196686013489824	0.5846659008200801	0.937994295724915	0.5108698378512151	0.7882417466653067	0.8620104977835596	0.7676608737674134	0.9458361411587916	0.6256197421203918	0.9348071699739088	0.8340426053721852	0.6977464378936878	0.9383164640851952	0.9060444469712551	0.8957796502188013	0.5729669532181443	0.8942936625916271	0.9490076601380196	0.6643362412093464	0.9450563599545843	0.5469744322061343	0.9324694985154058	0.9380138041896379	0.6598565403242753	0.9455669243456164	0.8596850887885968
XieH_2016__YSZC12003_37233__bin.20	0.9540892797058871	0.6139396305235391	0.8272669141884147	0.8838682143330532	0.7764096431521006	0.9367566882580596	0.9449040768259341	0.8540935037922099	1.0	0.9147156971417502	0.5914492840173683	0.9359053163767828	0.5547041027530846	0.8144861398988258	0.8669485637378211	0.7742204011716741	0.9480138783084427	0.6715335909540463	0.951095276451884	0.8512983239116788	0.7285296246826473	0.9556252448877631	0.9084676908376654	0.9044249489104041	0.5874079986715977	0.9017178922100565	0.9432508568340618	0.6921449473372963	0.9685079798816965	0.585097132136703	0.9440286713500616	0.9409494580788563	0.6600702946227381	0.9538700641915463	0.8803003179717395
XieH_2016__YSZC12003_37255__bin.77	0.8887211487011912	0.5583046188759133	0.7610227860922902	0.8357597716879249	0.7295333389282662	0.8961588521137931	0.90287907813615	0.8004170974037409	0.6092862628062923	1.0	0.5532798515952108	0.918564618322888	0.48302673585626	0.7517950275275556	0.8379917618654218	0.738914392188956	0.9284768668116498	0.6103321595293271	0.9185612225543068	0.7960889477919985	0.6527457942193345	0.9243151098603903	0.9075118767006131	0.8703034701359131	0.5292470271258846	0.8766991577038589	0.9373854231297442	0.6129978378656333	0.926624232495662	0.519090768409068	0.9189866638465617	0.9326861645230473	0.6182821388879053	0.9291880377745296	0.8372456629971345
YuJ_2015__SZAXPI003420-4__bin.57	0.9378235128277418	0.6261379838092553	0.8026243505578154	0.8895581779370897	0.7994965564460912	0.9332168029320552	0.9376100527608845	0.8449353578476781	0.6541592492649724	0.9187039349148174	1.0	0.9367803777840429	0.5275145998630634	0.8384542269120786	0.872302549438157	0.7899416005477466	0.9509678198880342	0.638306013129808	0.942825727979379	0.8525240646018768	0.7190688308026904	0.950069676587861	0.9051093479399089	0.9039244431914293	0.6013677554472593	0.9410729389020903	0.9507020016915704	0.6621466833138668	0.9604929719279874	0.562388336219743	0.9484038825566877	0.9528502960248096	0.6857287848886383	0.9571299689878771	0.8769817552056064
FengQ_2015__SID31884__bin.16	0.8987015433378712	0.5635035696626012	0.7646189901148914	0.8340752010202742	0.732688806247354	0.9027044092553179	0.8989643965979964	0.8086697366517877	0.617523038103151	0.9099042820093521	0.5588471746157754	1.0	0.494768643480158	0.7563230144607735	0.8419151478922003	0.746701720175165	0.9354447770288356	0.6159853225046119	0.924773030774975	0.8003454093663218	0.663121110961077	0.9266773954365407	0.8992652122119607	0.8688799519848305	0.5370274708086318	0.874662723707586	0.9349656825126658	0.623930506787813	0.9321545461840867	0.5207733363959502	0.9192353324757365	0.9240166669149438	0.6240886031727878	0.9432909708703806	0.8302712770583885
LiuW_2016__SRR3993044__bin.88	0.941375968106215	0.7477080914020281	0.8577123890163949	0.8852756416704005	0.7750838949187567	0.9222442690855225	0.9407797884110713	0.8380786920622147	0.6964439527079542	0.910459661860044	0.5988158700840321	0.9414683210958003	1.0	0.8558442983458756	0.8954737891242925	0.7829942485118366	0.9497096824337299	0.7132595119007342	0.9362288891124055	0.874373416969176	0.788218135932628	0.9502665435293473	0.9049459140660003	0.9105767032725876	0.6007625979536041	0.8890392545925038	0.9440944377897461	0.6920356976308258	0.9507456818119474	0.6355010378281503	0.9468970309885427	0.9416319961961541	0.6638387754542212	0.949814836827812	0.8862430620959556
FengQ_2015__SID530743__bin.16	0.9431971035084619	0.6379559876572148	0.8365849143469852	0.8911243257927908	0.7937109254324122	0.921474018004503	0.9478274510369599	0.8499662821266422	0.6721655048725633	0.9314439303620735	0.6256132025007723	0.9459726674864738	0.5625517638474679	1.0	0.880521527149199	0.7828316522479184	0.960526046906911	0.666610169695265	0.9466578435226222	0.8555931400656086	0.7274219470298822	0.9560946408415404	0.913044549665045	0.9096360994010119	0.5832422770443189	0.9324163995081158	0.9558704560507656	0.6819569108417688	0.9617022657689659	0.5838144591376638	0.9582619608295678	0.9561607543187126	0.6677274874594754	0.9627919360790861	0.8848669856942455
