	RaymondF_2016__P7C0__bin.11	LiuW_2016__SRR3993037__bin.47	XieH_2016__YSZC12003_36439__bin.51	HMP_2012__SRS020328__bin.53	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.8	KarlssonFH_2013__S436__bin.55	XieH_2016__YSZC12003_37203__bin.31	ZellerG_2014__CCMD86114146ST-21-0__bin.27	XieH_2016__YSZC12003_37233__bin.20	XieH_2016__YSZC12003_37255__bin.77	YuJ_2015__SZAXPI003420-4__bin.57	FengQ_2015__SID31884__bin.16	LiuW_2016__SRR3993044__bin.88	FengQ_2015__SID530743__bin.16	LiJ_2014__MH0309__bin.18	YuJ_2015__SZAXPI003409-8__bin.78	XieH_2016__YSZC12003_35740__bin.47	XieH_2016__YSZC12003_36666__bin.33	LiJ_2014__MH0336__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.47	ZellerG_2014__CCIS78318719ST-4-0__bin.8	Obregon-TitoAJ_2015__SM11__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES36__bin.48	LiJ_2014__MH0338__bin.14	KarlssonFH_2013__S193__bin.14	HMP_2012__SRS049959__bin.10	LeChatelierE_2013__MH0450__bin.33	XieH_2016__YSZC12003_36033__bin.7	RaymondF_2016__P7C7__bin.27	XieH_2016__YSZC12003_37830__bin.66	QinJ_2012__CON-073__bin.10	XieH_2016__YSZC12003_35734__bin.27	NielsenHB_2014__V1_UC43_0__bin.23	HMP_2012__SRS011084__bin.63	HMP_2012__SRS042628__bin.30
RaymondF_2016__P7C0__bin.11	1.0	0.5816137480387344	0.7880253986017803	0.8464546607077664	0.7466164361727795	0.919626498031545	0.932085499722413	0.8162715215228633	0.6463892486336335	0.9066045235714992	0.5751632011752726	0.9254199996198106	0.5090560628267862	0.7748454993129783	0.851112468311457	0.74941716477165	0.9368739365054453	0.6329612513885443	0.9366224265929814	0.8176538511967923	0.6862053149503633	0.9432698920700777	0.8924336947244821	0.8823050591023923	0.5468985562063726	0.8844404562467799	0.9333796059580554	0.6347949341224376	0.9935319059333431	0.5405026006417402	0.9317686752202783	0.9339469655280319	0.632821848607605	0.9423077204282102	0.8444016379339339
LiuW_2016__SRR3993037__bin.47	0.968150861096732	1.0	0.8874002229618223	0.9130473234033646	0.7822901132496767	0.9504258830440293	0.9725435659936162	0.862386794948146	0.6951897690706191	0.9490392682178794	0.6406136156001876	0.9675366613170975	0.6738802010226386	0.874729208485531	0.9083576606209502	0.7869708510683182	0.9790109192874958	0.7116936498071397	0.9655829056112059	0.8969515569193621	0.8127291078768485	0.9770709567074348	0.9202010875474037	0.9294213864850085	0.6357917010818679	0.9330781875508114	0.9747553342885749	0.7322762389878117	0.9705516763516047	0.6449470911920344	0.973223485961032	0.9740535075918987	0.6775402475298135	0.9768673052613472	0.9077548198861175
XieH_2016__YSZC12003_36439__bin.51	0.9527423932413702	0.6445348963293324	1.0	0.9063740488605184	0.7786031332208152	0.9408631679191378	0.9534448456961823	0.8578853823887155	0.6800075666858387	0.9382513648321186	0.5964781909727788	0.9523004139283593	0.5614775545225681	0.8335205361267998	0.8983930810790424	0.781859047493329	0.9634494894254976	0.6672891699746363	0.9608064531336923	0.8749728919354687	0.7391956683670102	0.9651849948612539	0.912505185890606	0.936368532958692	0.588346950224879	0.9144357515298377	0.9609072244170588	0.6940784200948547	0.9673353715454897	0.5883257352178546	0.9610327465419538	0.9589731229433229	0.6847915507698691	0.9617546460865384	0.8947623683490953
HMP_2012__SRS020328__bin.53	0.9386461849462598	0.6082514235678516	0.8313241680877572	1.0	0.7822031722523857	0.9375348966680269	0.949985541361166	0.8570989214125685	0.6656146543034044	0.943841565748971	0.6058439926382556	0.9520956918661373	0.5308471681337005	0.8136532791382111	0.8914277838284854	0.7872018074649817	0.966023550014729	0.6517857094597334	0.9584985717026872	0.8666870258715046	0.7069750095264863	0.9602633364052311	0.9256031414433235	0.924054580685961	0.575949473138011	0.9198953572905322	0.9607789828144889	0.6615181300520782	0.9616967685617843	0.5654430424219166	0.9589023325703135	0.9633350539563971	0.6847270830574481	0.9675423827296289	0.8962080530564481
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.8	0.9337394381951925	0.5877432163968344	0.8053951841644706	0.8821643645726847	1.0	0.9298381005850178	0.9342807487886042	0.8387991682835882	0.6589158060864524	0.9307750311954612	0.6099558478307648	0.9439457031338104	0.5241782350470569	0.8099335370563067	0.881175619322106	0.7735950155535358	0.9630195865435551	0.6664380726660705	0.9539501957679021	0.8447401739630823	0.7033398497863104	0.9605416275770926	0.9080393766881667	0.8999111836109683	0.5620145044417338	0.9385752680798043	0.9554906145399196	0.6556185662218532	0.9631165103998078	0.5579180999510504	0.9559990075972454	0.9593127062298875	0.665192082966821	0.9748711187024639	0.871176003360027
KarlssonFH_2013__S436__bin.55	0.8916666390981601	0.5536061733290295	0.7545399422762733	0.8197478096033869	0.7208920286529729	1.0	0.8848441426296858	0.7965567092844271	0.6172346015318952	0.8859883144189749	0.5559280717184458	0.9007973284699337	0.4839586737059304	0.7359127688342917	0.8199987617802198	0.7289886627273634	0.9097885999656891	0.6153526965071332	0.9444152743389348	0.7862610535927042	0.655398709132249	0.9084043458678668	0.8814976410022775	0.8542742921470873	0.5360206168319438	0.8568584851846058	0.9231906749762872	0.6202162536668083	0.9211334342498207	0.5159902851733579	0.894673811793429	0.9017141782308675	0.6168896013641212	0.9104908879784456	0.8119177236038245
XieH_2016__YSZC12003_37203__bin.31	0.902572528170656	0.5657532423275848	0.7636364666157548	0.8295549050499977	0.7233951670227036	0.8836943890906379	1.0	0.7947126862114113	0.6204794085412995	0.8919844017116204	0.5566910559051944	0.8968189837701905	0.492597798455086	0.7538422254464306	0.8237834250722379	0.7272975710508455	0.9040913883741588	0.6064835223963442	0.9121114233579743	0.7943681343318101	0.6546244998097884	0.919776994695789	0.8749064282053001	0.8573838411776311	0.5297664504642955	0.8698471794416749	0.9168081846647038	0.6124419099690659	0.9301329026277508	0.5168179076355528	0.9137501687360232	0.9069653286411345	0.6163174106312662	0.9136940020597595	0.8344805809616679
ZellerG_2014__CCMD86114146ST-21-0__bin.27	0.9334354462115397	0.5924386305503673	0.8114161306019253	0.8838577487343187	0.7669719462703438	0.9394535288861837	0.9384981714994708	1.0	0.6639750559196207	0.9335569560775278	0.5939775697246463	0.9517767473592506	0.5189273911664557	0.8009294947363376	0.8747294593981472	0.7797221214284878	0.9604580141609158	0.6349654114920464	0.9486213925365073	0.8468161906879966	0.7081238263568277	0.952257212976139	0.9203731356178303	0.9097042349532605	0.5812390996453362	0.9080939505365664	0.9633435947857776	0.6753535073153956	0.9598761045274687	0.5556194690018856	0.9467998593161001	0.9519344872311525	0.6699686136671845	0.9593359987469992	0.8723427380854839
XieH_2016__YSZC12003_37233__bin.20	0.9658140324147645	0.6240140764035255	0.8403841588023404	0.8968587363572936	0.7872291304645476	0.9511710186893971	0.9574153835397552	0.867563969417615	1.0	0.9290528287540839	0.5997168405582203	0.9504958931684871	0.563372947494607	0.8261395201146621	0.8807169002780614	0.7860733330517276	0.9632803089118025	0.6820501093164408	0.9662524634434461	0.8640048125452451	0.7372363405429262	0.9701670261995313	0.9232592758750777	0.9189885789445319	0.5965793640273895	0.9143493668968551	0.9577409295029125	0.703769924214065	0.9804796231532368	0.5944258082934837	0.958385466812519	0.955597569839441	0.6701614911898669	0.9685516773264156	0.8934619883211297
XieH_2016__YSZC12003_37255__bin.77	0.902303252806724	0.5674275937244256	0.772357861616609	0.8471016387494064	0.7407151197566301	0.9094348519372132	0.9167808695981204	0.8125045782237122	0.6188361342764515	1.0	0.5619443976852501	0.9322946809166053	0.4904901500881202	0.7635783445046035	0.8501078641634354	0.7500258320967076	0.9427342437550603	0.6196753742258254	0.9316848979013665	0.8072663626321863	0.6620841578178597	0.9381863394051293	0.9219521400376154	0.8831346242751853	0.536646891974295	0.8898184670627426	0.9504334213484209	0.6225957352057278	0.9409577716772526	0.5261733714500272	0.9330281669301621	0.9461993830373597	0.6272091293782979	0.9427463714999934	0.8479923003372969
