	RaymondF_2016__P7C0__bin.11	LiuW_2016__SRR3993037__bin.47	XieH_2016__YSZC12003_36439__bin.51	HMP_2012__SRS020328__bin.53	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.8	KarlssonFH_2013__S436__bin.55	XieH_2016__YSZC12003_37203__bin.31	ZellerG_2014__CCMD86114146ST-21-0__bin.27	XieH_2016__YSZC12003_37233__bin.20	XieH_2016__YSZC12003_37255__bin.77	YuJ_2015__SZAXPI003420-4__bin.57	FengQ_2015__SID31884__bin.16	LiuW_2016__SRR3993044__bin.88	FengQ_2015__SID530743__bin.16	LiJ_2014__MH0309__bin.18	YuJ_2015__SZAXPI003409-8__bin.78	XieH_2016__YSZC12003_35740__bin.47	XieH_2016__YSZC12003_36666__bin.33	LiJ_2014__MH0336__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.47	ZellerG_2014__CCIS78318719ST-4-0__bin.8	Obregon-TitoAJ_2015__SM11__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES36__bin.48	LiJ_2014__MH0338__bin.14	KarlssonFH_2013__S193__bin.14	HMP_2012__SRS049959__bin.10	LeChatelierE_2013__MH0450__bin.33	XieH_2016__YSZC12003_36033__bin.7	RaymondF_2016__P7C7__bin.27	XieH_2016__YSZC12003_37830__bin.66	QinJ_2012__CON-073__bin.10	XieH_2016__YSZC12003_35734__bin.27	NielsenHB_2014__V1_UC43_0__bin.23	HMP_2012__SRS011084__bin.63	HMP_2012__SRS042628__bin.30
RaymondF_2016__P7C0__bin.11	2051609.0	1193244.0	1616720.0	1736594.0	1531765.0	1886714.0	1912275.0	1674670.0	1326138.0	1859998.0	1180010.0	1898600.0	1044384.0	1589680.0	1746150.0	1537511.0	1922099.0	1298589.0	1921583.0	1677506.0	1407825.0	1935221.0	1830925.0	1810145.0	1122022.0	1814526.0	1914930.0	1302351.0	2038339.0	1108900.0	1911625.0	1916094.0	1298303.0	1933247.0	1732382.0
LiuW_2016__SRR3993037__bin.47	1193244.0	1232498.0	1093719.0	1125329.0	964171.0	1171398.0	1198658.0	1062890.0	856820.0	1169689.0	789555.0	1192487.0	830556.0	1078102.0	1119549.0	969940.0	1206629.0	877161.0	1190079.0	1105491.0	1001687.0	1204238.0	1134146.0	1145510.0	783612.0	1150017.0	1201384.0	902529.0	1196203.0	794896.0	1199496.0	1200519.0	835067.0	1203987.0	1118806.0
XieH_2016__YSZC12003_36439__bin.51	1616720.0	1093719.0	1696912.0	1538037.0	1321221.0	1596562.0	1617912.0	1455756.0	1153913.0	1592130.0	1012171.0	1615970.0	952778.0	1414411.0	1524494.0	1326746.0	1634889.0	1132331.0	1630404.0	1484752.0	1254350.0	1637834.0	1548441.0	1588935.0	998373.0	1551717.0	1630575.0	1177790.0	1641483.0	998337.0	1630788.0	1627293.0	1162031.0	1632013.0	1518333.0
HMP_2012__SRS020328__bin.53	1736594.0	1125329.0	1538037.0	1850105.0	1447158.0	1734538.0	1757573.0	1585723.0	1231457.0	1746206.0	1120875.0	1761477.0	982123.0	1505344.0	1649235.0	1456406.0	1787245.0	1205872.0	1773323.0	1603462.0	1307978.0	1776588.0	1712463.0	1709598.0	1065567.0	1701903.0	1777542.0	1223878.0	1779240.0	1046129.0	1774070.0	1782271.0	1266817.0	1790055.0	1658079.0
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.8	1531765.0	964171.0	1321221.0	1447158.0	1640463.0	1525365.0	1532653.0	1376019.0	1080927.0	1526902.0	1000610.0	1548508.0	859895.0	1328666.0	1445536.0	1269054.0	1579798.0	1093267.0	1564920.0	1385765.0	1153803.0	1575733.0	1489605.0	1476271.0	921964.0	1539698.0	1567447.0	1075518.0	1579957.0	915244.0	1568281.0	1573717.0	1091223.0	1599240.0	1429132.0
KarlssonFH_2013__S436__bin.55	1886714.0	1171398.0	1596562.0	1734538.0	1525365.0	2115941.0	1872278.0	1685467.0	1306032.0	1874699.0	1176311.0	1906034.0	1024028.0	1557148.0	1735069.0	1542497.0	1925059.0	1302050.0	1998327.0	1663682.0	1386785.0	1922130.0	1865197.0	1807594.0	1134188.0	1813062.0	1953417.0	1312341.0	1949064.0	1091805.0	1893077.0	1907974.0	1305302.0	1926545.0	1717970.0
XieH_2016__YSZC12003_37203__bin.31	1912275.0	1198658.0	1617912.0	1757573.0	1532653.0	1872278.0	2118694.0	1683753.0	1314606.0	1889842.0	1179458.0	1900085.0	1043664.0	1597161.0	1745345.0	1540921.0	1915493.0	1284953.0	1932485.0	1683023.0	1386949.0	1948726.0	1853659.0	1816534.0	1122413.0	1842940.0	1942436.0	1297577.0	1970667.0	1094979.0	1935957.0	1921582.0	1305788.0	1935838.0	1768009.0
ZellerG_2014__CCMD86114146ST-21-0__bin.27	1674670.0	1062890.0	1455756.0	1585723.0	1376019.0	1685467.0	1683753.0	1794093.0	1191233.0	1674888.0	1065651.0	1707576.0	931004.0	1436942.0	1569346.0	1398894.0	1723151.0	1139187.0	1701915.0	1519267.0	1270440.0	1708438.0	1651235.0	1632094.0	1042797.0	1629205.0	1728328.0	1211647.0	1722107.0	996833.0	1698647.0	1707859.0	1201986.0	1721138.0	1565064.0
XieH_2016__YSZC12003_37233__bin.20	1326138.0	856820.0	1153913.0	1231457.0	1080927.0	1306032.0	1314606.0	1191233.0	1373078.0	1275662.0	823458.0	1305105.0	773555.0	1134354.0	1209293.0	1079340.0	1322659.0	936508.0	1326740.0	1186346.0	1012283.0	1332115.0	1267707.0	1261843.0	819150.0	1255473.0	1315053.0	966331.0	1346275.0	816193.0	1315938.0	1312110.0	920184.0	1329897.0	1226793.0
XieH_2016__YSZC12003_37255__bin.77	1859998.0	1169689.0	1592130.0	1746206.0	1526902.0	1874699.0	1889842.0	1674888.0	1275662.0	2061389.0	1158386.0	1921822.0	1011091.0	1574032.0	1752403.0	1546095.0	1943342.0	1277392.0	1920565.0	1664090.0	1364813.0	1933967.0	1900502.0	1820484.0	1106238.0	1834262.0	1959213.0	1283412.0	1939680.0	1084648.0	1923334.0	1950485.0	1292922.0	1943367.0	1748042.0
