	RaymondF_2016__P7C0__bin.11	LiuW_2016__SRR3993037__bin.47	XieH_2016__YSZC12003_36439__bin.51	HMP_2012__SRS020328__bin.53	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.8	KarlssonFH_2013__S436__bin.55	XieH_2016__YSZC12003_37203__bin.31	ZellerG_2014__CCMD86114146ST-21-0__bin.27	XieH_2016__YSZC12003_37233__bin.20	XieH_2016__YSZC12003_37255__bin.77	YuJ_2015__SZAXPI003420-4__bin.57	FengQ_2015__SID31884__bin.16	LiuW_2016__SRR3993044__bin.88	FengQ_2015__SID530743__bin.16	LiJ_2014__MH0309__bin.18	YuJ_2015__SZAXPI003409-8__bin.78	XieH_2016__YSZC12003_35740__bin.47	XieH_2016__YSZC12003_36666__bin.33	LiJ_2014__MH0336__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.47	ZellerG_2014__CCIS78318719ST-4-0__bin.8	Obregon-TitoAJ_2015__SM11__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES36__bin.48	LiJ_2014__MH0338__bin.14	KarlssonFH_2013__S193__bin.14	HMP_2012__SRS049959__bin.10	LeChatelierE_2013__MH0450__bin.33	XieH_2016__YSZC12003_36033__bin.7	RaymondF_2016__P7C7__bin.27	XieH_2016__YSZC12003_37830__bin.66	QinJ_2012__CON-073__bin.10	XieH_2016__YSZC12003_35734__bin.27	NielsenHB_2014__V1_UC43_0__bin.23	HMP_2012__SRS011084__bin.63	HMP_2012__SRS042628__bin.30
RaymondF_2016__P7C0__bin.11	0.0	18425.0	24681.0	25002.0	19283.0	28003.0	24005.0	25835.0	16099.0	27998.0	15749.0	28394.0	14867.0	20383.0	26805.0	22313.0	29856.0	18696.0	29312.0	24594.0	14815.0	29163.0	28712.0	28046.0	16388.0	23277.0	27960.0	20395.0	495.0	16763.0	27050.0	28931.0	19514.0	29926.0	24511.0
LiuW_2016__SRR3993037__bin.47	18425.0	0.0	17614.0	17874.0	15025.0	19380.0	19046.0	18347.0	13833.0	18806.0	12236.0	19831.0	12840.0	16667.0	19079.0	14412.0	20062.0	12361.0	19746.0	18081.0	14922.0	19717.0	19174.0	18882.0	12396.0	16617.0	19515.0	15590.0	18338.0	13123.0	18431.0	19313.0	14268.0	19830.0	18041.0
XieH_2016__YSZC12003_36439__bin.51	24681.0	17614.0	0.0	10982.0	20500.0	23803.0	25405.0	22497.0	18011.0	23366.0	15753.0	24791.0	14758.0	22496.0	22989.0	20402.0	25350.0	17506.0	24569.0	10480.0	17984.0	23870.0	24441.0	12224.0	14372.0	23072.0	23851.0	18846.0	25252.0	13527.0	25191.0	25059.0	9636.0	24185.0	19399.0
HMP_2012__SRS020328__bin.53	25002.0	17874.0	10982.0	0.0	21299.0	24507.0	25699.0	23240.0	17837.0	23380.0	16533.0	25759.0	13959.0	22686.0	23584.0	21255.0	26362.0	17624.0	25377.0	4515.0	17688.0	24433.0	24831.0	10164.0	14672.0	24251.0	23607.0	19050.0	25533.0	12807.0	26093.0	25621.0	5997.0	25642.0	19502.0
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.8	19283.0	15025.0	20500.0	21299.0	0.0	23092.0	19305.0	21830.0	14856.0	23050.0	8075.0	23776.0	12240.0	8085.0	22938.0	18944.0	24416.0	15669.0	24349.0	21025.0	14420.0	23545.0	23862.0	23291.0	13712.0	11566.0	22658.0	16959.0	20100.0	14446.0	22344.0	23836.0	16081.0	24261.0	21075.0
KarlssonFH_2013__S436__bin.55	28003.0	19380.0	23803.0	24507.0	23092.0	0.0	29717.0	24244.0	19792.0	27367.0	17769.0	27498.0	15434.0	23994.0	24794.0	23754.0	27540.0	19770.0	10976.0	24385.0	20033.0	28540.0	29004.0	26952.0	6307.0	26985.0	27685.0	20162.0	29117.0	15782.0	27682.0	25505.0	19834.0	27942.0	24175.0
XieH_2016__YSZC12003_37203__bin.31	24005.0	19046.0	25405.0	25699.0	19305.0	29717.0	0.0	26562.0	17179.0	28657.0	15462.0	29332.0	14799.0	20160.0	26957.0	22658.0	30830.0	19711.0	30535.0	24950.0	16663.0	29166.0	29616.0	28573.0	16770.0	23800.0	29273.0	21088.0	24718.0	16755.0	28745.0	29391.0	20049.0	30419.0	26064.0
ZellerG_2014__CCMD86114146ST-21-0__bin.27	25835.0	18347.0	22497.0	23240.0	21830.0	24244.0	26562.0	0.0	18496.0	24917.0	16706.0	24727.0	14456.0	22763.0	22819.0	21639.0	26233.0	16767.0	24784.0	22917.0	18618.0	25011.0	25707.0	24982.0	14841.0	24759.0	25720.0	19766.0	26588.0	15510.0	25710.0	24975.0	18142.0	24703.0	22709.0
XieH_2016__YSZC12003_37233__bin.20	16099.0	13833.0	18011.0	17837.0	14856.0	19792.0	17179.0	18496.0	0.0	19686.0	11352.0	20034.0	11903.0	16001.0	18905.0	16275.0	20962.0	14440.0	20812.0	17447.0	11955.0	19967.0	20310.0	19997.0	12593.0	17344.0	19896.0	15962.0	16438.0	12809.0	19713.0	20113.0	13856.0	20159.0	18072.0
XieH_2016__YSZC12003_37255__bin.77	27998.0	18806.0	23366.0	23380.0	23050.0	27367.0	28657.0	24917.0	19686.0	0.0	17861.0	28303.0	15385.0	24290.0	24976.0	22905.0	29390.0	19260.0	27053.0	23041.0	19250.0	28594.0	29767.0	26450.0	15254.0	27044.0	26897.0	19785.0	29547.0	14600.0	28945.0	27856.0	18402.0	27949.0	22153.0
