	HMP_2012__SRS019071__bin.37	HMP_2012__SRS024649__bin.14	HMP_2012__SRS018443__bin.23	CM_periimplantitis__SP_189SPI_T016__bin.35	HMP_2012__SRS013705__bin.45	HMP_2012__SRS018157__bin.39	HMP_2012__SRS020226__bin.26	HMP_2012__SRS017691__bin.57	HMP_2012__SRS058808__bin.43	HMP_2012__SRS013170__bin.68	HMP_2012__SRS052876__bin.4	HMP_2012__SRS024355__bin.2	HMP_2012__SRS065099__bin.33	HMP_2012__SRS018300__bin.68	HMP_2012__SRS024561__bin.8	HMP_2012__SRS019028__bin.19	HMP_2012__SRS011098__bin.16	HMP_2012__SRS015989__bin.10	CM_periimplantitis__SP_105SPI_T016__bin.10	CM_periimplantitis__SP_191SPI_T016__bin.13	CM_periimplantitis__SP_122SPI_T016__bin.1	HMP_2012__SRS016575__bin.20	HMP_2012__SRS017139__bin.43	HMP_2012__SRS051941__bin.26	HMP_2012__SRS043772__bin.7	HMP_2012__SRS013533__bin.26	HMP_2012__SRS055450__bin.7	CM_periimplantitis__SP_124SPI_T016__bin.13	HMP_2012__SRS063932__bin.46	HMP_2012__SRS015044__bin.48	HMP_2012__SRS016746__bin.46
HMP_2012__SRS019071__bin.37	1763766.0	1114801.0	1379637.0	1330930.0	1519084.0	1335646.0	1493036.0	837972.0	1393797.0	1388721.0	1483722.0	1527246.0	1054601.0	708120.0	1464168.0	1421884.0	906883.0	1424700.0	1473495.0	1346207.0	1123803.0	1446644.0	1461583.0	1211871.0	1511818.0	1519222.0	1348685.0	1467425.0	1209555.0	1440252.0	1414441.0
HMP_2012__SRS024649__bin.14	1114801.0	1705450.0	1389190.0	1307440.0	1389190.0	1368991.0	1423490.0	832686.0	1342573.0	1345997.0	1446224.0	1470976.0	995909.0	676356.0	1407382.0	1360292.0	862265.0	1336670.0	1429784.0	1272419.0	1122249.0	1394513.0	1394213.0	1181429.0	1433667.0	1459507.0	1313134.0	1429549.0	1153553.0	1388851.0	1375333.0
HMP_2012__SRS018443__bin.23	1379637.0	1389190.0	2071812.0	1654530.0	1788214.0	1789074.0	1817743.0	1018501.0	1648481.0	1676969.0	1861701.0	1831899.0	1271059.0	810171.0	1777438.0	1726268.0	1057255.0	1713981.0	1786611.0	1617281.0	1368734.0	1804241.0	1760887.0	1447364.0	1798428.0	1823119.0	1612943.0	1892124.0	1447133.0	1753762.0	1710429.0
CM_periimplantitis__SP_189SPI_T016__bin.35	1330930.0	1307440.0	1654530.0	2067353.0	1748380.0	1625074.0	1800312.0	970866.0	1616549.0	1648973.0	1807687.0	1827539.0	1223757.0	739884.0	1735234.0	1717148.0	1036569.0	1670849.0	1770020.0	1587234.0	1424144.0	1781623.0	1705665.0	1401899.0	1794920.0	1798353.0	1548570.0	1807754.0	1451507.0	1706392.0	1683774.0
HMP_2012__SRS013705__bin.45	1519084.0	1389190.0	1788214.0	1748380.0	2433814.0	1755690.0	1976105.0	1107051.0	1745067.0	1782190.0	1986008.0	1974494.0	1303839.0	933638.0	1842324.0	1872050.0	1095956.0	1833325.0	1969260.0	1736213.0	1512801.0	1884104.0	1860521.0	1504551.0	1946976.0	2002152.0	1692388.0	1954561.0	1548077.0	1884253.0	1801076.0
HMP_2012__SRS018157__bin.39	1335646.0	1368991.0	1789074.0	1625074.0	1755690.0	2107373.0	1789171.0	1085758.0	1634411.0	1657814.0	1861517.0	1821072.0	1238589.0	850181.0	1739828.0	1749444.0	1013430.0	1719495.0	1764255.0	1573257.0	1333340.0	1806631.0	1711495.0	1388055.0	1803386.0	1820938.0	1571650.0	1825120.0	1447181.0	1751180.0	1686422.0
HMP_2012__SRS020226__bin.26	1493036.0	1423490.0	1817743.0	1800312.0	1976105.0	1789171.0	2538420.0	1146452.0	1870469.0	1913400.0	2077757.0	2128557.0	1339399.0	879791.0	1942589.0	1957662.0	1117579.0	1904902.0	2081063.0	1809055.0	1545120.0	1981524.0	1989987.0	1616562.0	2057165.0	2123547.0	1772332.0	2018752.0	1608657.0	2018796.0	1888861.0
HMP_2012__SRS017691__bin.57	837972.0	832686.0	1018501.0	970866.0	1107051.0	1085758.0	1146452.0	1345612.0	1011933.0	1024370.0	1134251.0	1203276.0	746041.0	924823.0	1076571.0	1121493.0	560419.0	1039284.0	1221227.0	1011238.0	765926.0	1131737.0	1105709.0	885371.0	1201774.0	1184595.0	997909.0	1140668.0	979207.0	1139541.0	1061435.0
HMP_2012__SRS058808__bin.43	1393797.0	1342573.0	1648481.0	1616549.0	1745067.0	1634411.0	1870469.0	1011933.0	2108195.0	1718875.0	1800556.0	1842157.0	1256801.0	804019.0	1760248.0	1722756.0	1085885.0	1715171.0	1802997.0	1644426.0	1376510.0	1743488.0	1755107.0	1497430.0	1787221.0	1888142.0	1629721.0	1758514.0	1468302.0	1799115.0	1748327.0
HMP_2012__SRS013170__bin.68	1388721.0	1345997.0	1676969.0	1648973.0	1782190.0	1657814.0	1913400.0	1024370.0	1718875.0	2187096.0	1862823.0	1864776.0	1230959.0	789447.0	1777761.0	1763196.0	1050113.0	1753742.0	1856994.0	1631829.0	1402467.0	1790456.0	1768070.0	1466136.0	1832824.0	2038185.0	1621285.0	1821269.0	1469299.0	1822236.0	1733355.0
