	HMP_2012__SRS019071__bin.37	HMP_2012__SRS024649__bin.14	HMP_2012__SRS018443__bin.23	CM_periimplantitis__SP_189SPI_T016__bin.35	HMP_2012__SRS013705__bin.45	HMP_2012__SRS018157__bin.39	HMP_2012__SRS020226__bin.26	HMP_2012__SRS017691__bin.57	HMP_2012__SRS058808__bin.43	HMP_2012__SRS013170__bin.68	HMP_2012__SRS052876__bin.4	HMP_2012__SRS024355__bin.2	HMP_2012__SRS065099__bin.33	HMP_2012__SRS018300__bin.68	HMP_2012__SRS024561__bin.8	HMP_2012__SRS019028__bin.19	HMP_2012__SRS011098__bin.16	HMP_2012__SRS015989__bin.10	CM_periimplantitis__SP_105SPI_T016__bin.10	CM_periimplantitis__SP_191SPI_T016__bin.13	CM_periimplantitis__SP_122SPI_T016__bin.1	HMP_2012__SRS016575__bin.20	HMP_2012__SRS017139__bin.43	HMP_2012__SRS051941__bin.26	HMP_2012__SRS043772__bin.7	HMP_2012__SRS013533__bin.26	HMP_2012__SRS055450__bin.7	CM_periimplantitis__SP_124SPI_T016__bin.13	HMP_2012__SRS063932__bin.46	HMP_2012__SRS015044__bin.48	HMP_2012__SRS016746__bin.46
HMP_2012__SRS019071__bin.37	0.0	32314.0	42775.0	39638.0	32564.0	41669.0	44067.0	21659.0	40963.0	41016.0	43110.0	46021.0	37899.0	10967.0	44715.0	40374.0	29949.0	44485.0	41798.0	39732.0	31346.0	44869.0	42114.0	31276.0	45347.0	43891.0	39323.0	44884.0	56677.0	41326.0	40329.0
HMP_2012__SRS024649__bin.14	32314.0	0.0	6485.0	38338.0	43055.0	15601.0	41395.0	23270.0	38351.0	40419.0	41473.0	44800.0	32185.0	18793.0	44011.0	40974.0	27527.0	39994.0	42186.0	37721.0	32371.0	42045.0	40557.0	30065.0	42250.0	42919.0	37764.0	40796.0	49262.0	39859.0	40889.0
HMP_2012__SRS018443__bin.23	42775.0	6485.0	0.0	48026.0	58700.0	15108.0	55046.0	28370.0	49092.0	53824.0	55353.0	56487.0	45970.0	22680.0	55807.0	52641.0	35880.0	54187.0	53749.0	50129.0	40010.0	56327.0	52166.0	36567.0	54679.0	55413.0	47863.0	52647.0	67975.0	52104.0	50572.0
CM_periimplantitis__SP_189SPI_T016__bin.35	39638.0	38338.0	48026.0	0.0	54869.0	51467.0	54339.0	25542.0	48758.0	50837.0	53655.0	54933.0	42949.0	19754.0	50788.0	50273.0	32952.0	51162.0	50933.0	48596.0	41985.0	54600.0	47699.0	35775.0	52344.0	53627.0	46577.0	52499.0	67242.0	49886.0	49317.0
HMP_2012__SRS013705__bin.45	32564.0	43055.0	58700.0	54869.0	0.0	60589.0	63874.0	32120.0	53931.0	55786.0	63443.0	64159.0	51904.0	21326.0	60595.0	58346.0	37948.0	62858.0	61158.0	54602.0	45451.0	63374.0	56640.0	41029.0	62021.0	62617.0	54437.0	65285.0	76666.0	57617.0	55661.0
HMP_2012__SRS018157__bin.39	41669.0	15601.0	15108.0	51467.0	60589.0	0.0	57943.0	33419.0	51026.0	55068.0	59319.0	60867.0	46486.0	26056.0	57714.0	56209.0	34806.0	57258.0	57936.0	52267.0	41191.0	60352.0	53681.0	37832.0	59623.0	59330.0	49315.0	54874.0	67312.0	55661.0	54357.0
HMP_2012__SRS020226__bin.26	44067.0	41395.0	55046.0	54339.0	63874.0	57943.0	0.0	32435.0	47225.0	52514.0	60221.0	63128.0	49172.0	24366.0	61105.0	56485.0	35793.0	59132.0	58940.0	53821.0	42500.0	61168.0	54615.0	16222.0	58247.0	56094.0	51097.0	62822.0	76595.0	51542.0	53858.0
HMP_2012__SRS017691__bin.57	21659.0	23270.0	28370.0	25542.0	32120.0	33419.0	32435.0	0.0	26528.0	30117.0	33145.0	35061.0	26270.0	26492.0	30681.0	32051.0	16387.0	30176.0	35494.0	28090.0	20656.0	33933.0	29590.0	20609.0	35597.0	33267.0	25544.0	33012.0	45258.0	32622.0	28208.0
HMP_2012__SRS058808__bin.43	40963.0	38351.0	49092.0	48758.0	53931.0	51026.0	47225.0	26528.0	0.0	40735.0	49715.0	54769.0	45250.0	20607.0	51459.0	49377.0	34774.0	49636.0	51952.0	48547.0	37784.0	49955.0	49318.0	32075.0	50101.0	43707.0	45385.0	52965.0	69710.0	42114.0	50385.0
HMP_2012__SRS013170__bin.68	41016.0	40419.0	53824.0	50837.0	55786.0	55068.0	52514.0	30117.0	40735.0	0.0	54583.0	58684.0	44207.0	21074.0	56629.0	52116.0	33569.0	56319.0	57180.0	50605.0	39507.0	55712.0	51947.0	34209.0	53622.0	12107.0	47107.0	59183.0	69520.0	44678.0	51795.0
