	HMP_2012__SRS019071__bin.37	HMP_2012__SRS024649__bin.14	HMP_2012__SRS018443__bin.23	CM_periimplantitis__SP_189SPI_T016__bin.35	HMP_2012__SRS013705__bin.45	HMP_2012__SRS018157__bin.39	HMP_2012__SRS020226__bin.26	HMP_2012__SRS017691__bin.57	HMP_2012__SRS058808__bin.43	HMP_2012__SRS013170__bin.68	HMP_2012__SRS052876__bin.4	HMP_2012__SRS024355__bin.2	HMP_2012__SRS065099__bin.33	HMP_2012__SRS018300__bin.68	HMP_2012__SRS024561__bin.8	HMP_2012__SRS019028__bin.19	HMP_2012__SRS011098__bin.16	HMP_2012__SRS015989__bin.10	CM_periimplantitis__SP_105SPI_T016__bin.10	CM_periimplantitis__SP_191SPI_T016__bin.13	CM_periimplantitis__SP_122SPI_T016__bin.1	HMP_2012__SRS016575__bin.20	HMP_2012__SRS017139__bin.43	HMP_2012__SRS051941__bin.26	HMP_2012__SRS043772__bin.7	HMP_2012__SRS013533__bin.26	HMP_2012__SRS055450__bin.7	CM_periimplantitis__SP_124SPI_T016__bin.13	HMP_2012__SRS063932__bin.46	HMP_2012__SRS015044__bin.48	HMP_2012__SRS016746__bin.46
HMP_2012__SRS019071__bin.37	1.0	0.6320572003315632	0.7822109055282843	0.7545955642641938	0.8612729806561641	0.7572693883428981	0.8465045816735327	0.47510384030534664	0.7902391813880073	0.7873612486010049	0.8412238358149551	0.865900578648188	0.5979256885550578	0.4014818292222438	0.8301373311425665	0.8061636294156934	0.5141742158540306	0.8077602130894914	0.8354254475933882	0.7632571440882747	0.6371610519762826	0.8202017727975253	0.8286717172232598	0.6870928456495929	0.8571533865603487	0.8613512223276784	0.7646620923637263	0.8319839479840296	0.6857797462928756	0.8165777092879668	0.8019436818716315
HMP_2012__SRS024649__bin.14	0.6536697059427131	1.0	0.8145592072473541	0.7666246445219737	0.8145592072473541	0.8027154123545105	0.8346712011492567	0.4882500219883315	0.787225072561494	0.7892327538186402	0.8480014072532176	0.8625148787709989	0.583956726963558	0.39658506552522793	0.825226186636958	0.7976147057961241	0.5055938315400628	0.7837638160016418	0.8383617227124806	0.7460898882992758	0.658036881761412	0.8176803776129468	0.8175044709607435	0.692737400686036	0.8406385411474977	0.8557899674572693	0.769963352780791	0.8382239291682547	0.6763921545633117	0.8143604327303644	0.8064340789820869
HMP_2012__SRS018443__bin.23	0.6659083932325907	0.6705193328352186	1.0	0.7985907987790398	0.8631159583977697	0.8635310539759399	0.8773686994765935	0.49159914123482246	0.7956711323228169	0.8094214146843439	0.898585875552415	0.8842013657609861	0.6135011284807695	0.39104465076947137	0.8579147142694414	0.8332165273683133	0.5103045063934373	0.8272859699625256	0.8623422395468314	0.780611850882223	0.6606458501060907	0.870851698899321	0.8499260550667724	0.6985981353520493	0.8680459423924565	0.8799635295094342	0.778518031558848	0.913270122964825	0.6984866387490757	0.8464870364685599	0.8255715286908272
CM_periimplantitis__SP_189SPI_T016__bin.35	0.6437845883117204	0.6324222326811144	0.8003132508091264	1.0	0.8457094651953488	0.7860650793550981	0.8708295100062737	0.469617912373939	0.7819414487995036	0.7976252725103067	0.8743968736834009	0.8839994911367338	0.591943901210872	0.35788953313730165	0.839350609208974	0.8306022241968353	0.5013991321269275	0.8082069196697419	0.856176956717116	0.7677614805018785	0.6888731629286339	0.8617894476656865	0.825047778487757	0.67811302665776	0.8682213439117558	0.869881921471563	0.7490593043374789	0.8744292822754508	0.7021089286638518	0.8253994358970143	0.8144588756733853
HMP_2012__SRS013705__bin.45	0.6241578033489823	0.5707872499706222	0.7347373299685186	0.7183704260062601	1.0	0.7213739422979735	0.8119375597313517	0.45486261480951296	0.7170091880480596	0.7322622024526114	0.8160064820072528	0.811275635689498	0.5357184238401127	0.3836110729907873	0.7569699245710642	0.7691836763203762	0.450303926265524	0.7532724357736458	0.8091251015895217	0.7133712765231854	0.6215762584979789	0.7741363966186405	0.7644466668364961	0.6181865171290821	0.7999691019938253	0.8226396922690066	0.6953645594938643	0.8030856096645019	0.6360703817136396	0.7741976174021515	0.7400220394820639
HMP_2012__SRS018157__bin.39	0.6337966748174149	0.6496196923847842	0.8489593441692572	0.7711373354408546	0.8331178201485926	1.0	0.8490053730402733	0.5152187106886157	0.7755679701694954	0.7866732657199271	0.8833353184272552	0.8641431773112781	0.5877407559079479	0.4034316658702565	0.825590913426337	0.8301539404747048	0.48089730674161624	0.8159424079173454	0.8371821220068778	0.7465489023537836	0.6327024214507826	0.8572905698231874	0.8121462123696185	0.6586660263750176	0.8557507380041407	0.8640795910358536	0.745786341573134	0.8660640522584279	0.6867227586193806	0.8309777149085615	0.8002484609985987
HMP_2012__SRS020226__bin.26	0.5881753216567787	0.5607779642454755	0.7160922936314715	0.7092254236887513	0.7784783447971573	0.7048364730816807	1.0	0.4516399965332766	0.7368634820084935	0.7537759708795235	0.8185237273579629	0.8385361760465171	0.5276506645866327	0.3465900048061393	0.7652748560127953	0.7712128016640273	0.4402655982855477	0.7504282191284343	0.8198261123060802	0.7126696921707204	0.6086935968043113	0.7806131373058832	0.783947100952561	0.6368378755288723	0.8104115946139725	0.8365625073864845	0.6982028190764333	0.7952789530495348	0.6337237336610962	0.7952962866665091	0.7441089339037669
HMP_2012__SRS017691__bin.57	0.6227441491306558	0.6188158250669584	0.7569054080968363	0.7215051589908532	0.8227118961483697	0.8068878696087728	0.851992996495275	1.0	0.7520243576900325	0.7612669922682022	0.8429257467977396	0.8942221086018852	0.5544250497171547	0.6872880146728775	0.8000604929206934	0.8334445590556565	0.4164788958481345	0.7723504249367574	0.9075625068741955	0.7515078640796902	0.5692027122231371	0.8410574519252206	0.8217145804288309	0.6579690133560046	0.8931058878785266	0.880339206249647	0.741602334105225	0.8476945806071884	0.7277038254712354	0.8468570434865326	0.7888120795593381
HMP_2012__SRS058808__bin.43	0.6611328648440965	0.6368353022372218	0.781939526466954	0.7667929200097714	0.8277540739827198	0.7752655707844862	0.8872371863134103	0.47999971539634617	1.0	0.8153301758139072	0.8540746942289494	0.8738076885677084	0.5961502612424372	0.3813779085900498	0.8349550207642082	0.8171710871148068	0.5150780644105503	0.8135732225908894	0.8552325567606412	0.7800160801064417	0.6529329592376417	0.8270050920337065	0.8325164417902519	0.7102900822741729	0.8477493780224316	0.8956201869371666	0.7730409188903303	0.8341325162046206	0.6964735235592533	0.8533911711203186	0.8293004205018986
HMP_2012__SRS013170__bin.68	0.6349611539685501	0.6154265747822684	0.7667560088811831	0.7539554733765688	0.8148659226664033	0.7579978199402313	0.8748587167641475	0.4683699298064648	0.7859165761356611	1.0	0.8517335315870909	0.8526264965049545	0.5628280605881041	0.3609567206926445	0.8128408629525179	0.8061813473208309	0.48014033220306745	0.8018587204219659	0.8490683536525145	0.7461167685369092	0.6412462004411329	0.8186453635322821	0.8084098731834359	0.6703574054362497	0.8380171697995882	0.9319138254562214	0.7412957638805064	0.8327339083423865	0.6718036153877105	0.8331760471419636	0.7925372274468062
