	VogtmannE_2016__MMRS57276462ST-27-0-0__bin.83	BritoIL_2016__W1.33.ST__bin.61	XieH_2016__YSZC12003_37102__bin.109	RaymondF_2016__P3E7__bin.10	YuJ_2015__SZAXPI015269-94__bin.24	RaymondF_2016__P18E0__bin.38	LiJ_2014__V1.FI09__bin.79	BritoIL_2016__W1.4.ST__bin.72	XieH_2016__YSZC12003_37330__bin.59	CM_madagascar__A04_01_1FE__bin.46	XieH_2016__YSZC12003_37133__bin.38	XieH_2016__YSZC12003_36440__bin.36	ZeeviD_2015__PNP_Main_257__bin.38	ZeeviD_2015__PNP_Main_589__bin.53	ZeeviD_2015__PNP_Main_208__bin.26	LiSS_2016__FAT_012-22-0-0__bin.21	BritoIL_2016__WL.7.ST__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES40__bin.10	KarlssonFH_2013__S77__bin.2	XieH_2016__YSZC12003_36033__bin.76	ZeeviD_2015__PNP_Main_89__bin.37	KarlssonFH_2013__S143__bin.32	ZellerG_2014__CCIS51667829ST-4-0__bin.59	LeChatelierE_2013__MH0434__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.50	FengQ_2015__SID530743__bin.33	NielsenHB_2014__V1_CD22_0__bin.21	LiSS_2016__FAT_012-22-2-0__bin.22	CosteaPI_2017__SID713A053-11-90-0__bin.85	BritoIL_2016__W2.35.ST__bin.15	LiuW_2016__SRR3993044__bin.54
VogtmannE_2016__MMRS57276462ST-27-0-0__bin.83	2007037.0	1463556.0	1374529.0	971228.0	1738650.0	1695287.0	1217353.0	1245606.0	1678146.0	1056189.0	1040185.0	1332516.0	1331680.0	1099833.0	1538728.0	1567042.0	1217742.0	1425747.0	1683041.0	918502.0	1009977.0	1453158.0	1623868.0	1057999.0	1650154.0	1023167.0	1651776.0	1627964.0	1357812.0	1247991.0	1489983.0
BritoIL_2016__W1.33.ST__bin.61	1463556.0	1815571.0	1391381.0	1044380.0	1749207.0	1724551.0	1325948.0	1403367.0	1733516.0	1032003.0	1120541.0	1458937.0	1303227.0	1088954.0	1529870.0	1589493.0	1278062.0	1518562.0	1738503.0	944567.0	1037072.0	1480232.0	1672371.0	1179878.0	1730317.0	1038745.0	1679489.0	1654063.0	1406970.0	1281273.0	1534021.0
XieH_2016__YSZC12003_37102__bin.109	1374529.0	1391381.0	1836894.0	938104.0	1589363.0	1558561.0	1189257.0	1194688.0	1565053.0	996496.0	1001133.0	1281127.0	1217672.0	985808.0	1447664.0	1444978.0	1153593.0	1375395.0	1581207.0	912998.0	953956.0	1365576.0	1510035.0	1037000.0	1551666.0	972433.0	1573898.0	1500882.0	1286131.0	1184068.0	1422989.0
RaymondF_2016__P3E7__bin.10	971228.0	1044380.0	938104.0	1119455.0	1090832.0	1094217.0	978835.0	983660.0	1095725.0	705564.0	812277.0	1005692.0	869862.0	697633.0	989305.0	1025612.0	860068.0	1017591.0	1097931.0	693151.0	733179.0	960713.0	1063182.0	882645.0	1079126.0	759204.0	1066340.0	1047597.0	962089.0	901639.0	1048540.0
YuJ_2015__SZAXPI015269-94__bin.24	1738650.0	1749207.0	1589363.0	1090832.0	2648203.0	2035452.0	1408981.0	1458187.0	2052139.0	1249609.0	1179289.0	1529155.0	1531872.0	1234952.0	1812505.0	1917165.0	1440776.0	1668977.0	2162952.0	1038162.0	1145212.0	1792476.0	1939769.0	1219521.0	2018052.0	1151524.0	1991932.0	1946786.0	1560433.0	1421802.0	1738531.0
RaymondF_2016__P18E0__bin.38	1695287.0	1724551.0	1558561.0	1094217.0	2035452.0	2399685.0	1384016.0	1432082.0	2056996.0	1207050.0	1170083.0	1519327.0	1531914.0	1217686.0	1767409.0	1840940.0	1393953.0	1643667.0	2003231.0	1023896.0	1128083.0	1698126.0	1885492.0	1219850.0	1967141.0	1135902.0	1933275.0	1904758.0	1540253.0	1407509.0	1717249.0
LiJ_2014__V1.FI09__bin.79	1217353.0	1325948.0	1189257.0	978835.0	1408981.0	1384016.0	1443641.0	1240647.0	1388103.0	861722.0	1018995.0	1270427.0	1074967.0	884731.0	1257863.0	1317296.0	1053780.0	1286363.0	1396265.0	828076.0	895587.0	1222308.0	1351244.0	1097002.0	1369435.0	933325.0	1375173.0	1324806.0	1192208.0	1117660.0	1306488.0
BritoIL_2016__W1.4.ST__bin.72	1245606.0	1403367.0	1194688.0	983660.0	1458187.0	1432082.0	1240647.0	1512452.0	1434769.0	908050.0	1036726.0	1310492.0	1101729.0	908169.0	1264645.0	1348468.0	1103841.0	1304580.0	1459282.0	858297.0	915226.0	1253175.0	1392781.0	1186767.0	1453152.0	939161.0	1389317.0	1370717.0	1205227.0	1147018.0	1338447.0
XieH_2016__YSZC12003_37330__bin.59	1678146.0	1733516.0	1565053.0	1095725.0	2052139.0	2056996.0	1388103.0	1434769.0	2373450.0	1205101.0	1169057.0	1521442.0	1539089.0	1217125.0	1765915.0	1826815.0	1398737.0	1658264.0	2024738.0	1028297.0	1140152.0	1710643.0	1895397.0	1218849.0	1954923.0	1141286.0	1947116.0	1879014.0	1522443.0	1407088.0	1715837.0
CM_madagascar__A04_01_1FE__bin.46	1056189.0	1032003.0	996496.0	705564.0	1249609.0	1207050.0	861722.0	908050.0	1205101.0	1320390.0	747596.0	923042.0	933293.0	778039.0	1086771.0	1119713.0	895860.0	1018213.0	1228594.0	686227.0	711325.0	1063123.0	1162188.0	738301.0	1188246.0	736842.0	1191430.0	1161211.0	961914.0	890601.0	1086346.0
