	YuJ_2015__SZAXPI015257-56__bin.40	YuJ_2015__SZAXPI003412-1__bin.83	QinJ_2012__NOM028__bin.3	DavidLA_2015__LD-Run1-10__bin.2	LiJ_2014__O2.CD3-0-PT__bin.22	XieH_2016__YSZC12003_37276__bin.66	HeQ_2017__RSZAXPI003093-124__bin.8	YuJ_2015__SZAXPI017452-17__bin.9	HeQ_2017__SZAXPI029500-102__bin.41	QinN_2014__LD-69__bin.10	CM_madagascar__A69_02_1FE__bin.22	FerrettiP_2018__CA_C10026IS2449FE_t2M15__bin.2	CM_madagascar__A53_01_1FE__bin.2	CM_madagascar__A20_03_1FE__bin.9	ZellerG_2014__CCIS59903910ST-4-0__bin.16	HeQ_2017__SZAXPI029553-32__bin.14	ZeeviD_2015__PNP_Main_99__bin.11	BackhedF_2015__SID203_B__bin.2	ZeeviD_2015__PNP_Main_226__bin.19	HeQ_2017__SZAXPI029502-105__bin.12	BritoIL_2016__W2.39.ST__bin.55	HeQ_2017__SZAXPI029564-74__bin.65	QinJ_2012__T2D-052__bin.31	XieH_2016__YSZC12003_37277__bin.37	YuJ_2015__SZAXPI003434-7__bin.5	ChengpingW_2017__AS37raw__bin.3	YuJ_2015__SZAXPI015219-129__bin.21	FerrettiP_2018__CA_C10042IS2731FE_t2M16__bin.6	YuJ_2015__SZAXPI017451-16__bin.7	ZeeviD_2015__PNP_Main_40__bin.41	ChengpingW_2017__AS10raw__bin.39	YuJ_2015__SZAXPI015214-19__bin.22	BritoIL_2016__M1.1.ST__bin.108	QinN_2014__LD-62__bin.17	DavidLA_2015__LD-Run1-07__bin.4	QinJ_2012__DOF010__bin.10	XieH_2016__YSZC12003_36697__bin.20	ZellerG_2014__CCIS93040568ST-20-0__bin.13	FerrettiP_2018__CA_C10023IS2397FE_t3M15__bin.1	FerrettiP_2018__CA_C10026IS2444FE_t1M15__bin.4	QinJ_2012__NLM002__bin.2	CM_madagascar__A13_03_1FE__bin.27	HeQ_2017__SZAXPI029486-84__bin.3	CM_madagascar__A68_01_1FE__bin.24	VogtmannE_2016__MMRS51728985ST-27-0-0__bin.2	HeQ_2017__RSZAXPI003108-148__bin.2
YuJ_2015__SZAXPI015257-56__bin.40	1.0	0.9934937596767106	0.993720230436769	0.992869620406642	0.9949440454522377	0.9952937561813603	0.9955091437368594	0.9944572390702715	0.9950904774502091	0.995005006826979	0.9590588838053219	0.9947705202481123	0.9585402643160288	0.9578542548932258	0.9952226181618827	0.9953474553782609	0.9922139440998514	0.99311935421872	0.995585206072251	0.995479404330474	0.9943380313881949	0.9948084607572064	0.9934973074609509	0.9957949842766343	0.9947818202086812	0.9947155808022676	0.9951398164167197	0.9948294486452777	0.9950814698131902	0.9545126667102976	0.9956565132183902	0.993683505522536	0.9588205615979488	0.9946764501820544	0.9955235173151417	0.9952627164092903	0.9666617052322778	0.9944193846532791	0.9952515679830732	0.9947187555890025	0.9954400881315896	0.9579037828626435	0.9942825702940858	0.9585241574569294	0.9950256774925101	0.9934094723484383
YuJ_2015__SZAXPI003412-1__bin.83	0.9934937596767106	1.0	0.9930450684872402	0.990693744494448	0.9953713136379072	0.9945427516916137	0.9942719429988474	0.9909399648218414	0.9938222825480644	0.9947867250330856	0.9584793744944728	0.9941650710574532	0.957729036747215	0.9563758114445761	0.9962610399753659	0.9952022994273113	0.9898063393925826	0.9919344878507182	0.9942002563388812	0.9938304484730283	0.994394795134817	0.9911766810270998	0.9906916165681867	0.9948704064062569	0.9981708379593442	0.9932769942255608	0.99343632301573	0.9955736960347779	0.9948085375789435	0.954705755781371	0.9942389858707851	0.990672900182834	0.9584174097329471	0.9931362704208107	0.9955758129102295	0.9956741461942883	0.966812780147037	0.993297979702212	0.9941934307616039	0.9940812578367664	0.9936403145577175	0.9563635617618699	0.9901464259845763	0.9577985492993055	0.9936911643607489	0.9928355826588767
QinJ_2012__NOM028__bin.3	0.993720230436769	0.9930450684872402	1.0	0.990125933625003	0.9949939288739418	0.9966683215644118	0.9947072345079109	0.991387640023063	0.9957702615274586	0.9954623334478323	0.9591515333237123	0.9940759753062143	0.9583967066456389	0.9573949311118585	0.9938883191204867	0.9950980496201758	0.9902419615280992	0.9906434482062667	0.993568046410325	0.9939767150373396	0.9935260907844935	0.99125221575355	0.9914005664171484	0.9969842080937078	0.9939747758092398	0.9942025051171932	0.9958959479983979	0.9951660100659404	0.9954293190140743	0.9548003088540178	0.9942536525451098	0.9909612074520276	0.9582321960802023	0.9956752538515674	0.9953505464076906	0.9940477484668993	0.9661369736690434	0.9934423791501065	0.9940049816588156	0.9944409568227683	0.9922530702656224	0.9574304669487936	0.9902651151988662	0.9584158082258702	0.9935452727541907	0.992878778615196
DavidLA_2015__LD-Run1-10__bin.2	0.992869620406642	0.990693744494448	0.990125933625003	1.0	0.9923792360322514	0.9930571989860945	0.9934296079672786	0.9927091186584043	0.9924933040606554	0.9924424279477856	0.9560013742819994	0.991961385324928	0.9564870575483934	0.9555827350699673	0.9926079985624005	0.9926349216679288	0.9920473030192339	0.991937992439352	0.9928281224444306	0.9926203734887988	0.9943632009505591	0.993209520840615	0.9932255621730829	0.9932540913382643	0.9922667060516118	0.9933827343575972	0.9924889879819457	0.9924754659774271	0.9925546965009876	0.9537208028178934	0.9927213111008288	0.9917815990072683	0.9563432863358745	0.9923267604138403	0.9944838328715303	0.9926350208693149	0.9659063581189842	0.9921317124393949	0.9928703193400173	0.9918040464944445	0.9926057232931185	0.9554437965127324	0.9929641909893443	0.9558823377878622	0.9924550252660652	0.991778428577549
LiJ_2014__O2.CD3-0-PT__bin.22	0.9949440454522377	0.9953713136379072	0.9949939288739418	0.9923792360322514	1.0	0.9970706628548994	0.9971329895238416	0.993224700946027	0.9945201285990959	0.9990551121101862	0.9591702423444204	0.9956878561279118	0.9582790692780324	0.9581117384035719	0.9959634550257364	0.9981376952393033	0.9919772810947609	0.9924707636012298	0.9956481164374072	0.9966124840670456	0.9953254553763792	0.9925353047784816	0.9921318661761572	0.997338795910276	0.9956981006997051	0.9959967686594079	0.9946068272807774	0.9979770204487637	0.9990142165059812	0.9549167942586136	0.9956560740296009	0.9920076447295616	0.9589332105735144	0.994187673747345	0.9975346189370766	0.9975307105630971	0.9661795335270652	0.9956218008563242	0.996815095280741	0.9956658945915037	0.995070222480894	0.9580967946229749	0.9923791839622766	0.9583717570953177	0.9955662374081425	0.992920400038165
XieH_2016__YSZC12003_37276__bin.66	0.9952937561813603	0.9945427516916137	0.9966683215644118	0.9930571989860945	0.9970706628548994	1.0	0.9977285483108919	0.9934678676257607	0.9976884293820136	0.9970772664193678	0.9586894598119132	0.9952691168294123	0.9576761778555155	0.9576753045362387	0.9954761669513176	0.9974114281591454	0.9921650400262094	0.9933799213685969	0.9955984556405835	0.9960049687405549	0.9959938568672873	0.9937911478652804	0.993308611491703	0.9999778436138965	0.9957842204606355	0.9956781854154523	0.9976105030754732	0.9966277977643043	0.9971778092784749	0.9547226787567689	0.9948137533591189	0.9927450257921886	0.9582136328022982	0.9963150387267652	0.9971423783372377	0.9964142869191944	0.9668805053509429	0.9951012043849188	0.9961960230608999	0.9950965748360417	0.9946469171282943	0.9577926742630803	0.993161883675381	0.9577225166889972	0.9945239176031881	0.9933735014476591
HeQ_2017__RSZAXPI003093-124__bin.8	0.9955091437368594	0.9942719429988474	0.9947072345079109	0.9934296079672786	0.9971329895238416	0.9977285483108919	1.0	0.9916175447993887	0.9942711139904216	0.9959523399907754	0.9573792435411341	0.9967428089824183	0.9573059142705513	0.9559425278495769	0.9950663928632146	0.997484363156005	0.9915098327045945	0.9917200706439178	0.9960848472138107	0.9936604071866522	0.9955561255067404	0.992019801284977	0.9920939030359678	0.99776002439533	0.9956264584092044	0.994949649680553	0.9955732832445012	0.9974612277763739	0.9969244750767539	0.9557404714211234	0.9950521332311426	0.9908784270995241	0.9571454509494953	0.9947674656878003	0.9955183917574006	0.9949670327039495	0.9682597749931717	0.995542004788628	0.9965373524816546	0.9967178304266282	0.9938958549677873	0.9559369897375625	0.9911710900749172	0.956889247209839	0.9958794385612889	0.9933398686855269
YuJ_2015__SZAXPI017452-17__bin.9	0.9944572390702715	0.9909399648218414	0.991387640023063	0.9927091186584043	0.993224700946027	0.9934678676257607	0.9916175447993887	1.0	0.9929131301678998	0.9931513587793043	0.9589611239344977	0.993096347515295	0.9588825335098962	0.9581563085806548	0.9928774818551819	0.993279404627083	0.9907943247068156	0.9919376132302616	0.9935676325446033	0.99328971530569	0.9926603278356184	0.9979726928263408	0.9922182104208818	0.9936772470315622	0.9927531385800794	0.9932161702947867	0.9929710190880842	0.9932373687377964	0.9930641362640877	0.9554542006841839	0.9980248189506343	0.9972888524127275	0.9587586353640855	0.993065654264613	0.993745644740467	0.9932802787172508	0.9669928371675445	0.991990970211513	0.9932519647938605	0.9929236781200859	0.9955202179828528	0.9581052523065822	0.9977445872831948	0.9588398596554267	0.9929163146486637	0.9921651685671051
HeQ_2017__SZAXPI029500-102__bin.41	0.9950904774502091	0.9938222825480644	0.9957702615274586	0.9924933040606554	0.9945201285990959	0.9976884293820136	0.9942711139904216	0.9929131301678998	1.0	0.9950375786145429	0.9588772726607866	0.9961143913458557	0.9581862003763434	0.9576431603036321	0.9945224539516287	0.9959379878209261	0.9918685162846803	0.9928052132127979	0.9951480993247424	0.9957958586642256	0.9954915167203044	0.9929167881817176	0.9927208098185454	0.9981304760839351	0.9949773133202428	0.9946283348051198	0.9968852064222465	0.9957169970604465	0.9951017653996959	0.9558217370898489	0.9950786915271453	0.9921360599798145	0.9585311344737357	0.9957498396165894	0.9957140396003109	0.9956421315381833	0.9678763139005949	0.9952996301796401	0.9958917597760585	0.9960834972629687	0.994338755306919	0.9576254689520607	0.9921511318050006	0.9582170151557741	0.9950062099472001	0.9933858424030411
QinN_2014__LD-69__bin.10	0.995005006826979	0.9947867250330856	0.9954623334478323	0.9924424279477856	0.9990551121101862	0.9970772664193678	0.9959523399907754	0.9931513587793043	0.9950375786145429	1.0	0.9570533354066242	0.9960418520776294	0.956719458602952	0.9571608976580562	0.9953548792602247	0.998043925743612	0.9917824366757796	0.9920725788456339	0.996111290969655	0.99631169527897	0.9952496627715418	0.9935463071897966	0.9930755425065962	0.9973430124386258	0.995984317851736	0.9964560146060822	0.9953990887344549	0.9970620949112748	0.9996505391792175	0.9545070398083366	0.9952115984856924	0.9919901426253701	0.9578823241214176	0.9949933224038462	0.9967657741895657	0.9971711244753432	0.9669052143118511	0.9955575881034386	0.9971730575594838	0.9960245074374435	0.9948481354376147	0.9571227225987288	0.9923884624574271	0.9567205468624665	0.9958676428778999	0.9935696989659885
