	YuJ_2015__SZAXPI015257-56__bin.40	YuJ_2015__SZAXPI003412-1__bin.83	QinJ_2012__NOM028__bin.3	DavidLA_2015__LD-Run1-10__bin.2	LiJ_2014__O2.CD3-0-PT__bin.22	XieH_2016__YSZC12003_37276__bin.66	HeQ_2017__RSZAXPI003093-124__bin.8	YuJ_2015__SZAXPI017452-17__bin.9	HeQ_2017__SZAXPI029500-102__bin.41	QinN_2014__LD-69__bin.10	CM_madagascar__A69_02_1FE__bin.22	FerrettiP_2018__CA_C10026IS2449FE_t2M15__bin.2	CM_madagascar__A53_01_1FE__bin.2	CM_madagascar__A20_03_1FE__bin.9	ZellerG_2014__CCIS59903910ST-4-0__bin.16	HeQ_2017__SZAXPI029553-32__bin.14	ZeeviD_2015__PNP_Main_99__bin.11	BackhedF_2015__SID203_B__bin.2	ZeeviD_2015__PNP_Main_226__bin.19	HeQ_2017__SZAXPI029502-105__bin.12	BritoIL_2016__W2.39.ST__bin.55	HeQ_2017__SZAXPI029564-74__bin.65	QinJ_2012__T2D-052__bin.31	XieH_2016__YSZC12003_37277__bin.37	YuJ_2015__SZAXPI003434-7__bin.5	ChengpingW_2017__AS37raw__bin.3	YuJ_2015__SZAXPI015219-129__bin.21	FerrettiP_2018__CA_C10042IS2731FE_t2M16__bin.6	YuJ_2015__SZAXPI017451-16__bin.7	ZeeviD_2015__PNP_Main_40__bin.41	ChengpingW_2017__AS10raw__bin.39	YuJ_2015__SZAXPI015214-19__bin.22	BritoIL_2016__M1.1.ST__bin.108	QinN_2014__LD-62__bin.17	DavidLA_2015__LD-Run1-07__bin.4	QinJ_2012__DOF010__bin.10	XieH_2016__YSZC12003_36697__bin.20	ZellerG_2014__CCIS93040568ST-20-0__bin.13	FerrettiP_2018__CA_C10023IS2397FE_t3M15__bin.1	FerrettiP_2018__CA_C10026IS2444FE_t1M15__bin.4	QinJ_2012__NLM002__bin.2	CM_madagascar__A13_03_1FE__bin.27	HeQ_2017__SZAXPI029486-84__bin.3	CM_madagascar__A68_01_1FE__bin.24	VogtmannE_2016__MMRS51728985ST-27-0-0__bin.2	HeQ_2017__RSZAXPI003108-148__bin.2
YuJ_2015__SZAXPI015257-56__bin.40	0.0	6337.0	5979.0	9527.0	8664.0	8394.0	4116.0	8592.0	7145.0	8864.0	50183.0	9123.0	50740.0	52318.0	8418.0	8065.0	7676.0	11993.0	8035.0	8032.0	3914.0	8654.0	11340.0	4858.0	9081.0	8792.0	8675.0	9286.0	8543.0	63943.0	4426.0	8620.0	49788.0	9407.0	5035.0	8268.0	52412.0	9697.0	8353.0	9095.0	6602.0	51777.0	6661.0	50833.0	8765.0	11753.0
YuJ_2015__SZAXPI003412-1__bin.83	6337.0	0.0	4191.0	6212.0	4430.0	5323.0	3444.0	8190.0	5316.0	5121.0	30030.0	5659.0	30618.0	31961.0	3667.0	4647.0	5919.0	7510.0	5688.0	6023.0	2495.0	8139.0	8855.0	3846.0	1837.0	6315.0	6340.0	4366.0	5002.0	37259.0	3383.0	7647.0	29510.0	6637.0	3077.0	4244.0	30186.0	6362.0	5669.0	5688.0	5568.0	31905.0	6938.0	30638.0	6175.0	7002.0
QinJ_2012__NOM028__bin.3	5979.0	4191.0	0.0	6536.0	4799.0	3248.0	2991.0	7603.0	3720.0	4399.0	29154.0	5724.0	29651.0	30911.0	5846.0	4619.0	5469.0	8901.0	6364.0	5858.0	2853.0	8123.0	8168.0	2225.0	5793.0	5339.0	4037.0	4713.0	4416.0	37172.0	3434.0	7084.0	29597.0	4234.0	3239.0	5749.0	30846.0	6085.0	5774.0	5198.0	6631.0	30761.0	6539.0	29622.0	6191.0	6872.0
DavidLA_2015__LD-Run1-10__bin.2	9527.0	6212.0	6536.0	0.0	9912.0	9740.0	3269.0	8723.0	8083.0	10569.0	42773.0	10965.0	42876.0	43216.0	10037.0	9959.0	5813.0	11015.0	9910.0	10167.0	2761.0	8626.0	9268.0	4937.0	10315.0	8496.0	10359.0	10463.0	10094.0	50597.0	6371.0	8113.0	41408.0	10407.0	4115.0	9825.0	40688.0	10805.0	9987.0	10937.0	8059.0	43155.0	5897.0	42815.0	10610.0	11322.0
LiJ_2014__O2.CD3-0-PT__bin.22	8664.0	4430.0	4799.0	9912.0	0.0	5193.0	2639.0	10399.0	7948.0	1736.0	50252.0	7511.0	51545.0	51440.0	7043.0	3230.0	7605.0	12749.0	7853.0	5884.0	3222.0	12064.0	13440.0	3101.0	7320.0	6571.0	9361.0	3677.0	1765.0	62806.0	4276.0	10530.0	49778.0	10155.0	2808.0	4286.0	53082.0	7480.0	5619.0	7496.0	7115.0	51278.0	8627.0	51326.0	7820.0	12243.0
XieH_2016__YSZC12003_37276__bin.66	8394.0	5323.0	3248.0	9740.0	5193.0	0.0	2149.0	10306.0	3495.0	5617.0	52427.0	8713.0	53912.0	53796.0	8333.0	4700.0	7868.0	11743.0	8068.0	7217.0	2812.0	10370.0	11848.0	28.0	7547.0	7333.0	4551.0	6434.0	5262.0	65043.0	5342.0	9845.0	52480.0	6802.0	3274.0	6462.0	53248.0	8778.0	7029.0	8880.0	7838.0	53173.0	8030.0	53800.0	10049.0	12288.0
HeQ_2017__RSZAXPI003093-124__bin.8	4116.0	3444.0	2991.0	3269.0	2639.0	2149.0	0.0	6823.0	4731.0	3835.0	27192.0	2999.0	27272.0	28005.0	4411.0	2270.0	4841.0	7309.0	3659.0	5935.0	1698.0	6819.0	7139.0	1998.0	3891.0	4286.0	4063.0	2371.0	2863.0	32259.0	2479.0	6831.0	26435.0	4724.0	3525.0	4625.0	25682.0	4018.0	3187.0	3045.0	4726.0	27930.0	6081.0	27271.0	3795.0	6067.0
YuJ_2015__SZAXPI017452-17__bin.9	8592.0	8190.0	7603.0	8723.0	10399.0	10306.0	6823.0	0.0	9451.0	10790.0	47418.0	10755.0	47538.0	48929.0	11046.0	10385.0	8170.0	12336.0	10167.0	10451.0	4779.0	3100.0	12050.0	6505.0	11053.0	10277.0	11084.0	10664.0	10755.0	57907.0	1850.0	3495.0	46905.0	10791.0	6175.0	10423.0	47353.0	12240.0	10555.0	10836.0	6116.0	48768.0	2472.0	47652.0	11118.0	12359.0
HeQ_2017__SZAXPI029500-102__bin.41	7145.0	5316.0	3720.0	8083.0	7948.0	3495.0	4731.0	9451.0	0.0	7331.0	44983.0	5751.0	45731.0	46476.0	7968.0	5834.0	6741.0	10406.0	7214.0	6145.0	2792.0	9788.0	10534.0	1972.0	7244.0	7555.0	4695.0	6357.0	7172.0	54501.0	4283.0	9163.0	44533.0	6307.0	4279.0	6313.0	43770.0	6707.0	6004.0	5718.0	7106.0	46366.0	7879.0	45635.0	7346.0	9862.0
QinN_2014__LD-69__bin.10	8864.0	5121.0	4399.0	10569.0	1736.0	5617.0	3835.0	10790.0	7331.0	0.0	55238.0	7454.0	55448.0	54141.0	8632.0	3574.0	8254.0	14104.0	7231.0	6985.0	3342.0	10790.0	12080.0	3196.0	7175.0	6064.0	8359.0	5671.0	675.0	65511.0	4900.0	10817.0	52611.0	9061.0	3746.0	5282.0	52548.0	8082.0	5354.0	7362.0	7542.0	53999.0	8888.0	55304.0	7878.0	11557.0
