	YuJ_2015__SZAXPI015257-56__bin.40	YuJ_2015__SZAXPI003412-1__bin.83	QinJ_2012__NOM028__bin.3	DavidLA_2015__LD-Run1-10__bin.2	LiJ_2014__O2.CD3-0-PT__bin.22	XieH_2016__YSZC12003_37276__bin.66	HeQ_2017__RSZAXPI003093-124__bin.8	YuJ_2015__SZAXPI017452-17__bin.9	HeQ_2017__SZAXPI029500-102__bin.41	QinN_2014__LD-69__bin.10	CM_madagascar__A69_02_1FE__bin.22	FerrettiP_2018__CA_C10026IS2449FE_t2M15__bin.2	CM_madagascar__A53_01_1FE__bin.2	CM_madagascar__A20_03_1FE__bin.9	ZellerG_2014__CCIS59903910ST-4-0__bin.16	HeQ_2017__SZAXPI029553-32__bin.14	ZeeviD_2015__PNP_Main_99__bin.11	BackhedF_2015__SID203_B__bin.2	ZeeviD_2015__PNP_Main_226__bin.19	HeQ_2017__SZAXPI029502-105__bin.12	BritoIL_2016__W2.39.ST__bin.55	HeQ_2017__SZAXPI029564-74__bin.65	QinJ_2012__T2D-052__bin.31	XieH_2016__YSZC12003_37277__bin.37	YuJ_2015__SZAXPI003434-7__bin.5	ChengpingW_2017__AS37raw__bin.3	YuJ_2015__SZAXPI015219-129__bin.21	FerrettiP_2018__CA_C10042IS2731FE_t2M16__bin.6	YuJ_2015__SZAXPI017451-16__bin.7	ZeeviD_2015__PNP_Main_40__bin.41	ChengpingW_2017__AS10raw__bin.39	YuJ_2015__SZAXPI015214-19__bin.22	BritoIL_2016__M1.1.ST__bin.108	QinN_2014__LD-62__bin.17	DavidLA_2015__LD-Run1-07__bin.4	QinJ_2012__DOF010__bin.10	XieH_2016__YSZC12003_36697__bin.20	ZellerG_2014__CCIS93040568ST-20-0__bin.13	FerrettiP_2018__CA_C10023IS2397FE_t3M15__bin.1	FerrettiP_2018__CA_C10026IS2444FE_t1M15__bin.4	QinJ_2012__NLM002__bin.2	CM_madagascar__A13_03_1FE__bin.27	HeQ_2017__SZAXPI029486-84__bin.3	CM_madagascar__A68_01_1FE__bin.24	VogtmannE_2016__MMRS51728985ST-27-0-0__bin.2	HeQ_2017__RSZAXPI003108-148__bin.2
YuJ_2015__SZAXPI015257-56__bin.40	1966335.0	973988.0	952105.0	1336114.0	1713623.0	1783588.0	916529.0	1550130.0	1455335.0	1774577.0	1225736.0	1744533.0	1223838.0	1241359.0	1762053.0	1733460.0	985865.0	1743005.0	1820017.0	1776757.0	691279.0	1666943.0	1743893.0	1155287.0	1740262.0	1663759.0	1784912.0	1795940.0	1736901.0	1405732.0	1018997.0	1364681.0	1209050.0	1767054.0	1124767.0	1745304.0	1572126.0	1737622.0	1759107.0	1722132.0	1447835.0	1229968.0	1165034.0	1225605.0	1762049.0	1783317.0
YuJ_2015__SZAXPI003412-1__bin.83	973988.0	1068460.0	602594.0	667508.0	957075.0	975400.0	601251.0	903970.0	860512.0	982300.0	723255.0	969849.0	724327.0	732644.0	980754.0	968589.0	580655.0	931125.0	980733.0	976246.0	445122.0	922442.0	951293.0	749767.0	1004285.0	939312.0	965922.0	986376.0	963505.0	822599.0	587223.0	819869.0	709672.0	966967.0	695495.0	981078.0	909567.0	949266.0	976308.0	961015.0	875515.0	731155.0	704110.0	725994.0	978786.0	977330.0
QinJ_2012__NOM028__bin.3	952105.0	602594.0	1023386.0	661936.0	958636.0	974884.0	565111.0	882801.0	879487.0	969441.0	713711.0	966235.0	712708.0	725524.0	956529.0	942278.0	560461.0	951312.0	989435.0	972559.0	440692.0	928578.0	949830.0	737783.0	961458.0	920915.0	983662.0	974971.0	966158.0	822395.0	597597.0	783733.0	708608.0	979017.0	696641.0	965853.0	910905.0	927928.0	963133.0	935053.0	855952.0	722606.0	671708.0	712338.0	959142.0	965003.0
DavidLA_2015__LD-Run1-10__bin.2	1336114.0	667508.0	661936.0	1497805.0	1300657.0	1402892.0	497535.0	1196426.0	1076772.0	1398465.0	972144.0	1364041.0	985362.0	972955.0	1357819.0	1352192.0	730947.0	1366285.0	1381786.0	1377712.0	489817.0	1270308.0	1368084.0	731851.0	1333843.0	1283914.0	1379175.0	1390518.0	1355754.0	1093299.0	875295.0	987175.0	948491.0	1356272.0	745989.0	1334016.0	1193419.0	1373234.0	1400764.0	1334439.0	1089897.0	968552.0	838141.0	970473.0	1406234.0	1377109.0
LiJ_2014__O2.CD3-0-PT__bin.22	1713623.0	957075.0	958636.0	1300657.0	1897753.0	1772756.0	920471.0	1534840.0	1450399.0	1837255.0	1230769.0	1741825.0	1235471.0	1228029.0	1744809.0	1734410.0	947933.0	1693266.0	1804506.0	1736966.0	689265.0	1616141.0	1708156.0	1165262.0	1701574.0	1641424.0	1735713.0	1817616.0	1790454.0	1393113.0	984363.0	1317509.0	1212123.0	1747149.0	1138972.0	1735722.0	1569523.0	1708465.0	1764260.0	1729538.0	1443270.0	1223725.0	1132031.0	1232961.0	1763739.0	1729335.0
XieH_2016__YSZC12003_37276__bin.66	1783588.0	975400.0	974884.0	1402892.0	1772756.0	2006658.0	946091.0	1577739.0	1511959.0	1921831.0	1269095.0	1841728.0	1273798.0	1271031.0	1842022.0	1815673.0	1004217.0	1773846.0	1832993.0	1806494.0	701922.0	1670196.0	1770634.0	1263744.0	1790179.0	1696741.0	1904585.0	1907952.0	1864509.0	1436547.0	1030032.0	1357000.0	1255912.0	1845881.0	1145708.0	1802152.0	1607754.0	1791869.0	1847803.0	1810979.0	1464203.0	1259805.0	1174300.0	1272545.0	1835071.0	1854373.0
HeQ_2017__RSZAXPI003093-124__bin.8	916529.0	601251.0	565111.0	497535.0	920471.0	946091.0	1101791.0	813962.0	825815.0	947461.0	637999.0	920732.0	638777.0	635647.0	894072.0	902356.0	570189.0	882737.0	934574.0	936180.0	382099.0	854490.0	902974.0	891974.0	889668.0	848654.0	917836.0	933916.0	930898.0	728860.0	501024.0	748884.0	616854.0	902813.0	786548.0	918941.0	809131.0	901302.0	920394.0	927740.0	774228.0	633865.0	688760.0	632580.0	920991.0	910943.0
YuJ_2015__SZAXPI017452-17__bin.9	1550130.0	903970.0	882801.0	1196426.0	1534840.0	1577739.0	813962.0	1644555.0	1333593.0	1575495.0	1155441.0	1557871.0	1156151.0	1169328.0	1550856.0	1545250.0	887496.0	1530068.0	1580600.0	1557460.0	651119.0	1529122.0	1548487.0	1028824.0	1525212.0	1514926.0	1576900.0	1576901.0	1550636.0	1299943.0	936623.0	1289122.0	1137329.0	1556167.0	987312.0	1551106.0	1434628.0	1528275.0	1564159.0	1531304.0	1365245.0	1164060.0	1096030.0	1157722.0	1569522.0	1577443.0
HeQ_2017__SZAXPI029500-102__bin.41	1455335.0	860512.0	879487.0	1076772.0	1450399.0	1511959.0	825815.0	1333593.0	1606481.0	1477303.0	1093872.0	1480077.0	1093682.0	1097249.0	1454666.0	1436234.0	829000.0	1446325.0	1486840.0	1461654.0	619277.0	1381859.0	1447139.0	1054814.0	1442256.0	1406454.0	1507323.0	1484239.0	1464201.0	1233661.0	870297.0	1165192.0	1073890.0	1483944.0	998376.0	1448644.0	1362546.0	1426909.0	1461453.0	1459976.0	1255201.0	1094195.0	1003839.0	1092191.0	1471027.0	1491044.0
QinN_2014__LD-69__bin.10	1774577.0	982300.0	969441.0	1398465.0	1837255.0	1921831.0	947461.0	1575495.0	1477303.0	2092410.0	1286200.0	1883204.0	1281130.0	1263822.0	1858294.0	1827129.0	1004434.0	1779141.0	1859486.0	1893824.0	703529.0	1671911.0	1744541.0	1202866.0	1786745.0	1711068.0	1816814.0	1930287.0	1931547.0	1440025.0	1023306.0	1350461.0	1249143.0	1809783.0	1158237.0	1867173.0	1587803.0	1819282.0	1893919.0	1851846.0	1463936.0	1259385.0	1167701.0	1277835.0	1906418.0	1797272.0
