	ZeeviD_2015__PNP_Main_586__bin.39	YuJ_2015__SZAXPI015261-75__bin.23	NielsenHB_2014__MH0093__bin.7	CosteaPI_2017__halbarad-11-0-0__bin.28	LeChatelierE_2013__MH0093__bin.3	XieH_2016__YSZC12003_37348__bin.16	ZeeviD_2015__PNP_Main_506__bin.26	LeChatelierE_2013__MH0129__bin.41	LeChatelierE_2013__MH0288__bin.80	CosteaPI_2017__halbarad-11-773-0__bin.26	ZellerG_2014__MMPU68403337ST__bin.53	ZeeviD_2015__PNP_Main_304__bin.37	XieH_2016__YSZC12003_37204__bin.17	LeChatelierE_2013__MH0440__bin.73	NielsenHB_2014__V1_UC50_1__bin.69	QinJ_2012__T2D-099__bin.75	ZeeviD_2015__PNP_Main_226__bin.34	NielsenHB_2014__MH0004__bin.10	ZeeviD_2015__PNP_Main_261__bin.11	LeChatelierE_2013__MH0438__bin.46	CosteaPI_2017__halbarad-11-392-0__bin.44	CosteaPI_2017__halbarad-11-7-0__bin.2	ZeeviD_2015__PNP_Main_22__bin.34	LeChatelierE_2013__MH0125__bin.9	SchirmerM_2016__G88802__bin.17	ZellerG_2014__CCIS38765456ST-20-0__bin.4	XieH_2016__YSZC12003_35551__bin.42	NielsenHB_2014__V1_CD19_0__bin.21	NielsenHB_2014__O2_UC55_2__bin.28	ZeeviD_2015__PNP_Validation_7__bin.62	VogtmannE_2016__MMRS79893829ST-27-0-0__bin.10	LiJ_2014__V1.FI02__bin.5	LeChatelierE_2013__MH0004__bin.14	NielsenHB_2014__MH0129__bin.37	ChengpingW_2017__AS78raw__bin.58	NielsenHB_2014__MH0125__bin.30
ZeeviD_2015__PNP_Main_586__bin.39	1.0	0.9712795612135082	0.9807951103091622	0.9713832721152085	0.9790519542701243	0.9781472815283203	0.9732838128481593	0.9791356642161567	0.9789101941747573	0.9729742232248355	0.9721930225723586	0.9741503044829364	0.9796646666239043	0.9732732996003938	0.982116587383385	0.9718079593963421	0.9754601600588498	0.9785311416295873	0.9780511078534454	0.979022139282527	0.9719045589795564	0.9715645779769926	0.9790936358807882	0.9788774775074	0.9774322438235132	0.9776818886318202	0.9781353736168013	0.9715471198749704	0.9716169116532808	0.9794765894501293	0.9719449133611269	0.9722139492704248	0.978286665062884	0.9816046329072678	0.9704298124452473	0.9793029162013104
YuJ_2015__SZAXPI015261-75__bin.23	0.9712795612135082	1.0	0.9728263129968125	0.9720625748875749	0.9717540724508567	0.9709118610621392	0.9711424965340518	0.9712411314507934	0.9715478853213065	0.9735940056054453	0.9727939729597032	0.971645442337569	0.9709301873718734	0.9724000791305671	0.9709160918202494	0.9831181661671342	0.982071080427005	0.9713631100812108	0.9695987563354658	0.971289460430329	0.972534115062778	0.9722792355246428	0.9703336645867557	0.9713825521262487	0.9720055424984917	0.9697869389870325	0.9706978615056625	0.9741798469873183	0.9772521206026699	0.9707798553651704	0.9786565514888079	0.9799725982886528	0.9711982328193962	0.9738135393055896	0.9741221252261779	0.9712755124149586
NielsenHB_2014__MH0093__bin.7	0.9807951103091622	0.9728263129968125	1.0	0.9736682484488595	0.9998499886172267	0.9804765194816071	0.9741166485646979	0.9802787141962895	0.9814877186367733	0.9742971140370922	0.9737483588775073	0.9754732529205027	0.9793775145141338	0.9725402957578805	0.9799287260073383	0.9736437152710267	0.9752017666638979	0.9812930805549093	0.9784354824515789	0.9805486684948314	0.9737268418461122	0.9735624852686716	0.9779478433780592	0.9802678308773597	0.9772036007045322	0.9798421087353305	0.9797053257219726	0.9749828835440668	0.972946618857304	0.9805727652397649	0.9744091502078214	0.9736266205726992	0.9812701931002343	0.981652897442945	0.9727850185920155	0.9802536591649536
CosteaPI_2017__halbarad-11-0-0__bin.28	0.9713832721152085	0.9720625748875749	0.9736682484488595	1.0	0.9722035499961031	0.9720211452196281	0.9710409172387899	0.971597484562326	0.9720252381476875	0.9995368554645326	0.9997267907092227	0.9712780914433442	0.9727771590768477	0.969950126708824	0.9719125500667557	0.973839323809419	0.9763495411531203	0.9732308532245861	0.9702037465979968	0.9725240511341323	0.9996665515386745	0.9996424656003398	0.9717215307267788	0.9721161076334303	0.9739770635707207	0.9721023057269123	0.9727643533808961	0.9727373564594	0.9739912586142261	0.9712880821887412	0.9734470585655711	0.9736343999712062	0.9727278981651275	0.974036715709191	0.9727498032429728	0.9720277134227396
LeChatelierE_2013__MH0093__bin.3	0.9790519542701243	0.9717540724508567	0.9998499886172267	0.9722035499961031	1.0	0.9786317585280958	0.9736556706606986	0.97912856061915	0.9801530420494174	0.9735968301469474	0.9728879806070948	0.9745694666347252	0.9783655751347353	0.971683432947176	0.9786165800691133	0.9722755538996334	0.9748103555371034	0.9795364919313926	0.9769388786332946	0.978451758025054	0.9724476644547904	0.9721388876619927	0.9769831774367879	0.9788557470596477	0.9768404185505333	0.9798066503548206	0.9783380860579676	0.9731772296686338	0.9728696543675767	0.9786195074567168	0.9729501813988274	0.9721845187176525	0.9798386017906803	0.9812037324499071	0.9720784585856288	0.9788902469271543
XieH_2016__YSZC12003_37348__bin.16	0.9781472815283203	0.9709118610621392	0.9804765194816071	0.9720211452196281	0.9786317585280958	1.0	0.9728523090142982	0.9785681419597824	0.9786745858978868	0.9723940938474522	0.9717505628149083	0.973161919868485	0.9773522247062694	0.970826174813285	0.9770921522143886	0.9704465183959147	0.9751345880951507	0.9785636079805514	0.9767870385071872	0.9780876482613604	0.9720526030015666	0.9717436291833692	0.977297983136162	0.9781976262618166	0.9765317277451689	0.9786029717038697	0.9773024036632156	0.9708382953950125	0.9721299374044584	0.9774079445329678	0.9718594952588692	0.970385613862291	0.9784714367058397	0.9810525767453788	0.9707795201939249	0.978480309821817
ZeeviD_2015__PNP_Main_506__bin.26	0.9732838128481593	0.9711424965340518	0.9741166485646979	0.9710409172387899	0.9736556706606986	0.9728523090142982	1.0	0.9736938134991836	0.9736866891323949	0.9712664426906729	0.970513741037888	0.9768057819082379	0.9756141813406526	0.9770042060798614	0.9735490263090915	0.9717544322872728	0.9741002597431141	0.973553226236238	0.974059503041588	0.9736824251496679	0.9708356932283844	0.9702732147226681	0.9739994988221151	0.973720151643951	0.9840904853644895	0.9731282384117833	0.9732925048872892	0.9717851929272949	0.9724568534965341	0.9732281905930733	0.9718176294266152	0.9706607045944053	0.973092286821667	0.9765516735711405	0.9707449799673328	0.9739738726084948
LeChatelierE_2013__MH0129__bin.41	0.9791356642161567	0.9712411314507934	0.9802787141962895	0.971597484562326	0.97912856061915	0.9785681419597824	0.9736938134991836	1.0	0.9795015829459489	0.9736300547809907	0.9731601909975072	0.9747869110298448	0.9808750076678421	0.9726584260947929	0.9789721301583693	0.9715730355929502	0.9737005155172269	0.9793108634455349	0.9773915791348291	0.9799717855466534	0.9720938114623455	0.971975832525302	0.9789371967842947	0.9780331203031245	0.9760581636817862	0.9784788286721632	0.9783339851867086	0.9717358534974698	0.9720693598407188	0.9790588159743321	0.9719676037021204	0.9710347426680063	0.979239407825001	0.9996754462379045	0.9716355178223024	0.9782496437349416
LeChatelierE_2013__MH0288__bin.80	0.9789101941747573	0.9715478853213065	0.9814877186367733	0.9720252381476875	0.9801530420494174	0.9786745858978868	0.9736866891323949	0.9795015829459489	1.0	0.9731398181186923	0.9724114370209312	0.9741643077582806	0.978965535547324	0.9721114287613856	0.9785888909771452	0.9719819051522899	0.9744409652073217	0.9807050544400528	0.9776003550575417	0.9796328938846489	0.9724957831219154	0.9721823796946208	0.979552363468314	0.9788231182639123	0.9769226322095559	0.9788556146517778	0.9786143107888039	0.9725068735503204	0.9728482446043744	0.9781943940557579	0.9707519966842009	0.9713377217250377	0.9807218839457486	0.9824082644617811	0.9704872066194863	0.9792032087291234
CosteaPI_2017__halbarad-11-773-0__bin.26	0.9729742232248355	0.9735940056054453	0.9742971140370922	0.9995368554645326	0.9735968301469474	0.9723940938474522	0.9712664426906729	0.9736300547809907	0.9731398181186923	1.0	0.9998048227100659	0.972528323982444	0.9734326536533549	0.9706839341340125	0.9726779075113284	0.9749030549691038	0.9765198667415274	0.9734093679960705	0.9706756918852808	0.9736566671047125	0.9997717523227392	0.999795637086066	0.9726027067611274	0.9733243805002237	0.9741279908164351	0.973133086748344	0.9741716476824179	0.9745533535194657	0.9746748663933016	0.9726719996146419	0.9738937225752715	0.9742286235121403	0.9734161791944436	0.9762659629909423	0.9742225885536324	0.9731341459659603
