	ZeeviD_2015__PNP_Main_586__bin.39	YuJ_2015__SZAXPI015261-75__bin.23	NielsenHB_2014__MH0093__bin.7	CosteaPI_2017__halbarad-11-0-0__bin.28	LeChatelierE_2013__MH0093__bin.3	XieH_2016__YSZC12003_37348__bin.16	ZeeviD_2015__PNP_Main_506__bin.26	LeChatelierE_2013__MH0129__bin.41	LeChatelierE_2013__MH0288__bin.80	CosteaPI_2017__halbarad-11-773-0__bin.26	ZellerG_2014__MMPU68403337ST__bin.53	ZeeviD_2015__PNP_Main_304__bin.37	XieH_2016__YSZC12003_37204__bin.17	LeChatelierE_2013__MH0440__bin.73	NielsenHB_2014__V1_UC50_1__bin.69	QinJ_2012__T2D-099__bin.75	ZeeviD_2015__PNP_Main_226__bin.34	NielsenHB_2014__MH0004__bin.10	ZeeviD_2015__PNP_Main_261__bin.11	LeChatelierE_2013__MH0438__bin.46	CosteaPI_2017__halbarad-11-392-0__bin.44	CosteaPI_2017__halbarad-11-7-0__bin.2	ZeeviD_2015__PNP_Main_22__bin.34	LeChatelierE_2013__MH0125__bin.9	SchirmerM_2016__G88802__bin.17	ZellerG_2014__CCIS38765456ST-20-0__bin.4	XieH_2016__YSZC12003_35551__bin.42	NielsenHB_2014__V1_CD19_0__bin.21	NielsenHB_2014__O2_UC55_2__bin.28	ZeeviD_2015__PNP_Validation_7__bin.62	VogtmannE_2016__MMRS79893829ST-27-0-0__bin.10	LiJ_2014__V1.FI02__bin.5	LeChatelierE_2013__MH0004__bin.14	NielsenHB_2014__MH0129__bin.37	ChengpingW_2017__AS78raw__bin.58	NielsenHB_2014__MH0125__bin.30
ZeeviD_2015__PNP_Main_586__bin.39	1.0	0.7771313677396808	0.4865608968780325	0.7281060863327534	0.5906233001223146	0.6152602650046511	0.6557027500848981	0.5542331020449454	0.8242406943352114	0.6734303561496018	0.6524018579822765	0.6905182887679405	0.5566347726894181	0.5596437584323299	0.8779736044440616	0.6918334001504833	0.5456121569291315	0.8230052866728228	0.7265205272843887	0.7798211979877877	0.7947063786478502	0.8276294648985157	0.7566076597999981	0.8432360664102296	0.5631854647663574	0.7412687810405968	0.8349349580175982	0.6036722296911344	0.5459789984103536	0.8211921973464111	0.7691548646688736	0.6682455269693205	0.8615539568639379	0.47405831246787583	0.7799046484640173	0.7141058213349147
YuJ_2015__SZAXPI015261-75__bin.23	0.7049518380336631	1.0	0.4769834464965742	0.6803024895912992	0.5146349037146896	0.5162663082520335	0.5651132791076712	0.46099784487752876	0.7368121181223399	0.6574028843108629	0.6293269683838125	0.6496778130527813	0.5017925366332198	0.5270088599479372	0.760399817702902	0.7286977344178466	0.5646022292772229	0.7351467259904679	0.5997166670528894	0.6840559559397184	0.760586749472806	0.7815941726724291	0.66523609791517	0.7649325269004086	0.5336284074494627	0.6637792660224472	0.7501145536424659	0.5615451996384956	0.5098577928147136	0.7182128704840914	0.7620985794730377	0.6970367452243568	0.7582885701264493	0.43567307023845386	0.7508662974377989	0.6648455495562301
NielsenHB_2014__MH0093__bin.7	0.6306132944850953	0.6814974229933008	1.0	0.5938416713571499	0.585534328819433	0.45482060280987535	0.4945212947941154	0.41617764239755434	0.753860212561666	0.638065092871569	0.6122742773896633	0.6370232537606639	0.5763317109779381	0.5737765564127183	0.7220262887792603	0.6720422916045867	0.627148296526835	0.7373236654195499	0.5399088390777957	0.7112829851339272	0.6861861404496242	0.694729221159046	0.6756525289982231	0.7487684446357425	0.645621958083634	0.649120065335673	0.7561964043306957	0.4369146552770696	0.5268156584886711	0.6924852939553465	0.6238541425244732	0.6579540663730976	0.7473451864605062	0.5723351984902162	0.6310441567614695	0.7256259311988874
CosteaPI_2017__halbarad-11-0-0__bin.28	0.7610972964581794	0.7839395402426537	0.4789501006190959	1.0	0.5685071487268444	0.5672182558502207	0.5957942926968909	0.5180284781237138	0.7949624227198345	0.8075942850062593	0.7712866711386265	0.6712486452382885	0.5486140485050979	0.5541000323291362	0.808670973420323	0.7240786552218677	0.5417291530478401	0.7895576177841582	0.6426202693714903	0.7468101681542342	0.9542720746048226	0.9905084789212607	0.7185086441274195	0.8018480302726043	0.56334445626523	0.7240601407385571	0.7916469060162101	0.5932578084833362	0.5392998392088334	0.7792646332067228	0.7745477125355871	0.7031003214399141	0.8155259608660791	0.45325876269132226	0.7974020619437644	0.6925406570932546
LeChatelierE_2013__MH0093__bin.3	0.826275739588014	0.7936858818422285	0.6320346217204407	0.760860148853956	1.0	0.6448238250196443	0.6725112898468335	0.626484167529557	0.8550005789665043	0.6678619267338141	0.6433437674374942	0.7385830426190825	0.5646991494672318	0.5647529957347085	0.8494806217766695	0.7311751304580697	0.5773201427450255	0.8280569550555212	0.7333404175325352	0.7681703753084843	0.7938626691451833	0.8180687106963943	0.7572162337442646	0.8589242087576904	0.578081614739963	0.8001069301099274	0.8427541269828412	0.650301848833037	0.5950693973554335	0.8161197617231187	0.7823419504833536	0.668273636247973	0.8550825396568229	0.4849399614117634	0.7983471578462826	0.7297003145479749
XieH_2016__YSZC12003_37348__bin.16	0.7803887328057083	0.721873165218571	0.4451089560447394	0.6882667739255498	0.5846268699919512	1.0	0.7151010801205712	0.5751800812995836	0.79460427909372	0.6187452179574527	0.5639308594953274	0.6843854078955384	0.5057946150798674	0.4711716549679887	0.8064605043788496	0.6413754310048737	0.49371157354743633	0.7726510585406253	0.6936969709014196	0.7377204923943111	0.7417323317703893	0.7767877548604561	0.69948877778013	0.7908374012647273	0.5017054421642331	0.6894159762452103	0.7867236025851004	0.647694315639218	0.48986693014794036	0.7785966684365535	0.7430163277455891	0.6146335794325618	0.8262928850119391	0.4230974113137672	0.7640484583191663	0.6684672276444507
ZeeviD_2015__PNP_Main_506__bin.26	0.762904272170397	0.7248256372231784	0.4439377949226637	0.6631531891773216	0.559304348101775	0.6559615048521181	1.0	0.5350685264834458	0.7579239505241286	0.5927858850067629	0.5544183462256834	0.6546287427214266	0.4837363786201652	0.5147683756114437	0.8049098592297245	0.6577991551643443	0.4917927929391744	0.731193806916334	0.683307104775394	0.7052633998472655	0.7221058196487103	0.7574313476908102	0.6608150100006697	0.7662569833287824	0.5459628562404218	0.6797625836642122	0.7698894833852554	0.6687743304386147	0.510823193627788	0.779384868651794	0.757423421659703	0.6102754652481185	0.7794676956768651	0.42225772203488166	0.7456921030177968	0.6174937017775314
LeChatelierE_2013__MH0129__bin.41	0.8453915050300327	0.7751741924489502	0.48979939617787144	0.7559159969221801	0.6830635218593274	0.6916989784069425	0.7014743297662696	1.0	0.8505012887461625	0.6617120555046685	0.6380782017717728	0.7180646311006325	0.5483055105133735	0.5433723741244917	0.8724434845451773	0.7220942683657368	0.5429640070679713	0.8254542563952827	0.7584810200240136	0.7799286033067341	0.8016967495333134	0.8317236778596995	0.7658285097356057	0.8534554555189041	0.5653208045350564	0.7454579555981355	0.8304528562054387	0.6735385940639225	0.5458750511108259	0.8396239697953852	0.8280857820203155	0.6773661260046168	0.8620327223587197	0.5521023889472807	0.8186450214808346	0.7125906421597942
LeChatelierE_2013__MH0288__bin.80	0.7516510058858776	0.7407197798596695	0.5304287971582292	0.6935268393095486	0.5573322490736631	0.5712957161906826	0.5940524339776251	0.508477508704259	1.0	0.6625440571087603	0.6356899932627219	0.66329481788693	0.5613429330487255	0.5677115090664382	0.8232214626261221	0.695300461172746	0.5475878897968908	0.820898980897378	0.6362978703181119	0.7695742158246208	0.7543101962135191	0.7836094354198188	0.7176434373972053	0.8143067607918367	0.5721210249981286	0.6979453631281098	0.8156930435195865	0.5620915195093745	0.5269107514099673	0.7738495453036139	0.7449634264262203	0.6761599440392793	0.8501519382021686	0.49022535558633423	0.7452485726382019	0.7052411302599458
CosteaPI_2017__halbarad-11-773-0__bin.26	0.7011434373194705	0.754537417313307	0.512570079554413	0.804381184546166	0.4970343967422161	0.5078949766847729	0.530455548577202	0.45166642965482684	0.7564265376187438	1.0	0.910124046441081	0.6832576136654999	0.575857205626862	0.630332456094	0.7675506085293764	0.7342925870380176	0.5760891344197578	0.7653316812248677	0.5997816890444853	0.7409536245257251	0.9444413512724698	0.9837146268694826	0.7166511042683054	0.7644053845780119	0.6072853302201444	0.6488225712817541	0.7658242639363848	0.5189949326750433	0.5646930613926863	0.7447357660795983	0.7111387171784409	0.7311916919843778	0.7658058231149313	0.461044651257469	0.7528089449332247	0.7173022071180862
