	ZeeviD_2015__PNP_Main_586__bin.39	YuJ_2015__SZAXPI015261-75__bin.23	NielsenHB_2014__MH0093__bin.7	CosteaPI_2017__halbarad-11-0-0__bin.28	LeChatelierE_2013__MH0093__bin.3	XieH_2016__YSZC12003_37348__bin.16	ZeeviD_2015__PNP_Main_506__bin.26	LeChatelierE_2013__MH0129__bin.41	LeChatelierE_2013__MH0288__bin.80	CosteaPI_2017__halbarad-11-773-0__bin.26	ZellerG_2014__MMPU68403337ST__bin.53	ZeeviD_2015__PNP_Main_304__bin.37	XieH_2016__YSZC12003_37204__bin.17	LeChatelierE_2013__MH0440__bin.73	NielsenHB_2014__V1_UC50_1__bin.69	QinJ_2012__T2D-099__bin.75	ZeeviD_2015__PNP_Main_226__bin.34	NielsenHB_2014__MH0004__bin.10	ZeeviD_2015__PNP_Main_261__bin.11	LeChatelierE_2013__MH0438__bin.46	CosteaPI_2017__halbarad-11-392-0__bin.44	CosteaPI_2017__halbarad-11-7-0__bin.2	ZeeviD_2015__PNP_Main_22__bin.34	LeChatelierE_2013__MH0125__bin.9	SchirmerM_2016__G88802__bin.17	ZellerG_2014__CCIS38765456ST-20-0__bin.4	XieH_2016__YSZC12003_35551__bin.42	NielsenHB_2014__V1_CD19_0__bin.21	NielsenHB_2014__O2_UC55_2__bin.28	ZeeviD_2015__PNP_Validation_7__bin.62	VogtmannE_2016__MMRS79893829ST-27-0-0__bin.10	LiJ_2014__V1.FI02__bin.5	LeChatelierE_2013__MH0004__bin.14	NielsenHB_2014__MH0129__bin.37	ChengpingW_2017__AS78raw__bin.58	NielsenHB_2014__MH0125__bin.30
ZeeviD_2015__PNP_Main_586__bin.39	2935873.0	2349024.0	1456452.0	2200601.0	1771096.0	1846681.0	1977902.0	1661831.0	2472000.0	2032023.0	1970153.0	2081069.0	1668131.0	1688162.0	2624555.0	2090058.0	1642146.0	2469251.0	2180839.0	2338513.0	2400603.0	2500930.0	2268735.0	2529054.0	1691617.0	2225950.0	2506057.0	1824209.0	1649750.0	2461433.0	2323322.0	2017955.0	2585554.0	1417857.0	2359471.0	2140833.0
YuJ_2015__SZAXPI015261-75__bin.23	2349024.0	3236475.0	1586866.0	2265062.0	1714017.0	1720942.0	1883323.0	1536187.0	2454510.0	2185375.0	2093764.0	2164026.0	1672663.0	1754063.0	2534735.0	2398910.0	1860681.0	2449428.0	2001826.0	2279372.0	2531140.0	2601732.0	2218845.0	2548620.0	1776816.0	2215234.0	2501012.0	1865597.0	1688553.0	2394444.0	2520305.0	2302046.0	2526963.0	1447962.0	2494718.0	2215392.0
NielsenHB_2014__MH0093__bin.7	1456452.0	1586866.0	2265225.0	1381564.0	1326566.0	1050786.0	1149967.0	961702.0	1739872.0	1483491.0	1424330.0	1479283.0	1333011.0	1336431.0	1669052.0	1563536.0	1456757.0	1702044.0	1249970.0	1643178.0	1596306.0	1616453.0	1565017.0	1730271.0	1496596.0	1500653.0	1748439.0	1015105.0	1226538.0	1599713.0	1450284.0	1530786.0	1725218.0	1320699.0	1469448.0	1676817.0
CosteaPI_2017__halbarad-11-0-0__bin.28	2200601.0	2265062.0	1381564.0	2808612.0	1642368.0	1638952.0	1723259.0	1497473.0	2296999.0	2269270.0	2166837.0	1941027.0	1583964.0	1604466.0	2336880.0	2088287.0	1558363.0	2278556.0	1860301.0	2156759.0	2681074.0	2782949.0	2076739.0	2316678.0	1624490.0	2091965.0	2285681.0	1712930.0	1555131.0	2253350.0	2234743.0	2028211.0	2354714.0	1306961.0	2302332.0	2001052.0
LeChatelierE_2013__MH0093__bin.3	1771096.0	1714017.0	1326566.0	1642368.0	2098567.0	1382753.0	1449496.0	1342744.0	1830608.0	1439562.0	1387724.0	1590411.0	1211264.0	1219710.0	1821645.0	1578174.0	1242852.0	1774036.0	1575292.0	1647559.0	1713176.0	1765974.0	1626506.0	1841446.0	1241905.0	1713683.0	1807735.0	1402316.0	1283618.0	1750100.0	1687442.0	1442542.0	1831371.0	1037174.0	1723508.0	1564348.0
XieH_2016__YSZC12003_37348__bin.16	1846681.0	1720942.0	1050786.0	1638952.0	1382753.0	2314649.0	1701397.0	1360498.0	1879307.0	1472837.0	1343248.0	1627799.0	1197866.0	1123370.0	1910437.0	1529769.0	1171909.0	1827593.0	1643823.0	1745819.0	1766211.0	1850273.0	1656681.0	1871310.0	1189180.0	1630647.0	1863281.0	1544217.0	1166377.0	1843834.0	1769620.0	1466078.0	1954659.0	998236.0	1821736.0	1581296.0
ZeeviD_2015__PNP_Main_506__bin.26	1977902.0	1883323.0	1149967.0	1723259.0	1449496.0	1701397.0	2523331.0	1386632.0	1964177.0	1540046.0	1441485.0	1691068.0	1251137.0	1329504.0	2086237.0	1708091.0	1273951.0	1895165.0	1770128.0	1827714.0	1876849.0	1969806.0	1711967.0	1985704.0	1399917.0	1762631.0	1995994.0	1736535.0	1325484.0	2020745.0	1966655.0	1586473.0	2021242.0	1091080.0	1938334.0	1599777.0
LeChatelierE_2013__MH0129__bin.41	1661831.0	1536187.0	961702.0	1497473.0	1342744.0	1360498.0	1386632.0	1924739.0	1671251.0	1308118.0	1262006.0	1417835.0	1075922.0	1075249.0	1715295.0	1430508.0	1073291.0	1622349.0	1493647.0	1531839.0	1587354.0	1647007.0	1505735.0	1679574.0	1114785.0	1466370.0	1633803.0	1334093.0	1080856.0	1650623.0	1639817.0	1342643.0	1694364.0	1062998.0	1621676.0	1402046.0
LeChatelierE_2013__MH0288__bin.80	2472000.0	2454510.0	1739872.0	2296999.0	1830608.0	1879307.0	1964177.0	1671251.0	3219401.0	2191869.0	2104604.0	2192045.0	1846018.0	1880125.0	2708267.0	2302976.0	1809145.0	2694799.0	2095435.0	2529078.0	2497108.0	2594938.0	2358610.0	2678298.0	1885397.0	2295503.0	2683430.0	1860756.0	1743681.0	2546868.0	2470596.0	2241064.0	2790781.0	1606493.0	2472216.0	2318675.0
CosteaPI_2017__halbarad-11-773-0__bin.26	2032023.0	2185375.0	1483491.0	2269270.0	1439562.0	1472837.0	1540046.0	1308118.0	2191869.0	2819831.0	2566897.0	1981095.0	1668138.0	1831112.0	2225159.0	2123884.0	1663534.0	2217059.0	1742377.0	2145894.0	2663773.0	2774476.0	2077760.0	2214569.0	1757923.0	1880082.0	2216750.0	1501691.0	1633713.0	2159031.0	2059045.0	2116379.0	2218417.0	1331674.0	2178962.0	2078512.0
ZellerG_2014__MMPU68403337ST__bin.53	1970153.0	2093764.0	1424330.0	2166837.0	1387724.0	1343248.0	1441485.0	1262006.0	2104604.0	2566897.0	2748935.0	1835702.0	1617198.0	1827669.0	2140264.0	1992320.0	1603356.0	2120062.0	1673672.0	2010326.0	2583248.0	2690059.0	2002672.0	2139387.0	1686886.0	1798972.0	2152758.0	1434158.0	1611299.0	2062969.0	1956160.0	1995936.0	2126000.0	1258525.0	2080788.0	1936186.0
ZeeviD_2015__PNP_Main_304__bin.37	2081069.0	2164026.0	1479283.0	1941027.0	1590411.0	1627799.0	1691068.0	1417835.0	2192045.0	1981095.0	1835702.0	2906345.0	1580398.0	1738883.0	2269129.0	2042740.0	1623835.0	2160679.0	1861870.0	2155867.0	2151715.0	2212189.0	2023776.0	2298951.0	1781943.0	2018602.0	2275945.0	1532555.0	1483995.0	2179308.0	2092721.0	1957603.0	2259613.0	1303589.0	2168519.0	2079925.0
