	CosteaPI_2017__SID713B044-11-0-0__bin.24	LiSS_2016__FAT_012-22-42-0__bin.61	CosteaPI_2017__SID713B044-11-90-0__bin.37	ZellerG_2014__CCIS87116798ST-4-0__bin.33	HeQ_2017__SZAXPI029579-97__bin.42	XieH_2016__YSZC12003_35980__bin.62	LiJ_2014__MH0369__bin.54	VogtmannE_2016__MMRS51410669ST-27-0-0__bin.61	XieH_2016__YSZC12003_37282__bin.25	HeQ_2017__SZAXPI029580-98__bin.5	QinJ_2012__T2D-085__bin.36	VogtmannE_2016__MMRS65862658ST-27-0-0__bin.2	ChengpingW_2017__AS22raw__bin.17	CosteaPI_2017__SID713B055-11-0-0__bin.60	VogtmannE_2016__MMRS55294627ST-27-0-0__bin.13	ZellerG_2014__CCIS90166425ST-4-0__bin.54	XieH_2016__YSZC12003_37277__bin.50	LiJ_2014__MH0262__bin.36	LiJ_2014__V1.FI32__bin.96	YuJ_2015__SZAXPI003409-8__bin.49	LeChatelierE_2013__MH0204__bin.21	RaymondF_2016__P19E90__bin.11	CosteaPI_2017__SID713B051-11-0-0__bin.31	LeChatelierE_2013__MH0211__bin.19	HeQ_2017__SZAXPI029577-94__bin.39	RaymondF_2016__P19E7__bin.14	FengQ_2015__SID531382__bin.15	CosteaPI_2017__SID713B051-11-90-0__bin.3	LeChatelierE_2013__MH0430__bin.3	RaymondF_2016__P19E0__bin.55	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.26
CosteaPI_2017__SID713B044-11-0-0__bin.24	1.0	0.9929072668357168	0.9996036217115427	0.993510124899709	0.99375515008565	0.9929001858648271	0.9933080497471641	0.9925920317493367	0.9931060101271583	0.9931720817501434	0.9952451962622321	0.9921469764262572	0.9938178515921793	0.9925843611022827	0.9923335187217643	0.9935239663826774	0.9925991957849523	0.9926495681506143	0.9935766159879743	0.9938677443533159	0.9924964180367664	0.9934500417983334	0.9936508514912648	0.9929976545679341	0.9932623527658879	0.9931274706962117	0.9929273543581916	0.9931768431716312	0.9942124288849126	0.9934765566671644	0.9948192532578833
LiSS_2016__FAT_012-22-42-0__bin.61	0.9929072668357168	1.0	0.992769390694306	0.9935679136595518	0.9928271780035673	0.9925744745286438	0.9924873496138303	0.9921771403825542	0.9930354057515235	0.992365000041854	0.9936921305319146	0.991965457450787	0.9933984739561746	0.9923262808494641	0.9913940837244052	0.9929767457467871	0.9927973442271588	0.9928752281693458	0.9930981349380885	0.9924176039464527	0.9920817013577022	0.9931239894050836	0.9933444740120804	0.9921801731209521	0.9925241564958749	0.993137183388215	0.9927666338055278	0.9930317710426158	0.993440148834179	0.9934820581332086	0.9942845718562106
CosteaPI_2017__SID713B044-11-90-0__bin.37	0.9996036217115427	0.992769390694306	1.0	0.9940153138274639	0.9938056644265184	0.9930118598534133	0.9937069721103194	0.9925209372401336	0.9933100858268411	0.9931698955280642	0.9952487640171528	0.9923713779338618	0.9937833051992921	0.9929369195954033	0.9924094131206289	0.9938194238890146	0.9928013301507603	0.9929676673092812	0.9936477212884314	0.9940795848917972	0.9923571407596876	0.9936188950646828	0.9936769873619271	0.9930386551911855	0.9933186550005514	0.993235400072049	0.9930215764794916	0.9932519698971533	0.994248643380356	0.9935854810182387	0.9950195251235749
ZellerG_2014__CCIS87116798ST-4-0__bin.33	0.993510124899709	0.9935679136595518	0.9940153138274639	1.0	0.9942339148722487	0.9939275152707671	0.9936078710164389	0.9931191200829002	0.9935701050391167	0.9939948470845262	0.9939727726792507	0.9929299617797062	0.994374970540567	0.9935273551457724	0.9927683329104289	0.9942366420825332	0.9936282673688945	0.9936373263695075	0.9936913916964161	0.9940326018808777	0.9927355387500854	0.9941542860235103	0.9944543812689062	0.9933769495013914	0.9940664544576113	0.9941189807199051	0.9942211422105798	0.994113539416311	0.9945461328913745	0.9945496565593526	0.994872746818543
HeQ_2017__SZAXPI029579-97__bin.42	0.99375515008565	0.9928271780035673	0.9938056644265184	0.9942339148722487	1.0	0.9930706698574139	0.9933556722398784	0.9923295632365298	0.9929939405505988	0.998777273424994	0.9945325314379442	0.9925705585597961	0.9935744267733161	0.9933617129542006	0.9925547833241709	0.993029188814729	0.9932979521828275	0.9929945464308718	0.993054496440687	0.993729332142624	0.9927756456995694	0.9930084215834092	0.9937577632595004	0.9927894387431309	0.9990120697267195	0.9927693531364729	0.9930923576977142	0.993378969751902	0.9942426431321434	0.9932114713963787	0.9946527153625284
XieH_2016__YSZC12003_35980__bin.62	0.9929001858648271	0.9925744745286438	0.9930118598534133	0.9939275152707671	0.9930706698574139	1.0	0.9925278286211989	0.9921818567280972	0.9929962684525359	0.9926018221736935	0.9940003323808101	0.991798258342844	0.9936564139204582	0.992650337767177	0.9917208671779537	0.9931414287309269	0.9928995160631171	0.9927945369058805	0.9930946940400665	0.9931145530478228	0.9917436689732828	0.9930221294010078	0.9933693825005178	0.9924397564583767	0.992858972747518	0.9929455509403782	0.9931229435728155	0.9928792822185971	0.9938534275349649	0.9938720569957883	0.9946127777916552
LiJ_2014__MH0369__bin.54	0.9933080497471641	0.9924873496138303	0.9937069721103194	0.9936078710164389	0.9933556722398784	0.9925278286211989	1.0	0.9922752944218712	0.992891313744792	0.99266729071698	0.993701925147165	0.9923632816962895	0.9936780525336253	0.9927379624981676	0.9917456963226158	0.9931085353474708	0.9929972311227662	0.9935618922104992	0.9929282253528003	0.9932305808128186	0.9924864490401972	0.9934707880011896	0.9934655633805741	0.9928613970581328	0.9930145484703459	0.9932690336540018	0.993182080813528	0.9933018310234645	0.9932832215696714	0.9935075557905695	0.9939713255952781
VogtmannE_2016__MMRS51410669ST-27-0-0__bin.61	0.9925920317493367	0.9921771403825542	0.9925209372401336	0.9931191200829002	0.9923295632365298	0.9921818567280972	0.9922752944218712	1.0	0.9924196358506483	0.9919172624782819	0.9935535981629372	0.9916305117080526	0.9934727959097516	0.9920436235468736	0.9914623068236994	0.9922559029402976	0.995901884885892	0.992135188233017	0.9927840243512832	0.9924627816546998	0.9912502972393179	0.9960796559096408	0.9966216174975189	0.9916854375087051	0.9921206553910934	0.99605185565508	0.9926338698993807	0.9962413485129586	0.9934513519120393	0.9963444178836697	0.9940910367401202
XieH_2016__YSZC12003_37282__bin.25	0.9931060101271583	0.9930354057515235	0.9933100858268411	0.9935701050391167	0.9929939405505988	0.9929962684525359	0.992891313744792	0.9924196358506483	1.0	0.992437024248607	0.9943175708594467	0.9920773819108433	0.9937999656403486	0.9925350224415646	0.99161575263065	0.9933700215685226	0.9929273224726366	0.9929228295910519	0.9930014350369798	0.9930678363420372	0.9921601300821749	0.9935599129304515	0.9934795757565347	0.9923318113457026	0.9926062554118988	0.9929570570607705	0.9931816217666386	0.9930902588988885	0.9940391566148125	0.99378113322526	0.994796678695536
HeQ_2017__SZAXPI029580-98__bin.5	0.9931720817501434	0.992365000041854	0.9931698955280642	0.9939948470845262	0.998777273424994	0.9926018221736935	0.99266729071698	0.9919172624782819	0.992437024248607	1.0	0.9940592183523359	0.992125663105632	0.9933869954914243	0.9927775738514876	0.9918249609700599	0.9924479213893708	0.9927260153042393	0.9926465420588079	0.9926928994636133	0.9930802637958906	0.9921250141903258	0.9929105803054261	0.9931453039466729	0.992420942460191	0.9984161623573845	0.9928090851866938	0.9928318093831185	0.9929784415738254	0.9936886240084498	0.9932055715525674	0.9940534287830755
