	CosteaPI_2017__SID713B044-11-0-0__bin.24	LiSS_2016__FAT_012-22-42-0__bin.61	CosteaPI_2017__SID713B044-11-90-0__bin.37	ZellerG_2014__CCIS87116798ST-4-0__bin.33	HeQ_2017__SZAXPI029579-97__bin.42	XieH_2016__YSZC12003_35980__bin.62	LiJ_2014__MH0369__bin.54	VogtmannE_2016__MMRS51410669ST-27-0-0__bin.61	XieH_2016__YSZC12003_37282__bin.25	HeQ_2017__SZAXPI029580-98__bin.5	QinJ_2012__T2D-085__bin.36	VogtmannE_2016__MMRS65862658ST-27-0-0__bin.2	ChengpingW_2017__AS22raw__bin.17	CosteaPI_2017__SID713B055-11-0-0__bin.60	VogtmannE_2016__MMRS55294627ST-27-0-0__bin.13	ZellerG_2014__CCIS90166425ST-4-0__bin.54	XieH_2016__YSZC12003_37277__bin.50	LiJ_2014__MH0262__bin.36	LiJ_2014__V1.FI32__bin.96	YuJ_2015__SZAXPI003409-8__bin.49	LeChatelierE_2013__MH0204__bin.21	RaymondF_2016__P19E90__bin.11	CosteaPI_2017__SID713B051-11-0-0__bin.31	LeChatelierE_2013__MH0211__bin.19	HeQ_2017__SZAXPI029577-94__bin.39	RaymondF_2016__P19E7__bin.14	FengQ_2015__SID531382__bin.15	CosteaPI_2017__SID713B051-11-90-0__bin.3	LeChatelierE_2013__MH0430__bin.3	RaymondF_2016__P19E0__bin.55	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.26
CosteaPI_2017__SID713B044-11-0-0__bin.24	2676891.0	1220545.0	2563208.0	1670140.0	2231759.0	2159634.0	1463400.0	1584915.0	2153615.0	2163617.0	1767686.0	1158662.0	1820241.0	1324633.0	1418643.0	2115338.0	2231244.0	2279730.0	1230037.0	2220064.0	1604567.0	2039555.0	2305191.0	1413812.0	2221547.0	1915452.0	2011270.0	1909087.0	1382618.0	1928736.0	1242678.0
LiSS_2016__FAT_012-22-42-0__bin.61	1220545.0	1297314.0	1217878.0	952879.0	1204268.0	1208534.0	863610.0	967549.0	1216582.0	1194630.0	897926.0	735325.0	1006131.0	808604.0	856620.0	1192040.0	1241070.0	1205793.0	686626.0	1219931.0	919642.0	1197933.0	1246483.0	816770.0	1203610.0	1151568.0	1106677.0	1107455.0	785841.0	1012743.0	740277.0
CosteaPI_2017__SID713B044-11-90-0__bin.37	2563208.0	1217878.0	2534429.0	1641523.0	2210568.0	2136620.0	1452401.0	1571721.0	2131268.0	2145648.0	1738495.0	1160629.0	1813343.0	1313308.0	1412539.0	2091229.0	2217493.0	2269375.0	1217201.0	2193934.0	1600579.0	2024571.0	2263478.0	1401597.0	2194618.0	1898708.0	1989991.0	1887662.0	1378979.0	1909886.0	1227393.0
ZellerG_2014__CCIS87116798ST-4-0__bin.33	1670140.0	952879.0	1641523.0	1772694.0	1609064.0	1563281.0	1139370.0	1225570.0	1542949.0	1569985.0	1292966.0	907633.0	1379015.0	1015659.0	1079834.0	1506934.0	1582772.0	1621331.0	975651.0	1595000.0	1244965.0	1459873.0	1607936.0	1103872.0	1596853.0	1380543.0	1424676.0	1436347.0	1066766.0	1333127.0	980447.0
HeQ_2017__SZAXPI029579-97__bin.42	2231759.0	1204268.0	2210568.0	1609064.0	2444656.0	2105254.0	1447400.0	1581657.0	2095900.0	2280150.0	1633297.0	1135617.0	1766535.0	1289188.0	1373365.0	2101764.0	2166502.0	2184441.0	1213015.0	2160057.0	1582702.0	2006986.0	2213149.0	1367716.0	2344295.0	1884617.0	1936406.0	1849108.0	1359478.0	1889953.0	1211643.0
XieH_2016__YSZC12003_35980__bin.62	2159634.0	1208534.0	2136620.0	1563281.0	2105254.0	2313796.0	1380054.0	1575438.0	2083318.0	2044152.0	1546419.0	1123298.0	1704714.0	1266997.0	1323327.0	1979421.0	2163092.0	2113674.0	1135214.0	2118381.0	1520409.0	1986136.0	2206431.0	1308688.0	2084434.0	1860528.0	1868532.0	1839000.0	1309673.0	1875507.0	1200990.0
LiJ_2014__MH0369__bin.54	1463400.0	863610.0	1452401.0	1139370.0	1447400.0	1380054.0	1513815.0	1090527.0	1376485.0	1411211.0	1254034.0	831509.0	1330919.0	900436.0	972947.0	1340789.0	1433433.0	1459901.0	983063.0	1433801.0	1208217.0	1301229.0	1444654.0	1064494.0	1445719.0	1204879.0	1298050.0	1294085.0	1095019.0	1210330.0	981642.0
VogtmannE_2016__MMRS51410669ST-27-0-0__bin.61	1584915.0	967549.0	1571721.0	1225570.0	1581657.0	1575438.0	1090527.0	1698656.0	1562326.0	1540196.0	1174919.0	909972.0	1305153.0	999827.0	1068907.0	1512636.0	1619037.0	1580966.0	901472.0	1576709.0	1173297.0	1546803.0	1638358.0	1041065.0	1558886.0	1468538.0	1426665.0	1434291.0	1012270.0	1366677.0	950759.0
XieH_2016__YSZC12003_37282__bin.25	2153615.0	1216582.0	2131268.0	1542949.0	2095900.0	2083318.0	1376485.0	1562326.0	2309357.0	2038880.0	1506574.0	1136493.0	1699668.0	1286675.0	1365537.0	2038619.0	2185311.0	2129806.0	1132375.0	2112039.0	1488290.0	2052612.0	2212126.0	1293265.0	2085682.0	1940808.0	1886079.0	1848405.0	1287905.0	1864166.0	1197120.0
HeQ_2017__SZAXPI029580-98__bin.5	2163617.0	1194630.0	2145648.0	1569985.0	2280150.0	2044152.0	1411211.0	1540196.0	2038880.0	2347878.0	1572857.0	1103331.0	1718281.0	1261349.0	1341278.0	2040233.0	2102424.0	2120091.0	1176390.0	2099502.0	1550352.0	1939651.0	2139701.0	1333807.0	2245811.0	1836484.0	1884576.0	1806579.0	1308431.0	1814575.0	1173113.0
