	CosteaPI_2017__SID713B044-11-0-0__bin.24	LiSS_2016__FAT_012-22-42-0__bin.61	CosteaPI_2017__SID713B044-11-90-0__bin.37	ZellerG_2014__CCIS87116798ST-4-0__bin.33	HeQ_2017__SZAXPI029579-97__bin.42	XieH_2016__YSZC12003_35980__bin.62	LiJ_2014__MH0369__bin.54	VogtmannE_2016__MMRS51410669ST-27-0-0__bin.61	XieH_2016__YSZC12003_37282__bin.25	HeQ_2017__SZAXPI029580-98__bin.5	QinJ_2012__T2D-085__bin.36	VogtmannE_2016__MMRS65862658ST-27-0-0__bin.2	ChengpingW_2017__AS22raw__bin.17	CosteaPI_2017__SID713B055-11-0-0__bin.60	VogtmannE_2016__MMRS55294627ST-27-0-0__bin.13	ZellerG_2014__CCIS90166425ST-4-0__bin.54	XieH_2016__YSZC12003_37277__bin.50	LiJ_2014__MH0262__bin.36	LiJ_2014__V1.FI32__bin.96	YuJ_2015__SZAXPI003409-8__bin.49	LeChatelierE_2013__MH0204__bin.21	RaymondF_2016__P19E90__bin.11	CosteaPI_2017__SID713B051-11-0-0__bin.31	LeChatelierE_2013__MH0211__bin.19	HeQ_2017__SZAXPI029577-94__bin.39	RaymondF_2016__P19E7__bin.14	FengQ_2015__SID531382__bin.15	CosteaPI_2017__SID713B051-11-90-0__bin.3	LeChatelierE_2013__MH0430__bin.3	RaymondF_2016__P19E0__bin.55	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.26
CosteaPI_2017__SID713B044-11-0-0__bin.24	0.0	8657.0	1016.0	10839.0	13937.0	15333.0	9793.0	11741.0	14847.0	14773.0	8405.0	9099.0	11253.0	9823.0	10876.0	13699.0	16513.0	16757.0	7901.0	13614.0	12040.0	13359.0	14636.0	9900.0	14968.0	13164.0	14225.0	13026.0	8002.0	12582.0	6438.0
LiSS_2016__FAT_012-22-42-0__bin.61	8657.0	0.0	8806.0	6129.0	8638.0	8974.0	6488.0	7569.0	8473.0	9121.0	5664.0	5908.0	6642.0	6205.0	7372.0	8372.0	8939.0	8591.0	4739.0	9250.0	7282.0	8237.0	8296.0	6387.0	8998.0	7903.0	8005.0	7717.0	5155.0	6601.0	4231.0
CosteaPI_2017__SID713B044-11-90-0__bin.37	1016.0	8806.0	0.0	9824.0	13693.0	14931.0	9140.0	11755.0	14258.0	14655.0	8260.0	8854.0	11273.0	9276.0	10722.0	12925.0	15963.0	15959.0	7732.0	12989.0	12233.0	12919.0	14312.0	9757.0	14663.0	12844.0	13887.0	12738.0	7931.0	12251.0	6113.0
ZellerG_2014__CCIS87116798ST-4-0__bin.33	10839.0	6129.0	9824.0	0.0	9278.0	9493.0	7283.0	8433.0	9921.0	9428.0	7793.0	6417.0	7757.0	6574.0	7809.0	8685.0	10085.0	10316.0	6155.0	9518.0	9044.0	8534.0	8917.0	7311.0	9475.0	8119.0	8233.0	8455.0	5818.0	7266.0	5027.0
HeQ_2017__SZAXPI029579-97__bin.42	13937.0	8638.0	13693.0	9278.0	0.0	14588.0	9617.0	12132.0	14684.0	2788.0	8930.0	8437.0	11351.0	8558.0	10225.0	14651.0	14520.0	15303.0	8425.0	13545.0	11434.0	14032.0	13815.0	9862.0	2316.0	13627.0	13376.0	12243.0	7827.0	12830.0	6479.0
XieH_2016__YSZC12003_35980__bin.62	15333.0	8974.0	14931.0	9493.0	14588.0	0.0	10312.0	12317.0	14591.0	15123.0	9278.0	9213.0	10814.0	9312.0	10956.0	13576.0	15359.0	15230.0	7839.0	14586.0	12553.0	13859.0	14630.0	9894.0	14885.0	13125.0	12850.0	13095.0	8050.0	11493.0	6470.0
LiJ_2014__MH0369__bin.54	9793.0	6488.0	9140.0	7283.0	9617.0	10312.0	0.0	8424.0	9785.0	10348.0	7898.0	6350.0	8414.0	6539.0	8031.0	9240.0	10038.0	9399.0	6952.0	9706.0	9078.0	8496.0	9440.0	7599.0	10099.0	8110.0	8850.0	8668.0	7355.0	7858.0	5918.0
VogtmannE_2016__MMRS51410669ST-27-0-0__bin.61	11741.0	7569.0	11755.0	8433.0	12132.0	12317.0	8424.0	0.0	11843.0	12449.0	7574.0	7616.0	8519.0	7955.0	9126.0	11714.0	6635.0	12434.0	6505.0	11884.0	10266.0	6064.0	5535.0	8656.0	12283.0	5798.0	10509.0	5391.0	6629.0	4996.0	5618.0
XieH_2016__YSZC12003_37282__bin.25	14847.0	8473.0	14258.0	9921.0	14684.0	14591.0	9785.0	11843.0	0.0	15420.0	8561.0	9004.0	10538.0	9605.0	11449.0	13516.0	15456.0	15073.0	7925.0	14641.0	11668.0	13219.0	14424.0	9917.0	15421.0	13669.0	12860.0	12772.0	7677.0	11593.0	6229.0
HeQ_2017__SZAXPI029580-98__bin.5	14773.0	9121.0	14655.0	9428.0	2788.0	15123.0	10348.0	12449.0	15420.0	0.0	9344.0	8688.0	11363.0	9110.0	10965.0	15408.0	15293.0	15590.0	8596.0	14528.0	12209.0	13751.0	14667.0	10109.0	3557.0	13206.0	13509.0	12685.0	8258.0	12329.0	6976.0
