	HMP_2012__SRS022536__bin.14	HMP_2012__SRS023538__bin.30	HMP_2012__SRS019077__bin.45	HMP_2012__SRS017511__bin.59	HMP_2012__SRS019129__bin.12	HMP_2012__SRS042984__bin.59	HMP_2012__SRS012285__bin.8	HMP_2012__SRS054430__bin.36	HMP_2012__SRS018975__bin.20	HMP_2012__SRS055378__bin.72	HMP_2012__SRS024381__bin.2	HMP_2012__SRS049268__bin.25	HMP_2012__SRS015803__bin.25	HMP_2012__SRS075410__bin.23	CM_periimplantitis__SP_101SPI_T016__bin.18	HMP_2012__SRS021477__bin.32	HMP_2012__SRS064449__bin.24	HMP_2012__SRS014894__bin.34	HMP_2012__SRS011098__bin.12	HMP_2012__SRS017304__bin.16	HMP_2012__SRS014578__bin.38	HMP_2012__SRS013252__bin.52	HMP_2012__SRS015063__bin.7	HMP_2012__SRS018394__bin.26	HMP_2012__SRS019980__bin.39	HMP_2012__SRS015158__bin.12	HMP_2012__SRS053917__bin.6	HMP_2012__SRS018665__bin.47	HMP_2012__SRS015989__bin.7	HMP_2012__SRS018157__bin.65	HMP_2012__SRS013949__bin.40	HMP_2012__SRS014476__bin.56	HMP_2012__SRS019225__bin.21	HMP_2012__SRS058808__bin.45	HMP_2012__SRS047113__bin.61	HMP_2012__SRS023964__bin.14	HMP_2012__SRS024649__bin.4	HMP_2012__SRS019906__bin.8	HMP_2012__SRS015899__bin.3	HMP_2012__SRS017445__bin.50	HMP_2012__SRS016043__bin.28	HMP_2012__SRS051244__bin.4
HMP_2012__SRS022536__bin.14	0.0	16477.0	27002.0	28276.0	33235.0	24607.0	29532.0	22127.0	31753.0	31226.0	68527.0	38329.0	31203.0	35219.0	64284.0	19112.0	29931.0	28944.0	36556.0	24587.0	32302.0	33006.0	27945.0	26353.0	24858.0	34531.0	36797.0	32377.0	29231.0	27774.0	18520.0	37895.0	25769.0	32032.0	32504.0	33113.0	27699.0	34585.0	28542.0	24329.0	37226.0	54805.0
HMP_2012__SRS023538__bin.30	16477.0	0.0	20589.0	19896.0	24417.0	16504.0	21437.0	18716.0	21111.0	22772.0	44547.0	25513.0	19513.0	24080.0	40600.0	20368.0	20307.0	20945.0	25761.0	23030.0	24029.0	21879.0	19283.0	19354.0	18632.0	24743.0	24302.0	22982.0	22045.0	19688.0	14561.0	25574.0	24744.0	21223.0	22105.0	22926.0	19311.0	23109.0	18974.0	14751.0	26074.0	38573.0
HMP_2012__SRS019077__bin.45	27002.0	20589.0	0.0	32579.0	38609.0	28443.0	32473.0	26102.0	34257.0	35977.0	69566.0	41552.0	32192.0	39166.0	68546.0	33975.0	33556.0	29989.0	41028.0	37372.0	37361.0	36076.0	32242.0	30361.0	27965.0	29725.0	30903.0	37182.0	34706.0	31012.0	23404.0	42680.0	35142.0	34600.0	33586.0	36078.0	32406.0	39552.0	31976.0	26219.0	41427.0	56803.0
HMP_2012__SRS017511__bin.59	28276.0	19896.0	32579.0	0.0	38017.0	30111.0	34716.0	25667.0	39142.0	36951.0	78190.0	42207.0	35494.0	42106.0	73276.0	35867.0	32031.0	33793.0	43934.0	37858.0	28650.0	37462.0	32321.0	31645.0	26743.0	40245.0	44556.0	38405.0	36361.0	33478.0	23119.0	42789.0	38188.0	38218.0	26437.0	38708.0	25914.0	36931.0	34326.0	29494.0	48460.0	61637.0
HMP_2012__SRS019129__bin.12	33235.0	24417.0	38609.0	38017.0	0.0	33353.0	38796.0	31337.0	40460.0	41986.0	79845.0	48687.0	37821.0	46561.0	74828.0	37091.0	38628.0	38247.0	49858.0	39189.0	42907.0	40335.0	36522.0	33585.0	34240.0	44627.0	48204.0	41935.0	37697.0	37336.0	21051.0	49644.0	46546.0	42820.0	41934.0	43623.0	36588.0	44263.0	35843.0	30837.0	47930.0	62238.0
HMP_2012__SRS042984__bin.59	24607.0	16504.0	28443.0	30111.0	33353.0	0.0	30924.0	19388.0	31829.0	31968.0	72166.0	39416.0	28252.0	35911.0	66304.0	30039.0	30563.0	28778.0	35362.0	30299.0	35087.0	31962.0	26842.0	26505.0	24095.0	34888.0	37340.0	32362.0	28602.0	29278.0	19618.0	37078.0	33766.0	33079.0	31668.0	31927.0	28479.0	33668.0	23479.0	21139.0	34481.0	56314.0
HMP_2012__SRS012285__bin.8	29532.0	21437.0	32473.0	34716.0	38796.0	30924.0	0.0	26721.0	35878.0	38753.0	67372.0	42612.0	35957.0	41450.0	61733.0	35163.0	33425.0	34638.0	42526.0	38488.0	38792.0	37328.0	28508.0	31771.0	31063.0	39602.0	43224.0	38117.0	36209.0	35412.0	24853.0	35399.0	35953.0	22970.0	36313.0	38028.0	32406.0	39015.0	32487.0	28611.0	42049.0	53294.0
HMP_2012__SRS054430__bin.36	22127.0	18716.0	26102.0	25667.0	31337.0	19388.0	26721.0	0.0	27068.0	29068.0	56019.0	33579.0	25847.0	31285.0	53657.0	28167.0	26272.0	26889.0	9496.0	30507.0	31651.0	27625.0	25333.0	24646.0	23236.0	32427.0	31922.0	29743.0	25794.0	25142.0	17608.0	34668.0	30914.0	27926.0	29556.0	28976.0	25195.0	30838.0	23719.0	21110.0	32776.0	46933.0
HMP_2012__SRS018975__bin.20	31753.0	21111.0	34257.0	39142.0	40460.0	31829.0	35878.0	27068.0	0.0	40098.0	76110.0	46486.0	39008.0	44097.0	70232.0	37444.0	36540.0	36604.0	46739.0	36411.0	43484.0	40466.0	35829.0	34040.0	33424.0	40929.0	45431.0	41155.0	37494.0	38165.0	26610.0	45633.0	40314.0	41640.0	40881.0	39943.0	36655.0	44724.0	24426.0	30696.0	47253.0	58814.0
HMP_2012__SRS055378__bin.72	31226.0	22772.0	35977.0	36951.0	41986.0	31968.0	38753.0	29068.0	40098.0	0.0	84698.0	46815.0	37883.0	44705.0	80230.0	40413.0	37396.0	20098.0	48142.0	41254.0	42923.0	40319.0	34903.0	30903.0	32046.0	44372.0	47789.0	42155.0	38667.0	36278.0	24097.0	47905.0	39909.0	41454.0	39603.0	42057.0	36328.0	43409.0	34608.0	29479.0	48794.0	68507.0
