	BritoIL_2016__M1.59.ST__bin.105	BritoIL_2016__WL.25.ST__bin.18	ZeeviD_2015__PNP_Main_744__bin.28	BritoIL_2016__W3.22.ST__bin.45	LiJ_2014__MH0284__bin.43	BritoIL_2016__M2.45.ST__bin.12	YuJ_2015__SZAXPI015220-136__bin.50	CosteaPI_2017__SID713B003-11-0-0__bin.46	ChengpingW_2017__AS133raw__bin.20	BritoIL_2016__W2.47.ST__bin.56	BritoIL_2016__M1.64.ST__bin.19	ZeeviD_2015__PNP_Main_650__bin.17	BritoIL_2016__WL.11.ST__bin.38	HeQ_2017__SZAXPI029554-33__bin.92	BritoIL_2016__W1.53.ST__bin.36	ZellerG_2014__CCIS74726977ST-3-0__bin.30	Obregon-TitoAJ_2015__SM37__bin.37	BritoIL_2016__M2.36.ST__bin.43	ZellerG_2014__CCMD88272491ST-21-0__bin.31	QinJ_2012__NOM022__bin.20	BritoIL_2016__W3.1.ST__bin.40	BritoIL_2016__W1.31.ST__bin.14	BritoIL_2016__W2.15.ST__bin.72	BritoIL_2016__M1.37.ST__bin.61	Obregon-TitoAJ_2015__SM41__bin.11	CosteaPI_2017__SID713B003-11-90-0__bin.14	SmitsSA_2017__TZ_83788__bin.2	BritoIL_2016__W1.5.ST__bin.17	LiJ_2014__MH0400__bin.1	RampelliS_2015__H14__bin.105	RampelliS_2015__H13__bin.37	LeChatelierE_2013__MH0096__bin.47	CosteaPI_2017__SID713A049-11-0-0__bin.5	BritoIL_2016__M2.33.ST__bin.15	XieH_2016__YSZC12003_37315__bin.30	CosteaPI_2017__SID713A049-11-90-0__bin.7	BritoIL_2016__W1.51.ST__bin.60	CosteaPI_2017__SID713B037-11-90-0__bin.15
BritoIL_2016__M1.59.ST__bin.105	1.0	0.7420905200328305	0.7756132392980506	0.7652614391585949	0.6786385151391302	0.5496812585104548	0.769427996770641	0.7583913336138554	0.7747827464181429	0.7858341738927936	0.7348194290369839	0.787721322158087	0.6905758016856824	0.6195312463298926	0.7519450311023778	0.6905502996820974	0.44673604553852514	0.7323631834285297	0.688688988973068	0.7040573016598448	0.7201232283657444	0.6386298981463399	0.7501139201344358	0.7930438587484288	0.6087543009464599	0.7849100618155145	0.6330875745514164	0.7792247927794432	0.7233790960076613	0.740386583530135	0.6832161247826457	0.5278371146764702	0.7605351796783929	0.5835167128722706	0.5274257270923219	0.7546133460038025	0.7528359234644606	0.6422327272580849
BritoIL_2016__WL.25.ST__bin.18	0.8091171645537018	1.0	0.7936207873020147	0.8103607235837915	0.715344984275326	0.5913490877640231	0.8040035356735706	0.7896332763079139	0.7969508474055386	0.8354521520632324	0.819030148349019	0.798930517282507	0.7390713881177368	0.6522666506663779	0.7887248452776953	0.7179414945538041	0.48292054539520957	0.7688677795648019	0.7185319930164593	0.752538704357103	0.756409505927668	0.6919496839699057	0.7975647609249533	0.8122386843079606	0.6543505907179787	0.8116448931029487	0.6495728215582428	0.8263290605732884	0.7529813952739635	0.7611700796550962	0.7094268286793469	0.5685698961395889	0.7969354812745401	0.6152997639469591	0.5618205060286453	0.793009800664695	0.7799226132374096	0.6865312934916387
ZeeviD_2015__PNP_Main_744__bin.28	0.7134937347628828	0.6695815129049008	1.0	0.7052365985908233	0.6595439220995536	0.5039393484795449	0.7252336846706189	0.7358738149080356	0.7624293821933547	0.7301203658945395	0.6906669975694696	0.7555977209686809	0.6377000156191063	0.5807285541337847	0.702300762249423	0.6909025188741156	0.43337617783803173	0.6911269277712029	0.6765400407825357	0.6839279397411179	0.6672698234547116	0.5921397619845772	0.7021251244743986	0.7494173702981397	0.5873679089720961	0.7658819454862327	0.5890727374983871	0.734072061493594	0.7043985378541077	0.698918268859762	0.6500505305865931	0.5253125210286879	0.7511345459439404	0.5410140442310862	0.48615548357184885	0.7389037980356967	0.6877496819073337	0.6394724446247123
BritoIL_2016__W3.22.ST__bin.45	0.7942245810522797	0.7713604134453313	0.7956524161756307	1.0	0.7057440762255004	0.5642219343335144	0.8041859946787022	0.780467215512558	0.7993776728377003	0.8540581860225389	0.7817299789655509	0.8032087982503796	0.7468517976792456	0.6419553679635588	0.7793928566453536	0.7105067769930489	0.4746416482092858	0.7603239444467661	0.7181571872344575	0.7359570674356081	0.7689759287893351	0.6723146252106927	0.8119781436750386	0.8173210330561242	0.6362614400936103	0.8081003524314987	0.6528636800534916	0.8174502347221642	0.7495981166506471	0.7638298020532965	0.7166868653098749	0.5506184963851394	0.7918334795993702	0.607103653864906	0.5500891526320922	0.7832295540975386	0.7607397578948835	0.6693391561146169
LiJ_2014__MH0284__bin.43	0.7315567188408817	0.7072460088027711	0.7728732424118782	0.7330325285829622	1.0	0.5467104634910713	0.7679661750194604	0.7583828163658619	0.8384284941242516	0.7507422454879288	0.7206288541060788	0.7586797869046482	0.6669039537232365	0.6235719370436927	0.7278252351890918	0.7108328052249452	0.4716901349353103	0.7166011233516507	0.7484475060262231	0.7317979847962659	0.6948307593475185	0.6314819878867852	0.7354531459344336	0.756904112879189	0.6249468274431161	0.7808169330358564	0.629688589675698	0.7489922534457264	0.7427475526155111	0.7360970041062236	0.6894502029961832	0.6235574683207311	0.7656258590804258	0.5785648039632726	0.5389993575887005	0.7612610070809931	0.7137504232101466	0.673159867813747
BritoIL_2016__M2.45.ST__bin.12	0.8026003448247141	0.7919136203802283	0.7998742795941475	0.7937886476335313	0.7405191576634819	1.0	0.8059839189588429	0.7792857258344655	0.7980183602747035	0.8228013504899716	0.8065752850144314	0.8041373086328176	0.7393393652344372	0.6790151280941992	0.7966597371826185	0.7451290691937481	0.5190346867793185	0.7863732994551299	0.7328426677223392	0.7592606111501163	0.7486606073285296	0.7182554750354844	0.7827080057833347	0.8338560251480007	0.6649658972375317	0.7998042171699975	0.6733704484534088	0.8229708721595934	0.765734281152179	0.7682712268322426	0.705531550873404	0.6076318067727337	0.7881263298999479	0.6717644021151993	0.5817410463406592	0.7799260865922568	0.7711099798778759	0.7137700100488135
YuJ_2015__SZAXPI015220-136__bin.50	0.8116417518447634	0.777857104679772	0.8316285915235213	0.8173713408696642	0.7515000040705674	0.5822833334336226	1.0	0.8267725816493868	0.8600121267510961	0.8427476117273399	0.7908931851269256	0.8469494991255359	0.7346726325845732	0.6810246786110091	0.8104506684402542	0.7526666640709425	0.4928611097640876	0.7929348401275822	0.7644047644752031	0.783696068079708	0.756270709011422	0.6841374237697773	0.8008062555063273	0.8471137376692781	0.6727660283899065	0.8519067422399943	0.6806993871849336	0.8251436467823581	0.7867716471887068	0.7899873953996925	0.7362987357525718	0.5821346692345457	0.8297115312801864	0.6221228610495906	0.583001169137737	0.8297214422267915	0.797310169091368	0.7176088142295708
CosteaPI_2017__SID713B003-11-0-0__bin.46	0.8175503072877291	0.7807141229367953	0.8623419701863984	0.8106666280823727	0.7584031166463496	0.5753464447587456	0.8449106713305432	1.0	0.8707550343460505	0.8415089835088316	0.7929155618898105	0.8550423040611175	0.7370467099051912	0.6700127689898029	0.7967835167895938	0.7753800854400962	0.4892060437473548	0.7823614311396957	0.7702771919797722	0.7823408126575777	0.7648415089835089	0.6910088948855313	0.8107299304397524	0.8495371693356146	0.6881776517357506	0.9891658919663883	0.6887723321673642	0.8297383623137554	0.8240107650180322	0.8059410166720322	0.749155184824797	0.5855323366527884	0.9336345319785423	0.6246976860275419	0.572130323276096	0.9143226105168729	0.7986417122745079	0.8136765647438425
ChengpingW_2017__AS133raw__bin.20	0.719200429842936	0.6784955497239505	0.7693512642210264	0.7149711491290229	0.7219822611918796	0.5073345844462268	0.7567948668031989	0.7497990172793745	1.0	0.737188733754351	0.6939325177738497	0.762569401724044	0.6457832563717207	0.5851324181001253	0.7037198545386585	0.6958129248787173	0.43793363910324795	0.6921399481385153	0.7633418730873157	0.7254611856500985	0.6805369921896293	0.6015408934814942	0.7210088849780796	0.7476965246575662	0.5970780024762692	0.7813806368216542	0.6024772035290727	0.7489904141910465	0.712459371276836	0.7203024474571519	0.6708057218947352	0.578707823608656	0.75453320770291	0.5391644538580739	0.5049312017692086	0.745013121111362	0.7021375341655051	0.6401043459301194
BritoIL_2016__W2.47.ST__bin.56	0.8377275177594686	0.8168436204526407	0.8460993914974185	0.8772549669099223	0.7424260905989553	0.6007288008696675	0.8516732479572005	0.8321651080591984	0.8466044797608772	1.0	0.818626453246605	0.8428349187691442	0.8069940416039629	0.6795257893703245	0.832618328193619	0.7580984929267969	0.49283379197875476	0.8003638638679816	0.7550532971854207	0.7746912862616351	0.8163914734519241	0.7050813954029099	0.8635184977845155	0.8617056172468326	0.6708627386872928	0.8597095885569607	0.6893252886461381	0.8686005012965243	0.7908197704137754	0.7980455373556055	0.7447891310156746	0.5749456904917849	0.8376155541429937	0.6377579947566686	0.5774500268462281	0.8304105344527788	0.8058611701235284	0.7116858179299894
BritoIL_2016__M1.64.ST__bin.19	0.7298464504156691	0.746098603416005	0.745717995616678	0.7481249566733678	0.6639769715617317	0.5486651397917123	0.7446844887990658	0.7305613398461037	0.7425028262295431	0.7627193660713809	1.0	0.7405571271643319	0.6784767289325917	0.6026217944957847	0.7191887654709405	0.6557939038762005	0.46169459123655543	0.7099858555210128	0.6710752070346452	0.6908114878232167	0.6984193111465427	0.6335933375637901	0.7419539111284122	0.7546569463922913	0.607484375749884	0.7589819441259752	0.600954385721675	0.7569429261607538	0.6970715196049677	0.7163542038831328	0.6662072932719739	0.5282732937305696	0.7384431207973167	0.5669076516165499	0.5213303675698159	0.7298521162060267	0.7111626735064976	0.6298609148451707
ZeeviD_2015__PNP_Main_650__bin.17	0.7656481872257487	0.7122150346012524	0.7983665756273332	0.752231681296668	0.6840780750888595	0.5353014963109175	0.7804009296579274	0.7709445368898468	0.7984836634732235	0.7684706892266787	0.7247101668126731	1.0	0.6745365571737668	0.6377269433157843	0.7466417966428729	0.7226192192360654	0.4584060919599462	0.7431888467140715	0.7066205838476175	0.7317758801646667	0.698134161145491	0.6341174413924778	0.7337722442445942	0.7984347409749405	0.629070596469622	0.8060252296585144	0.6274108191778802	0.7771077932235164	0.743489230853528	0.7413813234775155	0.6854886737893475	0.5424621193095797	0.7796432832345207	0.5845087235337438	0.5352176757638596	0.7677707713512458	0.7443046058249083	0.6717332980221612
BritoIL_2016__WL.11.ST__bin.38	0.8189543854315435	0.8038596238506227	0.8220908869152337	0.8533934263990599	0.7336723450263054	0.6004872281675501	0.8259349118241966	0.810815876379979	0.8250212595269939	0.8977322242698044	0.8100884563454465	0.8229949888399919	1.0	0.6758070363164851	0.8089758379556472	0.7327682431015471	0.499101270159742	0.781803834554123	0.7325589307721356	0.76425980037334	0.792551584943997	0.6943268002153609	0.8321012689659454	0.835405697831787	0.6718806394451871	0.8365477632032904	0.6885153985828043	0.8458995674875079	0.7807572729070658	0.7901234027499502	0.7411793356999687	0.5813813101598851	0.8150164485268749	0.6358709601427144	0.5705647175019728	0.8152094456366934	0.7865706642005483	0.6953240182714542
HeQ_2017__SZAXPI029554-33__bin.92	0.8108882873853643	0.783012068670953	0.8262777204138808	0.8095974899061745	0.7571377059994634	0.6086797456351589	0.8450147064830182	0.8135041396432937	0.8250532415530503	0.8343185234928217	0.7941303191594489	0.8587681338599588	0.7458855006858048	1.0	0.8247365811302889	0.7527663867376817	0.5267213524430505	0.8125168267024231	0.747356368585705	0.7840090439270812	0.7528520299865562	0.693363790122215	0.796175216424882	0.8674154668193897	0.688408339983495	0.8366699796696103	0.6989007359609853	0.8424599024896713	0.7969973916140766	0.7999790942633517	0.74294025131682	0.6075571602806815	0.8102470610091761	0.6696643267759884	0.6190935255021439	0.8182500932193825	0.787374164813625	0.7173825490680916
BritoIL_2016__W1.53.ST__bin.36	0.7920260696380257	0.7619463161968583	0.804139827415886	0.7909996836723694	0.7111660119214872	0.5746955567454658	0.8092516112386435	0.7785250649885397	0.7985152040489937	0.8226734456208062	0.7626853565047741	0.8091127098321342	0.7185228383247713	0.6636984885194277	1.0	0.7178894761861845	0.4767598154343143	0.764704551760213	0.7172147617204689	0.7393877381514096	0.732595706780191	0.6717604251160604	0.7822276887406803	0.8249206088334933	0.6485511664360479	0.8023758148970874	0.6733908378087508	0.8246583573229846	0.7614967421788436	0.772930483910587	0.7194103228839184	0.549479826602977	0.7874052121604117	0.6173888302769721	0.5577895237236887	0.7813631776966048	0.778196013564977	0.6795176975589756
ZellerG_2014__CCIS74726977ST-3-0__bin.30	0.6934407238379694	0.6612239094043405	0.7541988236150385	0.687462092315489	0.6621737917388879	0.5124566336089194	0.7165067917092356	0.7222832489143239	0.7527253097984457	0.7141143956200956	0.6630259564866956	0.7465637105187255	0.620486458364221	0.5775325028910927	0.6844129666520202	1.0	0.4319794617850105	0.6811262861656159	0.6828100612722965	0.6849585003517833	0.6473079141810457	0.6086707173414347	0.6934555499545781	0.7274794658284969	0.584240646742163	0.7501455655085223	0.5846689193378386	0.7213458339960158	0.7110029328754309	0.6884281485954276	0.6378876018621602	0.5315597479021045	0.7356752756983774	0.5474361600897115	0.4947710982378487	0.7255001792612281	0.679564152606566	0.6621380742761485
