	BritoIL_2016__M1.59.ST__bin.105	BritoIL_2016__WL.25.ST__bin.18	ZeeviD_2015__PNP_Main_744__bin.28	BritoIL_2016__W3.22.ST__bin.45	LiJ_2014__MH0284__bin.43	BritoIL_2016__M2.45.ST__bin.12	YuJ_2015__SZAXPI015220-136__bin.50	CosteaPI_2017__SID713B003-11-0-0__bin.46	ChengpingW_2017__AS133raw__bin.20	BritoIL_2016__W2.47.ST__bin.56	BritoIL_2016__M1.64.ST__bin.19	ZeeviD_2015__PNP_Main_650__bin.17	BritoIL_2016__WL.11.ST__bin.38	HeQ_2017__SZAXPI029554-33__bin.92	BritoIL_2016__W1.53.ST__bin.36	ZellerG_2014__CCIS74726977ST-3-0__bin.30	Obregon-TitoAJ_2015__SM37__bin.37	BritoIL_2016__M2.36.ST__bin.43	ZellerG_2014__CCMD88272491ST-21-0__bin.31	QinJ_2012__NOM022__bin.20	BritoIL_2016__W3.1.ST__bin.40	BritoIL_2016__W1.31.ST__bin.14	BritoIL_2016__W2.15.ST__bin.72	BritoIL_2016__M1.37.ST__bin.61	Obregon-TitoAJ_2015__SM41__bin.11	CosteaPI_2017__SID713B003-11-90-0__bin.14	SmitsSA_2017__TZ_83788__bin.2	BritoIL_2016__W1.5.ST__bin.17	LiJ_2014__MH0400__bin.1	RampelliS_2015__H14__bin.105	RampelliS_2015__H13__bin.37	LeChatelierE_2013__MH0096__bin.47	CosteaPI_2017__SID713A049-11-0-0__bin.5	BritoIL_2016__M2.33.ST__bin.15	XieH_2016__YSZC12003_37315__bin.30	CosteaPI_2017__SID713A049-11-90-0__bin.7	BritoIL_2016__W1.51.ST__bin.60	CosteaPI_2017__SID713B037-11-90-0__bin.15
BritoIL_2016__M1.59.ST__bin.105	0.0	28453.0	48527.0	40529.0	42695.0	27134.0	42814.0	44535.0	49004.0	40651.0	29867.0	45841.0	34514.0	33581.0	51902.0	43226.0	26096.0	39584.0	42415.0	41673.0	36153.0	33400.0	37311.0	41870.0	36366.0	46899.0	64718.0	43231.0	43724.0	74246.0	67668.0	34165.0	45011.0	29001.0	29007.0	44035.0	41688.0	38581.0
BritoIL_2016__WL.25.ST__bin.18	28453.0	0.0	47503.0	32966.0	43000.0	26795.0	44141.0	47240.0	48512.0	34853.0	16937.0	43733.0	30504.0	35092.0	46958.0	42935.0	27885.0	40013.0	43209.0	43662.0	30279.0	33156.0	31552.0	39250.0	37927.0	48162.0	61501.0	41411.0	42816.0	72048.0	66791.0	35360.0	48130.0	29342.0	30305.0	46444.0	36751.0	41549.0
ZeeviD_2015__PNP_Main_744__bin.28	48527.0	47503.0	0.0	45593.0	37920.0	34299.0	44552.0	38652.0	45467.0	48589.0	47734.0	42153.0	43815.0	34651.0	65245.0	37090.0	26410.0	45073.0	39052.0	38787.0	42375.0	38067.0	43326.0	50953.0	35405.0	40059.0	62464.0	57978.0	36050.0	71875.0	66396.0	32607.0	39054.0	35307.0	30357.0	37340.0	49798.0	34049.0
BritoIL_2016__W3.22.ST__bin.45	40529.0	32966.0	45593.0	0.0	41752.0	29125.0	44379.0	44958.0	48324.0	15784.0	33216.0	44921.0	16308.0	34186.0	53331.0	41319.0	27561.0	40199.0	42681.0	41383.0	18103.0	31163.0	18949.0	40140.0	36994.0	46281.0	64922.0	40922.0	41894.0	73851.0	69391.0	34091.0	45140.0	29901.0	30561.0	43101.0	40628.0	39795.0
LiJ_2014__MH0284__bin.43	42695.0	43000.0	37920.0	41752.0	0.0	32298.0	35343.0	35037.0	15920.0	44745.0	42504.0	37700.0	39606.0	33027.0	56623.0	34182.0	24431.0	39794.0	11696.0	27576.0	38482.0	34731.0	39810.0	43458.0	32321.0	36490.0	56560.0	50374.0	33732.0	64413.0	60881.0	3049.0	35327.0	31513.0	28056.0	34265.0	43875.0	31518.0
BritoIL_2016__M2.45.ST__bin.12	27134.0	26795.0	34299.0	29125.0	32298.0	0.0	30400.0	32926.0	34320.0	30630.0	25854.0	32563.0	27826.0	24554.0	35035.0	31811.0	20727.0	27912.0	31395.0	30536.0	27724.0	26847.0	28519.0	25719.0	27748.0	33624.0	45920.0	33826.0	31565.0	52505.0	48027.0	27301.0	32736.0	23617.0	22138.0	31956.0	30164.0	30062.0
YuJ_2015__SZAXPI015220-136__bin.50	42814.0	44141.0	44552.0	44379.0	35343.0	30400.0	0.0	43198.0	40058.0	46156.0	43435.0	37655.0	40541.0	23776.0	57809.0	40881.0	22245.0	37797.0	34709.0	30137.0	39659.0	36035.0	41728.0	40575.0	32214.0	44253.0	64665.0	51869.0	38506.0	72591.0	67025.0	28481.0	43163.0	29151.0	20497.0	41764.0	41840.0	38025.0
CosteaPI_2017__SID713B003-11-0-0__bin.46	44535.0	47240.0	38652.0	44958.0	35037.0	32926.0	43198.0	0.0	40576.0	48712.0	47024.0	40117.0	42485.0	34390.0	62595.0	31952.0	25120.0	43083.0	35086.0	32437.0	41387.0	36333.0	43501.0	47672.0	35139.0	984.0	61959.0	55709.0	33896.0	71981.0	66476.0	27963.0	5030.0	33898.0	29667.0	4980.0	48050.0	4919.0
ChengpingW_2017__AS133raw__bin.20	49004.0	48512.0	45467.0	48324.0	15920.0	34320.0	40058.0	40576.0	0.0	51688.0	47355.0	44445.0	44698.0	34127.0	64601.0	41201.0	25742.0	43477.0	17055.0	26916.0	44498.0	38544.0	45096.0	49758.0	35239.0	43789.0	63304.0	58819.0	39183.0	75251.0	68649.0	14886.0	40638.0	34081.0	30292.0	39354.0	50376.0	34709.0
BritoIL_2016__W2.47.ST__bin.56	40651.0	34853.0	48589.0	15784.0	44745.0	30630.0	46156.0	48712.0	51688.0	0.0	34566.0	45995.0	4532.0	34905.0	53055.0	43980.0	27598.0	41598.0	45620.0	43075.0	18139.0	31658.0	19907.0	41499.0	38254.0	50124.0	66941.0	40508.0	43857.0	75081.0	69172.0	35677.0	48144.0	30919.0	30604.0	46282.0	41548.0	41568.0
