	BritoIL_2016__M1.59.ST__bin.105	BritoIL_2016__WL.25.ST__bin.18	ZeeviD_2015__PNP_Main_744__bin.28	BritoIL_2016__W3.22.ST__bin.45	LiJ_2014__MH0284__bin.43	BritoIL_2016__M2.45.ST__bin.12	YuJ_2015__SZAXPI015220-136__bin.50	CosteaPI_2017__SID713B003-11-0-0__bin.46	ChengpingW_2017__AS133raw__bin.20	BritoIL_2016__W2.47.ST__bin.56	BritoIL_2016__M1.64.ST__bin.19	ZeeviD_2015__PNP_Main_650__bin.17	BritoIL_2016__WL.11.ST__bin.38	HeQ_2017__SZAXPI029554-33__bin.92	BritoIL_2016__W1.53.ST__bin.36	ZellerG_2014__CCIS74726977ST-3-0__bin.30	Obregon-TitoAJ_2015__SM37__bin.37	BritoIL_2016__M2.36.ST__bin.43	ZellerG_2014__CCMD88272491ST-21-0__bin.31	QinJ_2012__NOM022__bin.20	BritoIL_2016__W3.1.ST__bin.40	BritoIL_2016__W1.31.ST__bin.14	BritoIL_2016__W2.15.ST__bin.72	BritoIL_2016__M1.37.ST__bin.61	Obregon-TitoAJ_2015__SM41__bin.11	CosteaPI_2017__SID713B003-11-90-0__bin.14	SmitsSA_2017__TZ_83788__bin.2	BritoIL_2016__W1.5.ST__bin.17	LiJ_2014__MH0400__bin.1	RampelliS_2015__H14__bin.105	RampelliS_2015__H13__bin.37	LeChatelierE_2013__MH0096__bin.47	CosteaPI_2017__SID713A049-11-0-0__bin.5	BritoIL_2016__M2.33.ST__bin.15	XieH_2016__YSZC12003_37315__bin.30	CosteaPI_2017__SID713A049-11-90-0__bin.7	BritoIL_2016__W1.51.ST__bin.60	CosteaPI_2017__SID713B037-11-90-0__bin.15
BritoIL_2016__M1.59.ST__bin.105	2980158.0	2240000.0	2359977.0	2321129.0	2065145.0	1665271.0	2335831.0	2304661.0	2357979.0	2382561.0	2219745.0	2393375.0	2092539.0	1879882.0	2292817.0	2101175.0	1357440.0	2222142.0	2094817.0	2139875.0	2182234.0	1936618.0	2272769.0	2405266.0	1850550.0	2386055.0	1951419.0	2365444.0	2199508.0	2280715.0	2103760.0	1607203.0	2311526.0	1767973.0	1600819.0	2292902.0	2285258.0	1952536.0
BritoIL_2016__WL.25.ST__bin.18	2240000.0	2733284.0	2216694.0	2247912.0	1998241.0	1643120.0	2241711.0	2205532.0	2226805.0	2318381.0	2255579.0	2227437.0	2050596.0	1817922.0	2202767.0	2005273.0	1347844.0	2141547.0	2007161.0	2100564.0	2097761.0	1924451.0	2211523.0	2259329.0	1826453.0	2266618.0	1836968.0	2300003.0	2100928.0	2152542.0	2005856.0	1589423.0	2226381.0	1711131.0	1565920.0	2213965.0	2168501.0	1918034.0
ZeeviD_2015__PNP_Main_744__bin.28	2359977.0	2216694.0	3239622.0	2330293.0	2174593.0	1666872.0	2394035.0	2422605.0	2515450.0	2413903.0	2285234.0	2490004.0	2109722.0	1915992.0	2340434.0	2275353.0	1430385.0	2284063.0	2230786.0	2254455.0	2204077.0	1956376.0	2317946.0	2478782.0	1938255.0	2521227.0	1970837.0	2436094.0	2318035.0	2336106.0	2172314.0	1734421.0	2472446.0	1787988.0	1605317.0	2431109.0	2277847.0	2105698.0
BritoIL_2016__W3.22.ST__bin.45	2321129.0	2247912.0	2330293.0	2871480.0	2068282.0	1649277.0	2353583.0	2286054.0	2343721.0	2468195.0	2277938.0	2351319.0	2160878.0	1877548.0	2291342.0	2081525.0	1390485.0	2223454.0	2104855.0	2154669.0	2226202.0	1961701.0	2350528.0	2387061.0	1864006.0	2366725.0	1939607.0	2388214.0	2194350.0	2267173.0	2127343.0	1615181.0	2318874.0	1773187.0	1610131.0	2292129.0	2225077.0	1961789.0
LiJ_2014__MH0284__bin.43	2065145.0	1998241.0	2174593.0	2068282.0	2764584.0	1543725.0	2158450.0	2131650.0	2333826.0	2120235.0	2034743.0	2135134.0	1883318.0	1756944.0	2068757.0	1999339.0	1328458.0	2020898.0	2080842.0	2050693.0	1959400.0	1780516.0	2073032.0	2135983.0	1760039.0	2195124.0	1797387.0	2121026.0	2087120.0	2099415.0	1966924.0	1726926.0	2151964.0	1631004.0	1518165.0	2138835.0	2017098.0	1892525.0
BritoIL_2016__M2.45.ST__bin.12	1665271.0	1643120.0	1666872.0	1649277.0	1543725.0	2041037.0	1675443.0	1623477.0	1663105.0	1709998.0	1672104.0	1673837.0	1536845.0	1410449.0	1661047.0	1552647.0	1080096.0	1632929.0	1527154.0	1580215.0	1555768.0	1492833.0	1626055.0	1727650.0	1384968.0	1666054.0	1420294.0	1713540.0	1594457.0	1620575.0	1488043.0	1267500.0	1641331.0	1394713.0	1209493.0	1623814.0	1604028.0	1486893.0
YuJ_2015__SZAXPI015220-136__bin.50	2335831.0	2241711.0	2394035.0	2353583.0	2158450.0	1675443.0	2825159.0	2378962.0	2469729.0	2427052.0	2277834.0	2430422.0	2116108.0	1947779.0	2347461.0	2167284.0	1414656.0	2277964.0	2194274.0	2244203.0	2176244.0	1968832.0	2304133.0	2433806.0	1932885.0	2451025.0	1987749.0	2383031.0	2261261.0	2304431.0	2147186.0	1673104.0	2387230.0	1786747.0	1667568.0	2385859.0	2294368.0	2065384.0
CosteaPI_2017__SID713B003-11-0-0__bin.46	2304661.0	2205532.0	2422605.0	2286054.0	2131650.0	1623477.0	2378962.0	2764510.0	2447787.0	2375072.0	2239047.0	2403890.0	2080058.0	1886647.0	2265311.0	2175498.0	1377535.0	2205929.0	2164525.0	2195226.0	2155799.0	1946634.0	2284772.0	2396226.0	1937613.0	2735543.0	1966077.0	2349529.0	2311882.0	2300013.0	2137523.0	1646673.0	2586072.0	1760881.0	1611327.0	2532634.0	2255903.0	2254336.0
ChengpingW_2017__AS133raw__bin.20	2357979.0	2226805.0	2515450.0	2343721.0	2333826.0	1663105.0	2469729.0	2447787.0	3210475.0	2418414.0	2275208.0	2492655.0	2117969.0	1912680.0	2323876.0	2275091.0	1431717.0	2265575.0	2467745.0	2355991.0	2229345.0	1969776.0	2359877.0	2450219.0	1952143.0	2552392.0	1997542.0	2463434.0	2326516.0	2387764.0	2222254.0	1872813.0	2463048.0	1765055.0	1651361.0	2431200.0	2304571.0	2089748.0
BritoIL_2016__W2.47.ST__bin.56	2382561.0	2318381.0	2413903.0	2468195.0	2120235.0	1709998.0	2427052.0	2375072.0	2418414.0	2795551.0	2323078.0	2402183.0	2260525.0	1934554.0	2380682.0	2163283.0	1405340.0	2279056.0	2156410.0	2208764.0	2300403.0	2002749.0	2433917.0	2450441.0	1913685.0	2453486.0	1993985.0	2468725.0	2254634.0	2306058.0	2151268.0	1642967.0	2389741.0	1813804.0	1644895.0	2367737.0	2294374.0	2031122.0
