	BritoIL_2016__M1.59.ST__bin.105	BritoIL_2016__WL.25.ST__bin.18	ZeeviD_2015__PNP_Main_744__bin.28	BritoIL_2016__W3.22.ST__bin.45	LiJ_2014__MH0284__bin.43	BritoIL_2016__M2.45.ST__bin.12	YuJ_2015__SZAXPI015220-136__bin.50	CosteaPI_2017__SID713B003-11-0-0__bin.46	ChengpingW_2017__AS133raw__bin.20	BritoIL_2016__W2.47.ST__bin.56	BritoIL_2016__M1.64.ST__bin.19	ZeeviD_2015__PNP_Main_650__bin.17	BritoIL_2016__WL.11.ST__bin.38	HeQ_2017__SZAXPI029554-33__bin.92	BritoIL_2016__W1.53.ST__bin.36	ZellerG_2014__CCIS74726977ST-3-0__bin.30	Obregon-TitoAJ_2015__SM37__bin.37	BritoIL_2016__M2.36.ST__bin.43	ZellerG_2014__CCMD88272491ST-21-0__bin.31	QinJ_2012__NOM022__bin.20	BritoIL_2016__W3.1.ST__bin.40	BritoIL_2016__W1.31.ST__bin.14	BritoIL_2016__W2.15.ST__bin.72	BritoIL_2016__M1.37.ST__bin.61	Obregon-TitoAJ_2015__SM41__bin.11	CosteaPI_2017__SID713B003-11-90-0__bin.14	SmitsSA_2017__TZ_83788__bin.2	BritoIL_2016__W1.5.ST__bin.17	LiJ_2014__MH0400__bin.1	RampelliS_2015__H14__bin.105	RampelliS_2015__H13__bin.37	LeChatelierE_2013__MH0096__bin.47	CosteaPI_2017__SID713A049-11-0-0__bin.5	BritoIL_2016__M2.33.ST__bin.15	XieH_2016__YSZC12003_37315__bin.30	CosteaPI_2017__SID713A049-11-90-0__bin.7	BritoIL_2016__W1.51.ST__bin.60	CosteaPI_2017__SID713B037-11-90-0__bin.15
BritoIL_2016__M1.59.ST__bin.105	1.0	0.9872977678571428	0.9794375114672728	0.9825391005842415	0.9793259068975786	0.9837059553670243	0.9816707629961243	0.9806761167911463	0.9792177962568793	0.9829381073559083	0.9865448508725101	0.9808467122786859	0.983506161653379	0.9821366447468511	0.9773632173871705	0.979427701167204	0.9807755775577558	0.9821865569347054	0.9797524079669012	0.9805254979846953	0.9834330323879107	0.9827534392430516	0.9835834614076485	0.9825923619258743	0.9803485450271541	0.9803445436085925	0.9668354156641911	0.9817239385079503	0.9801210088801677	0.9674461736779914	0.967834734000076	0.9787425732779245	0.980527582211924	0.9835964689506005	0.9818799002260717	0.9807950797722711	0.9817578584124856	0.9802405691879689
BritoIL_2016__WL.25.ST__bin.18	0.9872977678571428	1.0	0.9785703394334085	0.9853348351714836	0.9784810741046751	0.9836926091825308	0.9803092370069112	0.9785811314458371	0.9782145270915056	0.9849666642368101	0.9924910632702291	0.9803662236013858	0.9851243248304395	0.9806966415500775	0.9786822664403453	0.9785889502327114	0.9793114039903728	0.9813158431731828	0.978472578931137	0.9792141539129491	0.9855660392199111	0.9827711903290861	0.9857329089500765	0.9826275854468296	0.9792346148518467	0.9787516026079384	0.9665203748786043	0.9819952408757727	0.9796204343985134	0.9665288760916163	0.9667019965540896	0.9777529329825981	0.9783819570864106	0.9828522772365178	0.9806471594972923	0.9790222519326186	0.9830523481427954	0.9783377145556336
ZeeviD_2015__PNP_Main_744__bin.28	0.9794375114672728	0.9785703394334085	1.0	0.9804346492050571	0.9825622541781381	0.9794231350697594	0.9813904140916904	0.9840452735794734	0.981924904092707	0.9798711878646325	0.9791119859060385	0.9830711115323509	0.9792318608802487	0.9819148514190038	0.9721226917742607	0.9836992326025896	0.9815364394900674	0.9802663061395417	0.9824940626308395	0.9827953984444134	0.9807742651459092	0.9805420839347856	0.9813084515342463	0.9794443400024689	0.9817335696283512	0.9841113077085086	0.9683058517776965	0.9762004257635378	0.9844480346500376	0.9692329885715802	0.9694353578718362	0.9812000661892355	0.9842043061810045	0.9802532231759945	0.9810897162367308	0.984640754486944	0.9781381278022624	0.9838300649000948
BritoIL_2016__W3.22.ST__bin.45	0.9825391005842415	0.9853348351714836	0.9804346492050571	1.0	0.9798131976200537	0.9823407468848471	0.9811440684267348	0.9803337978892888	0.979381504880487	0.9936050433616469	0.9854183915453362	0.9808954038137743	0.9924530676882267	0.9817922098396419	0.9767249934754393	0.9801496498961099	0.9801788584558625	0.9819204714826572	0.9797225937178571	0.9807938017393855	0.9918682132169497	0.9841142967251381	0.9919384070302503	0.983184342586972	0.980153497359987	0.9804451298735595	0.9665282709332355	0.9828650196339189	0.9809082416205255	0.9674259529378658	0.9673813766750354	0.9788933871807556	0.9805336555586892	0.9831371423318578	0.9810195567938261	0.981196084513568	0.9817408566085578	0.9797149438599156
LiJ_2014__MH0284__bin.43	0.9793259068975786	0.9784810741046751	0.9825622541781381	0.9798131976200537	1.0	0.9790778798037215	0.9836257499594616	0.9835634367743298	0.9931785831505862	0.9788962072600443	0.979110875427511	0.9823430285874329	0.9789700942697941	0.9812020189601945	0.9726294581722261	0.9829033495570286	0.9816095051556014	0.9803087538312176	0.9943791984206394	0.9865528384794798	0.9803603143819537	0.9804938568370068	0.9807962443416214	0.9796543324548931	0.9816362023796064	0.9833767932927707	0.9685320968717366	0.9762501732652028	0.9838380160220783	0.9693185958945706	0.9690476093636562	0.9982344350597536	0.9835838331868005	0.9806787720937533	0.9815197952791692	0.9839795963690514	0.9782484539670359	0.9833460588367393
BritoIL_2016__M2.45.ST__bin.12	0.9837059553670243	0.9836926091825308	0.9794231350697594	0.9823407468848471	0.9790778798037215	1.0	0.9818555450707663	0.9797188380248073	0.9793639006557012	0.9820876983481852	0.984538043088229	0.980545895448601	0.9818940751995159	0.9825913592054729	0.9789078815951626	0.9795117628153727	0.9808100391076349	0.9829067889663299	0.9794421518720443	0.9806760472467354	0.9821798622930925	0.9820160727958184	0.9824612328611271	0.985113304199346	0.9799648800549905	0.9798181811633957	0.9676686657832815	0.9802595795837856	0.9802032917789567	0.967601005815837	0.9677247230086765	0.9784607495069033	0.9800552112888868	0.9830667671413402	0.9816964628980903	0.9803204061548921	0.981194841985302	0.9797820017983809
YuJ_2015__SZAXPI015220-136__bin.50	0.9816707629961243	0.9803092370069112	0.9813904140916904	0.9811440684267348	0.9836257499594616	0.9818555450707663	1.0	0.9818416603543898	0.983780406676198	0.9809826901112955	0.9809314462774724	0.9845068058139698	0.9808417150731437	0.9877932763419258	0.9753738187769679	0.9811372205949935	0.9842753291259501	0.9834075516557769	0.9841820119091782	0.986571179166947	0.981776400072786	0.9816972702597276	0.9818899343050076	0.9833285808318329	0.9833337213543486	0.9819451045990963	0.9674682266221741	0.9782340221339966	0.982971448231761	0.9684993822770133	0.9687847256828239	0.9829771490594726	0.9819192118061519	0.9836848753628802	0.9877084472717155	0.9824951935550257	0.9817640413394887	0.981589379989387
CosteaPI_2017__SID713B003-11-0-0__bin.46	0.9806761167911463	0.9785811314458371	0.9840452735794734	0.9803337978892888	0.9835634367743298	0.9797188380248073	0.9818416603543898	1.0	0.9834233942740933	0.9794903059780925	0.9789982077196235	0.9833116323958251	0.9795750887715631	0.9817718947953697	0.972368032468831	0.9853127881524139	0.981764528668963	0.9804694530059671	0.9837904390108685	0.9852238448341993	0.9808020135457898	0.9813354744651537	0.9809604634510577	0.98010538238046	0.9818647996271701	0.999640290794186	0.9684859748626325	0.9762892903215921	0.9853383520439192	0.9687040899334047	0.9689004515974798	0.9830184863661455	0.9980549652136522	0.9807494089606282	0.9815884671454025	0.998033667715114	0.9787003253242714	0.9978179827674313
ChengpingW_2017__AS133raw__bin.20	0.9792177962568793	0.9782145270915056	0.981924904092707	0.979381504880487	0.9931785831505862	0.9793639006557012	0.983780406676198	0.9834233942740933	1.0	0.9786273152570238	0.9791865183315108	0.9821696143268924	0.9788958195327694	0.982157496287931	0.9722011845726708	0.9818903947138817	0.9820201897442022	0.9808097282146916	0.9930888321119078	0.9885755081407357	0.980039877183657	0.9804322928089285	0.9808905294640357	0.979692427493216	0.9819485560227914	0.9828439361978881	0.9683090518246925	0.9761231679030167	0.98315807843144	0.9684847413731005	0.969108391749998	0.9920515289033128	0.9835009305543375	0.980691253247066	0.9816563428590115	0.9838129318854887	0.9781408340207353	0.9833908203285755
BritoIL_2016__W2.47.ST__bin.56	0.9829381073559083	0.9849666642368101	0.9798711878646325	0.9936050433616469	0.9788962072600443	0.9820876983481852	0.9809826901112955	0.9794903059780925	0.9786273152570238	1.0	0.9851206029242238	0.9808528326110042	0.9979951559925239	0.9819570815805607	0.9777143692437713	0.9796697889272925	0.98036204761837	0.9817477060677754	0.9788444683524933	0.9804981428527448	0.9921148598745524	0.9841927270966058	0.9918210029347755	0.9830646810104794	0.9800102942751812	0.9795702930442644	0.9664285338154499	0.9835915300408106	0.9805480623462611	0.9674418423127259	0.9678459401618023	0.9782850172888439	0.9798538837472346	0.9829535054504235	0.9813945570993893	0.9804530655220576	0.9818913568581233	0.9795344642025442
